LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA24850,223,1445,922,14089,296,16974,0,11,3,62,0,78,358,7,21,80,9,471,107,18,15,54,0,194,279,99,48,228,9,656,1920,1152,846,10944,286,15155,225,3,40,6,6,288,60,11,3,85,0,163,363,149,96,1022,32,1657,164,64,27,164,10,425,63,18,7,30,0,116,348,22,16,24,0,412,480,330,249,3887,84,5023,756,250,126,950,32,2113,19,0,0,0,3,23,62,19,4,26,4,109,122,30,21,62,4,234,375,104,51,292,12,831,63,16,8,8,0,101,96,39,25,32,7,201,151,27,16,85,0,287,25,3,7,17,0,61,451,303,213,2865,69,3909,18,5,0,4,0,29,55,0,14,9,3,82,70,9,11,30,3,117,93,7,3,10,0,116,83,13,5,17,3,124,28,0,3,0,3,40,61,17,13,99,0,186,1247,260,172,413,31,2115,76,26,11,360,2965,3441,6963,2603,1773,25903,3670,40918
LGA24900,124,713,449,10695,268,12238,3,3,0,41,0,48,111,3,0,37,3,157,36,7,0,7,0,51,219,57,32,112,3,424,1146,679,487,9229,255,11791,128,0,18,0,10,158,22,7,0,63,0,88,171,51,37,730,23,1004,33,14,0,28,4,79,22,4,0,10,0,29,172,5,0,11,0,190,211,149,88,3246,53,3745,492,148,46,667,31,1386,0,0,0,0,0,0,8,3,0,8,0,16,6,4,0,10,0,22,47,14,3,35,3,104,62,8,3,6,0,78,116,33,17,21,3,186,41,15,6,21,3,87,10,0,0,7,0,26,328,184,105,2354,53,3023,14,0,0,7,0,20,16,3,3,6,0,30,21,3,0,16,0,42,10,4,0,0,0,13,5,0,0,0,0,10,0,0,0,0,0,0,39,12,4,52,0,112,538,60,71,235,15,928,71,13,15,414,1960,2471,3537,1314,855,20862,2543,29112
LGA24970,1544,3702,2997,19953,426,28616,0,7,3,62,0,78,42689,258,550,284,208,43995,682,67,35,130,8,926,1046,239,124,435,16,1854,7878,3196,2366,19166,412,33016,1317,34,150,13,13,1538,635,72,50,192,11,959,1520,378,241,1746,41,3929,8718,922,546,2561,115,12860,575,86,53,125,5,848,11951,104,109,67,59,12288,1795,943,595,7991,133,11459,5265,915,461,2597,119,9362,2447,4,60,0,4,2516,378,67,45,73,6,562,233,29,15,37,0,314,350,94,53,182,9,688,188,19,24,16,13,256,501,157,100,69,5,830,1240,100,93,165,11,1606,836,36,42,56,11,982,1808,850,629,5931,86,9305,518,37,20,64,7,645,506,72,38,15,3,639,492,29,38,71,5,635,5844,125,92,85,35,6175,300,39,14,26,0,370,3315,65,89,26,27,3516,213,54,43,251,8,561,19745,1005,1076,1264,173,23257,795,56,46,345,7800,9044,113940,8265,6392,44592,9429,182618
LGA25060,919,3307,2323,20084,297,26931,4,11,3,81,0,98,5022,116,177,211,59,5586,1246,166,111,371,11,1904,475,195,134,344,11,1148,4487,2599,1851,18260,321,27521,769,22,109,14,9,923,286,46,37,191,6,565,892,311,222,1730,36,3185,3522,546,220,1447,52,5790,198,38,18,67,0,324,3170,106,71,64,12,3425,1676,1000,646,10331,129,13784,10849,1846,932,5636,209,19479,284,0,15,12,0,314,657,103,64,211,6,1048,576,86,46,182,7,894,1552,302,200,754,30,2841,140,22,14,21,0,204,413,110,119,32,3,677,748,119,114,290,13,1284,212,30,30,57,0,323,1270,687,523,5720,75,8273,333,50,27,54,6,472,141,41,22,6,0,215,552,54,38,96,7,745,547,44,40,18,3,658,663,72,39,73,13,865,2813,44,87,26,39,3012,140,51,40,273,4,509,10271,920,784,1207,175,13361,503,43,36,347,6331,7263,48898,7858,5357,46972,7596,116671
LGA25150,166,1231,789,10313,192,12693,0,11,0,55,0,67,111,4,13,57,3,193,144,15,8,63,7,230,308,107,64,175,12,669,1931,1053,778,8577,201,12539,78,5,6,0,0,94,40,5,7,62,0,118,356,149,70,824,22,1425,118,39,18,90,3,266,82,5,10,26,3,123,184,10,12,10,3,223,442,259,202,3654,64,4624,366,151,54,602,17,1194,4,0,0,0,0,8,28,7,3,11,0,53,51,9,3,23,0,90,471,118,93,377,16,1077,60,5,11,5,0,82,134,51,62,27,0,275,153,43,33,104,3,339,29,6,0,15,0,55,526,274,196,2518,52,3568,65,15,12,13,0,109,57,7,8,0,0,73,58,11,9,32,0,111,22,11,0,3,0,38,13,3,0,6,0,26,48,4,6,0,0,61,69,17,21,68,0,171,836,202,137,342,16,1539,57,21,17,249,1762,2107,5703,2252,1530,20109,2222,31818
LGA25250,1847,4669,3304,22222,475,32516,10,19,9,153,4,191,5553,160,215,264,55,6244,830,119,72,201,16,1235,624,313,202,515,14,1660,7435,3946,2796,21086,477,35733,1328,36,183,31,19,1597,506,84,73,269,9,949,1384,426,297,2208,42,4350,6545,795,360,1957,227,9883,237,65,38,81,6,428,5240,149,81,58,40,5565,2302,1474,991,11870,178,16814,15346,2353,1180,6085,419,25377,315,7,14,11,0,345,4973,890,429,578,107,6974,376,66,39,140,11,632,1676,258,204,639,28,2812,321,43,28,18,4,415,809,141,129,74,18,1176,931,172,89,316,18,1531,296,46,35,98,5,490,2036,989,803,7139,117,11090,345,44,34,36,14,474,183,52,29,20,0,289,726,74,67,122,3,994,1002,71,64,51,4,1189,2812,247,106,134,31,3326,1543,37,66,21,19,1690,262,86,62,370,7,779,20884,1556,1212,1688,197,25529,851,102,67,517,8786,10327,78810,11891,7908,53091,10856,162558
LGA25340,794,6659,4780,44888,942,58062,0,6,8,121,8,144,811,76,73,255,15,1231,452,60,33,119,5,676,1803,538,341,999,31,3707,16677,6581,4962,41063,1072,70359,418,18,95,8,5,538,405,81,70,497,15,1062,1794,578,439,3404,77,6296,1278,210,97,520,25,2129,279,71,38,86,5,485,441,52,52,58,15,616,3123,1453,971,13625,280,19448,2645,749,333,2493,92,6313,33,0,4,3,0,41,93,28,12,69,3,198,118,15,7,34,3,185,423,86,48,199,4,763,251,82,49,36,6,424,626,321,207,94,7,1260,584,103,79,236,3,1006,215,31,23,63,4,338,3876,1690,1223,11280,242,18313,127,17,3,24,0,175,422,88,46,38,7,596,233,26,25,136,9,429,164,43,40,60,0,303,84,21,0,4,0,118,98,3,12,0,0,108,647,134,89,464,17,1345,4141,1102,803,1571,91,7711,323,91,72,955,7982,9427,35341,12295,8773,88341,10246,154999
LGA25430,62,605,367,5909,135,7077,0,0,0,19,0,19,82,10,4,39,0,141,12,0,0,8,0,21,168,45,18,76,4,309,1031,611,412,5613,141,7810,33,0,5,0,0,38,34,5,3,47,0,89,163,59,38,538,12,812,56,10,4,24,0,93,33,16,8,12,0,63,38,8,0,3,0,52,227,171,110,2143,43,2685,104,70,19,314,19,527,3,0,0,0,0,3,3,0,0,4,0,9,4,0,0,3,0,7,38,21,4,26,0,90,15,5,3,4,0,27,51,32,23,7,0,120,71,5,8,37,0,123,22,0,3,9,0,37,254,177,114,1797,38,2383,7,0,0,0,0,11,9,3,5,3,0,18,13,3,0,15,0,33,10,3,3,3,0,20,4,0,0,0,0,7,6,0,3,0,0,13,57,27,10,78,0,170,422,108,84,241,11,865,26,10,8,183,2025,2256,2402,1166,744,12121,2323,18761
LGA25490,32,328,278,6258,110,7007,0,4,0,25,0,34,30,3,3,21,0,55,11,0,0,3,0,16,123,52,32,91,9,302,631,299,251,5042,135,6358,73,0,3,0,0,76,23,3,7,48,4,79,60,32,25,535,12,653,12,3,0,12,0,36,7,0,0,3,0,13,12,0,0,3,0,17,156,99,70,2814,49,3182,37,15,7,105,0,171,0,0,0,0,0,0,0,3,0,3,0,4,3,0,0,0,0,7,16,10,0,4,0,28,56,8,7,4,0,77,78,22,28,10,0,135,19,0,3,17,0,38,9,0,0,8,0,11,169,82,69,1837,42,2203,4,0,0,0,3,9,22,4,9,0,0,34,13,4,0,5,0,22,12,0,0,0,0,12,3,3,0,0,0,7,3,0,0,0,0,6,25,8,6,42,0,82,143,48,40,102,3,339,14,5,0,191,1136,1345,1427,613,496,12554,1417,16495
LGA25620,41,470,347,4646,101,5600,3,0,0,23,6,34,47,5,0,16,0,71,16,8,0,20,0,40,165,53,29,59,8,314,830,467,327,4024,110,5755,21,0,9,0,3,34,20,5,0,44,0,72,169,58,24,330,3,581,62,21,8,27,0,116,23,9,4,3,0,41,39,6,0,0,0,45,158,117,65,1345,22,1713,123,41,15,186,3,366,5,0,0,0,0,5,3,0,3,3,0,10,18,0,0,3,0,25,28,8,10,22,0,70,13,5,0,3,0,18,33,26,16,14,0,89,41,6,5,18,3,70,19,3,3,5,0,29,203,106,94,1161,29,1589,7,3,0,0,0,8,25,7,3,0,3,41,17,4,4,6,0,33,12,3,0,3,0,18,3,0,0,0,0,3,3,0,0,3,0,6,33,8,9,36,0,87,275,69,44,133,4,521,17,13,5,146,1048,1225,2019,878,615,8953,1267,13732
LGA25710,311,2455,1778,17343,222,22105,0,0,0,30,0,28,925,51,72,161,4,1209,263,49,38,101,0,455,531,195,87,321,15,1149,4276,2292,1611,15770,251,24194,127,10,30,6,3,175,173,30,20,168,3,389,711,217,158,1581,17,2693,703,190,86,494,9,1483,113,32,19,44,0,205,368,27,23,12,3,430,1053,629,434,6496,76,8681,2116,581,292,2032,48,5072,26,5,5,0,0,34,99,18,7,30,3,156,358,64,48,143,0,608,325,100,72,291,6,796,54,3,12,5,0,75,196,98,77,41,3,408,285,51,49,104,3,484,99,15,19,43,0,172,1041,616,403,4774,65,6898,114,12,7,25,0,166,226,29,42,13,0,306,95,13,9,41,0,155,150,19,22,33,0,229,100,19,4,20,0,155,99,11,6,3,0,121,139,50,25,225,8,447,2231,480,418,791,31,3954,94,31,20,264,2313,2722,14272,4903,3384,35831,2879,61273
LGA25810,30,243,186,4333,104,4898,0,0,0,17,5,14,53,5,4,7,0,72,17,3,0,3,0,22,80,39,13,47,0,180,375,232,184,4050,94,4937,44,3,10,0,0,57,13,3,0,33,0,45,56,20,7,466,10,558,17,3,0,11,0,26,15,0,0,3,0,17,41,5,0,3,0,47,61,34,32,1064,21,1211,18,7,4,115,8,154,8,3,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,8,11,3,6,0,25,9,0,0,3,0,12,21,8,0,6,3,37,18,6,0,14,0,35,7,0,0,0,0,7,76,68,45,1070,21,1287,3,0,0,0,0,4,24,0,0,0,0,21,8,3,0,7,0,16,10,3,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,9,12,4,3,48,0,63,208,21,36,94,0,365,14,0,3,154,695,862,1037,440,324,8727,902,11439
LGA25900,622,3484,2520,15566,251,22441,3,7,0,63,0,71,4042,118,172,213,33,4581,394,87,35,104,10,637,754,269,172,349,13,1554,8703,3289,2341,17377,321,32028,533,12,72,13,3,622,889,102,63,297,9,1360,1578,419,266,2015,38,4321,2642,377,159,785,32,3997,395,85,36,101,8,633,2406,76,36,34,7,2565,3361,1034,752,9019,132,14301,2443,653,300,1617,41,5052,304,7,5,18,0,331,176,33,10,71,0,290,192,37,15,51,0,288,303,95,73,153,3,623,298,39,24,19,9,387,777,156,131,49,4,1111,1202,240,163,388,22,2011,1081,61,79,112,18,1346,2508,896,658,6089,99,10247,278,35,10,31,0,361,402,50,23,24,3,497,547,37,26,63,0,679,317,48,28,29,0,423,329,21,16,20,3,384,492,7,26,11,7,540,312,72,47,305,6,743,9419,1117,890,1339,105,12875,325,59,36,258,9809,10495,39340,7563,5302,37966,10692,100863
LGA25990,29,171,130,2412,76,2817,0,0,0,4,0,6,15,3,0,14,0,33,7,0,0,0,0,9,56,16,16,41,4,135,379,161,149,2240,57,2990,8,0,3,0,0,13,12,5,0,18,0,34,51,12,7,146,3,222,8,3,0,3,0,17,5,0,0,8,0,17,4,4,0,0,0,12,61,38,23,771,21,909,30,5,9,76,0,124,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,26,7,0,15,0,55,4,0,0,0,0,7,15,8,3,3,0,29,16,3,0,6,0,23,4,0,0,0,0,6,72,46,47,678,12,856,0,0,0,3,0,6,5,5,0,4,0,8,11,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,11,3,3,22,0,42,111,14,24,29,3,187,5,0,3,100,876,985,788,303,249,4884,1014,7238
LGA26080,11,100,64,778,24,970,0,0,0,0,0,0,11,0,0,8,0,17,5,0,0,0,0,4,26,3,3,0,0,35,161,97,81,991,25,1343,0,0,0,0,0,0,0,0,0,3,0,10,16,4,4,78,0,101,8,3,0,3,0,12,3,0,0,0,0,3,4,0,0,0,0,4,31,33,13,443,3,526,23,3,4,30,0,56,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,7,3,0,0,0,12,13,0,0,0,0,14,0,0,0,0,0,5,48,37,27,357,0,468,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,7,3,0,9,0,16,47,7,13,34,0,104,0,4,0,16,224,246,344,180,127,1926,269,2853
LGA26170,114,902,673,10255,257,12202,0,0,0,35,0,35,80,3,11,41,0,137,24,14,3,19,0,58,476,154,107,327,11,1080,1692,832,692,8596,218,12038,69,4,22,0,0,95,39,10,3,58,0,110,289,98,66,651,19,1118,46,11,6,26,0,92,41,12,6,11,4,65,118,5,8,11,3,140,362,226,130,2486,51,3247,432,95,53,512,23,1116,17,0,0,0,0,17,3,4,0,4,0,8,0,0,0,3,0,3,51,15,4,44,0,106,39,7,10,0,0,59,77,30,27,23,3,165,62,4,7,40,3,123,23,0,0,15,0,40,396,220,177,2445,57,3292,10,0,0,0,0,13,31,5,3,0,3,40,21,10,0,15,0,45,19,0,3,6,0,33,3,0,0,0,0,4,16,0,0,0,0,16,52,19,4,86,0,162,456,104,84,298,11,949,65,16,14,284,1957,2338,4225,1656,1250,19097,2469,28703
LGA26260,37,312,286,6090,144,6868,0,3,0,10,0,16,66,0,4,23,0,96,0,3,0,4,0,5,117,35,23,74,0,245,560,267,258,5147,136,6368,43,3,9,0,0,57,15,3,0,27,0,47,95,45,44,1079,24,1280,15,6,4,14,4,43,7,3,0,0,0,11,75,3,0,11,0,92,106,58,61,1717,28,1968,32,16,6,89,0,148,4,0,0,0,0,4,4,0,0,3,0,9,0,0,0,0,0,0,19,0,6,9,0,36,83,8,6,4,0,99,25,11,17,4,0,62,14,3,4,23,0,48,9,0,0,4,0,23,186,85,82,1924,37,2319,0,0,0,0,0,0,34,0,5,0,0,44,6,0,0,9,0,14,4,0,3,0,0,9,0,0,0,0,0,0,10,0,0,0,0,10,21,10,4,44,0,80,164,35,36,90,7,323,22,3,3,214,802,1047,1430,548,524,12328,1110,15944
LGA26350,630,3514,2604,17650,213,24616,0,9,4,37,0,51,8350,170,264,262,59,9101,284,65,18,97,3,464,665,227,136,369,11,1408,6836,3306,2335,19713,319,32505,546,7,66,3,3,624,693,109,84,303,8,1201,1208,335,238,1916,24,3724,3370,371,226,1140,38,5132,357,78,55,134,0,625,3202,88,70,43,22,3426,2248,956,644,9273,113,13236,1998,613,339,1843,52,4845,366,3,12,7,3,398,169,42,26,71,3,309,121,30,22,44,3,223,162,82,41,109,3,384,185,18,9,4,0,220,720,148,112,39,13,1027,1338,259,175,548,20,2346,784,88,66,136,17,1086,1980,797,649,6979,86,10496,244,28,12,24,4,314,504,71,51,14,3,641,411,13,34,62,3,520,628,57,39,43,10,788,317,22,14,19,0,363,718,7,20,9,10,770,226,58,45,288,3,617,8454,1062,788,1352,104,11762,304,36,36,306,7241,7918,40397,7366,5378,42577,8115,103832
LGA26430,38,244,181,3533,93,4092,0,0,0,7,0,7,50,0,0,13,0,67,10,3,0,0,0,16,79,27,13,32,3,161,485,284,212,3249,84,4316,44,0,3,8,3,60,6,3,3,44,0,57,71,34,8,261,6,383,22,8,0,20,0,49,18,3,3,4,0,28,40,0,0,0,3,47,93,63,45,1372,18,1600,66,22,17,142,4,253,17,0,0,0,0,18,3,0,0,0,0,4,11,0,0,0,0,10,31,3,9,11,0,47,15,3,0,0,0,22,16,6,7,4,0,39,24,3,6,13,0,45,9,0,3,3,0,15,113,86,54,1082,25,1359,7,0,0,0,0,7,0,0,0,3,0,9,10,0,0,14,0,25,3,3,0,3,0,7,3,0,0,0,0,3,13,0,0,0,0,12,11,14,0,36,0,68,145,35,31,79,6,296,15,10,8,130,726,885,1201,504,364,7277,927,10274
LGA26490,106,1124,850,9404,143,11635,0,0,0,29,0,34,58,24,18,76,3,184,61,22,6,31,0,119,278,126,86,196,5,695,1751,1043,777,8735,173,12471,51,0,9,10,0,78,56,13,17,84,0,172,313,129,85,818,20,1362,98,33,9,69,6,220,49,13,3,7,0,66,64,6,7,7,0,89,423,282,199,3616,46,4569,303,121,54,488,10,982,6,0,0,3,0,16,10,3,0,23,0,36,31,3,3,9,0,53,112,24,20,42,0,197,34,4,11,3,3,59,78,51,44,10,0,188,114,31,20,78,5,252,36,11,3,12,0,59,461,284,225,2844,46,3862,24,0,0,5,0,27,78,18,15,4,0,117,41,12,0,28,0,87,11,11,7,10,0,39,7,0,0,0,0,15,14,3,3,0,0,17,66,24,12,96,3,202,657,231,158,365,22,1427,39,19,12,230,1505,1802,4328,2115,1538,19547,1872,29397
LGA26610,132,336,247,7008,181,7905,0,12,0,126,4,144,255,3,10,25,12,302,9,0,0,0,0,7,62,29,15,63,0,171,419,298,229,5536,167,6653,121,0,15,9,3,143,23,5,3,27,0,57,76,37,24,622,11,774,55,14,0,49,0,117,17,3,3,7,0,34,238,12,0,0,0,254,93,48,32,1904,36,2116,549,147,50,753,31,1536,20,0,3,5,0,28,4,0,0,6,0,8,0,0,4,0,0,3,13,3,0,9,0,28,17,6,0,11,0,35,24,8,5,10,0,49,9,4,0,12,0,27,7,0,0,4,0,8,77,57,56,1459,37,1686,0,0,0,0,0,3,23,3,0,0,0,28,24,0,0,8,3,34,27,3,0,0,0,28,7,8,0,0,0,15,206,3,3,0,7,220,15,4,0,39,0,54,1048,55,64,125,41,1337,81,6,3,232,2252,2572,3211,701,480,13508,2686,20584
LGA26670,12,155,117,2197,54,2532,0,0,0,11,0,11,4,0,7,9,0,17,6,0,0,3,0,10,48,18,13,31,3,109,250,159,108,1913,63,2495,19,0,4,3,0,28,3,0,0,19,4,28,73,36,11,260,3,387,3,4,0,6,0,12,9,0,0,0,0,14,17,0,0,0,0,17,40,30,29,668,16,780,33,21,3,66,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,20,5,0,0,3,0,10,7,3,7,3,0,22,9,7,0,8,0,22,7,0,0,3,0,12,54,33,37,574,7,702,0,0,0,0,0,0,3,0,3,0,0,6,3,0,0,3,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,21,95,25,12,39,5,176,7,0,4,70,383,461,602,298,211,4361,511,5985
LGA26700,102,740,445,9786,200,11271,3,0,0,27,0,31,109,9,6,79,10,204,29,3,0,9,0,46,234,48,41,153,0,469,896,732,453,9350,199,11626,92,0,20,0,0,119,33,12,3,101,0,150,216,88,61,923,21,1315,51,22,8,35,4,118,27,11,3,25,0,64,97,4,3,6,0,108,138,200,106,3717,63,4220,745,184,68,822,22,1828,0,0,0,0,0,3,3,3,0,0,0,8,3,0,0,6,0,13,17,11,3,19,0,54,16,11,4,0,3,34,31,18,26,16,0,98,60,5,5,26,0,105,13,3,3,13,0,34,242,179,134,2727,44,3321,14,0,3,0,0,16,38,3,3,4,0,46,28,3,4,25,0,54,28,8,0,3,0,45,11,0,0,0,0,13,9,3,6,0,0,19,26,12,7,87,0,137,475,120,81,245,7,936,32,12,7,338,1860,2252,3208,1443,886,20466,2303,28310
LGA26730,95,811,593,11965,261,13725,0,4,0,63,0,66,372,7,20,46,8,454,14,6,3,12,0,30,211,130,42,212,9,601,1050,775,517,10771,245,13362,106,6,28,12,3,153,32,17,3,78,0,130,123,70,64,1063,13,1333,41,12,7,81,3,143,5,3,3,7,0,21,117,12,4,3,0,138,244,236,113,5765,101,6461,70,64,18,320,7,492,91,0,0,0,3,95,13,3,0,9,0,26,3,0,4,3,0,8,23,12,10,33,0,79,88,17,5,10,7,130,85,41,40,22,3,192,30,11,6,27,0,79,23,3,4,12,0,37,289,205,152,3247,53,3946,0,0,0,0,0,0,49,4,7,3,0,66,24,0,6,34,0,66,78,0,3,0,0,89,8,0,0,6,0,19,10,0,3,0,0,14,34,18,6,112,3,174,588,149,108,252,5,1095,25,14,7,369,2133,2551,3271,1533,1037,25128,2684,33655
LGA26810,164,1245,888,15509,355,18167,0,3,0,76,0,83,174,3,7,78,3,267,68,17,4,25,0,122,521,127,106,311,15,1090,2122,1140,909,12699,371,17242,190,4,34,9,4,243,48,10,13,58,0,124,350,136,81,1104,26,1698,68,21,12,57,0,162,46,12,4,25,3,87,248,3,0,10,0,269,412,225,172,4020,96,4923,259,112,48,567,16,1004,11,0,0,0,0,8,9,5,3,22,0,38,12,3,0,11,0,34,63,21,6,50,0,140,52,10,12,11,0,91,128,42,34,32,4,238,177,20,12,83,10,298,38,6,5,29,0,78,509,280,210,3582,59,4641,22,0,0,7,0,26,58,3,9,9,0,74,32,4,4,19,0,64,57,3,12,8,0,73,7,3,0,6,0,14,75,0,4,0,0,82,79,12,19,102,0,212,793,148,125,387,23,1484,68,21,18,546,3686,4340,5652,2191,1640,29046,4454,42983
LGA26890,9,77,64,1616,28,1794,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,18,8,5,15,0,40,114,71,69,1364,36,1657,9,0,6,0,0,14,0,0,0,7,0,10,30,5,11,257,3,313,4,0,0,3,0,9,0,0,0,0,0,0,17,0,0,0,0,22,35,3,16,363,0,421,7,6,3,23,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,5,6,0,0,3,0,9,3,3,3,0,0,11,0,0,0,3,0,3,3,0,0,0,0,8,32,7,20,396,4,466,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,3,0,12,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,9,0,19,39,8,16,22,0,87,8,3,0,56,181,243,287,127,121,3118,251,3903
