SED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SED27101,0,4,1626,1633,37,114,1524,1678,1882,738,1713,4326,3032,467,972,4472,2334,344,1016,3689,1779,206,805,2790,1501,84,476,2057,899,26,320,1241,239,8,169,413,11699,1979,8620,22300,3,15,1502,1521,92,191,1250,1542,2440,787,1421,4645,3046,431,1125,4600,2276,310,1327,3905,1723,159,1268,3146,1383,60,1087,2526,678,12,903,1591,119,0,529,652,11755,1958,10415,24135,3,19,3130,3155,135,309,2773,3213,4321,1522,3130,8973,6078,897,2093,9074,4605,648,2344,7600,3501,361,2073,5931,2886,140,1565,4591,1573,37,1225,2835,354,10,701,1062,23454,3940,19041,46431
SED27208,0,16,1562,1577,30,182,1016,1233,771,589,1026,2379,1521,483,883,2891,1985,460,1170,3616,2537,375,1328,4241,2333,219,1115,3668,1205,53,558,1819,260,9,266,528,10648,2385,8921,21950,3,41,1412,1456,61,290,791,1147,1072,615,887,2576,1720,475,814,3011,2211,482,1187,3876,2561,335,1278,4176,2126,144,1256,3521,815,36,1052,1909,133,3,626,768,10713,2422,9304,22436,3,61,2970,3036,99,473,1811,2377,1846,1206,1911,4957,3242,963,1699,5902,4195,939,2356,7499,5107,705,2612,8419,4464,357,2369,7190,2017,91,1612,3722,392,12,891,1298,21358,4803,18226,44390
SED27305,0,6,2134,2137,12,83,1898,1995,1021,380,1458,2866,2505,287,569,3360,3142,324,615,4083,2771,202,414,3386,1477,51,237,1765,677,18,136,838,133,0,73,199,11745,1343,7533,20630,4,14,1982,1991,33,129,1701,1869,1418,392,1174,2985,2803,332,622,3757,3415,315,911,4637,2427,156,710,3290,1222,50,623,1892,469,8,461,940,53,0,210,272,11843,1386,8403,21626,4,19,4115,4132,49,209,3606,3856,2440,772,2638,5850,5305,614,1192,7113,6557,638,1523,8726,5197,357,1124,6680,2700,95,862,3657,1150,26,600,1776,189,4,286,470,23590,2734,15934,42256
SED27406,0,3,1667,1665,9,81,1322,1416,774,583,1128,2483,2290,459,658,3411,2903,408,757,4067,2259,252,735,3246,1743,132,498,2371,836,40,285,1163,339,11,210,556,11157,1976,7256,20382,0,11,1563,1576,26,111,1223,1358,1083,623,1077,2787,2634,505,838,3974,3042,372,1083,4488,2168,234,1154,3552,1578,95,1081,2763,642,23,776,1437,169,9,760,941,11335,1985,9554,22875,0,15,3230,3241,35,196,2541,2770,1860,1208,2206,5271,4924,966,1498,7385,5942,782,1839,8556,4422,483,1885,6796,3325,228,1579,5135,1478,62,1062,2607,503,19,970,1496,22486,3960,16813,43258
SED27504,0,22,2209,2235,80,233,1387,1695,1365,744,1435,3550,2047,432,1020,3504,2382,406,1229,4016,2425,259,1052,3740,1922,138,721,2777,1047,41,413,1504,293,4,166,463,11562,2274,9644,23478,12,52,1928,1988,177,332,1092,1597,1711,728,1327,3770,2246,448,1130,3821,2522,400,1285,4203,2367,224,1274,3868,1727,97,1060,2880,760,23,935,1724,140,8,513,660,11664,2309,10547,24510,12,67,4137,4216,254,563,2476,3297,3082,1468,2765,7316,4296,881,2149,7320,4907,799,2511,8221,4789,489,2333,7607,3648,231,1781,5662,1807,66,1348,3225,433,14,681,1125,23223,4582,20191,47991
SED27608,0,6,1991,1992,18,189,2014,2218,1391,911,1504,3802,2964,563,673,4201,2777,383,659,3819,2520,248,530,3290,1993,105,403,2499,985,24,226,1227,263,4,145,408,12910,2425,8133,23473,0,16,1889,1909,51,307,1538,1898,1880,919,1252,4056,3159,547,872,4580,2864,397,1020,4280,2494,206,996,3696,1832,81,853,2764,732,21,742,1487,135,0,513,642,13149,2496,9672,25317,3,17,3879,3904,72,499,3547,4118,3266,1831,2754,7854,6123,1107,1546,8777,5639,781,1681,8101,5012,456,1522,6990,3828,187,1254,5266,1713,40,963,2716,398,3,657,1058,26056,4921,17812,48784
SED27708,3,14,1816,1837,28,252,1275,1551,886,735,1210,2828,1831,521,830,3184,2251,433,1018,3703,2405,325,971,3705,1946,116,664,2728,933,27,350,1308,245,7,153,407,10531,2431,8297,21257,4,41,1704,1743,54,365,998,1409,1202,738,1129,3068,2018,510,973,3498,2466,461,1206,4137,2379,290,1204,3875,1725,86,1010,2815,696,14,894,1610,123,4,519,650,10668,2507,9634,22810,3,58,3522,3585,84,613,2271,2966,2091,1471,2342,5901,3845,1030,1802,6679,4720,894,2231,7841,4787,620,2176,7580,3676,204,1670,5540,1632,46,1249,2922,370,15,668,1058,21201,4941,17928,44065
SED27807,7,6,2114,2132,122,112,2953,3189,2058,472,3850,6380,2256,367,1685,4308,2239,325,1525,4085,2382,204,1208,3796,1983,104,713,2802,1070,31,381,1474,231,0,160,394,12351,1619,14582,28550,16,13,1991,2012,350,148,2086,2585,2701,541,2431,5674,2340,388,1668,4392,2122,309,1655,4082,2405,165,1548,4122,1687,89,1110,2882,701,10,1025,1742,88,3,530,619,12411,1656,14046,28107,22,13,4104,4141,471,255,5037,5771,4757,1013,6277,12054,4600,752,3346,8700,4361,628,3180,8166,4786,369,2759,7918,3675,187,1822,5681,1768,42,1408,3216,315,6,691,1012,24756,3278,28629,56659
SED27907,0,7,1802,1811,30,173,1654,1857,1260,806,1614,3677,2163,519,964,3649,2313,392,946,3649,2279,226,765,3270,1735,98,505,2336,817,28,248,1104,173,16,114,302,10778,2260,8616,21654,0,19,1684,1705,71,246,1418,1737,1588,833,1438,3861,2340,494,1067,3904,2477,391,1230,4097,2239,209,1152,3599,1566,85,960,2607,543,21,703,1261,79,4,351,430,10896,2303,10004,23202,0,31,3490,3521,98,419,3071,3591,2847,1633,3055,7536,4506,1012,2036,7552,4788,789,2177,7745,4523,435,1915,6871,3303,182,1465,4946,1359,51,952,2362,248,14,464,727,21674,4563,18621,44857
SED28007,0,0,2744,2747,47,92,2500,2644,2049,597,2250,4897,4157,429,851,5433,3893,341,762,4996,2829,195,506,3531,1523,71,263,1858,464,21,125,601,76,0,45,125,15028,1747,10052,26824,7,9,2546,2566,160,142,2113,2418,2765,646,1790,5206,4401,437,1121,5957,3878,322,1187,5385,2500,167,923,3590,1140,48,610,1794,262,16,456,730,29,0,189,212,15137,1780,10927,27850,7,14,5297,5314,209,233,4617,5057,4813,1249,4040,10096,8552,864,1970,11385,7770,660,1949,10373,5331,354,1433,7119,2661,118,873,3647,723,33,578,1336,105,0,230,339,30170,3533,20977,54677
SED28107,0,10,2731,2742,103,173,2594,2869,4694,971,3055,8719,5887,637,1225,7750,3438,426,939,4791,2468,254,618,3337,1355,77,335,1764,448,22,145,616,78,4,51,131,18466,2562,11688,32710,12,16,2607,2631,365,268,2044,2676,6507,1038,2293,9834,4986,638,1405,7025,3110,375,1409,4894,2162,201,1128,3491,1060,57,727,1845,297,8,413,725,32,0,177,209,18527,2600,12197,33331,13,30,5333,5377,464,442,4636,5540,11201,2005,5345,18555,10877,1269,2631,14776,6549,795,2346,9693,4627,456,1743,6831,2413,128,1061,3605,746,28,560,1339,110,0,232,346,36996,5160,23889,66047
SED28203,0,3,1813,1820,78,66,1936,2075,2510,449,2625,5585,3012,339,1355,4703,2218,254,1142,3616,1992,163,691,2849,2152,59,418,2624,1324,24,322,1672,249,5,162,414,13546,1357,10458,25365,8,3,1661,1673,281,118,1566,1963,3382,494,1792,5667,2842,331,1305,4477,2059,236,1265,3563,2144,131,1069,3347,1905,46,944,2898,918,16,907,1846,82,4,374,459,13613,1379,10892,25886,7,9,3483,3494,355,182,3502,4037,5892,943,4419,11250,5854,669,2656,9181,4276,493,2410,7180,4136,289,1762,6192,4053,104,1369,5522,2239,46,1229,3519,326,11,532,867,27160,2736,21356,51251
SED28301,0,0,2241,2236,13,44,1898,1954,869,301,1501,2677,2405,260,539,3206,3325,301,560,4178,2878,165,455,3500,2098,79,335,2514,1122,22,232,1378,269,3,114,386,12976,1168,7872,22024,0,3,2075,2079,26,67,1581,1672,1239,317,1177,2734,2822,280,674,3780,3500,277,891,4667,2775,144,849,3766,1952,57,807,2821,773,14,735,1518,126,3,414,540,13209,1165,9205,23582,0,3,4316,4321,36,108,3483,3627,2114,617,2681,5408,5232,547,1207,6986,6822,574,1447,8847,5646,307,1309,7260,4051,136,1142,5332,1890,35,973,2896,395,9,525,931,26189,2338,17082,45609
SED28408,0,12,1712,1722,38,229,1360,1625,988,756,1343,3090,1681,395,800,2870,1836,338,972,3149,1841,221,820,2880,1501,103,561,2167,821,34,314,1169,200,3,145,354,8911,2089,8029,19022,3,27,1496,1528,64,329,1296,1690,1252,757,1311,3321,1821,417,1045,3280,1953,343,1345,3642,1789,187,1301,3278,1404,76,1085,2564,619,16,941,1580,105,4,572,678,9009,2147,10398,21550,3,35,3205,3245,98,553,2659,3318,2242,1514,2653,6405,3496,809,1843,6147,3790,686,2316,6790,3636,404,2124,6157,2905,174,1647,4727,1443,52,1260,2744,308,9,722,1033,17911,4239,18422,40571
SED28507,0,10,2040,2054,63,192,1892,2151,2244,830,2109,5180,2893,563,1160,4623,2500,423,1104,4030,2130,253,899,3284,1427,99,576,2098,629,18,219,870,131,3,92,227,12011,2392,10102,24504,0,22,1910,1928,177,313,1642,2122,2926,863,1817,5612,2839,558,1355,4742,2403,390,1410,4210,2047,199,1246,3498,1207,71,945,2219,424,13,649,1087,60,3,286,345,12090,2429,11260,25774,3,32,3951,3987,237,502,3532,4270,5172,1699,3924,10788,5729,1120,2513,9368,4909,811,2516,8242,4178,450,2146,6780,2635,163,1520,4318,1055,32,872,1953,191,5,380,570,24099,4820,21353,50277
SED28607,0,10,1689,1701,32,100,1713,1847,1532,1212,2154,4898,3317,1009,1146,5467,2642,726,1196,4562,1859,354,996,3207,1212,112,525,1855,830,26,348,1202,258,3,222,477,11681,3549,9989,25215,6,9,1502,1522,100,198,1372,1670,2032,1293,1801,5121,3507,1033,1335,5873,2585,687,1559,4824,1738,301,1328,3359,1121,79,971,2165,636,9,932,1578,104,4,582,692,11822,3615,11379,26814,9,19,3195,3226,134,301,3081,3515,3562,2505,3955,10025,6821,2042,2479,11340,5227,1407,2757,9390,3594,655,2321,6567,2331,191,1499,4022,1470,34,1280,2785,362,6,798,1172,23503,7163,21364,52029
SED28704,0,4,2518,2521,45,171,1857,2076,2468,1214,1732,5417,3931,795,875,5600,3365,524,893,4784,2517,323,610,3454,1673,99,343,2114,554,23,147,724,80,0,67,147,14626,3155,9045,26827,0,18,2290,2310,119,310,1725,2149,3235,1230,1568,6034,4014,794,1215,6015,3215,569,1277,5060,2395,260,1035,3688,1423,78,756,2266,320,10,403,736,42,0,190,234,14759,3265,10456,28483,0,26,4803,4828,165,478,3583,4224,5705,2451,3302,11449,7941,1588,2092,11613,6578,1092,2172,9839,4916,580,1651,7143,3100,182,1099,4381,875,34,547,1460,114,3,261,377,29390,6423,19502,55311
SED28803,3,14,3109,3123,103,141,2860,3109,3341,681,2827,6847,4772,495,1014,6282,4137,413,879,5433,2812,205,610,3632,1420,72,301,1789,479,20,147,641,66,3,38,102,17125,2041,11797,30957,19,16,3014,3048,363,210,2454,3023,4598,715,2149,7459,4551,510,1321,6390,3931,368,1348,5657,2420,180,1055,3656,1012,45,707,1767,249,8,413,664,28,0,147,172,17168,2061,12606,31834,17,31,6123,6174,460,354,5318,6130,7936,1387,4974,14301,9321,1007,2339,12664,8070,787,2230,11085,5233,388,1661,7285,2430,123,1003,3556,723,23,563,1312,91,3,185,281,34297,4099,24402,62790
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
