POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3730,0,0,0,39,27,0,0,20,0,8,0,0,0,4,32,95,3,0,0,3,0,0,0,0,0,0,0,6,171,24,6,304,38,88,10,27,11,56,33,770
POA3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,17,4,5,3,3,0,3,6,63
POA3733,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,3,0,0,0,0,3,20
POA3735,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,26,4,3,0,3,0,0,6,69
POA3737,0,0,0,9,14,5,3,11,0,9,0,0,0,3,25,72,0,0,0,0,0,0,0,0,0,0,0,3,100,23,6,128,9,53,3,10,8,30,26,406
POA3738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,16
POA3739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,0,0,0,0,0,17
POA3740,0,0,0,7,6,0,0,3,0,0,0,0,0,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,38,6,17,3,4,0,8,6,111
POA3741,0,0,0,14,8,3,0,6,0,0,0,0,0,3,26,46,0,0,0,0,0,0,0,0,0,0,0,0,51,21,4,82,4,25,3,17,0,11,26,257
POA3744,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,13,0,7,0,8,0,3,3,50
POA3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,4,0,3,0,6,0,36
POA3747,0,0,0,21,11,0,0,11,0,3,0,3,3,3,19,54,0,0,0,4,0,0,0,0,0,0,0,8,93,23,4,161,13,37,11,27,6,22,21,421
POA3749,0,0,0,25,5,0,0,4,0,0,0,0,0,0,16,33,0,0,0,0,0,0,0,0,0,0,0,4,66,13,3,72,6,24,3,9,0,9,22,225
POA3750,0,0,0,40,8,0,0,10,0,11,0,9,3,3,41,95,3,0,4,4,0,3,0,0,4,0,9,27,298,43,24,359,64,358,22,99,29,126,60,1484
