POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3355,..,56,33,11,16,21,13,0,0,154,..,37,91,64,115,178,257,249,137,1123,40,45,24,7,12,19,14,10,6,173,1002,729,699,626,758,733,734,520,216,6004,..,35,408,529,650,706,732,485,112,3667,..,128,298,154,140,94,38,15,0,873,..,58,130,185,217,88,40,41,25,773,2012,..,..,..,..,..,..,..,..,2012,..,476,..,..,..,..,..,..,..,476,..,396,140,76,74,21,9,0,0,720,..,55,33,17,28,54,37,15,10,248,..,40,26,8,9,8,0,0,0,96,..,141,111,44,38,43,19,8,3,404,..,64,183,164,256,335,396,318,190,1898,68,90,61,30,23,38,18,17,7,348,2080,1477,1397,1209,1430,1382,1290,903,344,11512
POA3356,..,156,57,13,23,27,20,9,0,308,..,49,92,64,125,234,278,245,145,1230,30,51,26,10,18,17,21,15,7,191,1419,1150,1150,912,955,883,785,464,197,7920,..,39,729,826,800,831,808,358,67,4452,..,296,535,243,194,72,43,14,3,1399,..,61,203,296,293,114,50,37,22,1068,2871,..,..,..,..,..,..,..,..,2871,..,651,..,..,..,..,..,..,..,651,..,561,226,96,57,29,3,0,0,974,..,105,63,22,33,40,26,18,17,313,..,62,49,23,17,8,6,0,0,163,..,280,141,38,55,56,40,15,3,627,..,95,212,179,276,370,394,317,186,2035,67,101,72,28,33,32,38,21,11,401,2936,2247,2226,1746,1755,1547,1409,781,302,14953
POA3357,..,4,3,0,3,14,0,0,0,31,..,4,4,10,18,31,41,37,15,156,4,0,0,0,3,3,4,3,0,23,396,153,124,254,247,246,172,81,23,1694,..,0,111,342,328,348,250,86,14,1479,..,16,64,45,39,25,10,0,0,195,..,3,8,39,39,19,8,4,3,111,788,..,..,..,..,..,..,..,..,788,..,194,..,..,..,..,..,..,..,194,..,93,26,12,7,3,0,0,0,148,..,5,3,0,5,3,3,3,8,30,..,8,0,0,0,0,0,0,0,12,..,24,15,9,5,14,3,0,3,67,..,9,10,18,30,49,59,47,19,255,3,11,7,9,7,6,12,4,0,60,792,359,248,466,467,470,347,151,42,3332
POA3360,..,0,0,0,3,0,0,0,0,11,..,0,3,3,3,12,8,8,3,38,0,3,0,0,0,0,0,0,0,4,59,36,25,45,55,63,51,16,6,355,..,3,20,44,50,70,69,22,4,281,..,0,12,18,15,12,12,0,0,60,..,3,4,6,12,6,3,3,0,35,100,..,..,..,..,..,..,..,..,100,..,25,..,..,..,..,..,..,..,25,..,19,13,3,6,0,0,0,0,38,..,4,0,0,0,0,7,3,3,17,..,0,0,0,0,0,0,0,0,3,..,0,0,3,3,3,3,0,0,18,..,0,3,8,16,30,28,15,3,101,0,8,0,0,3,3,4,0,0,17,100,59,50,90,103,128,123,38,9,703
POA3361,..,3,0,0,0,0,3,0,0,9,..,0,0,0,3,14,7,14,9,52,0,4,0,3,0,0,0,0,0,9,65,21,21,29,40,55,35,29,13,301,..,0,10,40,53,66,42,21,10,235,..,0,12,3,8,6,0,0,0,32,..,0,3,5,8,3,0,4,3,21,110,..,..,..,..,..,..,..,..,110,..,22,..,..,..,..,..,..,..,22,..,18,6,3,4,3,0,0,0,30,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,5,0,0,3,0,3,0,0,12,..,0,4,9,7,26,24,15,5,99,0,13,0,4,0,3,3,0,0,24,110,59,36,60,80,107,71,42,20,590
POA3363,..,0,3,0,11,4,3,0,0,21,..,5,10,21,24,43,57,48,31,241,4,0,4,0,4,5,0,7,0,25,298,130,153,159,212,224,196,112,50,1523,..,8,125,170,217,259,241,116,16,1156,..,27,67,62,51,29,7,4,0,243,..,5,27,28,37,25,13,10,10,149,542,..,..,..,..,..,..,..,..,542,..,86,..,..,..,..,..,..,..,86,..,112,43,18,14,3,0,0,0,195,..,11,0,0,3,8,6,3,3,32,..,3,9,0,3,0,0,0,0,19,..,0,6,4,9,6,7,4,0,42,..,5,19,31,50,84,96,70,60,420,9,14,9,3,6,9,3,5,0,64,552,276,304,327,392,433,382,210,82,2956
POA3364,..,0,4,3,3,3,5,0,0,17,..,0,5,3,12,31,23,12,9,94,0,5,3,0,0,4,3,0,0,14,169,78,69,103,136,158,138,41,16,918,..,0,58,149,158,201,182,64,10,816,..,5,19,35,35,33,19,0,0,154,..,0,6,9,18,7,0,0,0,42,338,..,..,..,..,..,..,..,..,338,..,77,..,..,..,..,..,..,..,77,..,58,25,8,6,4,0,0,0,99,..,3,4,0,4,3,5,7,5,32,..,3,3,0,3,0,0,3,0,8,..,3,4,12,4,13,11,0,0,50,..,0,7,11,33,65,51,15,7,200,0,12,4,4,4,5,9,0,0,40,340,157,131,226,279,341,271,92,28,1861
POA3370,..,0,0,0,3,3,0,0,0,13,..,7,0,6,17,32,25,24,13,125,0,5,0,3,5,6,0,0,0,25,113,92,50,96,117,164,101,73,23,821,..,3,37,75,94,162,129,65,11,561,..,0,26,38,48,50,19,3,0,183,..,3,8,29,22,18,3,10,5,92,244,..,..,..,..,..,..,..,..,244,..,59,..,..,..,..,..,..,..,59,..,58,27,4,9,4,0,0,0,107,..,3,0,0,0,0,3,10,7,29,..,12,0,0,6,6,0,0,0,25,..,0,3,0,4,8,9,0,0,24,..,8,3,18,34,68,54,36,14,240,0,14,4,7,6,15,8,0,0,52,244,167,111,169,223,323,224,126,38,1630
POA3371,..,0,0,0,3,8,3,0,0,16,..,4,0,3,11,14,16,8,5,51,0,4,0,0,0,3,0,0,0,7,50,37,26,42,65,97,58,21,10,412,..,0,14,41,72,104,76,29,10,348,..,6,11,16,23,30,3,0,0,88,..,0,4,10,14,8,0,5,4,43,99,..,..,..,..,..,..,..,..,99,..,28,..,..,..,..,..,..,..,28,..,32,14,3,3,7,0,0,0,64,..,5,0,0,0,3,3,3,0,18,..,3,0,3,4,0,0,0,0,7,..,3,0,0,8,7,4,0,0,26,..,3,5,7,26,48,29,17,8,143,0,4,0,4,7,3,0,3,0,20,99,85,54,91,145,214,121,52,22,883
POA3373,..,0,5,3,5,13,3,3,0,33,..,3,8,3,16,26,48,31,18,152,6,3,0,4,5,0,3,0,0,26,195,74,90,93,144,180,156,65,27,1026,..,0,68,100,145,204,194,57,16,784,..,16,44,34,34,29,9,3,0,171,..,3,8,17,21,15,5,3,3,81,362,..,..,..,..,..,..,..,..,362,..,64,..,..,..,..,..,..,..,64,..,47,23,14,12,7,0,0,0,103,..,0,0,0,0,0,6,8,0,20,..,4,0,0,0,0,0,0,0,10,..,0,3,5,8,20,4,8,0,59,..,9,14,20,39,71,90,54,24,323,17,5,3,5,8,9,6,3,3,64,377,153,170,203,263,363,326,140,51,2042
POA3374,..,0,0,0,0,0,0,0,0,0,..,0,3,0,5,5,10,4,0,26,0,0,0,0,0,0,3,0,0,7,30,20,11,28,30,32,36,7,0,196,..,3,13,41,34,41,52,6,0,191,..,3,0,7,3,6,0,0,0,15,..,0,0,3,3,3,0,0,0,11,66,..,..,..,..,..,..,..,..,66,..,20,..,..,..,..,..,..,..,20,..,4,4,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,5,..,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,5,3,10,12,11,6,0,41,0,0,0,0,0,3,6,0,0,12,66,37,27,53,54,68,73,14,0,391
POA3375,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,3,5,0,0,8,0,0,0,0,0,0,0,0,0,3,26,4,4,14,11,17,6,3,0,89,..,3,6,15,19,23,14,8,0,84,..,0,4,5,0,0,4,0,0,11,..,0,0,0,0,0,0,0,0,3,36,..,..,..,..,..,..,..,..,36,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,3,3,3,0,14,0,0,0,0,0,0,0,0,0,3,42,14,12,28,20,31,23,7,0,168
POA3377,..,33,23,8,17,20,10,3,3,116,..,10,36,28,74,109,130,144,76,600,11,15,10,7,13,17,11,8,4,93,652,425,403,427,580,572,479,304,115,3964,..,8,257,424,596,700,587,296,61,2930,..,107,193,131,134,73,31,6,0,676,..,11,57,92,120,42,20,18,12,378,1337,..,..,..,..,..,..,..,..,1337,..,293,..,..,..,..,..,..,..,293,..,262,82,36,36,15,0,0,0,431,..,42,14,10,10,19,22,22,9,145,..,27,23,0,5,0,0,0,0,63,..,64,63,28,36,47,27,14,3,284,..,36,91,88,168,216,225,187,108,1123,22,41,36,22,25,23,26,20,7,218,1359,892,812,847,1125,1140,941,559,206,7883
POA3378,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,4,12,7,8,8,0,0,53,..,0,12,13,17,13,6,0,0,65,..,0,0,3,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,39,..,..,..,..,..,..,..,..,39,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,39,10,14,19,18,15,13,0,0,124
POA3379,..,3,0,0,0,4,0,0,0,12,..,0,0,3,0,10,11,3,4,35,0,3,0,0,0,5,4,0,0,14,56,17,20,32,31,61,43,24,7,298,..,0,18,39,32,74,63,33,4,268,..,8,7,6,9,4,0,0,0,39,..,0,5,8,5,3,0,3,0,25,110,..,..,..,..,..,..,..,..,110,..,15,..,..,..,..,..,..,..,15,..,13,8,3,3,4,0,0,0,27,..,0,3,0,0,3,0,0,0,7,..,0,3,0,0,0,0,0,0,4,..,3,0,0,3,9,0,0,0,16,..,0,9,4,11,29,20,15,3,100,0,5,0,0,0,8,4,0,0,30,110,46,49,71,72,133,96,58,7,632
POA3380,..,29,21,12,12,18,3,0,0,101,..,11,30,27,43,90,105,109,72,488,6,12,7,3,13,13,13,8,0,80,404,295,280,303,383,403,354,223,99,2750,..,15,172,297,401,468,417,209,47,2032,..,70,110,80,73,42,29,4,0,407,..,16,39,61,61,26,20,12,6,242,822,..,..,..,..,..,..,..,..,822,..,211,..,..,..,..,..,..,..,211,..,140,62,35,18,12,0,0,0,268,..,32,16,6,10,18,13,3,4,99,..,21,19,5,3,4,0,0,0,51,..,71,67,21,38,40,13,3,0,241,..,29,65,72,107,160,172,151,96,854,16,21,26,13,24,20,16,17,3,153,837,622,567,590,730,796,682,394,160,5378
POA3381,..,4,3,3,0,3,0,0,0,12,..,0,3,3,10,11,12,4,0,38,0,3,0,0,3,6,3,0,0,18,81,40,41,74,78,93,57,24,9,500,..,0,19,90,95,123,91,34,13,466,..,15,21,23,17,18,8,3,0,103,..,0,4,4,6,3,3,0,3,27,177,..,..,..,..,..,..,..,..,177,..,43,..,..,..,..,..,..,..,43,..,12,10,3,4,0,0,0,0,28,..,3,0,0,0,0,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,4,9,3,0,3,3,0,0,26,..,0,10,12,23,25,27,11,3,110,0,3,8,0,5,13,12,0,0,37,177,76,82,136,150,188,144,49,24,1035
POA3384,..,0,0,0,0,4,0,0,0,9,..,0,0,0,3,9,3,5,3,24,0,3,0,0,3,0,0,0,0,7,31,27,13,18,54,42,31,14,6,240,..,0,8,20,55,55,48,15,0,200,..,8,13,5,5,9,4,0,0,43,..,0,0,3,3,3,0,0,3,13,67,..,..,..,..,..,..,..,..,67,..,27,..,..,..,..,..,..,..,27,..,15,3,0,3,0,0,0,0,25,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,5,0,0,0,11,..,0,0,3,20,16,14,12,5,76,4,7,0,0,3,3,3,0,0,19,70,55,23,39,96,94,74,36,6,485
POA3385,..,0,3,0,0,0,0,0,0,0,..,0,0,3,3,4,3,3,0,15,3,0,0,0,0,0,0,0,0,3,31,14,18,26,47,50,21,12,0,221,..,0,17,25,59,78,42,20,3,235,..,0,11,4,11,13,0,0,0,40,..,0,0,3,3,4,0,0,0,14,63,..,..,..,..,..,..,..,..,63,..,21,..,..,..,..,..,..,..,21,..,13,7,9,0,5,0,0,0,33,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,0,0,0,0,5,..,3,3,7,7,13,12,8,0,48,3,0,5,0,0,0,0,0,0,5,67,37,41,48,86,106,63,32,7,479
POA3387,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,4,3,3,17,0,0,0,0,0,0,0,0,0,3,27,6,13,18,25,30,21,7,0,141,..,0,10,17,36,41,21,4,0,135,..,0,11,8,0,3,0,0,0,23,..,0,0,0,4,0,0,4,0,6,48,..,..,..,..,..,..,..,..,48,..,8,..,..,..,..,..,..,..,8,..,3,4,0,0,0,0,0,0,15,..,0,0,0,0,0,0,0,3,4,..,0,0,0,0,0,0,0,0,3,..,3,0,0,0,3,0,0,0,4,..,0,0,4,8,12,9,5,3,41,0,0,0,0,0,0,0,0,0,4,48,18,27,30,45,63,35,11,5,293
POA3388,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,3,7,5,7,32,0,0,0,0,0,0,0,3,3,9,24,28,23,23,41,37,30,21,15,237,..,0,16,31,57,63,29,26,3,224,..,3,10,4,4,0,0,0,0,24,..,0,0,3,4,4,0,6,0,18,79,..,..,..,..,..,..,..,..,79,..,24,..,..,..,..,..,..,..,24,..,24,3,4,5,0,0,0,0,40,..,0,0,0,0,0,4,0,0,10,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,0,0,0,0,14,..,0,9,4,6,13,22,6,13,64,0,0,4,0,0,0,0,5,3,16,79,58,41,48,82,81,56,37,20,510
POA3390,..,0,5,0,0,4,3,0,0,9,..,0,0,3,7,12,18,5,9,57,0,8,4,0,0,0,0,0,0,16,78,41,42,38,61,56,57,34,14,426,..,0,31,55,81,80,67,47,9,371,..,7,13,10,5,0,0,0,0,36,..,0,6,8,15,7,0,0,0,34,151,..,..,..,..,..,..,..,..,151,..,50,..,..,..,..,..,..,..,50,..,23,4,3,4,0,0,0,0,37,..,0,0,0,0,3,0,3,0,7,..,4,0,0,0,0,0,0,0,5,..,3,7,0,3,9,3,0,0,25,..,0,7,5,19,38,26,14,16,125,5,8,3,0,3,0,0,0,0,22,154,96,71,79,122,135,107,67,23,863
POA3391,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,9,3,7,10,8,12,0,0,68,..,0,0,8,18,15,7,6,3,58,..,3,0,0,0,3,0,0,0,8,..,0,0,3,0,0,5,0,0,12,29,..,..,..,..,..,..,..,..,29,..,12,..,..,..,..,..,..,..,12,..,5,5,0,3,0,0,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,3,3,4,0,16,0,0,0,0,0,0,0,0,0,4,29,24,10,14,22,22,21,10,6,155
POA3392,..,0,0,0,0,3,0,0,0,6,..,0,3,0,4,13,5,10,8,48,0,0,0,0,0,0,0,0,0,5,28,18,19,26,35,55,29,22,12,240,..,0,8,19,35,63,50,14,5,197,..,3,9,10,6,3,3,0,0,34,..,3,0,3,7,3,3,3,0,23,73,..,..,..,..,..,..,..,..,73,..,17,..,..,..,..,..,..,..,17,..,6,6,0,0,6,0,0,0,22,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,4,..,3,4,7,13,25,24,15,10,101,3,5,0,0,0,0,0,0,0,10,72,41,23,43,65,101,81,38,17,484
POA3393,..,7,6,0,9,3,0,0,0,33,..,3,3,6,23,34,50,42,33,196,3,9,0,0,3,8,6,0,3,26,180,115,104,114,179,171,152,92,45,1149,..,3,84,124,184,221,173,103,30,929,..,35,43,21,36,19,5,0,0,158,..,8,12,38,28,10,5,8,6,109,408,..,..,..,..,..,..,..,..,408,..,100,..,..,..,..,..,..,..,100,..,46,29,5,11,6,0,0,0,102,..,9,0,0,4,0,6,0,0,20,..,3,4,0,3,0,0,0,0,14,..,19,13,0,13,6,3,3,3,59,..,14,15,18,49,77,87,75,47,381,3,8,4,0,4,7,8,4,5,47,408,244,220,209,330,341,285,192,91,2319
POA3395,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,5,4,3,22,0,0,0,0,3,0,0,0,0,3,20,13,13,7,23,29,19,11,11,146,..,0,16,11,35,39,26,18,3,145,..,4,4,0,0,0,0,0,0,15,..,0,0,0,0,3,0,0,0,7,42,..,..,..,..,..,..,..,..,42,..,16,..,..,..,..,..,..,..,16,..,11,11,0,0,0,0,0,0,23,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,4,..,0,4,7,6,17,10,13,3,57,0,0,0,0,3,5,0,0,0,8,42,25,40,16,51,63,38,31,13,323
POA3396,..,0,0,0,0,0,0,0,0,3,..,3,4,3,10,8,4,19,7,52,0,0,0,0,3,0,3,3,0,15,52,26,27,29,42,54,41,35,18,316,..,0,24,31,49,82,65,27,15,292,..,3,5,9,5,3,3,0,0,33,..,0,3,6,9,3,4,3,0,22,100,..,..,..,..,..,..,..,..,100,..,29,..,..,..,..,..,..,..,29,..,10,5,3,5,0,0,0,0,27,..,3,3,0,0,3,0,0,0,11,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,12,5,13,22,12,22,15,108,0,3,3,0,6,3,3,3,0,23,102,57,61,57,86,112,84,58,27,647
POA3400,..,88,49,7,16,15,5,0,0,180,..,55,102,69,114,218,219,298,166,1237,25,30,24,11,9,24,27,11,12,177,1212,806,921,777,808,877,711,578,248,6934,..,35,631,823,904,957,814,523,138,4838,..,224,423,163,117,101,24,5,3,1061,..,40,131,185,156,80,28,32,24,676,2532,..,..,..,..,..,..,..,..,2532,..,475,..,..,..,..,..,..,..,475,..,371,126,38,41,28,6,0,0,610,..,65,36,14,14,25,17,21,8,208,..,52,20,7,9,4,0,0,0,87,..,159,112,16,30,22,14,4,3,355,..,105,216,152,226,383,344,390,202,2025,51,64,62,24,29,37,41,20,12,346,2582,1595,1759,1440,1527,1645,1293,992,387,13209
POA3401,..,5,0,0,0,3,3,0,0,13,..,0,11,3,11,28,34,17,7,114,4,14,10,0,0,8,4,3,0,48,416,214,158,265,316,283,187,64,25,1924,..,4,155,367,509,443,296,100,19,1887,..,27,67,57,51,38,14,0,0,257,..,3,8,21,37,13,4,9,6,101,862,..,..,..,..,..,..,..,..,862,..,212,..,..,..,..,..,..,..,212,..,150,53,20,13,6,0,0,0,243,..,8,0,0,3,3,3,6,0,25,..,5,0,3,8,3,0,0,3,24,..,11,0,3,3,11,8,0,0,26,..,8,27,24,48,78,55,28,19,289,12,26,12,8,10,15,5,8,0,106,878,449,323,499,679,606,384,155,50,4028
POA3407,..,0,0,0,0,0,0,0,0,0,..,3,0,0,6,3,3,6,3,21,0,0,0,0,0,0,3,0,0,4,24,7,18,20,37,30,29,10,4,179,..,0,16,28,38,50,41,16,0,193,..,0,4,3,10,9,0,0,0,29,..,0,0,0,3,3,0,0,0,7,65,..,..,..,..,..,..,..,..,65,..,10,..,..,..,..,..,..,..,10,..,6,5,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,4,3,10,11,9,8,4,53,0,0,3,0,3,3,3,0,0,10,65,23,29,36,66,75,57,28,6,387
POA3409,..,0,8,0,0,0,0,0,0,7,..,0,0,3,12,15,9,11,10,56,0,0,3,0,3,3,3,0,0,17,82,27,40,45,72,67,38,28,9,409,..,0,30,53,79,95,60,27,5,346,..,9,13,11,15,3,0,0,0,60,..,0,3,10,9,3,0,0,4,28,160,..,..,..,..,..,..,..,..,160,..,23,..,..,..,..,..,..,..,23,..,24,3,7,0,5,3,0,0,43,..,3,3,0,0,0,0,0,0,11,..,0,0,3,0,0,0,0,0,3,..,0,8,3,3,0,0,0,0,14,..,3,8,12,27,35,20,19,6,127,0,3,3,7,3,8,6,0,0,27,162,64,68,99,141,154,84,49,22,841
POA3412,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,3,9,10,3,26,0,3,0,0,0,0,0,0,0,3,20,17,15,13,26,13,19,14,4,144,..,0,16,8,32,16,22,25,0,124,..,0,4,0,6,5,0,0,0,21,..,0,0,0,3,0,3,0,0,12,37,..,..,..,..,..,..,..,..,37,..,11,..,..,..,..,..,..,..,11,..,8,0,0,3,0,0,0,0,14,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,0,3,10,5,14,11,3,43,0,3,0,0,3,0,3,0,0,12,38,33,26,16,50,32,43,33,5,282
POA3413,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,4,0,12,0,0,0,0,0,0,0,0,0,0,26,4,8,14,16,9,8,8,0,94,..,0,9,26,22,16,8,9,0,89,..,3,0,5,3,3,0,0,0,13,..,0,0,0,0,0,0,4,0,3,41,..,..,..,..,..,..,..,..,41,..,6,..,..,..,..,..,..,..,6,..,3,0,0,4,0,0,0,0,8,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,0,6,4,0,21,4,0,0,3,0,0,0,0,0,3,39,19,10,30,30,20,19,18,0,197
POA3414,..,3,4,0,3,0,7,0,0,25,..,3,3,6,15,20,29,33,23,131,3,3,0,0,0,3,3,0,0,22,114,85,65,81,115,143,103,67,35,805,..,7,54,89,127,174,127,63,18,661,..,10,22,23,22,18,8,6,0,107,..,0,5,15,19,5,4,9,7,70,229,..,..,..,..,..,..,..,..,229,..,76,..,..,..,..,..,..,..,76,..,36,13,8,4,4,0,0,0,76,..,6,4,0,4,3,3,3,0,23,..,0,0,4,0,0,3,0,0,7,..,7,10,4,6,3,14,0,0,44,..,6,14,17,35,51,49,51,31,256,3,7,3,6,7,9,3,0,0,38,229,163,118,164,227,277,214,130,56,1582
POA3415,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,0,0,17,..,0,0,0,4,7,0,0,0,13,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,3,..,..,..,..,..,..,..,3,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,0,0,0,0,4,..,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,8,0,3,8,8,0,0,0,40
POA3418,..,5,3,3,4,5,0,3,0,27,..,6,8,8,12,28,35,43,37,184,5,0,4,3,3,5,4,4,0,33,213,134,129,114,182,187,142,111,60,1269,..,9,117,154,245,255,183,127,45,1135,..,27,61,18,20,14,6,4,0,161,..,0,10,15,19,9,12,3,3,66,413,..,..,..,..,..,..,..,..,413,..,118,..,..,..,..,..,..,..,118,..,76,28,8,7,9,0,0,0,123,..,9,3,0,3,9,6,3,3,39,..,4,7,0,0,3,0,0,0,20,..,23,8,4,8,9,11,3,0,64,..,14,33,26,35,64,62,57,43,334,6,10,5,6,8,12,9,8,3,57,421,292,264,229,350,382,284,203,103,2537
