POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,6,17,3,3,0,20,3,0,0,0,4,3,4,3,0,10,6,0,0,0,7,3,0,0,0,6,4,0,0,0,4,8,0,0,0,5,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,3,5,0,0,10,0,3,0,0,3,49,24,15,0,85
POA3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,3,0,0,0,5,0,3,0,0,4,0,3,0,0,3,0,3,0,0,0,5,3,0,0,9,0,4,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,21,27,3,0,61
POA3414,3,3,0,0,3,3,0,0,0,5,0,0,0,0,8,0,0,4,0,4,14,4,4,0,23,9,3,7,0,25,54,7,0,3,69,22,10,10,0,40,31,8,7,0,48,29,12,7,0,51,10,16,0,0,26,12,6,3,0,28,14,23,0,0,35,10,18,0,0,28,3,9,0,0,8,3,6,0,0,10,9,5,0,0,13,17,18,5,0,43,4,0,3,0,9,246,148,68,5,465
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10
POA3418,7,0,0,0,10,3,0,0,0,8,4,4,0,0,8,3,0,0,0,8,16,0,3,0,21,13,0,8,0,25,59,13,10,3,85,31,20,8,0,63,42,26,10,4,87,44,27,4,0,76,7,27,3,0,37,26,29,0,0,58,33,44,3,0,86,15,19,0,0,37,10,8,0,0,21,6,6,0,0,8,11,15,0,0,18,26,42,10,0,72,10,4,0,0,18,364,295,71,14,738
POA3419,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,6,0,0,4,0,5,17,3,3,0,23,12,3,0,0,22,11,7,3,0,20,12,7,0,0,22,5,8,3,0,18,5,5,0,0,10,11,12,0,0,25,4,5,0,0,14,5,5,0,0,11,0,0,0,0,0,9,3,0,0,10,7,12,0,0,23,7,0,0,0,7,115,70,27,4,218
POA3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,4,0,6,0,0,7,3,3,0,0,9,8,3,0,0,13,0,0,0,0,0,0,0,0,0,4,3,4,0,0,7,0,4,0,0,7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,4,27,36,3,0,63
POA3423,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,16,3,4,3,0,6,18,3,6,0,26,3,0,0,0,3,3,4,0,0,9,3,4,0,0,10,0,0,0,0,3,0,3,0,0,3,3,3,0,0,3,0,3,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4,0,0,12,0,0,0,0,3,67,34,19,0,119
POA3424,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,3,0,8,20,3,3,0,22,12,4,6,0,23,10,7,6,0,23,10,8,0,0,20,4,6,0,0,11,3,9,0,0,18,11,9,0,0,19,3,3,0,0,4,5,3,0,0,5,0,0,0,0,0,4,0,0,0,4,3,6,3,0,13,4,0,3,0,6,107,65,25,4,196
POA3427,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,4,14,0,8,0,22,8,7,16,0,23,42,0,12,0,56,16,7,10,3,42,22,31,18,0,65,17,35,13,3,66,14,27,18,0,60,21,34,3,0,60,46,61,8,4,125,21,25,6,0,52,14,17,3,0,35,8,9,0,0,13,11,28,0,0,35,13,48,10,0,76,7,7,0,0,15,262,339,132,13,746
POA3428,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,8,0,9,0,0,0,0,6,7,3,0,0,11,5,4,4,0,13,10,6,0,0,14,3,6,3,0,7,8,11,0,0,16,7,5,3,0,14,13,24,4,0,32,3,5,3,0,9,0,3,0,0,3,0,5,0,0,10,3,8,0,0,12,0,13,0,0,17,0,3,0,0,4,59,91,30,0,183
POA3429,48,17,21,3,92,21,6,10,0,45,16,13,43,3,78,13,5,44,0,69,121,13,87,6,227,60,34,163,3,263,347,65,177,14,601,220,153,186,9,570,319,220,186,24,753,292,322,165,14,792,197,384,110,14,710,223,423,86,12,744,463,874,129,14,1474,307,618,61,3,994,130,425,28,5,584,89,261,18,3,369,95,467,9,3,575,183,490,168,4,838,68,57,28,3,156,3224,4850,1724,138,9935
POA3430,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,0,0,0,3,6,3,0,0,11,0,0,0,0,6,5,0,0,0,4,0,3,0,0,3,3,11,0,0,11,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,9,4,0,0,11,0,7,0,0,11,0,0,0,0,0,37,35,14,0,83
POA3431,7,3,0,0,12,6,0,0,0,4,0,0,0,0,5,0,0,3,0,5,12,0,6,0,21,10,6,3,0,20,34,7,13,0,52,28,6,12,0,51,37,15,15,0,63,47,34,8,0,82,27,37,3,0,66,19,43,10,0,81,51,91,8,0,149,32,81,5,0,123,22,54,3,0,79,10,38,0,0,57,15,82,0,0,95,24,88,16,0,127,10,3,3,0,14,387,592,112,7,1097
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,5,0,0,0,0,3,5,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,7,4,5,0,0,8,0,0,0,0,0,23,26,3,0,46
POA3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,3,0,0,5,0,3,0,0,7,0,6,0,0,7,0,7,0,0,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,8,0,0,6,0,0,0,0,0,19,32,3,3,59
POA3434,9,3,3,0,11,3,0,0,0,0,3,0,3,0,9,3,0,4,0,9,20,4,11,0,38,14,6,10,0,33,44,10,12,0,71,52,15,21,0,88,53,36,25,3,115,46,44,10,0,101,28,52,12,0,99,36,60,6,0,96,68,118,8,0,195,40,87,10,0,136,27,57,0,0,87,25,23,0,0,48,25,56,0,0,80,28,105,19,0,151,18,6,3,0,26,528,698,164,10,1395
POA3435,3,0,0,0,3,4,0,0,0,4,3,0,3,0,7,4,0,3,0,13,15,4,5,0,23,5,9,14,0,28,46,8,3,0,57,22,7,14,3,40,27,16,9,0,59,27,28,5,0,65,18,33,5,0,52,13,29,5,0,50,61,62,8,0,124,18,30,0,0,51,7,25,4,0,34,4,21,0,0,29,17,24,0,0,45,20,54,13,0,88,4,0,0,0,10,321,342,97,4,770
POA3437,12,5,3,0,26,7,5,3,0,15,0,3,9,0,10,3,0,8,0,16,30,3,9,0,42,20,10,22,0,49,89,10,29,0,126,92,18,31,3,140,103,59,41,0,205,87,62,22,0,172,68,94,27,0,184,56,99,12,0,170,105,238,28,3,376,98,204,8,0,305,70,147,10,0,234,30,127,3,0,160,77,233,7,0,309,57,185,30,3,285,22,14,5,0,45,1027,1513,304,17,2860
POA3438,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,10,3,3,0,10,11,0,3,0,14,14,5,7,0,33,18,6,10,0,32,22,15,13,4,50,28,22,3,0,50,14,29,3,0,46,6,27,4,0,38,18,51,4,0,70,18,45,4,0,71,4,33,0,0,34,11,31,0,0,42,15,56,0,0,76,14,37,11,0,59,3,3,0,0,3,200,358,74,7,643
POA3440,3,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,11,4,0,0,0,10,10,0,3,0,19,15,4,6,0,32,23,8,3,0,34,14,18,3,0,34,10,19,0,0,31,14,18,3,0,35,23,43,8,0,71,17,29,0,0,46,6,20,0,0,29,15,29,0,0,42,13,54,0,0,72,10,35,5,0,57,7,3,3,0,9,209,280,50,6,542
POA3441,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,17,3,0,0,18,14,5,7,0,23,11,8,0,0,20,11,3,3,0,16,7,11,0,0,19,10,12,3,0,24,24,18,0,0,40,20,13,0,0,31,16,16,0,0,33,6,24,3,0,30,28,39,0,0,69,18,26,3,0,50,3,0,0,0,7,196,175,27,0,391
POA3442,3,3,0,0,8,4,0,3,0,10,5,0,6,0,14,3,0,6,0,15,22,4,18,3,43,17,3,14,0,31,65,12,29,4,112,58,21,25,3,103,79,38,29,3,153,68,59,30,0,158,49,59,22,0,132,40,67,11,0,110,77,144,18,0,239,66,134,10,3,207,32,84,3,0,120,31,74,5,0,114,72,144,3,0,219,50,127,41,3,216,8,9,4,0,21,755,982,257,27,2024
POA3444,9,4,4,0,24,11,5,0,0,17,4,3,7,0,15,3,0,14,0,21,50,10,18,0,78,31,10,34,0,76,148,25,37,3,215,68,40,22,5,145,121,69,31,7,231,94,78,34,3,204,69,75,26,4,171,57,76,11,3,146,122,147,13,3,290,66,101,3,0,172,37,52,5,0,100,21,47,5,0,70,48,90,3,0,145,61,114,49,0,228,17,10,7,0,38,1055,954,338,29,2379
POA3446,3,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,4,0,11,5,0,0,0,4,7,5,0,0,16,7,3,8,0,22,15,9,7,0,32,10,7,5,0,24,4,12,0,0,20,3,9,0,0,17,17,16,0,0,36,8,19,0,0,27,3,3,0,0,7,3,3,0,0,4,4,3,0,0,13,10,11,6,0,29,5,0,0,0,5,124,113,39,3,277
POA3447,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,6,6,0,0,13,4,3,0,0,6,5,0,3,0,11,6,5,0,0,6,3,4,0,0,6,5,8,0,0,18,6,3,0,0,8,0,7,0,0,9,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,5,0,19,0,0,0,0,0,50,42,23,3,119
POA3448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,5,0,10,25,6,0,0,31,22,8,4,0,28,16,10,8,0,28,10,12,0,0,24,7,3,0,0,14,10,9,0,0,13,9,9,0,0,20,6,10,0,0,20,6,4,0,0,11,3,8,0,0,10,6,8,0,0,13,3,13,0,0,17,3,0,0,0,3,135,86,18,3,251
POA3450,3,4,0,0,5,6,0,7,0,15,7,3,14,0,22,0,0,11,0,16,34,0,32,5,67,17,13,46,0,83,127,16,45,3,192,80,30,37,8,156,95,48,32,0,171,71,61,22,3,162,47,65,20,3,133,48,43,11,0,107,75,83,13,3,176,20,52,3,0,83,20,31,0,0,47,4,22,4,0,31,25,27,0,0,57,48,78,32,0,167,23,7,3,0,31,753,579,342,28,1701
POA3451,7,0,0,0,7,8,0,0,0,8,6,0,5,0,12,3,0,18,0,18,25,3,17,0,44,16,3,32,0,49,94,15,27,3,132,46,12,26,3,85,72,42,28,4,145,60,53,16,0,133,32,52,7,0,90,34,43,5,0,86,68,77,6,0,156,35,57,0,0,96,15,34,0,0,51,8,4,0,0,11,12,24,0,0,38,28,81,19,0,139,5,3,0,0,14,576,514,208,18,1312
POA3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,17,3,6,0,23,6,0,3,0,11,27,7,3,0,35,12,6,14,3,33,26,19,3,0,44,27,14,3,3,45,20,18,7,0,39,15,24,3,0,35,12,40,3,0,51,12,24,3,0,36,5,14,0,0,23,3,7,0,0,13,7,9,3,0,25,11,19,3,0,38,3,0,3,0,7,209,208,61,4,482
POA3458,5,0,0,0,5,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,15,3,3,0,19,8,0,4,0,14,40,8,4,0,47,28,7,3,0,39,29,12,4,0,42,26,16,3,0,42,12,19,5,0,31,7,18,3,0,25,24,21,0,0,47,24,23,0,0,47,6,8,0,0,15,9,6,0,0,14,9,16,3,0,26,11,21,4,0,44,0,0,0,0,7,254,165,56,7,483
POA3460,4,0,3,0,7,5,0,0,0,3,3,0,3,0,9,0,0,3,0,3,9,0,9,0,20,8,4,13,0,21,34,7,17,0,62,31,13,16,4,63,35,25,16,0,78,35,21,10,3,65,14,20,6,0,36,13,13,6,0,31,27,23,0,0,51,9,15,0,0,29,6,7,0,0,18,8,11,0,0,21,17,5,0,0,25,22,29,13,0,63,11,0,3,0,11,292,188,124,3,612
POA3461,6,0,3,0,10,14,0,0,0,14,4,0,3,0,9,5,0,0,0,5,27,9,14,0,48,19,12,18,0,49,87,12,26,0,127,52,24,13,0,94,65,43,22,0,129,59,42,5,0,110,31,46,5,0,80,30,33,3,0,66,59,51,3,0,120,37,22,0,0,55,16,14,0,0,29,5,13,0,0,23,25,15,0,0,40,47,51,19,0,116,9,4,3,0,24,595,388,156,3,1145
POA3462,0,0,0,0,0,3,0,0,0,7,3,0,3,0,3,0,0,0,0,3,9,0,8,0,12,4,3,0,0,9,28,6,5,0,45,13,9,8,0,35,23,13,7,0,37,22,11,3,0,34,5,4,0,0,14,11,11,0,0,23,9,12,0,0,25,3,6,0,0,8,3,4,0,0,9,0,6,0,0,4,0,4,0,0,10,15,15,7,0,35,4,3,0,0,8,162,114,42,3,318
POA3463,7,0,0,0,5,5,0,0,0,5,7,0,3,0,8,3,0,3,0,7,23,4,0,0,33,15,0,15,0,31,67,0,9,0,78,39,16,12,0,70,56,20,15,0,90,37,19,7,0,64,18,8,3,0,30,12,16,8,0,27,30,34,0,0,69,8,14,0,0,20,6,14,0,0,21,0,0,0,0,5,8,4,0,0,17,19,30,8,0,57,11,3,3,0,16,380,187,87,7,653
POA3464,4,0,0,0,3,0,0,0,0,3,3,0,5,0,7,0,0,0,0,0,13,0,3,0,16,10,0,7,0,20,26,4,5,0,30,10,6,3,0,26,17,11,7,4,41,12,17,6,0,37,9,14,3,0,27,7,13,4,0,21,9,17,0,0,25,3,9,0,0,13,0,7,0,0,8,0,0,0,0,0,0,4,0,0,4,9,12,3,0,23,3,0,0,0,7,136,126,44,3,307
POA3465,18,3,6,0,32,6,3,6,0,17,10,3,17,0,32,3,0,31,0,36,91,11,56,4,164,47,20,77,0,151,315,29,72,3,418,133,50,83,10,281,144,101,49,5,296,106,104,17,4,232,49,73,11,0,136,60,58,15,0,124,67,104,11,0,180,24,55,7,0,88,9,27,0,0,34,6,8,3,0,19,9,21,0,0,29,64,114,33,0,213,44,13,18,0,73,1212,787,522,27,2544
POA3467,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,12,0,3,0,16,3,0,9,0,16,42,4,7,3,61,19,3,3,0,28,12,19,3,0,37,8,11,3,3,25,3,14,3,0,15,10,9,0,0,19,13,0,0,0,16,3,8,0,0,7,3,8,0,0,10,0,0,0,0,0,0,3,0,0,4,8,17,9,0,34,8,4,0,0,14,156,100,40,7,311
POA3468,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,8,0,0,0,8,7,0,3,0,9,0,4,0,0,6,3,0,0,0,4,3,3,0,0,9,3,0,0,0,4,3,0,0,0,5,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,5,3,0,0,0,3,46,23,8,0,78
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,15,0,0,0,15,8,0,3,0,10,4,4,0,0,6,6,0,0,0,8,3,0,0,0,3,0,3,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,44,21,10,0,74
POA3472,3,0,0,0,4,3,0,4,0,6,0,0,3,0,7,0,0,7,0,9,16,0,12,4,29,14,9,8,0,29,51,13,11,0,68,19,10,8,0,41,20,13,5,0,36,15,8,3,0,27,7,7,0,0,15,5,7,0,0,13,8,6,0,0,22,8,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,13,14,3,0,35,12,0,3,0,15,205,97,73,6,377
POA3475,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,3,3,0,0,9,14,0,0,0,16,3,3,0,0,8,4,3,0,0,9,6,0,0,0,7,5,3,0,0,3,0,0,0,0,3,7,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,0,5,50,30,13,0,91
POA3477,0,0,0,0,0,3,0,0,0,3,3,0,0,0,11,4,0,0,0,4,4,0,3,0,10,9,3,0,0,12,25,0,3,0,29,17,4,4,0,19,15,6,4,0,21,12,8,0,0,23,3,7,0,0,10,9,6,0,0,23,10,5,0,0,14,3,11,0,0,11,8,3,0,0,6,0,5,0,0,5,3,3,0,0,4,9,16,3,0,30,4,0,0,0,10,136,83,18,0,239
POA3478,3,0,0,0,4,4,0,3,0,7,4,0,4,0,6,0,0,0,0,4,17,0,7,0,23,6,6,9,0,29,70,9,16,0,96,31,16,18,6,68,43,24,14,0,78,29,31,0,0,65,12,20,4,0,29,21,20,4,0,45,22,21,3,0,46,12,13,0,0,22,7,6,0,0,18,0,4,0,0,6,0,3,0,0,4,24,28,7,0,58,20,0,3,0,24,328,202,98,13,643
POA3480,5,3,0,0,5,7,0,0,0,9,3,0,0,0,5,0,0,4,0,4,12,10,7,0,29,3,3,3,0,15,40,3,7,3,57,26,12,6,0,41,28,12,3,0,49,22,16,3,0,41,9,20,0,0,38,18,14,0,0,37,23,23,0,0,49,8,5,0,0,12,4,4,0,0,6,0,0,0,0,3,6,3,0,0,9,21,24,0,0,44,9,0,0,0,13,240,163,46,8,455
POA3482,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,4,3,4,0,0,9,0,0,0,0,3,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,18,17,7,0,39
POA3483,3,3,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,7,0,0,15,3,0,6,0,9,19,4,3,0,27,7,0,0,0,9,7,0,5,0,18,12,9,3,0,26,0,8,0,0,9,3,4,3,0,10,8,11,0,0,23,0,19,0,0,17,4,0,0,0,4,0,0,0,0,0,3,8,0,0,6,9,19,3,0,31,3,0,0,0,3,96,91,23,3,215
POA3485,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,12,3,0,0,14,8,3,0,0,12,5,7,0,0,14,3,4,0,0,6,0,0,0,0,0,0,3,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,12,0,0,0,0,3,51,31,3,0,80
POA3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,24
POA3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,9,0,0,10,0,0,0,0,0,13,12,3,0,31
POA3489,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,4,0,0,16
POA3490,7,0,0,0,3,0,0,0,0,0,4,0,0,0,6,3,0,3,0,3,4,0,6,0,12,6,0,0,0,12,32,3,4,0,40,17,5,4,0,31,15,13,3,0,38,15,7,0,0,29,11,9,0,0,22,7,10,0,0,12,14,23,0,0,37,8,3,0,0,13,4,6,0,0,8,3,0,0,0,3,3,4,0,0,6,5,11,4,0,23,3,0,0,0,5,174,107,28,3,312
POA3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,3,0,5,3,4,0,0,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,14,15,8,0,31
POA3494,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,6,0,0,0,3,0,0,3,0,0,5,0,0,0,13,8,10,4,0,18,10,9,0,0,21,10,6,3,0,13,0,5,3,0,8,7,4,3,0,9,7,3,0,0,11,4,4,0,0,5,0,0,0,0,0,0,3,0,0,4,0,3,0,0,3,6,8,0,0,11,3,0,0,0,3,65,55,18,4,146
POA3496,12,3,3,0,15,5,4,3,0,9,0,3,15,0,18,3,0,13,0,22,33,12,23,3,70,17,12,35,5,70,95,23,32,3,149,52,37,30,6,121,67,62,31,3,159,80,72,14,0,174,47,43,9,0,99,43,59,3,0,111,70,116,7,0,196,24,47,0,0,80,11,18,0,0,27,4,14,0,0,25,10,19,4,0,31,47,89,29,0,167,25,19,10,0,50,638,667,271,15,1592
POA3498,9,0,0,0,12,11,3,0,0,18,4,3,4,0,11,3,0,9,0,14,25,0,11,0,39,14,5,18,0,40,96,14,20,3,128,53,30,21,0,107,78,49,26,3,150,53,60,12,0,128,31,46,13,0,93,39,53,3,0,97,56,119,5,0,184,28,72,0,0,103,7,38,0,0,50,3,21,3,0,25,16,58,0,0,71,25,100,20,0,149,19,10,4,0,36,576,680,167,11,1433
POA3500,52,19,17,3,89,31,12,16,0,52,13,16,56,0,91,16,9,83,0,113,159,36,143,8,349,85,60,217,12,371,570,93,237,21,922,283,154,243,15,696,339,255,155,18,774,352,288,117,16,770,172,282,84,12,546,216,266,53,3,536,367,419,49,10,838,167,288,18,4,484,103,149,8,3,262,38,74,4,0,120,72,138,9,0,223,234,392,141,14,781,122,34,67,0,229,3397,2990,1707,140,8239
POA3501,4,0,0,0,4,0,0,3,0,8,0,0,0,0,0,0,0,3,0,3,6,3,3,0,11,3,0,3,0,8,24,3,0,0,27,16,12,3,0,36,19,14,6,0,39,22,18,3,0,45,10,18,9,0,38,21,27,0,0,44,28,44,0,0,74,19,43,0,0,64,3,24,0,0,28,5,14,0,0,15,12,19,0,0,33,15,38,9,0,59,3,4,4,0,13,205,289,49,0,539
POA3505,3,3,8,0,12,9,7,0,0,17,5,3,5,0,19,3,0,11,0,8,25,6,24,0,57,15,10,22,0,42,106,15,23,0,149,37,35,15,3,88,48,47,19,0,112,33,54,13,0,99,26,58,0,0,88,39,52,3,0,95,43,72,10,0,129,22,41,4,0,73,5,30,0,0,38,3,16,0,0,26,6,15,0,0,20,41,93,25,3,160,18,8,7,0,32,498,556,198,11,1262
POA3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,6
