POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3273,16,30,0,4,4,30,0,0,4,15,10,49,0,0,0,3,3,15,3,12,16,65,0,0,0,0,0,3,3,7,0,4,0,3,0,0,4,6,3,10,6,16,0,0,42,109
POA3274,34,65,0,0,0,3,0,0,19,74,16,80,0,4,3,5,7,14,4,24,25,105,0,0,0,4,0,4,0,0,5,8,0,0,0,3,7,15,4,19,9,25,0,0,71,202
POA3275,30,63,0,0,9,41,0,0,29,119,39,164,10,50,5,21,9,23,27,89,69,253,0,0,0,3,0,5,3,10,5,18,0,5,0,0,8,16,12,23,14,39,0,0,113,356
POA3276,69,139,3,14,7,33,0,3,31,127,40,176,0,7,8,26,5,15,18,54,53,226,0,0,3,11,0,3,3,14,11,28,0,3,0,0,3,12,5,16,16,39,4,8,142,414
POA3277,206,411,3,21,13,62,13,55,131,547,164,690,11,61,10,41,51,165,78,273,237,961,0,3,5,18,0,9,22,50,26,76,4,9,4,7,16,41,20,55,47,135,3,9,495,1505
POA3278,35,65,0,4,0,6,0,0,22,93,26,107,4,13,0,3,5,14,11,31,35,137,0,0,0,0,0,0,3,3,3,3,0,3,0,0,7,12,5,11,6,22,0,3,78,222
POA3279,19,44,0,4,7,51,0,0,18,69,25,122,0,15,3,18,7,16,14,45,39,168,0,4,0,3,0,0,0,0,3,7,0,0,0,0,3,8,3,8,3,15,3,3,66,231
POA3280,3247,6438,58,306,313,1412,76,356,1696,6751,2145,8833,190,775,246,796,566,1788,997,3352,3139,12187,25,98,110,393,40,156,575,1538,745,2188,59,198,159,340,432,917,649,1450,1392,3630,122,246,7902,22500
POA3281,155,308,11,48,41,182,3,18,128,535,181,779,13,61,21,69,38,106,70,228,249,1005,0,0,8,18,0,4,10,26,14,41,0,4,3,3,21,46,22,57,36,100,4,8,445,1423
POA3282,267,528,7,39,25,114,6,21,156,612,190,788,19,86,15,54,53,156,91,296,278,1079,3,11,8,26,3,11,44,113,54,161,3,8,7,9,34,67,37,87,93,243,13,27,653,1877
POA3283,171,335,5,31,12,71,3,12,85,373,107,495,17,67,13,48,25,77,54,184,163,686,0,0,0,0,0,0,15,40,15,40,0,5,5,8,15,27,19,37,31,81,4,5,365,1105
POA3284,441,875,5,14,23,107,3,12,214,843,243,978,11,41,22,69,50,161,81,266,326,1252,3,10,6,36,3,5,37,108,55,158,10,18,7,12,34,74,50,108,104,270,9,17,880,2408
POA3285,158,307,3,26,20,78,3,22,76,305,105,432,5,30,8,32,29,81,42,146,152,576,0,0,4,14,0,0,9,13,13,23,5,4,3,3,12,17,16,23,25,50,8,10,332,944
POA3286,73,151,0,0,6,43,0,13,34,135,43,187,0,5,4,13,10,25,16,46,58,235,0,0,0,5,0,0,9,22,13,29,0,3,0,3,10,14,11,21,21,47,0,0,153,437
POA3287,55,103,0,5,11,57,0,4,32,122,41,190,4,15,7,23,7,21,16,50,57,239,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,5,0,5,8,13,0,0,117,349
POA3289,100,198,3,9,7,40,0,13,46,201,60,264,3,12,8,17,17,44,23,78,79,338,0,0,0,11,0,0,3,7,3,22,0,0,3,10,10,13,8,25,19,43,4,7,202,583
POA3292,34,58,0,0,0,3,0,0,9,16,10,21,0,0,0,4,4,11,3,14,9,34,0,0,0,0,0,0,0,8,0,8,0,0,0,3,3,3,3,9,10,15,0,0,50,110
POA3293,39,75,0,0,3,22,0,0,16,74,23,98,0,0,0,0,7,15,8,20,31,118,0,0,0,0,0,0,0,7,0,5,0,0,0,7,6,9,10,13,7,21,0,3,79,216
POA3294,114,226,0,0,19,74,0,0,59,253,78,328,3,19,13,32,18,58,33,98,108,430,0,0,0,3,0,0,4,15,5,15,0,0,5,8,14,25,19,30,21,46,3,3,249,705
POA3300,1206,2373,18,91,109,501,28,134,521,2027,676,2754,48,205,68,212,192,583,303,993,984,3750,6,23,28,99,16,48,161,433,209,600,19,49,42,90,136,276,197,423,402,1020,24,52,2618,7194
POA3301,141,279,4,28,15,72,7,27,90,368,119,495,0,3,19,48,31,88,48,143,165,641,0,0,6,14,0,0,5,11,9,28,0,0,0,7,9,20,14,26,20,53,0,3,331,973
POA3302,54,100,0,7,8,25,0,0,22,90,26,119,3,15,3,4,4,19,9,38,37,159,0,0,3,9,0,0,0,3,5,10,0,0,0,4,4,9,3,9,7,17,0,0,98,283
POA3303,31,66,0,4,3,19,5,26,17,80,35,128,3,4,3,8,4,19,13,33,39,166,0,0,0,0,0,0,8,19,8,19,0,0,0,4,0,3,4,5,7,27,0,0,86,261
POA3304,342,682,3,23,28,132,9,35,123,501,164,691,13,43,26,75,54,178,90,293,257,983,0,0,4,12,7,13,46,127,56,161,3,6,6,18,31,66,40,89,99,245,17,29,710,1945
POA3305,1474,2916,19,113,125,574,33,140,654,2549,836,3370,51,188,124,386,239,740,414,1322,1250,4689,5,28,33,105,19,73,231,607,293,810,15,36,76,166,198,428,289,630,579,1435,33,72,3336,9113
POA3309,10,22,0,10,3,12,0,3,0,9,8,33,0,0,3,8,0,9,9,18,10,53,0,0,0,0,0,4,3,7,4,10,0,0,0,0,0,0,0,0,3,14,0,0,26,86
POA3310,38,78,0,0,3,22,0,0,8,30,15,53,0,10,3,13,3,15,10,41,26,87,0,3,0,0,0,0,0,3,4,9,0,0,0,0,3,8,3,8,8,16,0,0,69,185
POA3311,244,477,7,22,17,82,3,15,63,252,87,365,3,15,4,14,26,77,35,106,119,470,3,8,4,16,0,3,23,73,30,99,0,3,0,0,25,55,31,53,61,150,10,12,430,1117
POA3312,132,263,5,20,13,66,3,13,56,239,77,337,4,25,11,39,13,45,32,106,108,443,0,0,5,5,0,0,5,12,7,21,0,0,0,5,18,31,18,39,24,54,4,9,266,767
POA3314,64,130,0,9,8,23,0,0,38,137,40,171,3,9,6,29,10,35,22,68,65,237,0,0,0,3,0,0,8,19,7,19,0,0,0,3,4,17,12,18,14,36,0,0,145,408
POA3315,206,407,0,3,14,63,3,11,82,319,96,396,15,43,15,38,30,84,50,169,149,564,0,4,5,15,4,11,21,51,28,83,0,9,8,24,28,57,41,87,73,166,8,7,435,1146
POA3317,30,60,0,0,3,18,0,0,10,55,19,76,0,0,0,0,0,5,0,5,19,79,0,0,0,3,0,0,0,9,3,12,0,0,0,0,0,6,3,8,4,19,0,3,54,160
POA3318,155,302,3,17,10,58,0,15,59,237,78,331,4,13,20,46,14,46,35,109,118,444,3,7,3,10,0,10,12,42,17,66,0,0,3,11,11,18,14,29,33,93,3,13,307,851
POA3319,68,128,0,0,3,10,0,0,12,58,16,70,0,3,3,5,11,32,15,38,28,110,0,0,0,0,0,0,6,10,6,10,0,0,0,0,3,4,5,6,5,17,0,3,110,263
POA3321,162,315,5,22,26,104,4,21,136,541,170,687,11,53,12,31,41,117,65,202,233,894,0,0,4,14,0,3,10,25,14,36,0,0,4,12,10,23,16,37,34,76,0,3,422,1281
POA3322,22,42,0,7,3,10,0,0,8,31,9,46,0,0,3,15,0,7,6,15,14,60,0,0,0,0,0,0,0,10,0,10,0,5,0,0,9,16,12,19,10,26,0,0,49,133
POA3323,12,28,0,0,0,5,0,0,5,18,8,24,0,0,0,0,3,9,3,14,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,68
POA3324,66,136,4,18,3,16,0,0,28,101,33,136,0,3,4,11,10,33,16,50,47,190,0,0,0,0,0,0,4,12,4,12,0,0,0,3,8,18,5,17,13,28,0,3,129,358
POA3325,62,117,0,0,3,27,0,0,28,102,31,128,0,13,0,7,9,34,19,52,50,184,0,0,0,0,0,0,3,15,5,16,0,0,0,0,7,9,5,12,9,26,0,8,125,340
POA3328,189,373,5,21,27,118,13,52,136,513,170,697,18,73,18,59,50,148,81,283,257,980,0,7,0,11,3,8,20,65,31,89,0,0,5,10,18,41,25,56,52,147,0,0,494,1496
POA3329,34,57,0,6,0,10,3,14,24,83,30,114,0,11,3,15,6,14,8,38,39,159,0,0,0,4,0,0,0,4,5,9,0,0,0,3,0,3,4,8,5,16,0,0,78,234
POA3330,19,37,0,3,3,8,0,3,11,60,21,77,0,4,0,0,4,9,7,16,24,93,0,0,0,4,0,0,3,7,3,12,0,0,0,0,6,11,6,11,7,27,0,3,54,160
POA3331,566,1130,21,105,89,399,16,69,550,2214,669,2792,34,152,54,198,102,325,191,676,863,3461,3,17,20,66,0,9,70,204,95,297,7,12,19,44,61,125,89,185,180,482,15,33,1627,5110
POA3332,95,186,8,45,23,97,3,20,60,248,95,415,7,26,6,28,37,106,55,160,147,579,0,0,3,11,0,8,15,44,23,66,0,0,8,15,10,16,11,29,33,93,3,7,280,863
POA3333,85,169,0,3,8,38,9,21,52,216,67,281,11,37,4,25,17,53,33,110,97,392,0,11,3,14,0,7,14,31,21,61,0,3,0,3,16,24,18,34,35,97,0,3,223,662
POA3334,63,119,0,0,7,42,0,0,23,100,36,143,6,20,11,25,12,36,25,78,56,218,0,0,4,12,0,0,8,27,14,38,0,3,3,9,7,13,15,25,28,66,4,5,147,413
POA3335,554,1120,11,61,63,287,23,100,538,2027,628,2472,28,138,33,124,102,354,170,605,796,3083,5,18,22,69,5,18,97,262,121,361,10,35,7,15,67,178,83,224,207,587,25,52,1589,4843
POA3337,2895,5819,120,717,402,1998,152,706,2353,9311,3021,12732,209,910,253,857,883,2867,1348,4633,4367,17370,46,265,146,580,87,346,913,2679,1194,3866,104,338,156,354,725,1635,982,2329,2173,6194,135,274,9571,29653
POA3338,1857,3733,50,307,233,1155,84,418,1754,6935,2124,8812,119,508,128,446,488,1606,743,2560,2861,11371,25,135,93,359,52,204,569,1660,736,2355,61,194,81,204,393,855,536,1251,1270,3611,106,225,6098,18937
POA3340,1989,3992,43,246,258,1215,83,396,1403,5601,1788,7451,152,653,226,782,513,1672,898,3104,2687,10553,10,39,71,261,32,118,378,1075,489,1493,41,146,92,206,343,737,474,1087,963,2578,53,114,5702,17242
POA3341,170,328,6,29,25,118,6,34,98,400,141,573,17,61,25,94,53,179,91,328,234,907,0,5,3,17,0,0,15,50,20,72,0,3,8,16,17,37,27,58,50,123,3,8,455,1367
POA3342,396,781,8,52,33,157,10,46,209,826,260,1081,25,96,33,105,80,239,134,441,394,1518,0,3,15,58,0,13,51,137,68,204,3,8,16,22,42,84,62,124,124,331,11,25,928,2648
POA3345,143,278,0,4,11,47,10,31,67,281,88,372,11,36,13,34,36,96,51,167,143,541,0,5,3,9,0,19,20,59,28,81,0,0,4,12,12,27,21,42,43,119,3,4,326,940
POA3350,5714,11279,60,343,649,2979,110,497,3578,13963,4402,17788,304,1262,523,1709,866,2711,1689,5678,6092,23463,31,144,198,699,85,303,1076,2871,1387,4022,118,372,317,694,812,1721,1247,2784,2634,6804,218,448,14655,41992
POA3351,871,1738,17,100,134,639,40,164,515,2077,703,2983,66,277,88,297,215,700,376,1268,1078,4256,5,9,17,48,12,38,90,260,118,357,5,26,21,45,92,197,123,263,245,628,15,35,2207,6654
POA3352,1686,3337,45,258,242,1133,54,265,1105,4528,1450,6185,125,519,155,502,380,1183,661,2209,2108,8393,11,37,25,93,12,41,143,407,193,578,19,60,43,102,142,303,204,468,399,1048,36,67,4228,12843
POA3355,1252,2468,17,108,91,415,36,162,583,2274,725,2953,52,217,91,291,208,637,345,1148,1071,4103,11,31,48,187,35,124,322,906,419,1251,31,103,68,149,263,552,357,801,774,2051,72,147,3162,8771
POA3356,1493,2973,24,161,146,718,46,219,826,3193,1048,4292,61,269,93,296,282,903,440,1461,1484,5753,16,75,75,271,60,191,464,1267,615,1803,43,139,94,197,319,681,459,1024,1072,2826,90,174,4131,11731
POA3357,381,765,8,30,53,256,4,18,271,1108,331,1411,29,119,44,155,64,191,137,460,468,1870,0,9,4,25,3,9,49,145,65,189,5,20,10,25,32,62,51,107,110,293,9,13,973,2941
POA3360,106,211,0,6,9,24,3,10,36,130,40,174,4,10,12,28,14,48,30,85,73,256,4,5,0,6,0,4,16,31,18,48,0,3,6,10,10,21,17,38,37,88,4,9,213,564
POA3361,77,156,0,0,4,23,4,11,32,136,38,177,3,18,3,17,9,25,18,68,60,239,0,0,0,8,3,11,3,21,8,33,0,0,0,0,10,26,12,23,21,61,0,0,155,449
POA3363,383,764,3,13,27,112,9,60,186,731,225,912,10,41,21,60,75,236,106,330,325,1240,0,9,8,25,10,24,57,151,70,206,8,25,11,21,67,134,80,178,153,385,5,11,869,2407
POA3364,272,541,3,22,21,117,10,31,122,495,158,660,12,45,20,60,40,130,67,241,225,903,0,5,3,5,0,3,13,29,22,44,0,7,5,5,19,45,24,56,48,101,10,21,553,1562
POA3370,245,485,6,44,11,62,11,43,71,259,101,411,6,19,9,35,25,86,46,143,144,552,3,10,5,30,0,14,31,85,44,138,3,3,3,12,39,88,44,104,95,237,5,11,484,1291
POA3371,131,263,0,7,3,17,3,18,40,140,42,172,4,15,12,31,28,93,44,138,86,314,0,0,5,9,3,9,11,27,16,43,0,0,3,3,23,48,25,50,40,95,3,8,266,676
POA3373,288,555,4,34,25,110,7,23,115,469,148,640,11,47,6,29,38,118,59,189,207,831,0,0,5,20,3,4,37,95,40,122,0,0,4,3,34,72,41,81,79,196,3,3,577,1587
POA3374,60,125,0,7,4,11,0,6,24,92,25,112,0,0,13,33,5,17,16,59,44,175,0,0,0,3,0,0,6,14,3,13,0,3,3,5,3,4,8,11,12,26,0,3,117,326
POA3375,26,54,0,3,0,0,0,9,15,69,21,79,0,3,0,3,3,4,3,11,24,90,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,3,0,3,3,7,0,0,53,152
POA3377,1054,2076,17,91,80,356,24,115,418,1664,539,2226,39,169,54,169,154,486,252,821,794,3049,3,17,20,82,15,52,157,444,198,593,8,29,43,91,135,276,187,402,381,993,39,74,2260,6193
POA3378,11,29,0,4,0,3,0,7,16,54,20,75,0,0,0,3,4,12,4,17,25,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,113
POA3379,93,187,0,0,9,35,3,13,33,126,41,173,3,11,3,12,13,44,19,60,62,230,0,0,3,9,0,0,13,33,12,45,0,0,3,4,5,14,8,23,24,66,0,3,185,487
POA3380,738,1462,8,54,59,257,13,63,261,1022,347,1402,21,72,46,151,95,309,167,534,507,1936,3,12,12,55,8,36,101,265,126,366,8,25,25,50,81,183,109,253,244,621,29,57,1518,4074
POA3381,174,336,0,4,14,58,0,0,68,278,85,339,3,9,15,44,20,57,36,115,118,456,0,0,3,6,0,0,8,31,13,33,0,0,3,8,13,24,12,30,23,59,0,3,318,852
POA3384,76,145,0,4,9,29,3,7,24,84,27,125,7,15,7,20,9,37,19,67,54,192,0,0,0,5,0,0,10,17,11,21,0,0,3,7,8,6,6,16,15,37,0,0,143,378
POA3385,81,167,0,0,8,30,0,6,21,82,32,124,4,16,11,22,18,46,27,82,56,208,0,0,0,3,0,3,3,10,6,13,0,0,3,0,6,18,10,22,12,32,0,3,160,413
POA3387,44,84,0,0,4,10,0,4,24,82,27,101,0,5,3,7,7,18,9,26,37,125,0,0,0,4,0,0,0,3,0,4,0,0,0,3,3,8,3,12,7,16,0,6,84,236
POA3388,70,142,3,16,7,22,0,0,29,118,32,151,3,11,5,23,11,34,22,70,55,216,0,0,0,8,0,4,3,11,5,25,0,0,0,3,13,26,15,31,20,53,0,3,143,416
POA3390,113,221,0,4,16,56,0,3,47,190,59,259,5,19,12,44,17,38,32,108,91,367,0,0,0,0,0,4,14,55,17,53,0,6,4,15,16,28,22,43,40,95,0,3,241,686
POA3391,17,35,0,0,0,7,0,0,7,37,13,44,0,10,3,6,3,10,9,22,16,69,0,0,0,4,0,7,3,5,3,13,0,0,0,0,7,16,7,16,9,30,0,3,51,128
POA3392,70,142,0,0,4,16,0,0,26,100,24,113,3,6,3,13,8,24,16,43,42,163,0,0,3,6,0,3,11,22,11,33,0,0,3,7,12,26,14,29,26,63,0,0,142,364
POA3393,333,654,6,34,22,109,3,22,117,480,155,639,3,17,29,78,39,120,68,222,220,860,0,8,12,55,3,13,44,124,64,196,4,14,9,22,28,59,42,93,104,293,8,10,672,1822
POA3395,49,98,0,0,3,21,3,11,13,62,18,87,3,6,4,12,10,28,16,47,35,136,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,7,14,7,14,0,3,91,249
POA3396,115,224,0,10,12,48,4,11,24,110,39,178,0,3,7,13,10,22,13,41,50,221,0,5,5,4,0,0,8,22,12,29,0,3,4,3,11,20,14,30,20,56,3,10,196,516
POA3400,1644,3246,19,119,112,513,33,140,828,3263,995,4035,60,257,102,326,218,666,384,1242,1379,5274,4,21,49,162,21,72,330,896,403,1151,19,55,61,135,200,411,274,594,676,1743,63,133,3767,10395
POA3401,504,992,22,101,78,327,17,71,296,1222,407,1719,33,137,48,139,105,333,182,607,592,2320,4,8,12,42,0,0,33,100,47,152,3,9,10,19,39,83,49,111,103,263,8,8,1202,3589
POA3407,55,113,0,0,6,25,0,0,26,110,32,137,0,7,3,17,14,36,17,58,54,192,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,12,3,13,10,14,0,0,117,322
POA3409,110,208,0,0,5,28,3,12,60,252,71,292,5,20,5,13,17,62,34,97,103,387,0,0,3,9,0,3,13,34,14,44,0,0,0,0,14,23,14,23,29,70,4,7,238,671
POA3412,49,97,0,0,3,21,0,3,15,42,17,66,3,10,0,11,8,16,13,27,24,99,0,0,0,4,0,0,3,12,6,17,0,3,0,4,3,11,5,15,15,30,0,0,85,222
POA3413,21,43,0,0,3,10,0,0,16,68,20,80,0,3,3,7,5,13,12,25,27,106,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,9,3,9,3,7,0,3,61,164
POA3414,246,491,0,0,16,90,0,5,69,266,86,361,11,37,19,62,30,86,61,185,148,552,0,0,10,40,4,12,23,66,33,117,0,3,4,8,25,54,35,68,68,182,5,10,465,1231
POA3415,3,9,0,6,0,6,0,3,0,0,7,13,0,0,0,0,0,5,0,5,3,16,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,10,26
POA3418,364,726,3,22,35,178,6,40,149,580,199,815,19,64,30,102,49,158,99,323,295,1136,0,0,7,25,3,18,21,55,30,96,3,7,9,20,26,57,38,83,71,179,14,26,738,2061
POA3419,115,225,0,7,7,43,0,12,42,155,51,215,3,13,10,28,11,23,22,71,70,283,0,3,0,4,0,4,4,12,9,19,0,7,7,17,8,20,14,38,27,59,4,11,218,576
POA3420,27,55,0,8,0,14,0,4,22,86,23,107,0,3,3,3,5,15,8,26,36,138,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,3,0,3,3,13,0,5,63,204
POA3423,67,131,0,3,3,20,0,0,20,86,23,104,3,14,4,9,3,19,14,40,34,140,0,0,0,3,0,4,6,11,6,20,0,3,3,8,9,12,8,21,19,39,0,0,119,316
POA3424,107,209,0,0,11,37,3,9,40,175,47,220,0,3,6,26,6,18,17,46,65,269,0,0,3,6,0,0,10,23,8,29,0,3,0,8,6,20,12,24,25,52,4,9,196,532
POA3427,262,522,7,26,24,124,8,27,163,612,202,791,20,85,27,86,93,300,141,472,339,1263,0,5,6,20,7,21,45,137,57,183,4,17,10,14,62,128,70,166,132,350,13,22,746,2155
POA3428,59,115,0,7,11,39,8,19,34,128,49,194,4,29,10,27,34,101,49,155,91,357,0,0,0,0,0,0,14,28,14,28,0,3,3,3,17,29,19,36,30,64,0,0,183,533
POA3429,3224,6418,98,515,445,2040,126,576,2434,9504,3097,12639,362,1561,396,1396,1000,3215,1756,6166,4850,18809,17,85,129,446,60,200,605,1586,810,2315,102,312,169,376,642,1411,909,2097,1724,4408,138,289,9935,29923
POA3430,37,72,0,18,3,12,3,21,17,52,27,102,0,7,4,10,5,26,11,43,35,146,0,0,0,4,0,0,3,8,5,9,0,3,0,0,7,12,6,19,14,30,0,3,83,247
POA3431,387,756,11,55,60,287,13,65,283,1125,370,1537,41,177,57,195,118,384,222,754,592,2291,3,21,11,40,3,11,32,98,55,168,4,17,11,22,41,86,60,130,112,294,7,13,1097,3357
POA3432,23,43,0,0,0,0,4,12,17,62,18,74,4,11,0,0,0,5,3,13,26,90,0,0,0,0,0,0,3,7,3,7,0,0,0,0,3,3,3,3,3,10,0,0,46,145
POA3433,19,42,0,5,8,28,0,7,15,48,19,85,3,20,0,9,3,12,11,39,32,124,0,0,0,0,0,3,3,7,0,10,0,0,0,0,0,0,0,0,3,11,3,6,59,184
POA3434,528,1058,18,90,86,376,20,100,338,1348,465,1912,43,185,39,138,149,472,233,794,698,2703,5,20,13,41,5,32,55,171,79,259,11,31,21,42,58,116,86,189,164,451,10,15,1395,4226
POA3435,321,633,3,23,41,191,13,44,188,748,248,1011,22,76,13,53,65,182,100,315,342,1325,0,0,13,48,0,4,29,76,40,135,0,8,7,16,40,82,54,110,97,245,4,7,770,2212
POA3437,1027,2028,22,132,158,718,25,108,844,3397,1049,4357,66,280,150,520,240,769,463,1568,1513,5923,5,43,28,78,6,27,85,237,129,385,23,78,47,110,111,232,181,418,304,804,17,28,2860,8784
POA3438,200,401,8,32,46,204,9,49,205,814,264,1100,19,86,38,114,42,125,97,330,358,1430,0,0,9,33,0,3,24,72,39,104,10,26,4,12,23,43,41,83,74,188,7,11,643,2038
POA3440,209,408,0,3,35,166,9,24,145,605,188,801,10,49,33,103,45,145,87,297,280,1099,0,0,8,22,0,3,12,38,22,64,5,21,3,12,17,40,33,65,50,133,6,3,542,1642
POA3441,196,378,5,35,13,72,0,3,101,395,121,505,5,24,19,58,33,89,51,166,175,673,0,0,0,10,0,4,9,18,12,32,3,3,4,7,8,12,12,27,27,62,0,0,391,1113
POA3442,755,1482,12,73,86,391,21,75,581,2250,701,2782,42,180,104,334,137,448,283,956,982,3741,4,22,25,83,7,25,85,195,115,329,14,47,37,80,90,195,146,322,257,650,27,52,2024,5921
POA3444,1055,2101,19,99,95,429,27,124,508,1994,648,2653,46,192,80,277,181,553,305,1022,954,3672,4,11,20,94,12,28,116,313,149,448,9,25,40,96,137,285,185,410,338,856,29,56,2379,6688
POA3446,124,237,4,19,5,18,6,26,58,227,75,298,4,21,11,38,21,59,40,117,113,416,0,4,3,17,4,13,11,22,18,51,0,3,6,11,18,32,21,50,39,98,3,8,277,759
POA3447,50,104,0,4,3,5,0,0,29,107,30,118,3,17,4,20,5,18,14,54,42,173,0,0,0,5,0,0,3,7,9,12,0,3,3,0,7,23,11,30,23,41,3,4,119,323
POA3448,135,275,0,17,12,40,0,5,49,179,64,247,0,3,10,31,19,50,28,83,86,329,0,5,0,3,0,0,12,24,14,29,3,7,0,3,8,17,8,19,18,56,3,8,251,662
POA3450,753,1471,4,19,49,205,12,57,349,1360,415,1641,24,96,45,136,98,297,169,526,579,2165,0,10,23,66,4,16,141,345,165,432,15,38,53,104,107,224,170,366,342,798,28,64,1701,4499
POA3451,576,1140,12,54,56,280,23,95,265,1018,353,1451,18,77,39,134,98,300,162,516,514,1960,0,3,19,59,3,11,81,211,106,286,3,11,31,59,75,153,108,224,208,512,18,32,1312,3644
POA3453,209,414,3,8,24,120,3,17,101,413,133,562,18,60,22,61,37,114,68,233,208,802,0,0,9,18,0,13,18,43,24,72,0,3,8,22,29,59,38,80,61,156,4,7,482,1384
POA3458,254,509,3,16,18,58,5,27,85,342,113,448,5,23,13,40,42,117,60,185,165,631,0,0,3,15,0,3,17,50,25,64,3,14,6,12,22,44,33,69,56,140,7,8,483,1284
POA3460,292,579,0,3,16,63,6,17,114,434,133,515,4,14,7,33,45,128,56,173,188,688,7,19,10,32,0,4,39,90,56,146,0,3,17,31,47,99,67,137,124,284,3,14,612,1554
POA3461,595,1159,7,30,36,147,12,49,223,875,272,1105,11,40,39,122,74,209,117,374,388,1476,0,6,7,23,10,29,68,179,81,233,3,14,13,17,52,106,70,140,156,372,3,8,1145,3020
POA3462,162,316,0,8,13,63,0,12,61,226,72,307,5,15,16,43,22,60,40,122,114,433,0,0,4,15,0,0,19,42,21,51,0,0,5,10,17,30,17,44,42,95,3,7,318,848
POA3463,380,751,5,30,16,65,5,10,99,394,118,497,8,23,22,71,41,127,65,219,187,715,0,0,4,13,3,11,27,78,38,97,3,6,9,11,37,76,44,95,87,197,7,13,653,1669
POA3464,136,273,6,21,20,81,4,22,63,266,86,383,7,30,16,40,18,55,40,130,126,514,0,3,0,3,3,11,18,47,20,69,0,5,3,5,21,39,24,53,44,120,3,4,307,913
POA3465,1212,2416,16,109,84,400,23,95,395,1556,518,2163,38,156,62,195,174,535,269,895,787,3053,0,15,29,102,14,60,209,611,256,790,20,58,49,112,195,409,264,574,522,1367,27,51,2544,6891
POA3467,156,316,3,13,6,38,7,14,55,248,71,310,3,8,6,18,25,68,31,91,100,405,0,3,5,7,0,3,15,42,23,56,3,4,3,8,15,29,20,46,40,103,7,13,311,829
POA3468,46,90,4,15,0,8,0,3,7,33,13,60,3,16,3,3,0,9,5,24,23,90,0,0,0,3,0,0,3,10,3,15,0,0,0,3,8,12,7,14,8,27,0,0,78,207
POA3469,44,78,0,0,0,0,0,0,11,42,11,42,3,15,9,20,0,8,9,35,21,79,0,0,0,8,0,0,4,7,7,10,0,0,0,3,4,7,4,11,10,21,0,0,74,185
POA3472,205,400,3,15,10,56,0,3,44,183,58,252,3,13,7,19,28,81,38,116,97,369,0,3,3,3,0,0,33,90,33,97,3,11,5,18,23,57,34,83,73,177,6,10,377,953
POA3475,50,101,0,0,3,11,0,0,15,52,14,65,3,8,0,3,9,33,11,42,30,110,0,0,0,0,0,7,4,12,4,16,0,0,0,0,4,12,5,11,13,29,0,0,91,235
POA3477,136,274,0,7,12,50,3,17,32,135,51,206,4,11,8,26,19,55,27,95,83,301,0,0,3,8,0,3,6,13,6,23,0,0,0,3,12,18,9,22,18,48,0,3,239,631
POA3478,328,651,6,21,30,116,3,19,90,359,126,509,9,37,14,53,47,154,75,239,202,750,0,7,9,24,3,12,40,113,54,158,3,3,13,23,32,70,44,104,98,259,13,22,643,1684
