POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3647,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3649,..,44,44,55,3,62,15,0,18,21,0,21,7,0,7,4,0,4,109,53,166
POA3658,..,557,557,727,55,782,338,3,345,335,0,335,176,0,172,66,0,66,1638,617,2254
POA3659,..,65,65,97,3,103,42,0,42,38,0,38,15,0,15,3,0,3,201,66,268
POA3660,..,913,913,948,74,1021,396,6,397,303,5,307,142,10,148,66,6,72,1849,1015,2862
POA3662,..,17,17,61,0,64,58,0,58,59,0,59,30,0,30,12,0,12,220,21,239
POA3663,..,10,10,25,0,29,6,0,6,8,0,8,3,0,3,3,0,3,50,15,57
POA3664,..,120,120,143,9,154,54,0,49,47,0,51,17,0,17,10,0,15,275,129,406
POA3665,..,22,22,61,3,61,23,0,23,12,0,12,8,0,8,0,0,0,103,24,131
POA3666,..,683,683,735,33,773,218,4,220,164,0,163,77,0,80,37,0,37,1232,723,1959
POA3669,..,176,176,213,14,229,69,0,69,45,0,45,17,0,17,3,0,3,349,190,539
POA3670,..,55,55,78,8,84,44,0,44,23,0,23,10,0,10,3,0,3,158,60,215
POA3672,..,1532,1532,1577,108,1688,473,6,477,386,0,387,172,0,172,64,0,64,2675,1653,4325
POA3673,..,130,130,272,7,285,65,0,64,85,0,85,36,0,36,16,0,16,469,139,611
POA3675,..,130,130,262,16,276,85,0,85,100,0,100,47,0,47,14,0,14,507,150,660
POA3677,..,2507,2507,2359,182,2543,900,18,919,834,7,838,351,8,354,121,0,124,4568,2722,7287
POA3678,..,463,463,888,38,926,303,0,298,318,0,319,173,0,173,66,0,66,1747,501,2253
POA3682,..,48,48,73,3,73,19,0,19,36,0,36,21,0,21,6,0,6,158,47,207
POA3683,..,187,187,246,12,262,101,0,99,72,0,72,29,0,29,23,0,23,473,205,675
POA3685,..,325,325,397,20,413,134,5,138,129,0,129,65,0,65,15,0,15,738,350,1085
POA3687,..,110,110,148,13,161,62,3,68,53,0,58,23,0,23,13,0,13,293,124,421
POA3688,..,84,84,159,12,169,69,0,69,69,0,69,22,0,22,17,0,17,339,102,434
POA3690,..,3498,3498,4095,347,4446,1872,34,1906,1710,25,1734,722,5,729,288,0,291,8696,3919,12613
POA3691,..,500,500,1113,43,1155,460,5,467,568,0,569,290,0,290,90,0,90,2511,561,3074
POA3694,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3695,..,21,21,58,0,57,33,0,33,25,0,25,12,0,12,11,0,11,136,28,160
POA3697,..,58,58,88,6,89,33,0,33,28,0,28,12,0,12,4,0,4,158,63,224
POA3698,..,113,113,143,3,151,35,0,35,31,0,31,20,0,20,4,0,4,230,118,347
