SA1_7DIGITCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2126911,18,5,32,134,142,65,44,146,21,557
2126912,0,0,10,79,95,42,42,83,22,364
2126913,0,0,8,53,55,15,16,45,3,188
2126914,7,0,10,70,70,54,38,85,15,339
2126915,101,3,111,52,52,23,14,202,20,365
2126916,4,0,14,90,108,59,31,89,10,396
2126917,8,0,7,111,114,55,63,129,27,508
2126918,3,0,5,86,100,39,29,50,3,312
2126919,8,0,13,80,81,43,34,96,11,348
2126920,8,0,15,104,119,63,52,79,30,452
2126921,5,0,20,138,161,98,61,104,59,618
2126922,12,7,31,105,141,55,26,143,43,506
2127001,0,3,12,130,139,57,42,91,22,475
2127002,0,0,7,119,150,62,32,63,19,446
2127003,0,0,4,56,80,33,16,50,11,246
2127004,8,3,12,99,150,77,50,74,26,477
2127005,0,3,12,113,114,57,38,44,22,394
2127006,3,0,13,97,100,54,36,62,34,384
2127007,3,0,8,83,128,44,26,87,15,381
2127008,0,0,11,85,81,37,37,47,17,298
2127009,4,0,13,123,128,35,31,52,9,385
2127010,3,4,10,108,155,48,41,104,21,487
2127011,9,0,11,115,143,68,35,92,29,491
2127012,9,3,22,118,131,62,45,100,41,511
2127013,6,0,11,75,100,45,21,79,23,342
2127014,3,0,10,112,123,54,46,58,11,403
2127015,0,0,4,69,78,38,34,59,9,283
2127016,3,0,3,104,130,51,26,54,16,381
2127017,4,0,13,118,102,51,32,83,27,410
2127018,3,3,14,81,83,30,30,55,21,306
2127019,3,7,13,93,114,35,37,75,44,404
2127020,0,3,4,78,117,44,22,29,13,310
2127021,0,0,4,69,88,30,19,52,5,263
2127022,3,0,3,66,59,28,16,43,23,241
2127023,3,0,6,103,112,55,31,86,28,415
2127024,3,0,3,119,145,62,36,73,15,450
2127025,3,0,7,104,132,63,44,70,17,436
2127026,3,5,7,95,102,31,38,66,27,353
2127027,3,7,14,76,95,39,26,53,21,305
2127028,3,0,6,54,76,36,27,52,9,261
2127029,3,0,4,93,104,41,33,45,18,324
2127030,0,3,5,56,54,39,19,34,8,202
2127031,3,0,5,49,60,20,20,33,9,188
2127032,4,0,11,67,102,53,43,81,13,354
2127033,0,0,3,55,71,32,23,26,17,213
2127034,3,0,9,98,91,47,36,52,14,339
2127035,4,3,12,41,59,29,12,74,4,221
2127036,0,0,0,0,0,0,0,0,0,0
2127037,0,0,6,71,84,33,19,68,10,283
2127038,0,0,0,51,64,22,23,45,14,222
2127039,0,0,0,88,53,17,7,71,16,252
2127040,0,0,0,0,0,0,0,0,0,0
2127101,0,0,0,0,0,0,0,0,0,0
2127102,33,18,80,96,111,47,33,107,30,432
2127103,5,6,14,108,156,59,60,70,35,486
2127104,0,0,0,61,88,22,15,44,17,246
2127105,0,0,6,165,164,55,30,149,34,598
2127106,6,0,15,97,118,50,36,71,24,393
2127107,3,3,5,80,82,35,27,60,14,296
2127108,0,0,5,66,79,50,39,65,23,312
2127109,6,0,13,112,131,64,35,89,26,456
2127110,0,0,4,89,87,36,31,65,20,320
2127111,4,0,8,99,89,54,37,70,7,352
2127112,0,0,5,90,71,37,22,52,4,277
2127113,0,0,13,112,124,55,32,101,14,433
2127114,3,0,3,48,47,23,11,39,7,177
2127115,0,3,9,70,64,26,24,52,34,271
2127116,8,6,14,115,129,66,43,94,33,484
2127117,7,0,7,108,110,52,29,94,9,402
2127118,3,0,10,74,87,33,22,72,6,300
2127119,3,0,21,91,107,47,39,62,27,365
2127120,0,0,10,50,51,35,19,48,7,211
2127121,4,0,12,117,129,64,41,59,28,429
2127122,7,0,7,73,85,58,28,57,21,322
2127123,4,3,15,155,168,48,35,160,53,615
2127124,0,0,4,78,78,39,14,105,28,340
2127125,0,0,3,41,39,10,7,61,20,185
2127126,48,92,151,104,84,43,34,127,149,543
2127127,0,0,0,60,72,35,24,52,9,241
2127128,3,0,7,28,58,18,14,66,45,223
2127129,0,0,0,0,0,0,0,0,0,0
2127201,3,3,6,60,81,24,31,52,28,272
2127202,0,0,7,60,90,43,19,31,14,255
2127203,0,0,0,58,83,38,37,49,7,271
2127204,10,0,12,132,132,71,32,108,29,505
2127205,7,4,19,128,150,68,47,105,31,536
2127206,9,3,13,83,99,50,35,70,21,357
2127207,0,0,4,58,95,42,29,42,13,278
2127208,4,0,14,64,82,27,31,49,19,266
2127209,0,0,8,108,91,48,23,52,14,331
2127210,0,0,6,87,84,37,26,54,11,302
2127211,0,3,6,86,116,47,34,57,18,359
2127212,3,0,3,69,102,46,35,38,17,304
2127213,3,0,8,90,126,68,35,80,8,401
2127214,35,3,46,87,105,50,32,132,19,425
2127215,4,0,6,110,139,68,52,102,7,474
2127216,0,0,0,86,100,49,31,72,17,360
2127217,3,0,8,85,106,52,31,67,20,369
2127218,3,0,7,95,98,43,32,66,12,346
2127219,0,0,0,92,116,49,33,80,13,379
2127220,0,3,5,61,75,31,23,57,12,257
2127221,0,0,8,79,75,48,54,53,19,333
2127222,0,0,5,82,61,42,28,44,4,267
2127223,3,0,3,72,70,27,19,90,5,289
2127224,0,0,0,67,70,32,15,47,3,243
2127225,0,0,0,22,25,10,10,25,3,101
2127301,3,0,3,69,91,27,19,52,17,271
2127302,3,0,3,86,82,34,22,61,11,300
2127303,0,0,3,77,74,30,26,46,15,266
2127304,3,0,3,83,75,52,30,64,8,308
2127305,16,13,52,98,95,49,33,102,26,392
2127306,4,0,6,58,93,54,31,61,16,320
2127307,4,0,9,135,95,55,33,98,6,430
2127308,78,7,84,52,41,20,15,167,17,314
2127309,3,0,3,72,72,42,29,59,3,274
2127310,3,0,5,68,69,47,34,81,4,304
2127311,3,0,3,68,61,32,25,57,0,247
2127312,3,0,0,80,73,49,30,75,13,319
2127313,0,3,8,102,102,56,43,83,14,399
2127314,3,0,8,105,89,52,42,74,7,367
2127315,3,0,6,68,75,29,37,64,14,283
2127316,4,0,4,80,89,47,33,74,13,338
2127317,0,0,0,78,89,40,35,61,10,313
2127318,0,0,0,51,66,36,20,45,3,220
2127319,3,0,7,66,102,48,26,52,12,309
2127320,0,0,7,90,100,40,21,100,12,367
2127321,3,0,4,98,99,65,36,95,21,410
2127322,4,0,4,101,107,49,31,65,4,363
2127323,55,39,110,110,99,77,40,149,68,554
2127324,6,0,8,88,111,55,42,89,12,389
2127325,0,0,4,82,93,52,24,66,6,328
2127326,0,0,0,59,72,51,30,43,11,260
2127327,0,0,4,50,65,22,20,41,16,211
2127328,0,0,0,85,102,41,25,89,11,360
2127329,0,0,8,99,106,57,52,73,10,402
2127330,3,0,7,60,90,44,26,51,12,282
2127401,0,0,3,47,42,28,24,45,33,230
2127402,0,0,3,74,95,56,27,61,6,318
2127403,0,0,0,68,63,35,25,28,6,223
2127404,0,0,8,77,96,43,25,44,15,302
2127405,0,0,0,81,124,51,41,29,37,360
2127406,0,0,3,111,117,65,35,51,27,410
2127407,0,0,0,54,67,36,21,13,15,218
2127408,0,0,0,64,85,33,24,28,19,251
2127409,0,0,4,52,75,32,23,41,32,257
2127410,0,0,0,45,54,37,19,33,17,195
2127411,0,0,3,56,86,31,27,25,15,238
2127412,0,0,4,95,127,64,48,83,32,444
2127413,0,0,3,52,69,25,21,24,10,192
2127414,0,0,0,67,103,42,21,35,17,286
2127415,0,0,0,49,36,28,14,23,4,158
2127416,0,0,4,97,108,45,30,51,10,350
2127417,0,0,3,32,47,16,13,24,11,146
2127418,0,0,0,83,90,38,24,39,20,283
2127419,0,0,0,50,67,26,7,27,7,186
2127420,0,0,3,79,72,54,19,44,25,295
2127421,0,0,0,71,77,32,25,39,19,257
2127422,0,0,0,62,97,45,41,48,11,304
2127423,0,0,0,48,83,38,25,30,21,235
2127424,0,0,0,31,61,26,16,25,14,173
2127425,0,0,0,61,83,27,27,45,11,247
2127426,0,0,0,31,48,22,20,22,14,149
2127427,0,0,0,47,66,14,25,26,12,194
2127428,0,0,0,58,73,35,20,33,12,228
2127429,0,0,6,71,82,38,28,25,12,267
2127430,0,3,9,104,143,64,41,59,24,443
2127431,0,0,0,45,59,19,20,18,13,176
2127501,0,0,0,69,98,47,38,80,23,362
2127502,6,3,12,119,107,51,48,87,18,428
2127503,3,3,13,108,108,34,31,71,34,389
2127504,6,0,9,73,85,35,43,71,14,326
2127505,3,4,9,139,125,61,43,88,45,502
2127506,3,0,7,95,111,44,32,83,21,380
2127507,8,0,6,75,80,40,36,64,14,314
2127508,0,0,0,40,62,20,20,36,4,182
2127509,0,0,0,0,0,0,0,0,0,0
2127510,4,3,9,91,133,45,52,80,23,424
2127511,3,0,4,81,111,46,32,60,16,355
2127512,4,0,10,66,74,29,24,85,15,302
2127513,0,3,7,119,105,48,34,92,23,414
2127514,9,0,8,82,85,37,24,77,17,313
2127515,3,5,15,132,127,71,40,88,41,500
2127516,0,0,0,95,84,31,31,40,6,291
2127517,3,0,3,92,78,60,52,81,24,390
2127518,3,0,5,94,122,51,37,90,33,425
2127519,6,0,9,78,93,39,31,77,21,338
2127520,0,3,3,78,77,29,21,49,12,264
2127521,0,0,3,65,79,49,37,58,15,306
2127522,0,0,0,74,57,34,26,49,16,249
2127523,0,3,5,51,58,22,29,51,12,219
2127524,3,4,10,41,48,16,22,56,24,200
2127525,4,0,4,83,78,26,30,43,6,266
2127601,0,0,0,36,53,21,13,19,36,186
2127602,4,0,10,57,82,39,42,45,19,272
2127603,8,3,13,114,139,67,55,82,53,510
2127604,0,0,3,77,80,42,47,56,29,317
2127605,0,0,4,62,76,37,21,45,23,264
2127606,3,0,7,78,106,54,38,68,27,374
2127607,9,3,13,63,114,47,36,61,40,364
2127608,7,5,10,49,88,45,16,45,26,274
2127609,24,9,28,69,90,36,27,83,67,374
2127610,51,8,68,141,148,64,72,211,74,714
2127611,3,3,13,47,69,30,38,53,22,261
2127612,0,0,0,54,72,38,24,41,23,255
2127613,0,0,6,82,123,56,53,74,32,417
2127614,3,0,8,115,109,55,37,96,28,436
2127615,0,0,0,3,0,0,0,0,0,3
2127616,0,0,0,71,130,62,50,58,17,387
2127617,0,0,0,59,59,25,34,30,23,233
2127618,23,3,28,62,81,48,36,94,52,368
2127619,3,3,10,62,76,29,31,56,36,294
2127620,0,0,4,116,140,71,41,68,37,477
2127621,0,0,0,46,43,23,17,24,25,178
2127622,0,0,0,66,88,42,48,33,16,297
2127623,0,0,3,30,70,37,25,47,18,222
2127624,0,0,0,58,60,29,28,30,22,226
2127625,0,0,5,66,118,39,30,39,52,346
2127626,4,0,11,108,115,44,23,66,34,390
2127627,0,0,3,129,141,61,39,103,39,498
2127628,3,0,10,65,75,52,21,37,26,278
2127629,0,0,3,42,61,20,37,27,17,206
2127630,0,0,0,26,45,22,17,20,19,154
2127631,3,0,4,56,82,56,36,50,22,299
2127632,0,0,5,66,113,63,38,50,52,380
2127633,3,0,5,68,75,23,31,60,13,271
2127634,0,0,0,68,70,55,34,53,26,308
2127635,0,0,7,49,90,64,33,62,35,335
2127701,0,4,8,65,79,31,30,54,13,277
2127702,0,0,8,127,145,43,50,87,31,479
2127703,3,0,8,96,126,47,40,116,43,468
2127704,0,0,9,118,132,52,38,69,38,448
2127705,0,0,7,120,137,60,42,66,9,431
2127706,3,0,7,81,98,48,26,57,15,326
2127707,0,3,4,61,73,35,32,40,16,253
2127708,73,5,83,114,132,54,47,177,34,564
2127709,0,0,3,72,87,39,24,39,17,277
2127710,0,0,4,76,71,52,29,55,19,307
2127711,0,0,3,51,56,34,18,40,18,211
2127712,6,0,9,82,115,37,35,98,30,391
2127713,0,0,8,114,150,58,57,111,27,520
2127714,4,3,6,111,116,40,42,101,40,455
2127715,0,0,0,0,0,0,0,0,0,3
2127716,16,3,17,125,170,48,30,142,62,576
2127717,0,0,5,70,87,30,31,55,21,287
2127718,0,0,4,95,119,42,37,66,30,392
2127719,117,28,192,95,103,56,33,218,49,561
2127720,3,0,9,84,83,40,27,64,38,324
2127801,0,0,3,61,44,17,14,42,7,182
2127802,0,0,0,0,0,0,0,0,3,3
2127803,3,0,3,55,73,33,22,48,13,252
2127804,0,0,0,57,74,43,24,54,26,273
2127805,3,0,6,56,51,27,24,66,31,245
2127806,3,0,3,95,108,60,34,51,26,365
2127807,4,0,4,88,93,47,33,79,19,351
2127808,0,0,4,46,50,23,34,26,21,202
2127809,3,0,6,129,127,54,37,92,33,478
2127810,0,0,8,83,69,30,28,44,13,255
2127811,3,0,5,30,52,38,28,25,13,175
2127812,0,0,3,53,44,27,25,41,9,195
2127813,0,0,0,69,69,29,25,54,14,255
2127814,0,0,0,47,69,41,23,64,9,257
2127815,6,3,24,97,106,75,39,109,44,473
2127816,0,0,0,69,88,52,30,48,28,319
2127817,0,0,0,62,58,30,30,47,13,242
2127818,0,0,7,116,127,59,30,97,18,457
2127819,0,0,0,93,86,51,29,54,12,333
2127820,3,0,3,108,113,78,40,73,20,424
2127821,0,0,0,0,0,3,0,3,0,9
2127822,3,3,7,117,150,45,47,95,26,475
2127823,4,3,13,85,85,39,31,111,43,406
2127824,0,3,10,66,77,34,33,59,32,294
2127825,70,3,75,80,108,53,30,179,40,482
2127826,0,0,3,111,112,54,31,63,7,378
2127827,3,0,6,108,108,44,32,71,16,373
2127828,0,0,3,100,85,19,24,88,32,344
2127829,4,3,15,132,163,52,48,120,47,565
2127830,9,6,16,170,154,53,29,111,63,582
2127831,6,0,7,125,108,39,37,137,35,484
2127832,4,0,3,88,86,46,30,62,12,324
2127833,0,0,4,96,100,38,38,77,8,355
2127834,0,0,0,102,119,59,34,99,33,444
2127835,0,0,0,90,138,48,32,57,14,388
2127836,0,3,3,88,102,45,27,38,6,314
2127837,28,17,79,35,94,48,35,111,77,407
2127838,0,0,0,3,0,0,0,0,0,3
2127839,3,0,10,87,101,38,35,68,18,335
2127840,0,0,0,57,70,30,24,47,19,246
2127841,0,0,0,74,85,36,39,65,12,313
2127842,0,0,0,51,61,36,26,44,17,234
2127843,0,0,0,71,62,23,21,51,24,252
2127844,0,0,3,75,55,27,26,31,12,225
2127845,0,0,0,71,70,21,25,41,13,254
2127846,3,0,3,142,153,63,48,115,17,547
2127847,0,0,0,120,100,63,65,89,14,444
2127901,10,3,15,104,112,44,45,85,28,422
2127902,0,0,3,41,48,37,22,27,7,181
2127903,0,0,3,68,87,44,38,52,20,298
2127904,8,0,14,109,131,65,53,78,24,464
2127905,9,0,13,110,129,70,62,89,29,485
2127906,0,0,4,65,83,44,37,24,24,285
2127907,4,0,4,69,115,43,19,62,16,328
2127908,0,0,6,54,62,34,32,35,19,247
2127909,7,0,15,99,118,60,35,79,26,412
2127910,0,0,5,81,85,49,30,54,19,317
2127911,4,5,11,57,85,50,26,47,13,280
2127912,0,0,5,53,46,44,23,31,23,220
2127913,5,3,24,89,97,50,52,82,28,394
2127914,0,0,0,49,65,29,26,27,9,208
2128001,0,0,0,75,119,41,33,51,10,329
2128002,0,0,3,98,97,38,32,60,22,350
2128003,0,0,0,65,75,39,32,54,16,284
2128004,0,0,8,66,77,35,30,62,13,285
2128005,7,0,9,55,83,31,20,46,30,260
2128006,0,0,3,67,85,36,19,46,7,265
2128007,52,21,74,75,102,57,30,148,45,459
2128008,68,18,92,82,103,33,21,186,48,478
2128009,3,0,10,98,96,47,31,51,12,330
2128010,0,0,3,72,84,33,7,55,27,284
2128011,0,0,0,46,70,29,25,40,5,212
2128012,0,0,5,114,137,65,51,85,12,469
2128013,0,0,4,95,108,57,38,35,11,330
2128014,0,0,8,79,73,44,29,45,24,301
2128015,0,0,0,62,77,24,25,31,12,223
2128016,7,0,13,66,75,42,29,67,13,292
2128017,3,0,3,59,40,23,20,34,11,187
2128018,0,0,0,57,55,25,11,43,11,196
2128101,3,0,15,176,150,53,43,121,75,611
2128102,3,0,5,88,93,34,17,86,24,343
2128103,0,0,9,43,46,13,21,50,13,182
2128104,3,0,0,84,100,36,32,81,20,356
2128105,0,0,6,72,86,48,34,69,20,328
2128106,4,0,9,125,141,57,39,90,16,468
2128107,8,0,9,58,72,39,16,66,15,264
2128108,0,0,0,103,80,38,27,67,4,318
2128109,0,0,0,150,136,49,30,63,16,454
2128110,0,4,10,126,128,64,53,107,30,510
2128111,3,0,4,95,96,49,30,82,14,362
2128112,0,3,3,88,87,46,29,70,13,338
2128113,0,0,0,131,162,83,50,102,21,554
2128114,0,0,0,86,104,45,28,46,17,326
2128115,3,0,3,116,118,48,42,105,11,440
2128116,5,0,9,97,105,48,28,78,17,377
2128117,0,0,4,143,154,59,34,79,17,486
2128118,8,3,7,102,118,48,35,105,29,441
2128119,0,3,3,103,115,40,50,77,15,403
2128120,0,0,8,132,103,53,29,88,22,438
2128121,3,0,3,115,118,56,36,70,14,407
2128122,0,0,5,63,86,27,21,39,7,234
2128123,3,31,41,96,127,68,31,64,76,468
2128124,6,0,11,108,119,39,41,120,37,468
2128125,0,0,3,92,79,36,38,62,21,324
2128126,0,4,3,89,100,39,41,66,12,359
2128127,0,0,3,112,136,58,44,85,17,452
2128128,0,3,4,100,126,59,40,81,29,437
2128129,0,0,6,86,114,50,38,63,16,375
2128130,0,0,0,115,111,42,37,80,19,402
2128131,3,0,5,119,108,51,36,94,34,442
2128132,0,4,7,129,113,63,48,82,31,464
2128133,4,0,11,88,105,37,42,92,54,414
2128134,0,3,10,83,116,41,27,73,22,356
2128135,0,0,4,36,55,22,16,51,21,194
2128136,0,0,3,82,71,59,33,55,9,306
2128137,0,0,3,55,82,22,19,46,16,239
2128138,0,0,4,110,107,47,43,66,20,389
2128139,0,0,5,57,52,44,23,48,6,222
2128140,0,0,0,72,87,41,20,43,11,280
2128141,0,0,0,113,104,51,37,86,19,397
2128142,4,0,4,100,80,62,42,113,13,411
2128143,3,0,3,45,66,23,21,41,15,212
2128144,0,0,0,93,114,52,25,66,12,359
2128145,22,9,38,118,123,41,40,155,39,515
2128146,0,0,6,88,107,47,21,61,18,343
2128147,4,3,5,70,68,29,30,51,12,255
2128201,3,0,5,86,124,54,44,51,18,377
2128202,0,0,4,44,65,44,24,38,16,240
2128203,4,0,6,75,103,44,31,32,37,315
2128204,3,0,3,54,84,39,25,31,9,245
2128205,0,0,0,77,89,44,36,36,17,300
2128206,3,0,3,40,35,32,18,28,13,159
2128207,0,0,0,30,58,36,18,18,9,172
2128208,0,0,0,56,69,32,20,8,16,208
2128209,3,0,3,53,89,56,28,48,19,287
2128210,0,0,4,61,72,51,14,14,11,228
2128211,0,0,0,44,93,48,40,36,11,273
2128212,0,0,5,60,107,50,51,33,19,317
2128213,0,0,0,67,90,49,34,25,8,268
2128214,0,0,0,93,97,36,27,30,28,314
2128215,4,0,8,72,124,60,36,61,20,370
2128216,4,0,5,56,85,49,33,40,16,286
2128217,0,0,0,3,9,0,0,5,0,12
2128218,0,0,10,81,100,65,26,65,23,354
2128219,0,0,3,72,102,54,41,37,15,321
2128220,0,0,8,113,150,82,56,69,35,507
2128221,0,0,0,34,31,19,27,16,14,144
2128222,13,7,17,89,135,59,43,51,29,396
2128223,5,0,8,82,130,72,39,70,29,422
2128224,0,0,4,74,99,36,26,33,19,281
2128225,0,0,3,51,59,31,12,16,25,183
2128226,3,0,8,40,57,35,21,37,9,204
2128227,0,0,0,0,0,0,0,0,0,0
2128228,0,0,0,60,76,37,30,32,40,274
2128229,0,0,0,0,0,0,0,0,0,3
2128230,0,0,0,4,4,0,0,4,0,18
2128231,0,0,0,0,0,0,0,0,0,0
2128232,0,0,0,105,143,74,42,48,42,447
2128301,0,0,0,69,69,42,29,42,13,265
2128302,0,0,0,93,101,49,38,54,21,350
2128303,0,0,0,52,45,24,22,31,24,208
2128304,12,4,26,81,114,43,35,78,28,377
2128305,4,0,9,82,94,48,45,53,10,329
2128306,0,3,9,123,120,78,52,118,40,526
2128307,0,0,0,56,73,46,19,32,15,242
2128308,3,0,3,65,79,32,23,49,17,258
2128309,0,0,4,120,113,38,43,66,22,408
2128310,0,0,4,66,79,39,46,59,28,311
2128311,3,0,3,107,120,46,32,74,22,402
2128312,0,0,0,72,73,29,32,46,15,270
2128313,0,0,3,78,90,41,43,58,8,326
2128314,0,0,7,65,77,41,32,39,21,287
2128315,0,0,0,68,79,24,23,44,12,250
2128316,0,0,3,71,86,36,25,36,16,270
2128317,0,0,0,100,92,62,34,65,35,395
2128318,0,0,0,34,76,39,15,41,10,211
2128319,0,0,0,91,93,38,26,49,23,323
2128320,3,0,3,80,86,41,35,51,23,310
2128321,0,0,0,66,81,38,24,37,18,268
2128322,0,0,0,44,59,29,23,41,13,204
2128323,0,0,0,56,60,42,20,46,11,224
2128324,0,0,0,75,79,40,24,55,13,292
2128325,0,0,0,57,80,29,31,72,16,285
2128326,0,0,0,40,50,19,21,27,4,167
2128401,0,0,0,53,86,28,15,32,11,224
2128402,0,0,0,71,92,51,26,52,23,306
2128403,0,0,0,77,103,46,31,38,33,337
2128404,0,0,0,90,88,40,31,52,15,310
2128405,0,0,0,90,100,34,27,36,10,307
2128406,0,0,0,55,54,28,17,26,5,188
2128407,0,0,0,38,47,14,14,33,33,182
2128408,3,0,4,80,94,39,23,51,19,300
2128409,0,0,0,38,73,36,22,25,3,198
2128410,0,0,0,75,123,62,31,51,0,343
2128411,0,0,0,78,110,34,25,54,19,310
2128412,0,0,0,64,78,47,21,37,13,259
2128413,3,0,4,110,109,56,32,50,15,375
2128414,0,0,0,46,67,24,10,37,3,180
2128415,0,0,3,82,103,38,31,21,10,286
2128416,0,0,3,70,87,43,29,48,13,293
2128417,0,0,6,78,112,46,30,68,8,351
2128418,0,0,3,39,69,23,17,36,9,188
2128419,0,0,3,103,98,40,34,56,10,348
2128420,0,0,4,171,174,88,43,73,28,575
2128421,4,3,13,79,99,55,12,47,12,305
2128422,0,0,3,71,108,52,15,31,11,285
2128423,0,3,4,105,142,58,23,60,31,417
2128424,0,3,4,79,107,44,27,30,22,312
2128425,0,0,0,37,52,23,16,31,21,177
2128426,3,0,0,58,93,39,30,24,4,251
2128427,0,0,0,40,51,22,19,36,0,173
2128501,0,0,5,30,46,20,14,25,6,139
2128502,0,0,0,36,38,20,11,30,3,145
2128503,0,0,0,54,56,31,27,50,12,224
2128504,0,0,4,80,81,34,26,39,16,279
2128505,0,0,4,68,74,26,11,57,6,247
2128506,0,4,5,51,65,39,19,57,17,250
2128507,0,3,3,57,66,47,26,41,16,257
2128508,0,0,3,42,59,29,26,37,14,212
2128509,0,0,0,75,95,36,48,51,18,321
2128510,0,0,4,30,46,24,24,28,19,171
2128511,3,4,15,94,98,41,40,66,33,374
2128512,0,0,3,22,26,22,16,27,9,127
2128513,0,0,0,32,37,14,12,21,0,112
2128514,0,3,4,36,36,23,11,34,14,156
2128515,0,0,3,37,54,42,13,45,16,201
2128516,0,0,0,72,80,39,45,40,25,298
2128517,0,0,3,44,55,28,22,38,13,200
2128518,0,0,0,36,46,29,13,42,9,179
2128519,0,0,3,63,70,41,19,32,19,252
2128520,0,0,4,69,70,24,31,43,9,242
2128521,0,0,3,68,67,37,39,37,49,299
2128522,0,0,0,71,80,35,27,48,10,278
2128523,0,0,0,48,42,33,17,28,9,175
2128524,0,0,3,101,114,42,33,81,13,391
2128525,0,0,0,75,92,46,30,60,12,309
2128526,0,0,3,57,57,29,30,46,23,239
2128601,0,0,6,29,36,24,19,11,17,135
2128602,0,0,0,65,58,32,35,37,27,258
2128603,3,0,3,66,93,45,32,46,20,307
2128604,0,0,0,72,88,42,32,56,30,323
2128605,0,0,0,70,72,25,34,50,26,278
2128606,0,0,0,55,67,41,19,42,19,247
2128607,5,0,5,32,68,27,31,45,28,224
2128608,3,0,7,67,76,35,31,38,24,285
2128609,0,0,0,4,0,0,0,0,0,3
2128610,3,0,5,71,93,35,49,61,26,334
2128612,0,0,0,63,60,37,26,50,5,251
2128613,0,0,0,57,65,38,50,60,30,289
2128614,3,0,5,77,87,44,28,76,28,349
2128615,0,3,3,80,97,39,38,73,22,355
2128616,3,0,3,64,78,29,40,55,19,283
2128617,19,0,25,49,49,50,37,69,35,292
2128618,0,0,5,84,111,65,45,61,16,378
2128619,0,0,3,27,53,21,23,14,12,148
2128620,0,0,5,42,72,35,30,32,20,232
2128621,5,0,6,50,71,37,23,57,51,291
2128622,3,0,3,38,65,27,24,33,40,227
2128623,0,0,0,44,42,21,20,30,23,192
2128625,0,0,7,33,45,22,17,37,13,164
2128626,0,0,3,39,44,17,21,37,20,186
2128627,0,0,7,80,66,34,31,64,35,313
2128628,0,0,4,57,77,40,45,59,18,297
2128629,45,3,53,80,90,55,41,149,31,441
2128630,3,0,11,59,95,42,25,57,22,308
2128631,0,0,0,66,104,57,41,56,35,366
2128632,4,0,3,56,43,33,28,41,8,217
2128633,0,0,3,41,48,23,16,45,10,181
2128634,0,0,6,59,87,50,32,50,25,296
2128635,4,0,7,34,34,21,28,31,10,160
2128636,0,0,0,35,45,36,19,21,20,176
2128637,0,0,0,24,46,21,22,22,26,165
2128638,0,0,3,50,44,29,27,48,32,239
2128639,0,3,7,63,67,24,31,34,34,258
2128640,0,0,7,39,52,28,27,30,16,190
2128641,0,0,5,22,28,22,15,18,20,123
2128642,0,0,4,83,110,51,55,80,41,410
2128643,0,0,7,64,81,29,43,45,35,293
2128644,0,0,0,37,70,38,27,27,41,243
2128645,0,0,0,0,0,0,0,0,0,0
2128646,0,3,13,36,61,20,17,33,11,165
2128647,0,0,5,51,48,41,26,24,5,204
2128648,0,0,3,46,52,13,20,33,22,186
2128649,3,0,8,59,90,29,24,49,32,286
2128650,0,0,0,45,51,20,18,36,16,190
2128651,0,0,3,42,35,26,26,39,12,187
2128652,0,0,0,52,68,27,33,42,30,251
2128653,0,0,0,0,0,0,0,0,0,0
2128654,0,0,5,66,87,53,37,51,35,329
2128655,0,0,4,80,93,36,42,76,21,353
2128656,0,0,0,4,3,0,7,3,0,15
2128657,0,4,9,37,45,38,29,35,30,218
2128701,0,0,0,111,107,48,20,96,34,412
2128702,0,0,0,108,105,48,31,63,12,357
2128703,3,3,13,75,79,49,33,65,26,335
2128705,0,0,0,115,110,48,35,88,16,411
2128706,0,0,3,61,86,38,38,50,5,277
2128707,0,0,0,124,143,52,48,105,36,511
2128708,3,0,0,59,82,44,46,68,19,313
2128710,3,3,4,42,61,22,16,40,20,204
2128711,0,0,5,88,98,52,28,76,11,351
2128712,0,0,0,100,103,49,30,57,14,353
2128713,0,0,0,82,77,46,44,49,17,307
2128714,0,0,7,107,143,58,35,64,33,443
2128715,0,0,0,50,55,25,16,47,9,199
2128716,0,0,0,178,202,74,47,107,32,646
2128717,3,0,4,77,97,48,30,61,16,332
2128718,3,0,3,130,151,46,47,79,48,503
2128719,0,0,3,219,248,89,81,136,47,818
2128720,0,0,0,122,148,51,40,105,25,489
2128721,0,0,0,50,49,24,11,33,18,183
2128722,0,0,3,193,176,58,64,145,25,662
2128723,0,0,0,181,172,85,63,120,33,658
2128724,0,0,0,0,0,0,0,0,0,0
2128725,0,0,0,249,300,107,85,194,40,974
2128726,0,0,0,118,111,36,35,67,13,383
2128801,0,0,3,58,65,41,27,60,27,276
2128802,3,0,6,39,50,30,29,42,19,203
2128803,0,0,0,31,57,27,21,24,8,166
2128804,0,0,4,59,66,29,43,38,30,269
2128805,0,0,3,56,62,43,39,39,27,272
2128806,0,0,3,43,37,32,24,39,14,185
2128807,0,0,4,56,70,41,27,65,40,305
2128808,0,3,10,125,125,64,48,78,30,462
2128809,3,0,9,116,123,43,43,86,25,441
2128810,0,0,0,40,63,29,25,37,20,219
2128811,0,3,3,94,97,43,40,49,39,364
2128812,0,0,8,90,91,55,50,35,43,361
2128813,4,4,12,135,165,93,55,107,43,595
