SA2_MAINCODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
210011230,593,1176,4,26,96,454,13,58,510,1963,630,2503,73,306,95,337,156,515,327,1157,956,3659,3,12,34,107,0,8,77,212,117,340,17,50,56,125,113,254,186,431,304,772,32,78,1887,5680
210011231,761,1526,18,91,178,809,30,139,666,2658,894,3702,116,483,166,604,270,858,549,1940,1442,5638,3,9,23,80,3,10,61,157,96,251,18,49,31,81,151,325,198,447,292,701,47,106,2544,7974
210021232,1230,2430,35,170,203,927,36,156,1048,4215,1312,5459,90,369,189,632,283,892,563,1895,1873,7361,5,43,36,109,7,30,110,310,168,490,34,104,54,118,136,279,214,504,380,990,23,39,3500,10818
210021233,404,788,11,40,51,238,9,32,242,998,311,1302,20,68,49,163,81,238,141,465,456,1775,0,0,9,30,3,7,17,64,33,100,5,22,12,16,28,55,45,90,72,196,6,3,935,2757
210021234,399,779,11,55,64,292,13,65,290,1138,377,1554,41,177,55,197,118,384,219,756,600,2311,3,21,11,40,3,11,32,98,55,168,4,17,11,22,41,86,60,130,112,294,7,13,1115,3401
210021235,1007,1986,28,144,139,626,39,172,625,2457,829,3404,80,331,68,232,249,780,400,1339,1222,4743,5,20,24,97,8,38,103,287,143,443,17,44,28,67,112,235,156,351,299,794,14,29,2543,7552
210031236,696,1390,11,50,70,324,16,55,574,2136,662,2566,38,160,41,145,149,477,229,784,890,3351,0,0,20,55,3,13,85,215,108,281,18,46,31,65,148,314,194,428,302,708,43,87,1940,5543
210031237,955,1952,43,237,185,953,31,169,970,4003,1229,5359,88,411,94,322,328,1107,506,1843,1735,7199,11,41,40,155,12,48,146,419,208,664,22,87,46,118,301,673,373,880,580,1544,83,179,3358,10869
210031239,2210,4416,29,170,231,1054,37,178,1741,6445,2045,7849,155,652,240,859,422,1379,816,2894,2857,10744,5,32,62,206,19,65,280,703,366,1004,50,174,98,241,363,774,510,1187,873,2191,169,349,6111,17706
210031438,1949,3949,52,321,175,875,47,208,1510,5780,1790,7185,124,519,144,507,433,1424,698,2450,2492,9635,10,60,57,229,31,121,280,747,385,1152,35,121,95,227,434,959,562,1307,948,2464,155,337,5539,16385
210031439,275,545,4,15,41,193,8,30,259,1005,310,1247,21,74,30,109,55,183,109,370,419,1613,0,0,10,19,3,6,41,100,51,124,8,19,9,27,32,69,51,120,96,245,12,23,800,2429
210031440,532,1078,19,106,64,311,19,80,346,1345,438,1838,37,156,38,138,161,525,241,825,677,2663,3,18,11,48,4,30,75,197,93,288,15,52,26,60,134,297,178,410,278,705,30,58,1513,4504
210041240,1126,2250,39,211,181,842,47,221,854,3365,1123,4644,149,638,169,594,385,1246,700,2477,1827,7121,4,33,42,160,15,53,179,466,243,707,28,91,39,82,204,448,269,618,519,1330,38,83,3509,10777
210041241,2370,4728,58,335,295,1353,85,386,1780,6876,2216,8949,238,1022,267,923,707,2285,1206,4231,3428,13177,14,58,88,312,46,162,479,1264,626,1795,75,237,139,308,500,1107,719,1648,1342,3446,107,227,7250,21574
210051242,712,1471,53,336,149,759,41,235,765,3111,1005,4441,73,330,72,248,262,913,406,1494,1412,5934,20,101,54,208,34,119,260,787,371,1221,36,122,49,114,331,739,413,972,784,2199,85,195,2993,9789
210051243,942,1908,68,430,238,1285,99,506,880,3836,1291,6062,143,679,115,415,431,1484,688,2573,1974,8633,24,122,73,290,37,152,221,685,352,1255,50,174,73,181,421,990,543,1348,900,2600,83,179,3898,13328
210051245,1611,3249,35,222,197,937,55,248,936,3697,1222,5113,187,818,196,692,651,2120,1033,3632,2261,8740,8,53,72,259,24,102,238,684,346,1101,71,246,90,200,434,965,595,1417,943,2516,81,166,4893,14672
210051246,1170,2327,64,345,307,1460,63,290,1086,4316,1514,6403,265,1195,290,1051,702,2369,1256,4606,2771,11014,8,22,42,174,16,63,146,416,214,674,48,155,39,97,204,460,289,716,506,1390,43,87,4484,14814
210051247,715,1442,79,487,265,1365,80,401,869,3657,1291,5909,159,729,169,615,424,1449,753,2787,2048,8695,23,121,59,251,40,156,250,762,376,1290,52,186,70,180,347,793,472,1162,849,2454,66,150,3681,12738
210051248,10,18,0,0,0,8,0,0,3,13,4,16,0,0,3,15,0,4,3,17,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50
210051249,826,1685,144,861,565,2942,139,682,1528,6498,2372,10989,269,1229,302,1087,563,1998,1134,4311,3510,15303,29,128,78,312,45,173,249,747,403,1360,76,277,80,209,275,675,429,1168,833,2522,63,140,5231,19652
210051250,651,1304,11,49,38,172,13,58,344,1271,404,1554,38,176,42,145,183,614,267,941,667,2497,3,21,10,38,12,28,135,345,157,431,10,30,47,98,163,360,221,486,377,920,35,77,1730,4794
210051441,539,1108,21,132,107,529,35,160,593,2376,756,3185,79,367,83,281,258,876,422,1522,1177,4704,9,50,36,137,16,61,147,400,201,645,31,112,27,69,175,399,228,576,431,1221,30,60,2178,7099
210051442,542,1104,44,269,205,1013,51,256,1234,4889,1540,6428,83,385,118,428,194,685,404,1502,1939,7928,5,38,43,149,20,63,200,567,259,817,25,80,42,96,105,246,170,424,434,1243,39,80,2953,10357
210051443,1022,2092,70,425,222,1117,65,349,1361,5354,1724,7251,181,768,184,681,392,1343,759,2793,2484,10037,14,80,64,252,29,120,248,715,361,1169,43,134,61,133,258,596,360,868,721,2035,52,112,4281,14285
210051444,921,1903,44,275,169,872,34,180,1693,6525,1943,7856,59,281,67,237,155,534,285,1062,2236,8913,10,56,38,145,23,79,229,665,304,950,32,93,44,112,136,313,218,520,520,1469,56,129,3726,12415
210051445,304,624,13,58,34,171,22,90,301,1166,364,1483,26,127,34,109,95,323,155,561,520,2043,5,15,3,22,3,11,46,106,54,145,3,11,10,20,46,111,58,143,115,285,12,22,949,2974
211011251,1171,2332,19,122,101,463,26,110,806,2984,954,3678,64,289,118,396,275,879,459,1563,1412,5237,12,42,34,139,22,65,191,505,255,755,30,85,85,181,253,547,362,821,618,1575,58,128,3259,9269
211011254,1430,2865,24,148,222,1000,37,160,1070,4145,1358,5452,136,555,240,854,420,1341,802,2751,2157,8200,6,30,47,144,22,60,180,496,255,737,42,142,86,207,252,552,383,900,638,1638,62,129,4284,12827
211011255,450,894,26,153,150,672,32,130,441,1753,650,2716,128,555,139,505,241,793,512,1854,1158,4571,0,7,10,37,5,14,46,116,62,175,17,44,22,56,61,129,95,232,163,408,14,34,1784,5899
211011256,1229,2471,32,184,231,1065,36,148,1020,3928,1320,5323,201,857,288,1018,589,1935,1075,3804,2399,9128,5,18,50,159,15,62,145,381,211,616,61,196,76,175,251,575,389,947,607,1564,60,121,4288,13289
211011257,613,1220,21,102,143,674,29,128,654,2543,854,3444,111,471,152,550,242,811,514,1830,1364,5279,7,24,17,53,3,15,80,209,103,304,27,79,42,111,81,188,151,381,251,680,24,52,2254,7237
211011258,868,1742,31,164,217,1015,29,141,749,2906,1030,4227,160,674,225,788,394,1290,783,2754,1813,6986,5,10,20,71,3,8,69,185,99,282,25,73,39,104,111,252,171,429,278,710,31,58,2983,9495
211011259,1399,2794,25,116,169,768,33,165,879,3370,1109,4417,140,582,210,745,490,1545,834,2868,1943,7288,7,15,35,130,16,58,156,426,210,634,27,101,65,152,236,515,330,776,536,1403,58,124,3932,11605
211011260,1652,3312,34,198,253,1120,44,185,969,3785,1298,5288,231,997,363,1316,676,2201,1274,4509,2572,9791,6,25,35,127,14,55,171,475,226,682,52,175,91,204,264,602,404,976,635,1663,65,136,4921,14902
211011446,2228,4430,23,138,166,782,51,227,1432,5419,1680,6567,121,510,194,677,521,1692,838,2876,2521,9452,4,31,65,213,24,90,366,939,467,1270,68,209,122,270,490,1043,677,1520,1144,2797,95,203,5985,16874
211011447,1342,2677,24,126,129,581,28,119,900,3432,1077,4263,96,417,131,448,344,1141,570,2009,1654,6265,6,18,46,159,17,63,216,551,281,784,31,101,78,183,299,648,405,930,687,1721,47,101,3731,10761
211011448,1354,2715,36,182,193,877,45,181,983,3750,1250,4991,141,618,175,607,471,1509,789,2741,2033,7736,12,64,51,163,30,89,195,551,286,864,38,99,69,161,267,599,369,857,655,1720,58,117,4101,12288
211011449,407,808,12,58,52,239,13,58,326,1264,402,1620,42,178,45,166,112,341,200,692,605,2311,6,24,11,39,3,15,49,114,69,188,14,40,16,38,78,167,106,236,173,419,11,22,1193,3561
211021261,1433,2828,27,136,298,1367,31,130,1004,4015,1354,5650,222,928,325,1189,506,1631,1053,3746,2403,9396,3,21,30,91,10,38,128,343,173,492,27,87,66,152,204,439,296,679,473,1174,47,107,4355,13507
211021262,849,1694,25,142,218,989,30,145,614,2456,888,3734,162,665,194,700,343,1129,704,2487,1591,6221,4,18,21,71,4,20,65,170,93,275,16,56,46,110,91,196,157,366,247,641,17,28,2707,8586
211031263,932,1866,21,108,140,641,32,144,829,3175,1020,4064,119,506,114,398,323,1061,556,1968,1577,6036,8,26,39,124,12,48,168,441,223,634,25,100,71,151,223,482,320,736,540,1370,51,100,3108,9371
211031265,1485,2942,48,245,309,1395,37,159,1282,5063,1671,6864,254,1071,315,1137,605,1953,1175,4160,2845,11020,7,25,52,171,15,41,183,478,254,727,44,147,87,202,233,517,367,864,621,1590,50,107,4999,15657
211031266,1641,3287,19,111,174,846,24,108,1239,4687,1455,5755,103,411,148,507,321,1033,571,1953,2019,7699,9,32,44,156,16,59,239,598,302,853,29,96,114,257,291,625,440,978,740,1829,96,199,4502,13015
211031267,1925,3813,40,217,271,1247,38,163,1491,5781,1838,7408,132,545,221,801,423,1355,777,2703,2619,10112,6,24,57,210,17,59,240,608,319,904,52,158,104,230,345,721,496,1108,817,2017,100,213,5458,16154
211031268,920,1828,13,84,133,620,24,100,704,2771,881,3575,116,461,169,590,263,836,543,1894,1426,5466,3,11,29,117,9,21,66,178,107,321,19,57,53,132,123,270,195,458,305,777,24,49,2670,8123
211031450,1518,3032,31,147,136,649,30,156,1004,3817,1200,4772,79,327,91,316,247,794,414,1436,1614,6212,8,21,49,150,17,50,293,724,367,942,35,120,80,180,296,635,419,930,779,1874,72,155,3986,11276
211031451,1307,2586,26,163,142,657,33,169,885,3429,1092,4416,87,369,152,546,296,929,541,1846,1629,6262,5,40,38,113,17,62,193,488,247,705,46,137,79,174,237,504,356,806,605,1508,50,103,3590,10463
211031452,475,946,8,22,69,319,5,20,359,1367,435,1739,34,140,50,158,111,364,192,662,630,2400,3,21,16,54,3,11,68,178,90,260,11,41,23,63,105,221,140,319,230,579,13,32,1356,3955
211041269,992,1993,10,62,121,543,11,61,765,2881,909,3557,72,313,150,525,250,798,473,1635,1388,5192,6,42,25,92,8,29,105,289,156,454,19,73,65,151,196,417,281,632,433,1086,65,140,2877,8411
211041270,1635,3243,17,108,167,758,23,111,1321,4986,1527,5962,117,469,184,643,324,1043,620,2146,2147,8109,4,23,31,95,9,35,153,385,198,540,33,100,82,196,265,575,377,864,578,1402,64,142,4423,12901
211041271,1100,2196,11,60,141,623,14,67,955,3578,1122,4325,78,322,150,527,207,654,430,1503,1553,5828,4,20,26,77,9,23,115,294,150,412,27,89,60,126,180,405,269,627,422,1034,58,131,3131,9183
211041272,913,1825,9,63,164,740,13,56,906,3490,1092,4342,75,319,157,550,229,714,464,1579,1557,5929,3,18,34,105,6,17,109,286,150,426,24,62,56,131,159,355,236,544,392,964,30,63,2884,8775
211041273,1233,2483,11,71,201,896,23,92,690,2644,923,3705,132,563,261,939,390,1239,787,2738,1713,6445,3,10,28,94,8,28,84,228,121,358,31,94,63,170,158,341,249,606,368,962,33,83,3347,9970
211051274,929,1827,23,113,141,662,26,115,718,2791,910,3681,99,413,134,487,290,924,527,1824,1434,5507,10,27,30,101,18,56,121,331,179,524,24,74,50,104,146,304,212,476,394,1005,29,64,2778,8402
211051275,1044,2060,26,130,127,596,26,105,639,2483,817,3320,110,443,128,447,281,925,512,1816,1329,5130,3,10,33,122,17,46,91,254,141,435,29,84,55,137,163,374,249,599,387,1028,41,87,2795,8313
211051276,1488,2958,29,139,127,575,48,223,802,3144,1001,4082,91,389,133,440,360,1128,583,1960,1589,6042,8,43,48,170,26,98,220,589,307,901,27,86,48,110,210,434,282,628,589,1536,30,68,3694,10602
211051277,940,1869,12,61,75,355,24,101,579,2272,688,2783,60,252,60,198,239,764,352,1217,1043,3999,8,46,32,98,12,44,138,370,193,550,27,83,43,101,175,376,246,559,433,1108,37,74,2458,7054
211051278,1846,3690,46,241,232,1088,67,281,1197,4708,1541,6321,180,750,178,616,515,1657,874,3018,2407,9343,9,43,60,199,21,69,282,754,377,1074,49,157,95,225,312,670,460,1050,831,2120,59,130,5152,15288
211051279,587,1171,7,50,89,445,17,69,348,1420,464,1978,55,216,67,226,178,552,293,1000,758,2976,3,19,8,45,4,14,64,166,83,235,9,29,28,56,95,196,126,288,214,521,13,36,1569,4706
211051280,643,1279,17,108,81,356,29,133,454,1810,585,2408,67,275,68,243,202,675,336,1190,922,3597,0,11,15,36,3,21,77,198,98,264,17,47,22,52,101,232,139,327,237,594,18,37,1824,5515
211051281,1958,3916,45,286,270,1318,57,273,1517,5991,1894,7866,203,879,251,878,654,2154,1109,3915,3004,11784,16,68,70,246,33,129,307,822,425,1256,72,238,122,269,394,846,590,1350,1018,2605,81,167,6063,18469
211051282,1139,2241,11,60,133,603,26,100,647,2529,811,3295,67,269,137,443,255,785,452,1504,1262,4798,9,28,20,70,5,31,105,266,145,399,3,21,35,79,131,263,172,364,319,762,14,33,2740,7830
211051283,890,1767,24,134,150,732,46,225,655,2560,881,3659,97,429,98,353,290,955,494,1742,1367,5402,3,21,26,94,6,30,115,319,158,465,20,58,42,106,157,335,214,495,370,966,29,61,2661,8191
211051284,891,1775,16,91,138,649,23,110,662,2549,838,3397,107,440,119,401,278,882,506,1728,1344,5127,3,8,23,72,9,43,119,304,153,426,29,89,63,137,156,337,243,559,403,987,37,69,2677,7957
211051285,743,1484,27,153,101,460,30,146,536,2130,695,2891,83,361,81,278,241,757,409,1400,1102,4286,3,10,21,75,8,33,72,196,110,325,18,56,30,66,89,192,142,310,247,637,20,36,2112,6452
211051286,1626,3218,39,212,174,826,65,317,922,3604,1200,4961,102,404,119,383,410,1319,627,2105,1829,7074,12,61,60,208,24,78,302,824,407,1173,42,123,76,173,288,612,401,902,807,2077,37,82,4293,12442
212011287,1076,2168,27,144,219,1054,42,186,1070,4138,1354,5525,152,643,181,648,290,949,620,2241,1976,7764,4,19,34,116,13,46,190,503,239,680,32,113,54,130,149,332,233,572,473,1252,41,82,3561,11269
212011288,871,1731,37,219,141,709,32,132,499,2074,711,3132,97,415,84,291,246,805,434,1511,1142,4645,6,16,20,64,11,54,78,223,116,357,16,40,21,51,97,199,129,289,249,649,25,52,2280,7069
212011289,1682,3355,51,266,277,1267,65,269,1245,4944,1626,6749,183,787,228,787,512,1619,925,3195,2557,9937,11,54,56,189,25,80,197,535,289,853,26,81,66,156,236,515,332,753,623,1602,24,54,4882,14948
212011290,725,1446,26,138,86,405,37,159,476,1884,619,2581,56,222,79,257,204,673,333,1157,951,3735,5,15,15,58,13,40,115,313,143,430,11,35,29,53,84,190,122,279,270,710,22,49,1966,5937
212011291,1585,3167,47,268,166,793,49,226,1551,6073,1805,7352,86,378,96,334,290,913,476,1630,2280,8982,15,75,81,292,36,121,485,1351,611,1836,47,156,85,195,271,590,409,941,1021,2775,58,124,4948,15052
212011292,2233,4479,75,448,341,1686,126,587,2457,9721,2998,12437,149,650,198,682,454,1439,799,2775,3803,15209,27,144,116,441,63,218,586,1648,791,2455,53,166,131,293,411,901,590,1366,1377,3820,104,216,7518,23725
212021293,2213,4409,46,262,339,1551,63,285,1439,5612,1894,7713,238,1018,361,1259,607,1971,1209,4245,3106,11955,10,62,75,263,24,80,269,703,376,1104,56,170,111,265,321,677,494,1120,870,2225,77,165,6267,18758
212021294,1528,3057,79,444,531,2427,85,397,2575,10114,3267,13384,251,1049,356,1261,512,1677,1118,3986,4388,17368,17,80,115,401,38,140,335,937,502,1558,65,209,108,263,262,582,431,1051,935,2609,59,131,6909,23169
212021295,802,1626,25,168,133,702,21,97,628,2509,810,3472,56,262,58,204,225,749,338,1216,1147,4688,14,73,42,174,33,107,221,643,311,1005,23,86,47,103,283,640,357,832,669,1834,92,189,2706,8344
212021297,830,1694,42,264,127,654,45,217,699,2843,914,3977,91,392,131,485,322,1067,543,1946,1455,5921,12,75,35,148,10,48,127,346,184,623,26,77,47,107,222,496,295,687,481,1304,39,81,2809,8997
212021299,648,1287,35,215,149,708,31,156,436,1812,649,2896,126,567,144,527,320,1043,590,2134,1238,5022,3,15,15,57,7,28,36,101,60,204,18,53,20,49,60,137,95,243,154,447,20,41,2058,6801
212021453,927,1867,38,226,175,830,39,183,760,2995,1012,4233,143,605,184,659,445,1470,771,2741,1781,6970,6,27,31,122,12,57,159,452,214,656,27,104,41,82,212,465,277,659,491,1313,43,94,3247,10246
212021454,1198,2417,42,234,184,871,53,228,842,3287,1119,4616,162,666,190,671,524,1686,866,3025,1983,7640,10,31,29,114,20,65,161,446,218,654,38,151,60,138,248,562,349,845,563,1497,44,99,3796,11654
212021455,983,1979,48,260,248,1183,49,226,926,3606,1275,5278,172,755,223,810,408,1337,802,2907,2075,8181,11,74,46,178,22,82,170,457,254,788,46,142,59,131,211,474,310,744,569,1532,49,113,3677,11800
212021456,1180,2399,33,216,175,844,55,242,937,3661,1198,4963,108,468,150,523,369,1218,627,2206,1831,7169,18,88,49,170,16,64,227,639,306,954,25,109,63,145,254,559,342,812,655,1765,63,139,3723,11474
212031300,1529,3105,54,335,220,1107,90,419,1305,5126,1670,6982,138,598,143,480,472,1546,759,2621,2423,9603,22,108,68,255,45,162,449,1270,578,1799,44,139,92,211,418,916,558,1268,1133,3067,107,229,5197,16004
212031301,2061,4186,45,262,363,1798,93,400,2852,11004,3357,13466,121,520,203,703,291,947,613,2171,3974,15639,13,61,92,365,37,131,396,1109,528,1664,44,144,70,159,223,492,339,794,869,2465,81,168,6989,22451
212031302,1268,2579,68,402,274,1326,85,411,1899,7457,2327,9594,146,631,179,635,421,1408,742,2677,3072,12268,20,88,70,254,43,165,352,962,476,1467,71,241,78,182,270,622,427,1045,899,2513,70,150,5310,17513
212031303,843,1682,30,174,111,520,42,200,630,2482,819,3371,83,343,72,250,295,964,450,1564,1271,4929,0,9,17,53,5,18,99,266,120,344,6,23,18,33,111,258,136,314,259,660,23,57,2403,7323
212031304,1103,2246,45,276,159,785,51,262,1561,5897,1821,7218,80,356,105,365,243,800,424,1517,2246,8740,19,84,55,223,33,121,269,727,373,1155,33,107,51,120,220,504,301,732,673,1888,63,125,4085,13009
212031305,1494,3007,109,674,388,2012,126,647,1823,7272,2455,10605,233,1029,303,1063,646,2173,1185,4261,3641,14867,22,122,83,320,61,229,394,1115,569,1792,70,222,123,297,464,1089,659,1613,1226,3403,104,225,6460,21503
212031306,866,1785,45,280,259,1213,44,218,1715,6723,2065,8436,125,525,201,719,289,944,612,2191,2677,10624,11,51,29,104,6,23,144,400,186,580,16,44,44,119,115,277,174,437,360,1015,42,87,3952,13509
212031308,735,1459,23,114,94,433,39,184,516,2040,666,2774,64,283,70,252,250,822,385,1354,1049,4125,5,21,23,83,15,44,101,275,140,424,12,34,24,58,108,231,145,323,282,746,25,51,2090,6378
212031457,793,1592,59,336,315,1521,67,290,1006,4137,1440,6289,185,808,218,802,407,1347,807,2955,2247,9241,7,40,43,157,10,43,124,353,188,591,33,99,53,123,124,290,210,508,398,1106,38,77,3484,12016
212031458,971,1973,87,537,327,1691,79,357,1364,5528,1855,8111,179,778,224,821,387,1290,795,2887,2646,10999,14,88,74,275,26,99,226,651,343,1110,43,150,73,179,212,496,326,827,672,1935,42,109,4337,15018
212041309,1018,2076,27,154,130,597,23,97,644,2478,827,3323,155,677,151,529,491,1599,799,2809,1625,6134,7,21,29,95,8,34,115,314,153,461,30,99,66,156,264,612,354,863,509,1326,66,133,3212,9673
212041310,1188,2432,12,84,118,543,21,94,895,3328,1043,4053,68,295,132,463,337,1088,539,1852,1583,5902,0,13,29,90,11,44,116,312,157,457,21,66,48,105,270,589,339,760,496,1214,103,231,3366,9776
212041311,2038,4143,79,508,314,1647,70,340,2073,8021,2538,10519,150,675,210,734,444,1455,802,2858,3346,13380,27,163,91,360,42,141,414,1132,577,1790,71,248,141,331,474,1074,688,1659,1266,3445,204,450,6854,21415
212041312,1808,3636,50,333,296,1479,80,386,1373,5319,1801,7513,183,794,241,852,661,2159,1088,3809,2892,11320,27,120,72,281,42,158,321,882,462,1434,45,148,100,237,518,1164,660,1554,1124,2987,133,295,5952,18241
212041313,1000,1990,20,100,156,691,24,110,681,2679,879,3587,106,433,167,588,345,1106,619,2129,1494,5710,3,9,34,116,10,34,100,257,144,417,15,61,46,94,165,359,234,516,376,933,26,55,2901,8683
212041314,2014,4125,72,386,392,1839,69,329,1948,7604,2482,10162,275,1177,405,1418,797,2671,1472,5261,3950,15418,19,98,73,286,20,75,352,1011,461,1475,60,194,130,323,389,908,582,1426,1044,2900,119,266,7126,22709
212041316,640,1294,24,135,94,443,21,111,416,1658,556,2343,50,222,82,305,250,825,383,1351,943,3693,4,27,27,98,15,50,107,284,153,462,26,87,46,113,189,407,261,613,412,1072,62,133,2065,6190
212041317,1552,3223,32,219,230,1125,64,317,1291,4997,1617,6664,159,710,241,906,536,1804,939,3421,2559,10088,14,72,74,293,35,135,278,797,401,1301,56,210,114,272,444,1018,613,1501,1020,2801,188,416,5311,16529
212041318,869,1808,27,182,147,717,36,176,787,3093,1001,4172,133,595,160,574,367,1253,661,2424,1665,6596,13,81,60,225,26,97,237,663,339,1061,51,164,79,212,227,538,355,913,691,1971,66,153,3293,10531
212041459,1092,2263,26,159,76,392,30,136,872,3188,1003,3870,53,236,72,240,190,594,317,1070,1317,4941,4,16,36,128,14,46,229,592,281,781,37,111,51,114,232,501,320,727,601,1514,100,218,3108,8932
212041460,1393,2873,38,207,216,1085,62,296,1148,4419,1456,6003,112,499,172,598,445,1458,730,2549,2188,8559,19,100,68,270,30,128,334,960,460,1460,49,162,116,282,417,936,583,1383,1041,2843,141,311,4760,14575
212051319,1615,3224,14,75,168,760,22,80,1273,4813,1479,5732,97,411,202,708,322,1008,624,2123,2103,7859,7,41,46,182,23,70,219,538,295,832,40,130,109,259,315,678,469,1063,762,1891,111,249,4596,13224
212051320,1583,3200,3,19,92,431,14,62,1045,3730,1152,4246,55,232,130,438,246,774,425,1448,1583,5689,0,3,21,90,3,17,141,340,167,453,25,72,76,173,222,478,322,722,492,1172,181,403,3835,10463
212051321,1956,3894,30,160,397,1765,41,169,1416,5448,1887,7537,236,971,501,1775,541,1695,1282,4438,3170,11975,10,34,63,209,11,46,172,462,261,747,37,134,159,375,252,545,450,1045,708,1796,96,204,5929,17868
212051322,1528,3066,15,97,307,1333,20,85,1273,4817,1614,6331,189,770,470,1637,469,1488,1128,3897,2746,10229,6,29,80,257,16,47,200,528,293,861,49,155,162,370,270,584,478,1104,772,1964,116,256,5170,15511
212051323,1440,2858,14,91,245,1076,26,114,1027,3875,1314,5153,150,613,311,1084,398,1233,856,2929,2167,8075,0,5,57,184,6,30,145,364,208,590,30,91,134,326,226,495,398,914,605,1497,83,170,4293,12602
212051324,1672,3345,18,112,247,1089,31,128,1335,5060,1630,6381,157,669,336,1163,446,1394,930,3228,2565,9612,7,23,46,148,7,29,159,403,221,601,31,110,110,247,268,577,404,937,630,1539,99,213,4965,14703
212051325,1839,3704,18,110,248,1086,35,150,1371,5201,1668,6552,164,696,271,941,591,1895,1026,3526,2696,10084,6,44,43,158,23,64,190,521,261,783,45,142,91,209,350,771,483,1126,748,1906,106,221,5390,15912
212051326,1848,3729,25,116,216,949,36,158,1549,5719,1819,6943,134,564,261,934,471,1514,874,3011,2692,9952,3,13,31,112,15,60,188,498,244,685,34,111,97,235,402,881,539,1232,782,1915,168,363,5492,15960
212051327,2113,4198,27,133,289,1276,41,177,1184,4594,1534,6177,227,945,423,1444,677,2163,1325,4546,2853,10719,5,12,68,228,15,54,169,448,251,742,45,139,104,247,285,632,435,1022,690,1756,73,166,5729,16839
213011328,649,1327,12,70,52,260,12,56,466,1743,535,2131,37,148,41,152,117,387,197,685,734,2815,3,16,20,75,8,33,148,391,181,523,20,78,21,59,152,352,200,484,378,1006,79,167,1839,5313
213011329,498,1029,40,243,174,820,48,237,707,2819,970,4125,119,530,160,587,310,1050,588,2163,1562,6291,7,22,58,232,12,58,153,470,225,774,36,114,43,112,119,280,195,510,419,1284,42,101,2524,8708
213011330,1719,3524,76,475,338,1667,92,417,2165,8529,2664,11086,163,748,201,693,596,1960,957,3401,3628,14485,31,157,106,452,32,123,484,1449,662,2179,67,235,113,268,470,1086,642,1588,1307,3769,125,277,6772,22053
213011331,544,1129,19,120,132,606,51,224,453,1773,658,2726,92,396,120,434,320,1064,534,1899,1192,4622,10,50,30,124,16,55,138,383,196,610,32,116,55,133,155,360,242,607,442,1220,30,82,2210,7052
213011332,1216,2432,33,190,159,721,28,143,704,2742,925,3807,143,634,157,560,545,1795,843,2986,1768,6792,10,78,54,203,21,90,200,580,285,948,40,132,68,160,300,701,409,995,697,1942,66,130,3745,11296
213011333,1063,2169,42,235,155,756,52,245,731,2882,970,4116,103,462,119,450,495,1638,718,2551,1691,6666,14,56,96,367,34,136,301,877,448,1436,44,143,77,189,340,773,456,1102,900,2544,76,167,3736,11550
213011334,1555,3205,36,194,181,894,74,337,1094,4140,1378,5578,140,623,128,442,504,1670,770,2736,2147,8312,21,104,110,420,47,160,413,1188,583,1878,55,196,110,261,503,1145,670,1605,1256,3483,150,327,5104,15333
213011335,1231,2526,34,197,181,890,56,249,888,3539,1157,4869,121,530,171,604,471,1573,756,2707,1914,7571,19,113,91,354,34,134,311,864,452,1461,71,245,101,235,431,1003,604,1478,1054,2940,136,327,4343,13370
