SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
206071145,30,71,19,27,20,8,3,5,3,194,39,41,36,29,27,16,0,5,9,210,35,33,134,51,43,36,7,18,9,362,0,0,0,0,7,3,0,4,0,20,3,12,4,7,7,3,4,10,0,47,9,12,4,3,5,0,0,3,0,33,3,11,3,3,3,5,0,3,4,40,713,2268,269,250,390,164,33,69,80,4239
207011146,36,54,26,14,26,13,3,4,0,175,30,47,15,34,38,19,4,3,0,196,61,26,82,34,26,20,8,15,3,278,4,0,0,0,0,0,0,4,0,10,6,6,4,5,13,4,0,3,0,50,8,16,0,0,3,3,0,3,0,32,3,13,0,3,0,7,0,0,3,34,625,1307,196,173,329,139,24,65,38,2883
207011147,91,107,25,38,69,43,5,9,0,383,69,63,25,37,60,38,4,12,12,318,76,33,146,62,60,45,12,19,14,463,3,3,0,6,4,5,0,3,0,30,12,11,3,7,21,10,3,3,4,74,15,25,11,3,13,6,3,0,0,73,8,33,10,6,14,3,0,4,13,102,1061,2431,339,333,663,376,50,106,105,5460
207011148,74,136,36,37,80,46,10,16,3,440,82,80,54,69,96,48,11,14,4,449,125,50,208,77,71,65,11,34,9,663,9,0,5,10,14,9,0,3,0,51,23,16,5,25,33,16,5,7,5,140,18,39,8,8,13,11,0,3,3,103,21,30,12,13,15,12,3,5,21,130,1318,3011,471,452,842,454,73,163,109,6902
207011149,100,135,23,39,89,47,6,19,13,472,77,105,40,60,114,49,3,17,3,459,105,54,199,86,67,55,18,38,10,635,9,0,3,9,13,0,0,7,0,39,20,17,12,28,27,12,3,3,0,126,19,38,0,10,14,8,0,5,3,97,22,26,7,15,16,6,3,8,14,118,1668,3805,413,469,934,465,49,155,120,8079
207011150,97,122,23,39,65,29,3,8,3,386,62,72,34,51,91,44,4,10,4,370,116,64,177,55,70,41,6,24,13,563,9,5,3,8,5,8,0,3,0,39,15,16,0,13,31,15,0,3,3,98,12,17,3,0,16,6,0,0,0,56,10,27,8,5,16,0,0,0,13,83,1481,3119,367,346,751,329,42,83,85,6597
207011151,101,127,43,65,72,49,8,11,5,482,93,105,59,96,112,88,7,29,7,589,105,69,247,124,97,82,15,49,16,792,9,5,3,7,13,12,0,3,0,56,21,8,13,25,36,20,9,6,0,132,14,33,5,11,11,5,0,4,3,93,16,34,3,15,18,19,3,4,14,134,1755,4857,597,724,1164,644,78,283,141,10246
207011152,68,80,37,45,42,33,4,8,6,325,84,70,44,64,74,36,8,26,7,410,73,42,176,58,69,64,18,17,10,521,7,9,3,7,6,11,0,0,0,43,17,17,11,9,18,12,5,0,0,85,15,33,3,7,11,5,0,0,0,77,20,16,4,3,12,7,3,3,9,79,1221,3138,394,426,733,391,68,149,90,6602
207011153,127,170,33,57,82,44,6,8,3,526,115,94,41,88,101,57,9,20,8,524,156,70,254,89,92,64,22,43,11,799,6,8,0,7,10,14,4,0,0,47,25,22,7,20,31,12,6,8,4,129,18,51,7,6,13,3,0,3,9,119,22,53,7,8,20,13,0,8,21,165,1950,4663,529,575,1052,534,72,170,162,9704
207011154,30,40,15,7,28,14,0,7,0,151,29,26,12,26,31,14,0,7,0,141,51,16,78,35,27,16,0,12,0,240,3,3,4,0,5,3,0,4,0,22,10,0,0,11,8,6,0,0,3,42,5,7,0,3,0,4,0,0,0,25,5,5,3,3,8,0,0,8,0,28,502,1106,156,159,285,138,19,50,22,2436
207011155,72,113,23,25,59,37,0,12,3,342,84,67,30,42,54,39,5,10,7,328,72,34,142,57,54,59,12,19,4,454,10,0,0,3,11,4,0,3,0,30,17,12,9,8,19,8,0,3,0,72,21,32,7,0,10,4,0,0,0,74,16,23,3,7,14,14,3,4,11,81,1366,2897,308,318,675,341,32,86,79,6099
207021156,48,63,26,20,52,28,4,11,0,257,57,58,22,48,61,34,0,4,3,285,62,40,234,60,45,43,30,47,8,570,4,3,6,11,10,4,0,5,3,47,12,3,3,16,18,11,10,8,3,69,11,15,3,6,8,10,3,0,0,49,14,21,8,7,18,6,7,9,6,98,580,1228,382,285,455,268,74,125,57,3462
207021157,60,105,61,56,62,39,7,25,8,429,87,84,72,97,80,69,17,35,4,549,103,45,310,121,89,86,31,87,19,889,5,0,3,10,16,3,0,3,0,49,29,12,11,22,37,27,6,15,0,162,7,28,6,9,15,13,3,6,0,92,24,23,16,21,8,13,9,6,32,155,1027,2357,670,566,830,559,130,265,134,6543
207021159,77,106,33,39,61,34,4,17,5,370,82,74,37,56,82,44,10,14,6,403,152,37,323,91,76,61,23,54,8,829,4,3,6,6,10,3,3,5,0,45,27,10,10,16,42,11,0,9,0,121,16,28,9,8,20,9,0,3,0,89,25,35,8,19,24,16,7,0,9,151,1110,1996,555,372,710,386,78,129,73,5411
207021160,62,76,33,40,54,30,6,16,3,330,61,70,54,57,64,45,5,15,0,368,106,48,250,79,66,63,33,54,9,691,3,3,0,10,5,12,0,3,0,33,17,10,6,21,27,13,5,9,3,111,3,11,12,0,11,9,0,7,0,53,10,22,11,19,16,14,4,5,11,111,759,1629,483,359,530,341,69,155,64,4375
207021424,66,99,31,43,68,37,4,4,3,355,68,56,46,65,80,34,7,17,0,364,71,49,249,89,73,67,36,48,3,689,7,5,0,5,8,6,0,3,0,40,18,16,6,21,37,14,4,10,3,117,16,16,0,5,9,0,0,3,0,50,13,19,6,8,19,5,3,6,13,102,785,1822,465,383,705,326,89,146,63,4786
207021425,50,62,43,48,46,32,5,14,3,312,58,51,54,68,59,30,15,16,7,350,61,38,230,83,64,45,28,53,16,627,7,0,7,4,8,4,3,3,0,40,10,3,9,19,17,6,5,7,0,82,13,12,8,9,10,4,6,3,0,71,10,8,8,8,16,12,5,8,9,85,640,1563,475,400,550,311,102,172,73,4292
207031161,87,129,56,62,80,43,24,16,6,503,107,108,78,113,107,64,19,30,10,636,141,60,379,108,107,84,52,83,15,1042,3,3,17,11,21,12,3,5,0,76,19,18,16,22,34,9,3,11,0,137,10,35,6,9,7,8,3,0,0,84,12,27,17,26,12,21,4,16,15,151,1297,3141,764,600,934,431,145,240,107,7666
207031162,39,62,17,24,34,20,3,4,4,206,44,59,39,52,56,25,10,11,4,307,67,51,216,60,67,36,20,39,3,558,0,0,0,3,4,3,0,6,0,21,10,5,10,13,16,3,0,3,0,66,3,11,0,4,8,3,4,0,0,30,8,11,10,4,11,3,0,4,5,66,556,1424,394,283,455,198,58,110,41,3513
207031163,59,102,65,54,72,33,11,25,4,420,70,96,96,120,88,65,11,28,7,584,85,45,285,111,85,63,29,59,17,786,3,6,6,5,12,4,0,5,0,49,6,9,15,17,21,25,3,6,3,107,8,17,11,10,5,8,3,8,5,71,8,11,18,16,7,12,4,15,12,102,943,2564,705,629,828,494,109,286,114,6675
207031164,68,109,44,57,66,28,18,26,6,418,68,83,77,90,88,50,7,16,6,488,92,53,307,127,85,59,37,57,13,824,8,3,0,8,14,7,0,10,0,46,11,19,7,14,31,18,5,8,0,106,6,27,6,5,11,10,0,3,3,71,10,17,12,4,18,16,3,9,7,100,892,2574,594,543,773,391,118,192,80,6155
207031165,34,60,16,21,34,14,3,17,3,201,43,39,35,75,53,42,9,35,3,344,48,24,149,65,41,39,14,38,3,420,6,0,3,11,6,6,0,3,0,33,10,11,0,18,14,11,5,3,0,75,3,11,11,5,3,3,0,4,0,38,7,10,8,9,3,7,0,8,16,62,533,1292,308,367,415,297,71,208,61,3542
207031166,25,51,21,30,30,22,6,16,3,208,34,47,42,56,48,33,6,33,3,303,39,27,182,64,41,35,13,44,16,477,4,0,4,7,6,4,0,6,0,34,10,6,11,14,7,5,3,3,0,66,5,12,4,0,3,5,0,4,0,29,8,10,7,6,15,3,3,4,5,66,418,1128,374,306,445,225,69,189,51,3207
207031167,54,82,12,32,32,18,3,4,4,248,45,47,21,41,41,24,0,15,3,239,55,35,108,41,48,25,13,19,6,343,4,3,3,3,8,3,3,0,0,32,10,11,4,13,14,9,0,0,5,62,11,14,3,0,10,3,0,0,3,49,3,9,0,6,5,7,3,0,5,40,805,1904,236,239,463,198,37,90,49,4024
208011168,84,139,29,35,62,45,0,11,3,403,91,78,29,51,69,39,3,9,10,383,130,48,242,71,66,64,23,38,16,679,6,0,3,4,8,7,0,0,0,37,22,5,9,10,36,14,0,5,4,114,20,17,3,0,8,9,0,0,0,61,24,23,8,8,16,8,0,0,10,106,1143,1818,378,294,546,325,39,88,71,4691
208011169,137,176,28,38,71,51,10,9,8,527,126,122,32,62,95,49,3,10,7,507,144,62,233,87,68,53,13,48,19,718,9,0,0,11,7,8,4,3,0,46,35,25,8,23,33,25,7,13,3,168,25,42,3,11,17,5,0,7,0,106,27,39,9,5,25,10,0,3,24,149,2071,3626,411,436,805,514,46,132,152,8197
208011170,106,142,28,48,67,45,8,7,6,458,96,72,30,50,68,45,5,11,0,383,111,39,213,77,79,63,17,29,11,642,5,11,3,15,11,4,0,0,0,41,23,18,4,18,28,13,3,3,0,111,11,19,9,8,7,7,0,0,0,52,16,31,14,12,18,18,5,9,18,132,1316,2370,375,353,624,387,57,90,75,5646
208011171,65,96,43,31,50,27,3,13,3,324,71,70,44,73,85,40,8,8,7,401,100,45,268,88,76,57,23,52,3,716,8,3,3,4,12,5,0,0,0,43,15,12,9,12,24,7,5,9,0,92,9,15,8,4,0,5,0,0,0,39,4,7,3,10,13,9,4,3,4,60,819,1484,454,346,518,257,58,106,38,4075
208011172,102,138,33,51,89,30,0,6,5,451,111,128,47,81,94,53,7,7,5,533,117,53,269,97,85,65,23,49,7,758,13,7,4,10,10,8,3,6,0,61,19,22,9,20,29,15,3,6,0,132,15,29,4,5,8,9,3,0,3,73,14,21,15,11,6,14,4,0,12,103,1564,2552,466,490,704,366,59,102,76,6374
208011173,103,158,24,49,72,39,3,14,6,464,115,97,42,58,90,35,4,16,3,460,155,51,281,89,88,63,21,48,15,799,10,4,0,12,15,3,0,5,0,49,18,21,4,22,30,24,4,0,3,123,16,27,4,0,13,3,0,6,3,71,20,23,6,10,16,8,0,0,10,94,1478,2454,467,417,671,350,43,110,91,6079
208021174,115,169,59,59,86,40,13,20,3,567,129,135,68,105,137,74,13,21,8,688,151,77,423,159,122,89,45,84,18,1175,4,10,3,16,13,4,0,5,0,54,18,26,10,35,35,11,4,6,0,148,17,31,11,16,14,10,3,0,4,107,21,33,20,10,27,13,7,3,14,138,1530,3296,739,645,1000,471,128,219,91,8118
208021176,67,121,49,50,56,42,19,22,7,431,80,88,98,87,89,41,11,22,10,531,73,59,330,115,81,76,28,61,20,841,5,5,4,14,6,7,3,4,3,50,13,14,8,16,28,13,4,6,3,109,15,30,11,7,13,12,0,3,3,100,11,17,12,6,7,11,9,9,20,98,1055,2958,701,565,892,515,124,264,124,7201
208021177,110,143,36,45,81,41,8,17,3,481,102,111,47,80,76,44,3,16,10,486,113,65,247,97,91,54,27,41,9,752,3,9,7,6,10,9,0,3,0,44,28,21,7,22,25,23,3,7,0,137,17,47,7,11,6,7,0,6,4,95,22,75,9,13,20,17,0,10,28,185,1507,3787,515,567,874,477,77,192,145,8132
208021178,98,129,40,46,80,36,6,16,3,455,83,89,46,84,84,60,3,13,9,478,78,43,232,104,82,59,32,35,14,675,3,6,0,13,10,8,0,9,0,49,18,27,19,24,26,21,0,3,3,138,19,36,8,5,16,5,0,3,0,102,17,40,19,10,22,21,3,3,14,153,1268,2927,491,526,766,454,82,155,100,6768
208021179,54,86,29,25,56,25,0,5,4,278,50,71,35,58,53,23,6,17,3,316,69,37,174,59,52,37,16,30,3,489,10,3,3,9,6,4,0,4,0,40,11,13,9,13,17,17,3,3,0,88,9,17,5,7,6,5,0,5,0,46,17,21,5,3,14,5,3,6,11,81,911,2143,346,336,529,291,51,113,64,4783
208021180,23,39,26,20,24,14,6,9,0,159,43,43,36,37,36,16,3,12,3,230,43,28,139,60,36,32,16,29,9,399,3,3,5,9,3,0,0,4,0,27,6,5,9,3,4,3,0,3,0,36,3,13,3,0,5,3,3,0,0,39,3,4,5,7,4,8,4,0,4,47,433,1141,309,253,344,177,58,106,38,2845
208021181,38,55,33,24,37,19,9,13,0,230,55,44,40,45,47,28,9,18,0,283,68,31,180,68,69,38,23,31,10,515,3,3,0,3,3,8,0,0,0,21,8,10,6,16,22,11,9,3,0,75,9,9,3,3,9,0,0,3,0,41,5,21,6,8,7,5,0,3,14,76,637,1507,377,312,485,254,70,137,51,3828
208021182,45,91,53,47,67,34,8,12,10,365,52,70,65,78,75,40,21,28,3,422,71,49,212,86,67,40,26,34,8,593,4,6,5,4,9,3,3,3,0,32,17,16,9,20,21,11,8,4,0,94,5,15,12,3,7,6,0,5,0,63,10,21,6,4,12,12,6,5,7,89,818,2260,524,473,642,366,109,232,78,5508
208021426,65,105,38,61,79,37,7,22,3,419,78,88,52,85,98,28,8,18,6,456,103,49,366,106,86,66,35,71,7,881,3,7,6,10,16,6,0,3,0,51,18,8,6,28,26,16,3,6,0,114,13,18,3,5,22,16,0,0,3,88,13,26,10,12,20,13,6,6,14,124,879,1914,598,487,658,352,93,177,76,5241
208021427,67,102,36,40,58,30,9,9,0,355,57,88,49,79,102,37,8,15,4,447,106,52,388,83,107,50,32,70,7,897,4,3,5,9,11,3,0,8,0,44,20,12,14,18,23,8,0,0,0,102,7,21,8,4,9,0,0,6,0,49,7,15,11,12,14,13,3,13,12,101,783,1578,611,383,632,264,77,141,64,4531
208031183,49,61,30,33,53,18,9,3,3,263,53,54,31,41,75,32,4,14,6,319,104,33,279,89,73,44,50,48,11,731,0,3,3,0,6,11,4,9,0,45,6,7,12,13,20,18,11,10,3,93,8,15,3,12,14,5,0,3,3,62,9,13,11,5,14,9,5,10,7,90,511,988,416,279,450,210,114,108,51,3126
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,12
208031185,83,79,19,38,50,20,10,5,10,315,85,90,46,87,78,33,6,11,6,446,206,73,505,125,134,80,87,90,25,1323,3,7,6,4,9,13,3,6,3,53,20,17,8,20,26,11,7,5,0,118,11,11,4,4,7,0,3,3,0,47,16,16,12,13,16,6,5,7,11,107,693,1079,656,391,499,239,119,159,64,3900
208031186,67,83,29,50,76,24,6,6,3,345,88,106,68,126,102,45,22,35,3,588,170,79,612,159,154,90,71,98,29,1468,11,4,9,7,21,13,7,6,0,75,19,10,11,21,35,17,6,6,0,134,7,11,11,3,11,9,7,7,0,55,12,12,11,20,19,11,8,12,20,120,698,1496,823,539,661,282,140,220,72,4932
208031187,16,26,15,28,20,10,0,5,0,124,33,40,22,49,33,22,3,11,0,208,46,33,259,64,67,41,53,55,8,621,4,3,0,3,5,9,0,3,0,31,3,3,4,11,6,10,4,0,0,41,0,4,3,0,4,3,6,0,0,23,4,3,4,9,14,3,3,3,4,40,194,437,329,211,231,128,76,89,19,1718
208031188,107,145,71,71,102,48,19,33,4,588,161,151,98,137,156,97,21,24,10,852,185,99,705,183,200,139,76,94,22,1696,9,12,4,10,19,14,0,7,0,70,22,22,16,34,54,21,11,18,0,208,11,17,8,10,11,16,0,0,4,84,14,23,22,12,30,18,14,19,20,174,1207,2667,1111,704,1000,583,179,265,99,7819
208031189,58,82,36,47,83,28,11,15,8,360,93,96,63,102,107,39,9,15,8,524,161,67,510,118,117,59,58,77,19,1188,4,9,8,16,14,4,0,7,0,54,13,12,11,20,26,9,5,6,0,107,4,8,5,0,3,0,0,3,0,39,10,18,12,16,21,9,4,10,11,106,735,1569,707,441,600,244,95,149,57,4600
208031190,68,104,41,37,70,33,12,7,3,380,87,99,47,65,81,39,14,11,7,449,134,57,377,119,121,77,38,53,12,977,3,6,3,6,13,7,4,7,0,50,20,15,12,30,29,20,8,3,0,136,6,21,7,11,5,9,0,0,10,64,20,26,7,15,20,13,5,4,12,115,832,1720,592,452,606,291,106,116,63,4789
208031191,48,52,30,29,40,23,0,6,0,240,41,49,41,43,70,34,7,10,3,308,68,35,265,77,66,40,27,46,14,626,3,4,0,12,14,9,0,3,0,36,10,6,8,13,16,13,5,3,0,74,4,8,9,6,5,4,0,0,0,35,3,7,4,13,4,5,3,4,11,51,502,988,429,277,412,196,71,119,53,3041
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,98,165,53,63,106,47,17,13,9,571,158,154,84,151,116,64,15,11,9,766,244,104,662,176,160,96,54,97,19,1615,9,3,7,13,23,11,3,8,0,75,26,15,14,29,59,25,10,11,0,190,12,21,9,8,15,12,3,3,4,88,17,23,6,16,26,19,5,3,14,132,1305,2662,960,664,851,434,130,201,98,7301
208041194,103,130,32,51,81,65,9,5,5,483,95,122,67,56,95,64,7,20,6,538,97,52,196,73,78,58,20,42,7,618,6,3,4,4,11,4,0,3,0,41,21,20,5,23,31,21,3,9,0,132,11,31,5,6,18,5,5,0,3,78,21,41,9,8,18,11,3,9,10,142,1652,3809,467,448,957,546,76,193,110,8261
208041195,103,140,31,42,101,44,5,14,4,493,96,100,56,80,81,59,3,23,8,500,109,53,264,94,80,78,28,51,7,764,11,6,3,4,6,17,0,5,0,45,23,21,8,27,32,26,3,8,0,150,18,32,9,3,15,10,0,0,3,76,14,32,7,9,16,11,4,8,21,127,1521,3660,523,519,914,489,85,179,118,8005
209011196,40,39,20,34,47,18,8,11,3,222,39,45,52,80,58,24,7,15,10,333,81,37,306,115,81,48,44,63,22,800,4,3,8,3,8,6,0,4,0,37,10,8,8,15,26,12,9,9,3,85,0,10,6,4,8,4,7,3,4,47,8,12,4,21,4,7,0,6,13,73,368,814,487,388,394,189,100,177,67,2980
209011197,80,149,54,93,118,34,6,13,0,552,108,144,84,135,136,57,11,21,12,710,199,102,862,214,197,104,81,111,24,1888,7,5,7,19,22,11,3,6,0,77,15,20,13,45,70,15,13,20,3,216,6,15,10,12,10,7,0,3,0,62,18,34,24,26,25,12,9,18,8,168,1003,2536,1197,774,933,371,146,234,88,7280
209011198,55,89,32,42,67,27,6,13,3,333,69,86,41,63,72,25,10,21,4,392,95,52,303,92,97,52,22,49,8,772,5,0,0,8,9,6,0,4,0,38,17,12,12,23,24,16,6,6,6,113,3,20,5,4,8,0,0,3,0,39,6,23,8,14,13,13,0,8,16,99,845,2475,512,424,638,273,78,171,73,5489
209011199,24,70,28,53,51,17,9,23,4,278,55,54,51,85,70,27,16,25,8,395,47,33,343,163,78,43,73,85,19,895,3,3,3,12,12,7,0,3,0,49,7,6,9,20,12,7,9,7,0,85,4,10,10,3,5,3,3,3,4,42,8,15,19,8,3,5,10,11,7,88,421,1508,589,519,503,213,164,232,72,4222
209011200,46,85,22,30,45,25,5,6,0,261,48,70,28,38,59,23,0,12,3,286,56,41,194,71,46,38,14,33,4,496,6,0,3,5,11,3,0,3,0,37,14,11,6,13,17,12,0,5,0,88,6,16,3,3,13,9,0,0,4,57,10,22,8,16,6,11,3,4,12,92,811,2207,357,338,537,237,45,100,54,4684
209011201,42,60,16,17,34,17,0,4,0,191,29,26,21,14,37,16,6,3,0,152,55,24,102,27,42,32,8,16,3,299,0,3,0,3,5,5,0,0,0,20,12,6,3,4,18,10,0,3,0,48,4,8,0,4,4,3,0,3,0,29,8,16,5,0,7,3,0,0,4,48,585,1429,192,151,369,183,21,53,37,3011
209011202,81,146,33,64,75,23,3,14,5,441,98,102,66,121,87,40,6,16,11,540,190,82,644,163,169,74,62,89,22,1496,3,3,7,18,19,6,3,4,0,63,18,12,14,31,41,13,3,5,4,136,7,20,3,6,10,8,3,5,0,52,18,16,11,18,31,9,0,7,18,124,945,2166,883,598,743,269,97,181,81,5959
209011203,76,115,53,70,73,33,14,7,3,440,90,119,72,101,110,46,7,13,3,569,142,86,580,192,144,68,53,82,13,1371,7,3,14,14,18,11,0,5,0,68,10,9,19,32,26,9,6,13,0,128,3,15,4,7,11,9,0,5,0,58,9,25,11,12,9,6,4,13,15,110,929,2433,895,633,805,312,139,202,68,6414
209011204,47,51,20,36,34,16,6,3,3,217,53,61,36,60,80,27,8,10,4,334,69,32,391,124,85,55,53,68,14,891,3,0,4,4,7,3,3,7,0,36,5,7,5,12,19,10,3,7,0,69,7,3,3,0,8,4,0,0,0,30,5,13,5,12,8,11,3,8,12,65,389,998,526,332,389,180,92,136,40,3081
209021205,36,40,28,21,40,22,5,12,0,212,44,45,30,48,42,41,10,30,4,304,51,17,166,81,65,39,31,42,7,509,3,3,7,8,7,9,0,5,0,34,5,6,4,11,24,12,3,3,0,62,9,10,9,8,3,0,4,4,0,47,7,16,3,6,12,15,6,13,7,85,436,1053,319,344,399,294,111,254,37,3259
209021207,62,95,90,69,94,43,34,39,10,529,102,117,159,183,132,76,49,77,6,895,144,82,652,268,181,113,135,175,27,1780,0,6,9,10,25,16,8,23,0,100,16,13,19,53,50,20,17,16,4,204,10,17,11,6,13,11,6,17,3,95,18,16,28,40,32,26,25,32,45,260,774,2258,1192,972,1051,520,412,631,143,7950
209021208,66,94,83,66,94,49,20,33,5,514,82,113,104,150,131,63,27,68,7,745,119,63,662,173,146,112,101,157,26,1562,6,0,4,11,24,16,3,15,0,83,9,10,13,28,41,26,11,22,0,167,7,21,10,3,7,3,7,8,0,69,18,26,41,32,24,20,20,37,18,224,737,2031,1129,713,896,465,273,527,104,6887
209021428,71,106,45,55,56,45,13,26,12,434,95,107,100,144,123,58,23,46,3,697,91,76,443,182,138,102,58,101,19,1203,8,4,5,24,16,11,0,13,0,84,13,18,9,33,37,14,6,15,0,136,9,18,7,11,12,9,3,6,6,84,18,23,26,13,12,17,13,26,24,154,837,2535,814,792,854,451,179,361,97,6922
209021429,35,68,34,36,50,29,13,15,4,288,67,74,49,76,63,34,12,17,6,395,93,57,283,88,54,60,39,40,4,718,9,3,5,5,10,4,0,3,0,44,4,3,8,13,25,4,4,9,0,75,3,15,5,7,3,0,0,4,0,39,3,19,18,15,13,11,3,15,8,96,610,1801,497,428,507,281,102,168,57,4452
209031209,142,199,66,94,103,49,18,16,8,686,138,166,99,134,139,59,11,15,10,766,254,130,802,202,217,117,73,104,23,1915,9,7,13,11,30,11,0,6,0,86,36,18,12,51,48,20,7,19,0,220,13,31,3,6,13,5,0,3,0,81,20,25,19,25,30,16,3,7,11,163,1588,3297,1138,791,1062,435,136,225,100,8766
209031210,16,31,6,21,11,5,0,0,0,96,19,26,13,23,31,12,0,10,0,126,46,23,216,52,35,12,29,32,4,454,0,0,0,3,7,0,0,3,0,9,3,3,3,11,9,0,0,4,0,35,3,0,0,0,0,0,0,0,0,8,10,4,10,3,3,3,3,3,3,35,166,418,271,154,136,51,39,59,16,1314
209031211,19,30,13,21,7,10,0,5,0,103,25,25,21,33,24,3,5,4,6,148,68,19,236,77,52,22,49,61,9,595,0,0,3,0,5,0,4,0,0,22,4,0,4,14,4,3,3,0,0,33,3,3,0,0,0,3,0,0,0,16,0,5,14,15,11,3,5,4,3,64,165,245,303,196,130,45,78,90,18,1275
209031212,35,55,17,25,32,9,0,3,6,180,29,31,20,23,25,5,0,6,4,149,98,27,289,52,51,20,43,39,3,626,7,3,3,3,6,7,0,3,0,33,9,8,3,7,6,8,3,5,0,50,5,0,6,0,4,0,0,0,0,18,12,10,12,8,13,9,3,7,3,71,321,595,386,159,230,82,55,85,27,1940
209031213,52,63,21,37,57,31,8,8,0,278,64,67,34,64,54,27,8,9,7,332,146,39,437,76,89,58,51,53,9,960,3,3,3,5,18,9,6,0,0,45,17,9,6,11,15,12,0,7,0,84,4,8,10,4,4,3,0,0,0,38,7,8,9,5,14,15,4,8,5,94,576,1041,559,308,392,197,93,107,44,3313
209031214,51,57,29,30,42,13,0,6,0,223,45,43,32,34,37,13,7,11,0,217,111,26,247,53,46,30,18,32,7,568,5,0,4,4,6,3,4,8,0,25,8,3,7,4,15,6,0,0,4,49,0,4,4,0,3,3,0,3,0,21,6,6,3,9,8,6,0,8,8,55,518,896,358,214,268,123,40,75,33,2529
209031215,83,106,36,67,69,30,3,7,3,407,88,92,47,141,106,35,10,9,5,526,198,74,795,198,168,80,67,100,12,1688,4,3,5,11,16,8,5,3,0,57,16,7,10,42,21,15,5,7,3,133,6,10,0,5,13,0,0,3,0,45,9,18,6,21,19,10,4,6,12,99,741,1512,978,605,630,255,108,162,59,5059
209041216,31,36,19,24,29,5,8,11,0,169,29,42,30,53,29,33,10,9,3,227,43,17,153,59,58,32,31,45,3,449,5,5,3,3,6,7,0,6,0,29,14,3,5,3,13,6,3,8,0,55,3,6,3,3,0,3,3,4,0,30,3,11,9,8,9,3,4,7,4,50,290,743,255,247,303,189,78,117,33,2259
209041217,15,19,17,19,23,15,10,3,0,121,19,27,30,37,30,18,10,16,3,183,36,18,151,70,35,34,29,40,8,433,0,0,0,4,7,8,3,4,0,29,3,3,10,10,12,5,0,5,0,43,0,5,5,3,3,0,0,3,0,32,5,3,17,6,12,5,4,10,10,66,184,443,265,219,213,167,79,141,33,1737
