SA2_MAINCODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
205051101,9,4,12,13,8,27,0,0,3,0,0,0,4,0,4,2096,1843,3940,124,124,248,55,4,64,36,9,45,29,3,31,48,13,64,145,104,248,2558,2120,4683,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,29,8,37,33,14,47,0,0,4,0,0,0,0,0,0,6,0,9,207,243,450,340,451,791,46,48,92,3192,2869,6065
205051102,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,612,539,1153,30,20,50,22,0,22,24,8,32,0,3,3,12,8,14,48,42,97,764,617,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,16,14,3,12,0,3,4,0,0,0,4,0,4,3,3,11,114,99,221,79,116,198,18,15,31,992,860,1848
205051103,4,3,4,20,3,21,0,0,0,0,0,0,7,11,15,2245,2010,4251,182,204,386,23,0,21,14,0,14,71,26,103,68,9,82,131,148,275,2770,2405,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,24,11,33,24,17,37,3,0,3,0,0,0,5,0,5,10,0,10,58,86,144,276,439,715,41,38,72,3173,2981,6155
205051104,0,4,4,5,0,5,0,0,0,0,0,0,0,0,0,660,591,1252,41,34,76,23,0,20,18,7,28,10,4,12,21,13,30,58,59,119,834,717,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,163,132,296,93,157,255,16,15,36,1116,1025,2144
206011105,718,687,1411,35,41,76,6,0,6,1054,1425,2477,15,20,35,2564,2242,4806,105,195,296,16,0,16,92,9,109,1081,757,1836,57,32,91,320,362,684,6060,5770,11827,44,41,85,0,0,0,217,221,435,11,14,25,6,11,16,48,39,85,328,321,648,0,0,0,45,70,119,3,3,5,0,3,3,0,3,5,52,78,132,114,105,218,489,506,993,68,80,148,10,9,17,12,9,20,90,95,179,306,300,611,492,903,1392,55,47,101,7493,7615,15111
206011106,42,45,87,20,28,46,0,0,0,737,1000,1735,9,8,22,1153,1090,2250,48,86,130,12,0,12,38,5,40,423,300,725,24,15,43,129,151,281,2628,2733,5370,7,12,18,0,0,0,78,71,150,4,6,8,0,0,0,12,3,13,98,91,186,0,0,0,15,42,62,0,0,0,0,0,0,0,0,3,14,48,64,73,53,125,185,192,377,32,30,61,0,5,8,8,7,17,37,39,80,139,152,291,161,330,495,22,21,47,3181,3476,6655
206011107,119,129,246,26,46,73,0,0,0,566,639,1204,13,7,21,1661,1459,3124,80,135,218,14,0,14,46,18,63,385,236,617,18,21,40,74,119,191,2995,2803,5797,32,38,74,0,0,0,67,80,142,7,11,21,0,5,5,4,5,10,118,143,256,0,0,0,26,79,113,0,0,0,0,0,0,0,0,0,35,83,112,58,62,126,207,289,495,53,42,92,3,9,12,3,9,10,59,55,116,124,143,273,211,438,656,34,19,56,3633,3752,7390
206011108,736,657,1395,65,86,149,0,4,4,510,735,1246,15,9,26,3365,2673,6038,140,236,379,37,3,39,75,8,88,518,287,808,49,21,69,147,193,341,5666,4914,10581,48,43,90,0,0,0,119,121,240,39,35,68,3,15,17,36,13,50,240,223,466,0,0,0,35,35,75,0,4,8,6,4,12,0,0,0,44,54,93,77,93,164,359,369,726,59,46,106,5,6,14,3,7,8,73,57,128,232,275,511,406,746,1153,86,58,146,6828,6415,13246
206011109,159,176,338,22,14,39,0,0,0,141,171,310,4,3,10,1552,1293,2851,85,110,198,24,0,28,22,0,23,80,29,107,16,6,30,33,24,64,2144,1839,3987,11,11,21,0,0,0,20,16,39,15,28,40,0,4,4,6,3,10,50,68,116,0,0,0,7,12,27,0,0,3,0,3,3,0,0,0,8,15,29,30,20,49,89,108,188,11,10,24,0,0,0,0,0,0,8,10,25,74,89,161,151,305,450,19,16,32,2481,2367,4851
206021110,479,496,975,34,33,67,0,0,0,3,5,12,5,0,6,1156,1038,2193,48,89,140,15,0,15,21,4,28,201,97,303,18,11,30,61,87,149,2035,1877,3908,16,21,44,0,0,0,33,43,79,18,33,47,3,3,4,27,12,34,101,114,210,0,0,0,10,12,20,0,0,0,0,0,0,0,0,0,10,11,21,22,17,31,124,136,264,8,12,23,0,3,4,3,0,3,11,15,27,103,128,234,151,303,452,13,20,36,2441,2480,4921
206021111,962,1061,2020,80,99,186,4,0,4,374,621,992,5,7,19,2613,2660,5272,96,192,288,20,0,20,68,9,86,774,514,1292,36,23,58,197,260,459,5236,5450,10683,48,51,98,0,0,0,127,161,290,31,47,78,10,6,18,44,33,76,258,297,561,0,0,0,20,34,63,5,4,7,0,4,4,0,3,5,32,44,76,61,85,145,355,434,786,49,53,98,4,3,9,0,3,7,52,57,108,312,365,677,382,816,1190,58,59,116,6394,7181,13574
206021112,451,441,895,71,66,140,3,0,3,308,479,790,10,5,14,2273,2218,4489,91,155,245,28,0,27,46,9,56,456,243,700,23,14,36,110,136,245,3862,3774,7637,50,47,102,0,0,0,64,86,147,47,74,117,14,15,22,30,22,51,206,239,447,0,0,0,20,45,74,3,0,3,3,0,4,0,4,8,30,57,87,57,67,124,292,362,654,52,49,96,3,9,11,5,4,6,58,53,110,170,225,390,317,626,939,39,34,76,4730,5075,9806
206031113,432,426,858,5,20,32,0,0,0,166,269,436,15,8,19,2104,1744,3844,85,181,273,9,0,9,43,6,48,204,75,276,18,20,39,82,124,204,3170,2876,6044,45,61,100,0,0,0,106,113,215,26,31,58,8,21,32,9,8,16,196,233,430,0,0,0,3,12,14,4,3,3,0,4,4,0,0,0,10,21,28,34,41,75,235,289,525,44,31,69,0,3,3,0,3,3,45,31,78,129,174,299,204,411,612,28,28,50,3808,3801,7609
206031114,768,751,1521,54,48,101,0,0,4,145,291,437,16,16,30,4465,3757,8220,198,354,550,48,4,46,60,3,70,148,43,188,41,27,68,130,164,294,6068,5462,11525,134,120,259,0,0,0,168,168,336,61,48,113,9,19,28,15,3,16,391,359,750,0,0,0,21,25,42,8,8,15,4,0,7,0,0,0,31,35,65,54,52,105,470,445,920,77,92,167,3,3,4,5,0,5,83,95,176,240,322,557,503,891,1397,45,51,97,7416,7259,14671
206031115,366,375,740,0,7,9,0,0,0,222,347,566,11,3,13,872,723,1598,26,75,104,3,0,3,25,3,30,173,87,264,10,14,26,96,112,210,1808,1751,3560,19,23,42,0,0,0,88,96,189,10,8,20,0,5,5,16,10,20,137,144,276,0,0,0,3,11,10,0,0,0,0,0,0,0,0,0,3,11,11,20,25,50,159,176,341,26,27,58,0,0,0,3,0,3,27,34,61,107,85,195,153,271,426,26,25,51,2286,2342,4631
206031116,486,507,996,19,34,55,0,0,0,166,249,414,6,4,12,2069,1646,3711,85,180,262,27,0,27,43,14,55,151,44,188,33,17,54,152,161,317,3227,2859,6087,31,60,90,0,0,0,78,80,160,16,16,37,4,9,12,10,0,11,142,165,302,0,0,0,9,16,20,0,3,3,0,4,3,0,3,3,5,24,34,36,33,64,179,224,404,26,37,60,3,0,3,4,3,9,34,38,70,145,177,324,218,446,664,24,19,44,3830,3768,7599
206041117,99,102,200,61,64,127,0,0,5,539,631,1167,10,4,12,700,496,1190,48,65,114,6,0,9,18,11,30,249,160,411,18,17,36,872,934,1801,2613,2482,5097,14,18,25,0,0,0,83,82,166,0,3,3,0,0,3,4,3,10,103,99,208,0,0,0,13,22,34,0,0,0,0,0,0,0,0,4,12,28,42,41,48,90,159,179,333,35,39,76,0,5,7,4,3,6,39,48,82,122,129,254,253,416,673,27,32,57,3220,3285,6501
206041118,121,114,237,17,21,37,0,0,0,849,785,1636,6,10,15,830,479,1304,39,82,120,3,0,3,25,4,32,49,25,80,39,9,43,879,551,1430,2856,2075,4933,23,19,39,0,0,0,33,40,74,3,0,3,0,3,3,3,0,7,64,58,121,0,0,0,3,4,7,0,0,0,0,0,0,3,0,3,5,4,8,25,31,58,95,95,193,19,14,35,0,0,0,0,5,4,24,18,38,147,113,257,183,240,418,31,29,61,3325,2570,5898
206041119,64,72,138,17,28,44,0,0,0,165,190,359,8,5,18,431,370,800,20,45,60,0,0,0,8,0,10,68,37,106,14,15,25,419,401,815,1217,1169,2389,5,0,6,0,0,0,18,24,44,3,0,5,0,0,0,3,0,10,26,31,56,0,0,0,3,9,13,0,0,0,0,0,0,0,0,0,3,9,15,20,8,29,54,54,104,10,12,19,0,0,0,0,3,8,9,16,29,120,103,223,100,151,259,13,19,32,1515,1511,3031
206041120,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,16,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,19,16,38
206041121,730,744,1479,33,90,126,0,0,0,34,52,88,10,9,14,1229,1107,2333,52,110,162,14,0,14,31,4,40,279,140,416,29,12,37,122,179,300,2574,2448,5015,31,34,66,0,0,0,94,103,203,16,29,42,6,16,21,25,13,34,169,193,361,0,0,0,3,3,7,0,5,5,0,0,0,0,0,0,9,10,13,24,25,46,201,224,429,15,42,55,0,3,3,4,0,3,18,44,61,92,139,234,193,339,531,16,12,30,3091,3204,6294
206041122,672,670,1345,134,112,242,3,0,3,1866,1910,3772,30,32,62,839,496,1333,54,101,161,0,0,0,39,9,51,174,50,225,56,25,81,3123,2601,5724,6993,6012,13009,111,99,209,0,0,0,147,134,279,13,3,17,7,8,16,24,11,28,296,249,549,0,0,0,14,17,38,0,3,3,0,0,0,0,4,4,20,25,42,71,50,121,390,325,715,58,57,116,0,0,0,0,7,11,62,67,129,267,217,486,565,798,1362,79,74,150,8356,7492,15847
206041123,290,281,573,53,66,123,0,0,0,712,833,1544,22,25,49,1292,1002,2293,62,129,187,7,0,7,49,11,61,347,198,546,49,32,77,1197,1196,2396,4091,3769,7857,33,33,59,0,0,0,124,117,240,3,6,11,8,3,9,20,11,29,177,170,355,0,0,0,9,22,30,3,3,8,0,3,3,3,0,3,17,27,40,71,42,111,261,243,509,48,39,83,3,4,7,8,6,10,58,47,103,210,186,395,355,624,973,57,50,106,5031,4925,9952
206041124,79,77,159,14,9,24,0,0,0,215,260,477,7,8,17,474,431,910,26,48,76,0,0,0,12,0,11,165,125,289,12,8,22,254,306,560,1252,1279,2539,15,8,22,0,0,0,34,49,83,8,4,8,0,0,0,5,7,8,54,69,123,0,0,0,4,12,17,0,0,0,0,0,0,0,0,0,12,11,21,14,19,35,78,103,184,15,23,42,3,0,3,0,0,0,21,26,44,92,97,189,210,325,530,10,11,25,1659,1843,3503
206041125,74,78,151,15,25,34,0,0,0,284,320,599,10,9,17,570,506,1073,25,42,69,0,0,0,30,0,31,118,59,180,17,10,25,237,296,534,1376,1344,2721,10,13,14,0,0,0,26,33,64,0,0,3,0,3,3,3,0,5,42,54,95,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,21,21,40,64,80,136,20,16,32,0,0,0,0,0,0,17,17,34,116,112,224,93,143,235,12,13,24,1682,1701,3377
206041126,269,286,553,45,57,97,4,0,7,941,1113,2056,28,21,48,1387,820,2208,67,148,211,7,0,7,49,5,58,187,76,269,45,30,81,1949,1554,3502,4975,4122,9091,38,28,60,0,0,0,72,81,148,11,10,18,0,4,7,10,4,18,134,123,252,0,0,0,15,20,36,3,0,3,0,3,4,4,0,4,26,18,47,54,55,113,208,197,414,41,42,81,3,0,6,4,3,3,46,44,91,206,176,380,286,383,674,32,28,60,5754,4956,10711
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,41,32,72,20,23,40,3,0,3,806,859,1671,16,22,35,1780,1444,3220,69,140,210,6,0,8,57,5,60,236,119,354,41,36,69,388,380,766,3451,3051,6506,0,10,9,0,0,0,70,59,131,3,0,3,0,0,0,3,6,5,81,72,150,0,0,0,6,5,15,4,0,3,0,0,0,0,0,0,8,13,20,70,64,135,169,141,309,26,16,35,0,0,0,9,8,17,29,26,59,280,292,567,231,359,589,31,20,52,4196,3887,8083
206051129,413,473,887,51,91,143,0,0,0,186,333,517,19,15,33,2343,2346,4690,82,129,216,9,0,9,73,13,90,291,157,443,26,13,44,140,169,308,3632,3747,7380,46,57,99,0,0,0,41,57,99,24,24,55,3,4,8,13,14,26,124,162,287,0,0,0,23,63,90,0,0,3,0,0,0,3,3,6,32,71,100,60,73,128,215,303,514,28,45,73,3,4,8,0,3,3,29,53,87,242,305,540,240,458,693,28,28,60,4387,4886,9276
206051130,26,18,39,146,190,337,0,0,0,483,620,1105,22,21,42,2280,1949,4226,98,195,290,19,0,19,71,11,83,334,175,515,30,41,70,271,310,588,3786,3535,7317,13,11,26,0,0,0,35,35,67,4,4,3,0,3,3,6,4,10,57,51,105,0,0,0,26,45,70,3,5,9,0,3,10,6,6,7,34,60,96,64,52,114,154,161,321,11,16,31,4,7,11,5,3,5,18,29,52,257,316,570,240,388,629,30,20,51,4481,4452,8931
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,13
206051132,27,55,82,10,12,21,0,0,5,644,678,1320,17,10,27,1155,908,2060,47,94,136,8,0,8,37,9,46,152,93,241,29,19,46,521,543,1071,2644,2418,5065,0,0,3,0,0,0,53,54,116,3,3,6,0,0,0,3,0,3,62,64,127,0,0,0,6,10,13,0,0,0,0,0,3,0,0,0,12,8,17,43,45,86,115,121,229,18,14,37,0,0,0,10,5,14,28,24,51,168,187,350,136,257,390,15,15,25,3105,3015,6116
206051133,352,329,680,83,97,181,4,0,3,1637,1924,3559,29,20,49,3127,2539,5665,124,194,315,16,0,17,101,18,123,447,243,690,74,39,116,556,641,1194,6560,6046,12608,16,22,41,0,0,0,156,167,319,6,9,11,0,7,7,8,6,18,184,203,395,0,0,0,27,20,48,0,4,4,0,0,0,5,3,5,27,28,58,111,91,205,324,332,654,61,49,115,7,4,14,14,11,21,81,67,149,355,387,738,442,668,1106,56,50,110,7821,7548,15372
206051134,789,799,1587,37,43,84,0,0,3,357,453,815,17,17,28,2226,1958,4185,108,172,285,14,3,16,62,12,79,253,106,361,36,31,62,215,295,510,4116,3887,8008,27,25,47,0,0,0,178,186,358,13,22,33,3,10,12,20,7,25,235,247,476,0,0,0,14,28,36,0,0,0,0,0,0,0,3,3,15,28,43,41,47,81,289,316,604,52,42,95,0,0,3,3,0,6,55,47,104,212,243,455,264,428,692,28,32,61,4961,4961,9924
206061135,484,473,957,3,10,12,0,0,0,104,170,274,4,0,4,1170,1005,2181,28,72,103,3,0,3,20,0,20,63,19,80,19,20,39,72,117,184,1977,1886,3859,9,23,35,0,0,0,47,65,110,7,6,19,6,3,10,12,4,11,78,109,185,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,5,0,3,17,15,35,98,127,222,18,12,29,0,0,0,0,0,3,20,16,31,123,165,287,141,252,397,10,10,26,2370,2452,4828
206061136,973,925,1902,44,55,95,0,0,7,549,679,1228,15,16,29,2436,2177,4617,82,164,245,9,0,8,56,9,68,330,143,468,32,29,62,557,689,1248,5103,4885,9985,35,23,64,0,0,0,164,174,343,13,9,24,10,9,20,20,14,40,249,235,486,0,0,0,29,18,45,0,7,7,0,0,0,0,0,4,24,21,48,63,46,113,344,304,652,41,41,83,0,0,3,3,4,10,46,50,95,263,257,514,334,509,845,34,24,63,6125,6031,12157
206061137,1466,1541,3012,50,76,126,0,0,0,243,397,639,31,18,53,2106,1686,3798,79,175,251,6,0,6,47,11,53,318,143,464,47,30,78,761,885,1648,5154,4964,10120,85,69,154,0,0,0,194,249,445,14,20,41,7,10,18,29,25,52,336,368,703,0,0,0,11,16,22,0,0,3,0,0,0,3,0,3,11,17,31,50,25,73,397,410,805,49,40,91,3,0,5,7,3,8,58,42,104,270,287,555,328,506,834,38,27,68,6250,6244,12487
206061138,348,276,625,29,42,72,0,0,0,142,206,347,9,5,13,1845,1415,3260,61,131,193,3,0,7,25,4,25,110,37,140,22,23,43,154,166,318,2750,2300,5052,10,8,24,0,0,0,115,134,246,17,10,26,0,7,6,7,4,6,149,162,305,0,0,0,3,8,10,0,5,3,0,0,0,0,0,0,3,13,14,31,23,56,177,197,379,17,19,34,0,3,3,3,0,3,18,19,43,217,283,501,199,309,506,36,36,70,3395,3149,6545
206071139,226,238,469,67,78,144,3,0,3,354,426,785,10,6,14,971,738,1710,42,78,119,4,0,4,31,3,34,258,131,389,24,16,35,263,249,516,2243,1971,4215,27,16,36,0,0,0,57,63,121,5,4,13,3,8,9,9,11,19,103,101,203,0,0,0,9,14,28,0,0,0,0,6,5,0,0,0,9,25,30,28,31,59,135,158,292,17,19,30,0,0,5,3,4,4,22,24,40,115,108,223,135,237,367,20,14,33,2665,2504,5171
206071140,22,28,52,56,52,113,0,0,0,405,517,914,4,8,8,793,741,1530,35,74,109,0,0,0,34,9,45,407,281,684,10,15,24,224,304,530,1984,2025,4008,0,7,7,0,0,0,38,47,84,0,0,3,0,0,0,4,0,3,41,56,105,0,0,0,12,23,32,0,0,0,0,0,0,0,0,0,10,26,40,40,55,96,97,141,235,20,22,40,0,3,3,0,8,7,21,28,47,139,143,282,143,297,438,11,11,23,2401,2644,5039
206071141,115,105,221,49,68,121,0,0,0,367,373,743,13,7,23,702,549,1249,34,49,84,6,0,6,26,5,35,241,146,386,16,13,35,442,469,911,2011,1799,3807,12,9,28,0,0,0,37,40,74,4,6,5,3,0,3,10,4,12,67,58,128,0,0,0,12,14,25,3,0,3,0,0,3,0,3,3,12,21,34,35,26,59,117,103,223,16,19,32,0,0,0,7,0,7,24,20,44,112,111,229,153,218,365,24,20,50,2444,2276,4711
206071142,55,49,105,21,21,39,7,4,6,449,494,943,18,13,33,751,587,1336,35,70,99,3,0,3,26,4,34,267,188,459,14,18,24,605,689,1295,2248,2141,4388,10,0,10,0,0,0,44,56,97,3,0,3,0,3,0,14,6,20,70,63,131,0,0,0,8,10,18,0,0,0,0,0,0,0,0,0,11,13,20,32,31,60,107,106,218,21,20,35,3,3,6,0,3,3,24,27,43,154,161,311,153,243,401,35,29,68,2721,2706,5427
206071143,119,113,238,28,37,68,3,0,3,594,778,1376,9,11,14,1131,1064,2199,41,89,126,9,0,9,38,9,42,546,442,990,33,20,51,198,321,527,2754,2882,5637,7,7,13,0,0,0,43,61,109,6,3,7,0,3,7,12,6,19,71,85,161,0,0,0,10,21,35,0,0,0,0,0,0,7,0,7,13,21,41,54,62,113,138,167,309,25,24,45,3,0,3,3,4,12,31,26,57,178,224,403,194,398,585,13,26,38,3312,3728,7038
206071144,1114,1032,2141,45,40,83,3,0,3,1205,1394,2602,22,31,52,3726,3036,6758,133,262,394,24,0,21,90,11,103,675,334,1011,59,42,106,1049,1244,2292,8142,7439,15576,57,51,111,0,0,0,189,265,460,23,20,45,8,7,11,39,26,67,320,375,697,0,0,0,16,26,39,3,3,3,0,0,0,0,0,0,18,24,44,92,94,187,430,495,931,45,45,94,0,0,0,15,14,27,59,61,115,352,371,724,463,824,1288,61,60,119,9507,9249,18752
206071145,405,429,835,32,45,77,0,0,0,58,44,97,6,4,11,1032,1009,2035,37,50,84,9,0,9,29,10,37,324,194,518,18,6,18,99,136,235,2041,1920,3957,20,15,36,0,0,0,44,51,95,15,11,26,6,5,6,15,13,32,102,94,193,0,0,0,5,3,9,0,3,4,0,3,3,0,4,3,6,14,21,32,19,53,141,128,275,22,33,50,0,0,0,7,3,4,25,37,62,142,178,318,139,305,450,9,12,28,2504,2583,5084
207011146,321,240,561,12,12,24,0,0,0,3,9,14,3,0,3,1018,918,1945,33,52,92,7,0,12,16,0,16,91,14,100,15,7,15,48,35,87,1567,1293,2863,14,13,21,0,0,0,8,16,27,22,26,44,8,13,17,5,3,8,55,64,120,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,3,4,14,16,30,76,77,153,5,9,17,0,0,0,0,0,0,12,14,19,124,131,251,122,225,349,13,12,26,1911,1750,3659
207011147,202,156,356,107,85,195,0,0,0,134,174,309,4,5,10,2179,1807,3989,81,193,273,19,0,19,18,5,26,54,12,59,21,22,46,75,94,171,2887,2556,5441,10,18,30,0,0,0,55,38,90,43,45,84,12,8,18,0,3,5,124,107,228,0,0,0,28,12,36,5,5,8,0,3,3,0,0,0,33,23,55,31,24,54,182,148,336,36,23,63,4,4,10,0,0,0,42,28,75,229,274,500,252,398,650,34,41,75,3637,3447,7076
207011148,101,66,171,299,240,536,3,0,3,160,154,316,15,3,17,3064,2522,5595,130,277,410,13,3,15,26,0,25,62,4,62,29,16,41,72,63,138,3965,3353,7319,27,26,47,0,0,0,11,8,16,45,40,81,10,3,10,0,0,0,87,74,161,0,0,0,45,21,67,16,15,31,6,12,18,5,0,5,73,51,121,54,38,98,213,168,383,23,15,39,11,7,14,3,0,5,36,24,63,277,356,632,281,481,761,36,39,72,4814,4423,9234
207011149,765,606,1369,12,23,33,0,0,0,139,168,307,13,6,18,2739,2507,5244,110,198,301,19,0,20,31,5,35,153,21,177,23,12,36,141,156,294,4141,3690,7829,32,20,53,0,0,0,107,83,186,81,48,120,9,22,36,17,4,18,240,174,417,0,0,0,6,5,11,0,0,0,0,5,5,0,0,0,11,8,17,36,28,56,286,207,496,54,40,92,0,0,0,3,3,4,51,48,100,350,361,711,319,654,972,23,34,55,5160,4990,10156
207011150,577,457,1029,13,28,39,0,0,0,44,54,101,5,0,11,2423,2192,4611,89,161,253,12,0,18,22,4,27,177,31,210,22,19,42,85,85,167,3471,3033,6510,15,22,35,0,0,0,37,38,72,63,47,114,10,14,21,21,4,26,149,122,267,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,9,8,15,35,19,55,182,149,334,28,10,39,0,0,0,0,0,0,29,14,42,261,287,548,264,530,800,22,17,39,4235,4035,8263
207011151,1028,932,1955,25,7,30,0,0,0,462,583,1047,15,12,33,2720,2449,5175,94,194,292,4,0,4,45,12,57,262,100,360,39,22,56,428,489,918,5125,4806,9932,32,34,69,0,0,0,221,223,447,16,26,40,3,15,19,27,16,44,303,313,620,0,0,0,5,15,23,0,0,0,0,0,0,3,0,3,10,21,26,45,35,85,363,368,726,44,50,94,3,0,3,3,3,4,52,49,99,285,332,619,434,711,1151,33,39,70,6297,6312,12610
207011152,700,668,1366,9,11,18,0,0,0,159,159,316,18,10,28,2046,1816,3858,74,140,210,6,0,6,29,0,35,142,22,164,30,15,41,190,244,438,3396,3093,6481,20,21,44,0,0,0,105,130,242,28,28,55,0,3,9,9,13,27,162,196,365,0,0,0,0,5,8,0,0,3,0,0,0,0,0,0,3,6,14,26,23,46,199,230,427,28,27,57,0,0,0,6,3,6,33,27,64,188,276,460,227,412,640,17,14,33,4057,4050,8107
207011153,167,135,306,175,204,380,0,0,0,494,527,1016,14,20,35,3543,2978,6517,145,296,442,18,0,18,50,0,54,220,65,286,53,28,82,220,262,483,5095,4519,9614,22,20,46,0,0,0,86,62,141,29,18,48,11,12,19,5,5,10,148,113,266,0,0,0,34,51,83,6,4,8,3,0,3,7,0,7,45,56,94,71,62,132,262,235,490,36,39,79,9,3,14,4,3,7,46,50,97,388,479,866,428,665,1084,45,50,93,6260,5992,12255
