SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC21031,3,0,3,57,30,0,88,217,25,333
SSC21032,4,0,4,32,22,0,57,167,26,246
SSC21033,0,0,0,11,8,0,23,27,3,47
SSC21034,0,0,0,13,3,3,20,80,3,103
SSC21035,0,0,0,9,0,0,14,29,0,39
SSC21036,0,0,0,9,13,0,23,68,10,101
SSC21037,0,0,0,0,3,0,5,18,3,24
SSC21038,8,3,8,154,80,9,239,491,58,791
SSC21039,0,0,0,7,3,0,11,39,3,56
SSC21040,691,105,799,3372,839,60,4275,12394,1661,18331
SSC21041,7,0,3,27,11,0,39,122,29,193
SSC21042,0,0,0,0,0,0,0,4,0,10
SSC21043,0,0,0,48,18,0,69,113,22,205
SSC21044,0,0,0,16,11,0,27,57,8,90
SSC21045,0,0,0,6,0,0,8,15,3,27
SSC21046,0,0,0,6,10,0,13,55,11,75
SSC21047,0,0,0,28,10,0,39,212,29,274
SSC21048,3,0,3,31,20,3,45,99,11,151
SSC21049,42,9,49,292,157,22,469,1159,163,1792
SSC21050,0,0,0,15,7,0,24,62,8,92
SSC21051,185,107,288,1371,616,58,2047,4551,691,7293
SSC21052,0,0,0,31,20,3,55,101,32,191
SSC21053,0,0,0,3,0,0,8,21,0,31
SSC21054,0,0,0,0,0,0,3,9,0,12
SSC21055,3,0,3,12,0,0,9,36,0,48
SSC21056,0,0,0,10,6,0,11,49,16,80
SSC21057,0,0,0,18,6,0,32,64,4,93
SSC21058,0,0,0,3,0,0,3,25,7,31
SSC21059,0,0,0,28,9,0,34,80,3,122
SSC21060,0,0,0,7,0,0,10,40,3,55
SSC21061,3,0,3,34,16,6,50,171,21,246
SSC21062,4,0,4,135,49,4,186,280,42,507
SSC21063,0,0,0,3,0,0,5,3,3,14
SSC21064,0,0,0,34,6,0,43,111,7,162
SSC21065,0,0,0,40,11,0,47,121,13,185
SSC21066,8,4,12,185,70,6,263,564,97,917
SSC21067,0,0,0,55,37,6,93,144,28,266
SSC21068,3,0,5,36,15,0,54,185,25,260
SSC21069,0,0,0,3,4,0,7,16,3,26
SSC21070,6,0,7,17,12,0,27,181,37,242
SSC21071,0,0,0,11,0,0,14,48,8,72
SSC21072,41,3,51,587,133,25,746,1260,135,2139
SSC21073,0,0,0,0,3,0,3,0,0,3
SSC21074,0,0,0,4,0,0,4,9,0,15
SSC21075,0,0,0,0,0,0,3,13,3,20
SSC21076,3,0,3,3,0,3,5,32,0,36
SSC21077,12,0,13,104,44,4,148,394,35,578
SSC21078,0,0,0,0,0,0,0,0,0,0
SSC21079,0,0,0,0,0,0,3,3,0,12
SSC21080,0,0,0,35,22,0,60,133,13,203
SSC21081,5,5,13,108,47,0,154,501,65,724
SSC21082,0,0,0,15,0,0,19,56,7,84
SSC21083,0,0,0,0,3,0,3,15,6,18
SSC21084,0,0,0,72,18,0,93,182,36,313
SSC21085,0,0,0,0,0,0,0,3,0,3
SSC21086,0,0,0,0,7,0,4,41,9,58
SSC21087,0,0,0,3,0,0,3,9,0,13
SSC21088,0,0,0,0,0,0,0,15,0,12
SSC21089,0,0,0,3,0,0,6,4,0,5
SSC21090,0,0,0,54,26,3,83,227,24,336
SSC21091,0,0,0,4,0,0,4,3,0,10
SSC21092,0,0,0,4,5,0,6,37,11,60
SSC21093,0,0,4,100,31,0,132,319,35,487
SSC21094,0,0,0,9,3,0,7,40,0,48
SSC21095,0,0,4,15,3,0,21,22,3,45
SSC21096,368,40,411,3840,1474,152,5472,10497,857,16826
SSC21097,54,9,64,2596,815,61,3477,8374,555,12407
SSC21098,0,0,0,11,3,0,11,19,8,41
SSC21099,0,0,0,18,3,0,26,46,4,72
SSC21100,6,0,6,13,7,0,22,45,22,91
SSC21101,0,0,4,27,0,0,33,72,9,110
SSC21102,0,0,0,22,6,0,32,88,10,127
SSC21103,0,0,0,0,0,0,0,4,0,4
SSC21104,0,0,0,7,0,0,7,14,0,17
SSC21105,0,0,0,14,7,0,16,21,9,45
SSC21106,563,86,651,2277,1047,98,3416,7732,720,11877
SSC21107,11,0,11,130,85,8,217,488,82,788
SSC21108,0,0,0,48,23,3,71,165,37,271
SSC21109,7,3,9,78,42,4,117,270,60,444
SSC21110,0,0,0,46,21,0,62,105,8,174
SSC21111,0,0,0,0,0,0,0,0,0,0
SSC21112,0,0,0,0,0,0,0,10,0,9
SSC21113,0,0,0,85,24,0,110,185,19,307
SSC21114,0,0,0,11,7,0,18,21,3,42
SSC21115,7,0,8,194,79,10,290,565,85,942
SSC21116,141,24,170,801,286,22,1108,3111,370,4589
SSC21117,196,15,213,1665,576,43,2286,5893,558,8733
SSC21118,3,0,3,17,8,0,23,70,11,97
SSC21119,10,0,10,65,16,3,87,239,41,371
SSC21120,3,0,0,22,4,0,23,86,25,134
SSC21121,298,104,404,1383,651,67,2100,5526,714,8343
SSC21122,200,46,253,954,455,42,1459,3383,418,5257
SSC21123,238,47,288,2564,656,75,3297,6625,725,10652
SSC21124,107,15,118,846,202,30,1075,2428,304,3813
SSC21125,139,23,166,4466,1073,94,5631,12431,1709,19773
SSC21126,0,0,0,26,10,0,36,69,8,114
SSC21127,0,0,0,10,3,0,16,50,9,74
SSC21128,0,0,0,11,0,0,12,33,16,67
SSC21129,14,0,9,160,79,10,242,470,60,771
SSC21130,3,0,3,37,13,0,53,154,25,230
SSC21131,14,0,14,138,47,5,190,447,34,679
SSC21132,0,0,0,7,0,0,5,20,11,29
SSC21133,0,0,4,39,22,3,71,195,42,301
SSC21134,0,0,0,33,4,0,45,100,6,148
SSC21135,0,0,0,22,9,0,34,105,15,145
SSC21136,152,40,196,1515,608,52,2183,4813,785,7779
SSC21137,3,0,3,3,4,0,4,11,3,23
SSC21138,0,0,0,11,4,0,17,33,3,56
SSC21139,13,0,11,268,74,8,356,590,67,1010
SSC21140,0,0,0,5,0,0,3,17,0,22
SSC21141,0,0,0,54,22,0,73,168,22,260
SSC21142,0,0,0,0,0,0,0,3,0,3
SSC21143,270,82,360,3070,1169,85,4320,14538,1595,20455
SSC21144,253,35,299,2202,784,79,3061,8215,750,12030
SSC21145,0,0,0,8,3,0,14,26,0,36
SSC21146,0,0,0,23,18,0,42,113,7,165
SSC21147,12,0,12,237,93,9,336,800,85,1223
SSC21148,0,0,0,55,22,0,78,141,20,243
SSC21149,183,31,213,1137,519,63,1722,3809,563,6093
SSC21150,3,0,3,24,3,3,28,96,9,142
SSC21151,69,17,88,273,155,7,439,1691,329,2458
SSC21152,3,0,3,154,71,7,226,380,30,641
SSC21153,0,0,0,0,0,0,0,13,3,14
SSC21154,31,46,77,580,101,23,708,1347,188,2247
SSC21155,4,0,4,41,19,0,59,122,16,203
SSC21156,162,20,185,1773,699,90,2564,4820,378,7759
SSC21157,3,3,3,17,16,0,32,59,11,109
SSC21158,133,21,158,1095,342,40,1481,3269,333,5080
SSC21159,129,26,158,918,264,26,1213,3438,474,5118
SSC21160,110,29,147,745,202,20,963,2820,658,4443
SSC21161,0,0,0,12,4,0,9,29,3,47
SSC21162,0,0,0,6,3,0,10,39,3,50
SSC21163,9,3,13,93,31,8,131,289,55,478
SSC21164,8,4,14,40,24,0,73,198,22,289
SSC21165,64,14,76,513,268,33,814,1888,189,2888
SSC21166,0,0,0,66,33,3,98,147,6,254
SSC21167,0,0,0,24,8,0,38,91,19,147
SSC21168,0,0,0,4,3,0,9,7,3,12
SSC21169,0,0,3,21,7,0,34,69,20,112
SSC21170,64,8,80,296,123,20,438,1008,163,1605
SSC21171,0,0,0,12,5,0,15,16,3,36
SSC21172,39,9,54,219,105,9,335,972,140,1442
SSC21173,0,0,0,5,0,0,5,15,0,18
SSC21174,0,0,0,4,4,0,5,14,0,15
SSC21175,0,0,0,19,10,0,29,50,4,85
SSC21176,263,42,310,2045,519,87,2651,5193,564,8399
SSC21177,0,0,0,18,9,3,25,68,7,101
SSC21178,367,49,425,3451,1362,104,4922,9543,814,15279
SSC21179,0,0,0,4,4,0,5,5,0,11
SSC21180,0,0,0,29,11,0,43,79,12,131
SSC21181,0,0,0,10,12,0,23,58,5,85
SSC21182,0,4,4,53,22,0,77,173,37,286
SSC21183,3,0,3,44,10,7,59,89,12,160
SSC21184,51,0,57,3476,740,93,4307,7954,747,13009
SSC21185,0,0,0,8,0,0,6,12,4,23
SSC21186,0,0,0,85,9,3,103,841,28,968
SSC21187,0,0,5,99,39,3,140,321,55,518
SSC21188,0,0,0,0,0,0,0,6,4,18
SSC21189,0,0,0,3,3,0,6,19,3,29
SSC21190,0,0,0,0,3,0,3,13,0,23
SSC21191,0,0,3,6,3,0,14,25,10,47
SSC21192,26,29,58,74,40,3,119,421,93,631
SSC21193,7,0,8,173,54,9,230,339,14,579
SSC21194,270,47,327,6474,2239,186,8897,20148,2089,31133
SSC21195,0,0,0,9,0,0,16,20,0,35
SSC21196,4,0,4,23,7,0,23,41,3,68
SSC21197,428,78,521,2213,914,114,3238,7634,974,11845
SSC21198,0,0,0,14,11,0,24,77,64,164
SSC21199,0,0,0,7,4,0,11,25,11,38
SSC21200,0,0,0,18,4,3,23,22,3,51
SSC21201,0,0,0,0,0,0,0,0,0,0
SSC21202,0,0,0,14,3,0,17,51,3,66
SSC21203,0,0,0,0,0,0,0,4,0,4
SSC21204,0,0,0,3,4,0,7,42,0,48
SSC21205,151,16,168,1336,308,52,1701,4231,314,6247
SSC21206,3,0,3,48,19,3,70,143,29,242
SSC21207,3,0,3,5,0,0,5,26,7,33
SSC21208,0,0,0,3,0,0,7,17,0,23
SSC21209,41,6,51,339,67,8,412,997,102,1508
SSC21210,9,3,16,467,145,17,624,1030,145,1804
SSC21211,0,0,0,7,0,3,12,15,0,29
SSC21212,3,0,3,37,22,0,59,108,11,180
SSC21213,3,0,3,19,17,3,38,68,9,117
SSC21214,22,0,22,619,246,44,908,1685,138,2735
SSC21215,0,0,0,0,0,0,0,14,0,11
SSC21216,0,0,0,0,9,0,5,27,5,39
SSC21217,0,0,0,10,0,0,9,10,9,27
SSC21218,0,0,0,20,3,0,24,32,3,59
SSC21219,0,0,0,53,16,3,71,146,24,250
SSC21220,24,3,31,135,88,11,238,627,98,959
SSC21221,4,4,9,56,30,3,87,154,21,264
SSC21222,45,3,50,88,54,3,145,476,103,731
SSC21223,0,0,0,4,0,0,8,27,6,42
SSC21224,3,0,3,89,46,4,137,316,30,486
SSC21225,7,0,10,309,91,9,417,648,61,1125
SSC21226,184,39,224,755,416,47,1223,2893,414,4530
SSC21227,4,0,4,156,69,10,228,396,29,652
SSC21228,13,4,16,276,165,23,461,941,88,1488
SSC21229,3,0,3,42,6,0,48,132,13,190
SSC21230,0,0,0,18,11,0,24,49,17,97
SSC21231,0,0,0,7,0,0,7,0,3,7
SSC21232,58,8,60,151,72,8,225,648,76,953
SSC21233,3,0,4,46,29,0,76,189,20,285
SSC21234,0,0,0,22,11,3,31,67,4,107
SSC21235,0,0,0,9,9,3,21,28,10,62
SSC21236,75,12,95,866,334,23,1227,2645,390,4263
SSC21237,287,32,322,2032,693,51,2778,6857,580,10214
SSC21238,100,26,130,682,238,29,944,1981,162,3089
SSC21239,42,6,54,304,93,3,400,1215,181,1792
SSC21240,3,0,3,18,6,0,27,75,7,114
SSC21241,3,0,4,225,90,19,331,437,63,830
SSC21242,0,0,0,0,0,0,0,16,3,22
SSC21243,0,0,0,9,0,0,8,54,9,80
SSC21244,4,0,10,33,13,0,49,191,23,262
SSC21245,15,0,17,780,223,35,1036,1632,166,2833
SSC21246,0,0,0,5,3,0,7,17,0,26
SSC21247,3,0,3,24,17,3,48,104,7,155
SSC21248,0,0,0,3,0,0,3,10,11,31
SSC21249,0,0,0,19,8,0,29,42,13,82
SSC21250,0,0,0,4,4,0,12,25,12,38
SSC21251,0,0,0,10,10,0,19,40,4,57
SSC21252,6,0,5,79,42,4,134,284,45,463
SSC21253,0,0,0,10,9,0,21,55,4,86
SSC21254,0,0,0,6,0,0,7,6,3,21
SSC21255,0,0,0,3,0,0,3,3,0,8
SSC21256,20,3,22,48,22,0,79,301,32,417
SSC21257,0,0,0,0,0,0,0,0,0,0
SSC21258,3,0,3,0,0,0,0,9,6,14
SSC21259,0,0,0,6,0,0,5,6,0,15
SSC21260,6,3,4,76,43,3,118,274,30,423
SSC21261,0,0,0,3,0,0,5,9,0,16
SSC21262,0,0,0,5,0,0,8,17,4,27
SSC21263,0,0,0,0,0,0,4,46,13,58
SSC21264,3,0,0,42,15,3,61,195,25,280
SSC21265,0,0,0,0,0,0,0,12,0,12
SSC21266,0,0,0,3,0,0,7,16,4,24
SSC21267,0,0,0,21,9,0,28,65,12,107
SSC21268,46,73,119,93,47,3,145,566,191,907
SSC21269,0,0,0,35,13,0,47,130,11,184
SSC21270,0,0,0,0,0,0,0,0,0,0
SSC21271,23,0,25,630,215,26,868,1435,158,2460
SSC21272,0,0,0,10,9,0,24,47,6,70
SSC21273,0,0,0,9,0,0,9,9,4,32
SSC21274,43,17,60,164,76,3,239,725,112,1076
SSC21275,0,0,0,18,12,0,31,81,8,119
SSC21276,0,0,0,14,4,0,14,62,15,87
SSC21277,0,0,0,12,3,0,17,24,11,48
SSC21278,5,0,4,244,100,19,363,735,74,1172
SSC21279,8,0,11,233,91,10,332,610,51,992
SSC21280,0,0,0,7,3,0,12,10,3,26
SSC21281,0,3,3,15,9,3,25,50,3,78
SSC21282,0,0,0,0,0,3,3,8,0,14
SSC21283,0,0,0,0,3,0,4,16,3,20
SSC21284,0,0,3,15,7,0,19,44,14,78
SSC21285,301,75,375,1471,729,71,2273,5521,817,8605
SSC21286,11,0,11,215,78,5,299,515,73,890
SSC21287,33,3,40,116,47,3,162,487,32,679
SSC21288,0,0,0,7,3,0,13,30,12,49
SSC21289,0,0,0,3,0,0,3,3,0,5
SSC21290,0,0,0,3,3,0,14,36,3,51
SSC21291,0,0,0,6,7,0,11,20,3,32
SSC21292,0,0,0,31,13,0,41,70,17,129
SSC21293,0,0,0,26,5,0,31,43,9,78
SSC21294,3,3,3,14,9,0,27,45,8,75
SSC21295,0,0,0,0,3,0,3,13,0,12
SSC21296,0,0,0,10,0,0,11,19,0,33
SSC21297,0,0,0,0,0,0,0,13,0,16
SSC21298,10,0,13,57,17,7,82,204,45,325
SSC21299,0,0,0,3,0,0,7,24,0,29
SSC21300,0,0,0,10,14,3,25,63,13,104
SSC21301,6,3,6,86,28,3,113,231,35,382
SSC21302,3,0,5,180,56,4,244,476,46,764
SSC21303,4,0,3,9,11,0,17,112,22,151
SSC21304,14,0,16,460,207,19,690,1837,101,2627
SSC21305,0,0,0,11,3,0,13,30,0,51
SSC21306,148,30,185,935,481,21,1434,3132,296,4863
SSC21307,143,5,151,1405,741,44,2190,5695,486,8365
SSC21308,292,89,387,2387,1008,42,3442,7731,843,12020
SSC21309,7,0,7,255,109,3,371,1025,92,1491
SSC21310,0,0,0,14,7,0,18,36,9,61
SSC21311,34,0,37,443,218,18,673,1396,186,2255
SSC21312,0,0,0,0,0,0,0,13,5,20
SSC21313,0,0,0,7,3,0,10,33,0,43
SSC21314,0,0,0,8,3,0,11,21,8,43
SSC21315,0,0,0,0,0,0,0,4,0,8
SSC21316,0,0,0,12,0,0,8,12,9,30
SSC21317,0,0,0,11,0,0,10,22,0,36
SSC21318,302,43,346,736,409,33,1179,3241,372,4787
SSC21319,85,14,101,1561,391,43,1998,6546,712,9260
SSC21320,156,33,197,479,217,32,724,2169,380,3280
SSC21321,0,0,0,8,3,0,12,15,3,34
SSC21322,0,0,0,24,16,0,39,147,10,196
SSC21323,0,0,0,12,8,0,12,36,0,50
SSC21324,0,0,0,17,3,0,22,54,9,79
SSC21325,0,0,0,17,5,0,21,45,6,67
SSC21326,4,0,4,11,8,0,19,33,12,65
SSC21327,0,0,0,5,0,0,3,27,7,39
SSC21328,652,100,763,3845,1385,114,5346,13796,1511,20655
SSC21329,147,9,158,1295,358,33,1682,3308,310,5294
SSC21330,0,0,0,14,7,0,16,20,0,34
SSC21331,338,26,368,4423,1288,85,5797,13849,1032,20679
SSC21332,141,29,167,1271,368,37,1676,3261,376,5314
SSC21333,5,0,5,21,9,0,32,86,6,119
SSC21334,0,0,0,79,26,0,110,191,29,333
SSC21335,0,0,4,11,5,0,15,35,6,54
SSC21336,3,0,3,91,33,0,124,220,12,355
SSC21337,12,4,11,66,20,3,96,203,36,335
SSC21338,0,0,0,0,0,0,0,8,0,8
SSC21339,3,0,3,141,31,6,177,249,34,462
SSC21340,3,0,3,35,5,0,44,102,13,162
SSC21341,0,3,7,60,25,4,88,231,27,344
SSC21342,0,0,0,12,4,0,18,54,18,89
SSC21343,3,0,3,32,4,0,32,94,9,140
SSC21344,146,17,165,1366,451,44,1865,3855,576,6294
SSC21345,3,3,3,61,23,6,90,214,30,336
SSC21346,372,50,430,1748,729,70,2549,5741,593,8885
SSC21347,12,5,16,546,205,25,774,1498,142,2420
SSC21348,0,0,0,4,6,0,12,46,5,67
SSC21349,0,0,0,17,11,0,24,51,4,80
SSC21350,4,0,6,250,84,12,343,794,111,1247
SSC21351,0,0,0,62,21,0,85,163,37,280
SSC21352,5,0,5,226,78,3,309,493,91,896
SSC21353,0,0,0,3,0,0,3,26,0,34
SSC21354,50,4,60,1163,496,18,1684,4367,592,6643
SSC21355,60,13,69,433,158,11,598,2460,242,3299
SSC21356,3,0,3,23,16,0,42,96,11,150
SSC21357,84,21,107,806,140,59,999,1902,227,3125
SSC21358,0,0,0,3,0,0,8,20,0,25
SSC21359,0,0,0,0,0,0,0,11,0,11
SSC21360,0,0,0,65,23,3,94,152,24,270
SSC21361,3,0,3,7,19,0,28,87,10,127
SSC21362,3,0,3,0,4,0,7,23,10,42
SSC21363,0,0,0,0,0,0,0,7,3,9
SSC21364,0,0,0,0,0,0,0,0,0,0
SSC21365,0,0,3,23,12,0,27,76,17,122
SSC21366,79,10,92,1277,501,51,1829,3998,319,6148
SSC21367,0,0,0,6,0,0,6,14,4,26
SSC21368,0,0,0,0,3,0,0,22,0,20
SSC21369,0,0,0,29,6,0,33,62,9,107
SSC21370,3,0,3,34,15,0,53,93,13,157
SSC21371,0,0,3,9,3,0,12,31,3,45
SSC21372,70,19,89,656,202,22,889,1618,290,2797
SSC21373,0,0,0,5,3,0,3,31,3,35
SSC21374,0,0,0,5,0,0,8,18,6,26
SSC21375,0,0,0,0,0,0,0,10,3,15
SSC21376,10,3,15,128,47,9,181,598,71,847
SSC21377,4,5,12,33,21,0,61,151,50,258
SSC21378,3,0,3,57,38,0,100,211,27,333
SSC21379,0,0,0,10,3,0,7,13,0,24
SSC21380,0,0,0,68,27,4,100,160,23,280
SSC21381,0,0,0,14,3,0,23,44,13,74
SSC21382,0,0,0,6,4,0,9,17,0,26
SSC21383,0,0,0,0,0,0,0,0,0,0
SSC21384,0,0,0,20,12,0,31,46,4,81
SSC21385,31,0,28,111,75,0,182,472,47,706
SSC21386,0,0,0,9,8,0,13,24,11,48
SSC21387,0,0,0,10,3,0,19,42,9,63
SSC21388,24,6,30,358,146,9,516,951,155,1628
SSC21389,6,3,9,14,11,5,27,91,27,151
SSC21390,0,0,0,7,3,0,17,34,15,60
SSC21391,159,26,186,638,292,21,953,2364,348,3659
SSC21392,0,0,0,22,4,0,33,39,3,70
SSC21393,4,0,4,22,9,0,25,97,15,140
SSC21394,0,0,0,11,9,0,18,58,14,85
SSC21395,0,0,0,16,0,0,14,72,9,98
SSC21396,4,0,3,43,25,0,67,160,27,259
SSC21397,3,0,3,19,4,0,20,65,0,87
SSC21398,0,0,0,0,0,0,0,18,0,15
SSC21399,0,0,0,3,0,0,7,17,3,23
SSC21400,0,0,0,0,0,0,0,7,0,7
SSC21401,0,0,0,0,0,0,0,8,0,9
SSC21402,0,0,0,3,11,0,12,26,10,47
SSC21403,82,10,89,1802,618,83,2505,4618,581,7693
SSC21404,231,66,306,1101,468,41,1606,3745,700,6045
SSC21405,0,0,0,7,5,0,14,55,3,67
SSC21406,220,27,251,1015,429,61,1507,3689,538,5732
SSC21407,0,0,0,20,3,0,19,63,18,99
SSC21408,3,0,6,55,27,0,84,155,24,259
SSC21409,6,0,6,20,7,0,27,110,16,153
SSC21410,0,0,0,27,7,0,26,38,10,81
SSC21411,3,0,3,66,24,0,88,188,15,290
SSC21412,3,4,5,45,11,0,54,108,35,194
SSC21413,3,0,3,4,11,0,16,70,14,96
SSC21414,0,0,0,0,0,0,0,4,3,11
SSC21415,0,0,0,0,3,0,3,3,0,7
SSC21416,0,0,0,11,7,0,11,19,3,35
SSC21417,3,0,3,32,14,9,51,86,17,150
SSC21418,9,10,20,139,63,3,201,442,138,787
SSC21419,7,7,14,35,27,0,59,191,33,281
SSC21420,6,3,9,45,23,0,68,184,32,281
SSC21421,0,0,0,28,9,0,41,92,11,141
SSC21422,0,0,0,0,0,0,0,6,0,6
SSC21423,0,0,0,5,0,0,5,0,0,5
SSC21424,0,0,0,0,0,0,0,0,0,0
SSC21425,0,0,0,5,0,0,5,8,0,17
SSC21426,24,6,31,273,123,13,407,877,100,1386
SSC21427,0,0,3,7,3,0,10,13,4,28
SSC21428,0,0,0,4,5,0,12,25,6,35
SSC21429,0,0,0,8,0,0,5,11,3,20
SSC21430,0,0,0,3,0,0,3,16,0,21
SSC21431,0,0,0,4,0,0,4,14,3,23
SSC21432,0,0,0,5,3,0,4,7,7,15
SSC21433,0,0,0,11,0,4,19,26,7,48
SSC21434,0,0,0,0,4,0,3,48,4,59
SSC21435,7,0,9,106,56,0,167,375,53,598
SSC21436,0,0,0,0,0,0,0,0,0,0
SSC21437,0,0,0,0,0,0,0,0,0,0
SSC21438,178,27,211,392,232,16,642,1537,219,2399
SSC21439,0,0,0,0,0,0,0,8,0,8
SSC21440,98,85,186,534,276,27,833,2675,615,4120
SSC21441,0,0,0,73,26,4,103,255,24,386
SSC21442,3,0,9,22,10,0,30,83,9,127
SSC21443,318,59,388,3326,1159,62,4550,12480,1416,18445
SSC21444,0,0,0,7,7,0,14,34,10,55
SSC21445,0,3,3,63,15,0,81,209,29,313
SSC21446,0,0,0,20,6,0,34,75,3,114
SSC21447,30,3,36,415,129,26,569,1183,193,1948
SSC21448,0,0,0,11,11,0,24,103,37,163
SSC21449,0,0,0,10,0,0,12,16,0,32
SSC21450,23,4,32,282,121,12,407,740,110,1256
SSC21451,0,0,0,6,12,0,17,56,3,69
SSC21452,0,0,0,0,7,0,7,17,0,21
SSC21453,0,3,3,5,4,0,10,14,382,401
SSC21454,0,0,0,0,0,0,0,19,3,24
SSC21455,0,0,0,22,3,0,31,54,10,89
SSC21456,0,0,0,3,3,0,10,26,3,42
SSC21457,4,0,3,9,3,0,10,69,21,104
SSC21458,172,32,214,4143,1605,208,5956,11148,1077,18173
SSC21459,3,0,6,218,84,6,309,641,68,1014
SSC21460,211,40,255,2926,1045,108,4079,7361,1666,13110
SSC21461,3,0,3,18,9,0,29,56,12,95
SSC21462,0,0,0,35,21,0,55,76,10,138
SSC21463,0,0,0,13,4,0,14,45,10,68
SSC21464,17,0,19,444,168,18,631,1122,164,1917
SSC21465,3,0,5,32,10,3,47,111,26,194
SSC21466,0,0,0,17,0,0,17,45,8,69
SSC21467,37,8,46,712,174,11,891,2786,441,4115
SSC21468,0,0,0,0,5,0,7,44,17,70
SSC21469,0,0,0,3,0,0,3,7,0,15
SSC21470,0,0,0,0,0,0,0,14,0,15
SSC21471,0,0,0,8,0,0,8,3,6,10
SSC21472,0,0,0,0,3,0,3,9,3,20
SSC21473,7,3,9,65,31,0,98,215,36,350
SSC21474,3,0,3,4,4,3,5,27,0,38
SSC21475,0,0,0,26,6,0,34,56,8,97
SSC21476,3,0,3,6,3,0,9,29,15,52
SSC21477,6,4,12,73,38,3,119,297,51,466
SSC21478,0,0,0,38,23,0,58,128,15,202
SSC21479,3,0,0,211,38,9,265,305,36,609
SSC21480,0,0,0,3,0,0,6,27,3,33
SSC21481,178,31,217,887,391,38,1316,2798,408,4519
SSC21482,0,0,3,21,15,3,38,58,16,112
SSC21483,3,0,3,108,45,4,154,303,41,501
SSC21484,239,50,286,2319,878,103,3307,6296,684,10290
SSC21485,0,0,0,0,0,0,0,0,0,0
SSC21486,0,0,0,15,3,0,18,28,3,50
SSC21487,5,0,4,190,54,3,253,449,74,773
SSC21488,3,7,8,31,7,3,40,138,14,192
SSC21489,0,0,0,0,0,0,0,11,0,11
SSC21490,0,0,0,0,0,0,0,4,0,3
SSC21491,0,0,0,14,5,0,19,45,6,69
SSC21492,0,0,0,0,3,0,3,17,3,24
SSC21493,3,0,3,23,4,0,30,36,6,74
SSC21494,0,0,0,13,5,0,18,31,10,59
SSC21495,303,40,348,2883,1059,108,4050,8610,803,13467
SSC21496,0,0,0,10,3,0,11,42,16,63
SSC21497,3,0,3,20,16,0,37,76,11,127
SSC21498,0,0,0,19,9,0,24,47,12,82
SSC21499,0,0,0,11,7,0,20,51,4,75
SSC21500,4,4,7,62,27,3,92,242,38,367
SSC21501,3,0,6,66,28,5,106,206,35,345
SSC21502,0,0,0,0,0,0,0,3,3,10
SSC21503,0,0,0,9,3,0,10,14,4,26
SSC21504,5,0,5,0,3,0,5,6,0,10
SSC21505,3,3,9,77,37,0,114,330,51,501
SSC21506,0,0,0,7,0,0,11,7,5,26
SSC21507,5,0,9,46,33,0,81,244,42,367
SSC21508,3,0,3,4,8,0,12,29,7,42
SSC21509,0,0,0,0,0,0,0,7,0,5
SSC21510,0,0,0,7,4,0,17,37,6,51
SSC21511,8,0,8,213,103,13,327,624,127,1074
SSC21512,0,0,0,8,5,0,8,24,7,33
SSC21513,0,0,0,5,4,0,8,18,6,37
SSC21514,5,0,8,95,55,0,152,343,43,533
SSC21515,17,7,29,39,33,3,74,573,98,749
SSC21516,0,0,0,0,0,0,0,0,0,0
SSC21517,25,3,22,108,57,3,166,438,47,655
SSC21518,0,0,0,17,6,0,25,59,15,98
SSC21519,5,0,8,122,52,4,179,405,36,622
SSC21520,5,0,11,190,63,5,257,440,33,731
SSC21521,3,0,3,4,3,0,12,16,0,23
SSC21522,0,0,4,9,4,0,12,25,0,42
SSC21523,0,0,0,18,10,0,30,76,13,112
SSC21524,3,0,3,67,23,0,93,180,20,290
SSC21525,56,12,73,485,204,29,719,1679,329,2731
SSC21526,7,3,10,264,108,16,387,594,178,1158
SSC21527,9,0,9,115,30,4,147,215,24,388
SSC21528,16,3,21,363,133,17,509,893,138,1541
SSC21529,4,0,4,25,20,0,44,119,19,186
SSC21530,0,0,0,29,14,0,42,136,34,208
SSC21531,0,0,0,8,4,0,10,64,17,94
SSC21532,40,12,47,123,93,3,221,619,129,968
SSC21533,0,0,0,0,0,0,0,10,0,10
SSC21534,12,3,16,372,177,20,564,1182,114,1863
SSC21535,0,0,0,0,3,0,4,21,0,28
SSC21536,3,0,3,51,14,0,69,91,14,174
SSC21537,135,16,154,595,356,32,980,2141,153,3270
SSC21538,0,0,0,0,0,0,0,0,0,0
SSC21539,0,0,0,0,4,0,8,22,3,29
SSC21540,0,0,0,265,36,9,313,385,32,730
SSC21541,23,7,27,172,58,10,238,675,137,1046
SSC21542,0,0,0,3,3,0,4,13,3,24
SSC21543,3,0,3,31,8,3,42,113,30,183
SSC21544,139,3,144,1749,347,36,2140,3734,467,6340
SSC21545,11,0,11,1754,273,44,2068,2457,267,4793
SSC21546,0,0,0,3,0,0,3,26,3,32
SSC21547,0,0,3,28,7,0,39,92,26,154
SSC21548,25,4,32,1236,367,45,1647,3433,295,5375
SSC21549,3,0,3,161,63,4,230,512,54,787
SSC21550,16,3,20,79,18,0,102,276,38,414
SSC21551,11,7,12,138,55,8,201,471,40,711
