SA3_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
20606,8143,15912,23,111,359,1588,34,147,2397,8600,2811,10437,210,823,562,1884,553,1689,1324,4393,4135,14829,4,24,87,301,23,58,488,1200,606,1575,62,182,288,647,581,1195,930,2020,1532,3600,518,1075,14326,35411
20607,10424,20357,17,102,419,1892,60,251,3961,14396,4457,16636,223,878,575,1927,763,2386,1555,5195,6011,21832,19,99,158,558,38,130,902,2357,1118,3140,106,312,420,929,986,2100,1516,3342,2627,6478,657,1382,19724,50048
20701,14723,29065,178,943,2675,11995,168,709,11025,42595,14036,56246,1485,6157,3462,12303,3127,9648,8081,28105,22119,84350,31,132,446,1471,55,186,1444,3626,1980,5416,296,922,1008,2330,1802,3762,3111,7016,5083,12437,949,2000,42882,127847
20702,9337,18635,90,476,1141,5118,148,638,5807,22085,7192,28313,931,3886,1650,5836,2852,9061,5427,18786,12624,47104,26,118,211,715,37,135,881,2240,1162,3210,183,566,531,1245,1495,3227,2206,5045,3368,8254,415,896,25747,74889
20703,8824,17638,87,457,1282,5721,127,556,6792,25731,8279,32468,739,3073,1644,5791,2045,6457,4433,15327,12715,47795,25,118,259,822,45,152,966,2399,1285,3491,217,658,693,1597,1553,3290,2454,5545,3744,9027,582,1253,25864,75716
20801,9061,17789,113,562,1519,6776,125,510,7069,27325,8825,35178,893,3637,1867,6520,1879,5857,4639,16013,13462,51187,13,62,251,796,38,132,940,2327,1242,3318,164,502,531,1216,1214,2520,1906,4237,3151,7552,294,625,25968,77150
20802,13589,27016,161,940,1855,8475,169,715,11046,42176,13234,52316,1020,4223,2188,7682,2681,8414,5890,20317,19126,72636,26,127,319,1021,63,205,1451,3582,1854,4933,248,750,805,1850,1774,3753,2830,6350,4684,11278,760,1599,38161,112524
20803,11060,21921,148,775,1317,5865,233,992,8555,32504,10252,40137,839,3481,1414,4911,2522,7977,4778,16369,15027,56507,26,127,293,960,96,305,1462,3596,1874,4996,265,821,676,1498,1982,4196,2921,6519,4797,11512,486,1003,31371,90940
20804,3856,7583,35,188,600,2705,45,170,2780,10757,3458,13818,325,1302,687,2481,669,2078,1683,5863,5141,19678,6,28,86,281,10,38,314,775,415,1117,64,201,187,439,465,996,721,1629,1132,2747,255,538,10387,30545
20901,11497,22849,160,897,1389,6352,202,903,8625,33034,10373,41186,984,4078,1640,5854,2937,9324,5556,19257,15931,60444,46,202,308,1033,111,387,1443,3688,1908,5312,270,848,633,1417,2124,4533,3028,6801,4932,12111,610,1287,32968,96686
20902,8382,16821,110,594,860,4000,185,866,5946,22344,7100,27807,535,2268,760,2716,1868,6120,3165,11109,10264,38913,43,192,178,605,103,368,1184,3049,1509,4212,179,584,437,991,1781,3933,2395,5503,3897,9716,685,1443,23224,66895
20903,5663,11217,135,718,1135,5183,216,956,4573,18015,6050,24872,821,3463,1080,3857,2203,7052,4105,14381,10155,39251,22,113,154,508,56,202,612,1592,845,2411,147,442,270,628,801,1761,1223,2829,2066,5239,144,290,18029,55997
20904,16859,33942,508,2855,2701,12747,760,3485,16962,65873,20925,84960,1822,7798,2086,7465,5951,19566,9864,34833,30793,119792,129,596,618,2243,340,1238,3294,9156,4379,13231,514,1689,837,1975,3604,8088,4956,11751,9337,24984,871,1880,57856,180593
