SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC22543,0,0,0,0,0,0,0,4,0,3
SSC22544,0,0,0,0,3,0,0,0,0,3
SSC22545,0,0,3,4,4,11,8,3,3,32
SSC22546,0,0,0,3,0,3,0,0,0,5
SSC22547,0,0,0,3,0,0,0,0,3,10
SSC22548,0,0,0,0,0,0,0,0,0,0
SSC22549,0,0,0,9,10,14,3,12,16,68
SSC22550,0,0,0,19,24,26,13,17,16,117
SSC22551,0,0,0,3,9,6,3,0,6,22
SSC22552,62,38,129,587,812,398,362,639,335,3136
SSC22553,0,4,6,56,78,51,49,54,48,330
SSC22554,0,0,3,34,43,44,35,42,22,224
SSC22555,0,0,0,19,23,3,18,14,15,79
SSC22556,242,186,605,4032,5322,2408,1965,4159,2194,20076
SSC22557,3,0,10,303,413,204,151,240,75,1384
SSC22558,0,0,0,87,118,73,53,44,38,411
SSC22559,4,0,18,648,578,129,77,636,198,2268
SSC22560,0,0,3,27,34,15,19,21,9,119
SSC22561,0,0,0,11,21,13,13,13,19,91
SSC22562,0,0,0,6,9,3,0,0,7,26
SSC22563,0,0,0,15,19,14,7,3,11,65
SSC22564,15,28,53,151,282,154,110,155,173,1024
SSC22565,0,0,0,17,53,19,7,15,13,131
SSC22566,0,0,0,24,41,17,14,38,27,161
SSC22567,0,0,0,12,25,14,15,24,14,113
SSC22568,0,4,4,12,4,7,4,11,11,49
SSC22569,12,3,18,2744,3314,1393,1405,4010,2010,14876
SSC22570,0,0,0,0,0,7,0,0,8,8
SSC22571,0,0,6,62,72,45,28,56,31,294
SSC22572,0,0,0,0,0,0,0,0,3,3
SSC22573,52,22,107,1215,1337,512,404,1605,557,5628
SSC22574,3,0,9,68,76,36,61,67,38,345
SSC22575,0,0,0,0,0,0,0,0,0,0
SSC22576,0,0,0,6,8,8,4,0,3,24
