SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC21667,37,35,74,21,9,25,3,17,16,0,3,3,0,0,0,28,26,49,13,9,23,0,0,0,75.7,74.3,66.2,64.9,82.9,59.5,0,0,0,0,3,3,3,5,10,3,5,11,9,4,19,0,0,0,0,0,0,9,4,19,40,42,79,3,6,8,29,28,55,12,15,23
SSC21668,95,76,166,28,17,43,6,14,26,3,3,7,3,3,3,40,41,77,42,29,66,7.5,7.3,3.9,42.1,53.9,46.4,38.9,44.7,45.8,0,0,0,0,4,4,4,7,8,4,13,12,28,12,40,0,0,0,0,0,0,28,14,41,92,80,175,3,3,9,72,62,134,24,17,40
SSC21669,9,8,20,9,5,14,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,100,37.5,65,100,62.5,70,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,13,21,0,0,0,7,12,15,0,0,0
SSC21670,233,228,464,117,47,169,35,76,108,11,11,21,0,10,11,167,139,313,49,74,122,0,7.2,3.5,71.7,61,67.5,70,58.8,64.2,5,5,11,4,9,15,18,41,54,25,34,55,80,22,100,0,3,3,0,3,3,79,30,112,229,254,480,34,30,58,160,171,330,96,88,183
SSC21671,12630,13958,26591,4917,3002,7917,1369,3081,4452,351,378,724,678,541,1218,7308,7007,14309,4123,5716,9840,9.3,7.7,8.5,57.9,50.2,53.8,52.5,46.3,49.2,155,196,356,119,276,394,841,1420,2258,734,1184,1921,2790,1639,4430,148,251,395,187,247,436,3125,2136,5265,11335,12389,23727,2455,2609,5064,7228,7881,15106,5911,6460,12370
SSC21672,12002,12645,24647,5773,3124,8897,1591,3313,4905,382,412,795,589,484,1073,8338,7335,15669,3184,4751,7939,7.1,6.6,6.8,69.5,58,63.6,64.5,54.2,59.2,446,390,827,119,229,348,1467,1892,3360,991,1323,2320,2538,1260,3802,92,146,233,170,280,454,2801,1686,4488,12135,12523,24659,1497,1509,3007,9431,9748,19175,3723,3822,7542
SSC21673,70,66,134,29,6,34,6,20,31,5,9,8,0,0,0,42,42,78,15,16,35,0,0,0,60,63.6,58.2,57.1,53,54.5,0,3,3,0,0,6,8,5,12,0,13,12,12,9,22,0,3,3,0,3,3,12,13,30,64,69,133,5,3,9,53,55,115,7,12,23
SSC21674,655,655,1315,260,99,356,75,166,240,21,22,42,44,29,72,390,317,710,211,298,513,11.3,9.1,10.1,59.5,48.4,54,54.4,43.8,48.5,5,5,11,8,16,20,16,43,64,33,58,87,185,118,305,7,15,25,10,19,34,206,149,355,661,655,1318,85,92,174,468,444,910,238,264,503
SSC21675,14,13,29,11,3,13,0,3,8,0,0,3,0,0,0,15,8,23,3,0,7,0,0,0,107.1,61.5,79.3,78.6,46.2,82.8,0,0,0,0,0,0,0,3,4,0,0,3,4,0,9,0,0,0,0,0,0,4,0,11,13,12,30,0,0,3,13,12,24,3,3,3
SSC21676,26,25,51,8,6,15,0,5,5,0,3,4,0,0,3,12,19,30,5,8,13,0,0,10,46.2,76,58.8,30.8,56,47.1,0,0,0,0,0,0,3,3,5,0,0,0,3,3,8,0,0,3,0,0,0,4,6,7,24,21,46,5,0,5,16,18,32,18,13,25
SSC21677,12,13,19,0,0,0,0,0,7,0,0,0,0,0,0,7,4,6,4,4,9,0,0,0,58.3,30.8,31.6,0,0,36.8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,6,10,8,18,3,3,12,6,4,11,9,6,10
SSC21678,28,20,44,11,3,17,0,6,7,0,0,0,0,0,0,16,9,28,5,6,14,0,0,0,57.1,45,63.6,39.3,45,54.5,0,0,0,0,0,0,0,5,5,0,0,4,4,3,9,0,0,0,0,0,0,8,3,15,23,24,46,3,0,0,25,21,39,3,5,5
SSC21679,12,11,21,9,4,16,3,3,8,0,0,0,0,0,0,10,6,23,0,3,3,0,0,0,83.3,54.5,109.5,100,63.6,114.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,16,11,30,0,0,3,13,4,19,5,5,12
SSC21680,1075,1150,2225,652,301,952,127,430,554,27,56,78,26,37,61,835,819,1650,202,291,493,3.1,4.5,3.7,77.7,71.2,74.2,75,68.4,71.2,21,25,49,16,44,55,107,169,271,93,118,208,346,184,532,12,19,31,15,39,54,369,240,610,1250,1232,2485,176,200,372,767,739,1510,526,571,1101
SSC21681,21,23,41,13,7,22,0,3,3,0,3,5,0,0,0,15,15,33,3,9,9,0,0,0,71.4,65.2,80.5,61.9,56.5,73.2,0,0,0,0,0,0,0,0,7,0,3,3,4,0,7,0,0,0,0,0,0,6,0,10,18,22,41,0,0,0,19,18,39,5,0,8
SSC21682,42,33,75,28,18,43,3,9,11,0,0,0,3,0,3,30,23,50,10,10,26,10,0,6,71.4,69.7,66.7,73.8,81.8,72,0,0,0,0,0,0,4,9,9,5,10,11,10,8,13,0,0,0,0,3,3,10,10,15,50,46,98,8,0,9,40,42,84,16,9,26
SSC21683,40,27,64,25,7,28,0,10,15,0,0,3,0,0,0,31,16,46,3,5,8,0,0,0,77.5,59.3,71.9,62.5,63,71.9,0,0,0,0,0,0,0,3,3,3,6,13,4,3,11,0,0,0,0,0,0,4,3,11,36,26,58,7,8,14,27,16,41,15,19,28
SSC21684,24,31,59,12,5,20,0,8,4,0,0,0,0,0,0,14,16,26,0,14,13,0,0,0,58.3,51.6,44.1,50,41.9,40.7,0,0,0,0,0,0,4,3,3,0,8,4,6,3,11,0,0,0,0,0,0,6,3,11,16,21,40,3,5,6,18,19,38,3,9,9
SSC21685,24,18,43,4,3,11,0,7,9,0,0,0,3,0,3,15,7,24,6,9,11,20,0,12.5,62.5,38.9,55.8,16.7,55.6,46.5,0,0,0,0,0,0,5,6,7,0,0,0,4,3,9,0,0,0,0,0,0,5,3,9,29,19,41,4,3,7,18,14,33,8,4,11
SSC21686,4,3,12,3,0,3,0,3,3,0,0,0,0,0,0,3,4,4,0,3,3,0,0,0,75,133.3,33.3,75,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,10,12,3,3,6,3,3,9,6,8,9
SSC21687,216,246,460,64,31,98,19,42,63,9,5,16,0,3,10,91,87,178,103,141,240,0,3.4,5.6,42.1,35.4,38.7,42.6,31.7,38.5,3,3,4,0,0,3,9,13,19,12,19,34,42,26,70,0,3,3,3,5,7,50,33,84,204,215,420,12,24,36,162,171,327,47,66,111
SSC21688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21690,18,17,37,10,0,16,3,5,5,0,0,3,0,4,3,15,7,25,7,4,6,0,57.1,12,83.3,41.2,67.6,72.2,29.4,64.9,0,0,0,0,0,0,0,0,0,3,0,5,10,5,12,0,0,0,0,0,0,5,5,10,18,11,35,4,3,6,21,10,30,4,4,10
SSC21691,124,128,255,54,33,90,12,24,42,7,3,9,0,6,7,75,70,145,41,50,91,0,8.6,4.8,60.5,54.7,56.9,58.9,46.9,55.3,3,0,5,0,0,0,8,15,26,13,18,30,35,13,46,0,0,0,4,7,11,42,18,54,119,131,249,6,6,13,96,101,202,25,30,57
SSC21692,852,928,1776,296,150,447,129,246,374,36,21,60,31,30,55,492,441,935,292,405,699,6.3,6.8,5.9,57.7,47.5,52.6,54.1,44.9,49.6,7,15,19,12,29,41,76,128,200,68,93,165,249,127,372,6,12,17,12,22,35,266,158,417,870,893,1764,103,101,201,638,618,1254,302,337,640
SSC21693,13,10,20,5,3,10,0,5,5,0,0,0,0,0,0,5,5,15,6,6,9,0,0,0,38.5,50,75,38.5,80,75,0,0,0,0,0,0,0,0,0,3,3,10,3,0,4,0,0,0,0,0,0,3,3,3,16,14,26,0,0,0,10,11,18,0,0,5
SSC21694,6271,6870,13140,3223,1880,5102,851,1863,2717,159,219,376,250,224,478,4485,4185,8670,1543,2394,3939,5.6,5.4,5.5,71.5,60.9,66,67.5,57.7,62.4,556,537,1097,193,331,524,1362,1730,3095,623,740,1363,1009,463,1471,30,44,73,81,123,199,1120,626,1748,6208,6600,12812,1047,1143,2193,4240,4544,8783,2698,2890,5588
SSC21695,352,343,698,159,81,235,41,112,152,11,8,21,5,17,27,211,212,429,132,113,244,2.4,8,6.3,59.9,61.8,61.5,59.9,58.6,58.5,3,3,5,3,6,8,31,38,62,15,42,57,95,54,153,0,7,13,5,11,15,104,74,177,335,342,674,81,53,137,205,223,427,184,149,330
SSC21696,26,24,47,11,3,16,0,6,11,0,0,0,0,0,0,18,11,32,3,5,13,0,0,0,69.2,45.8,68.1,42.3,37.5,57.4,3,0,3,0,0,0,6,4,9,0,0,0,4,4,6,0,0,3,0,4,7,4,4,15,27,17,42,6,3,7,16,13,29,12,7,18
SSC21697,49,46,91,21,4,25,8,14,21,3,0,6,0,0,5,30,20,51,22,18,39,0,0,9.8,61.2,43.5,56,65.3,39.1,57.1,0,0,0,0,0,0,0,6,6,3,0,3,14,11,19,0,0,0,0,0,0,14,12,23,49,52,97,5,3,6,47,36,80,7,13,24
SSC21698,31,23,51,17,10,28,7,9,12,3,0,3,0,0,0,24,20,42,3,7,6,0,0,0,77.4,87,82.4,87.1,82.6,84.3,0,0,0,0,0,0,0,5,4,0,3,8,9,3,11,0,0,0,0,3,3,9,7,14,36,25,61,0,3,4,28,17,51,3,10,10
SSC21699,68,67,137,33,14,45,5,18,21,0,3,8,8,0,7,44,35,78,20,28,48,18.2,0,9,64.7,52.2,56.9,55.9,52.2,54,0,0,0,0,3,3,0,5,8,6,7,12,16,14,30,0,0,0,0,0,0,22,14,36,69,68,137,12,7,15,53,53,108,21,20,39
SSC21700,10,3,9,4,0,4,0,3,7,0,0,0,0,0,0,3,3,6,3,0,3,0,0,0,30,100,66.7,40,100,122.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,13,0,0,0,4,3,9,3,0,3
SSC21701,9,7,24,10,0,8,0,3,3,0,0,0,0,0,0,10,9,18,3,0,5,0,0,0,111.1,128.6,75,111.1,42.9,45.8,0,0,0,0,0,0,0,0,3,3,0,3,3,3,9,0,0,0,0,0,0,3,7,7,12,21,29,0,0,3,9,14,28,3,0,5
SSC21702,64,57,118,39,12,50,7,15,27,0,0,3,0,0,0,50,33,79,8,15,26,0,0,0,78.1,57.9,66.9,71.9,47.4,67.8,0,0,0,0,0,0,0,3,3,3,3,7,17,7,22,0,4,4,6,0,6,20,6,27,64,53,119,7,7,11,49,42,89,16,19,36
SSC21703,110,115,227,62,27,91,12,37,51,6,7,15,0,0,3,79,77,154,29,31,57,0,0,1.9,71.8,67,67.8,72.7,61.7,69.2,3,0,3,0,3,3,8,17,20,8,13,29,36,18,58,0,3,3,3,6,4,38,25,63,116,123,236,11,8,17,82,90,176,32,36,74
SSC21704,3594,3829,7425,1107,515,1622,364,796,1164,82,114,194,281,197,476,1838,1619,3453,1414,1882,3288,15.3,12.2,13.8,51.1,42.3,46.5,43.2,37.2,40.1,25,27,47,22,52,70,122,244,366,177,278,459,1040,504,1549,49,76,118,52,84,140,1145,663,1802,3260,3419,6677,499,559,1062,2330,2454,4778,1265,1375,2637
SSC21705,218,211,423,100,46,143,28,68,92,8,18,24,4,3,8,137,133,268,60,61,123,2.9,2.3,3,62.8,63,63.4,62.4,62.6,61.2,8,7,15,4,3,12,10,31,35,25,28,55,78,26,106,0,0,3,4,4,5,83,33,110,217,225,440,27,22,45,164,164,329,66,75,143
SSC21706,41,37,82,16,7,20,11,13,24,0,0,0,0,0,0,28,22,45,9,14,24,0,0,0,68.3,59.5,54.9,65.9,54.1,53.7,0,0,0,3,3,3,6,11,17,6,6,13,6,0,6,0,0,0,0,0,0,6,0,6,30,35,63,9,6,14,31,27,59,10,13,17
SSC21707,16,10,23,8,0,10,0,0,3,0,0,0,0,0,0,9,3,11,3,5,7,0,0,0,56.3,30,47.8,50,0,56.5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,11,19,0,0,0,12,9,21,0,0,3
SSC21708,3,3,7,3,0,6,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,100,0,85.7,100,0,85.7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,4,3,6,5,3,14,0,0,0,3,3,7,0,0,0
SSC21709,34,33,70,14,11,23,3,8,10,3,3,5,0,0,0,19,17,39,9,15,27,0,0,0,55.9,51.5,55.7,58.8,66.7,54.3,0,0,0,4,0,4,3,4,11,6,6,13,10,3,14,0,0,0,0,0,0,10,7,11,28,31,59,3,6,3,25,20,45,4,12,21
SSC21710,44,29,71,9,5,14,4,4,8,0,0,3,3,0,3,15,9,31,27,18,40,20,0,9.7,34.1,31,43.7,29.5,31,35.2,0,0,0,0,0,0,0,9,8,0,0,0,15,6,16,0,3,4,0,0,0,16,5,20,40,29,71,7,4,11,34,22,52,16,8,21
SSC21711,18,18,35,11,0,10,0,8,9,0,0,0,0,0,0,13,11,22,7,6,10,0,0,0,72.2,61.1,62.9,61.1,44.4,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,17,14,30,6,3,8,14,9,23,5,7,15
SSC21712,38,43,76,12,5,17,3,11,10,0,3,5,0,0,0,18,15,32,6,14,24,0,0,0,47.4,34.9,42.1,39.5,44.2,42.1,3,4,4,0,0,0,3,3,7,0,7,6,9,5,13,0,3,3,0,0,0,9,9,17,23,34,57,4,0,6,22,26,47,3,10,11
SSC21713,9,13,27,9,3,12,0,3,3,0,0,0,3,0,3,10,9,13,3,3,8,30,0,23.1,111.1,69.2,48.1,100,46.2,55.6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,3,3,15,15,28,0,0,0,12,9,23,0,0,0
SSC21714,54,51,102,22,9,38,3,8,9,7,3,6,0,3,5,33,25,61,16,24,41,0,12,8.2,61.1,49,59.8,59.3,39.2,52,0,0,4,0,0,3,3,16,22,3,4,11,22,0,25,0,0,0,0,0,0,22,5,25,64,55,119,4,0,4,38,37,77,24,17,42
SSC21715,1386,1471,2850,685,278,958,187,474,657,57,62,116,21,35,55,948,843,1794,378,557,936,2.2,4.2,3.1,68.4,57.3,62.9,67,55.3,60.7,36,44,73,29,47,72,112,191,307,123,189,315,452,185,641,3,14,19,14,28,47,477,231,705,1467,1523,2990,153,154,307,1106,1145,2251,466,487,960
SSC21716,94,79,176,45,22,64,17,22,33,3,9,14,3,4,7,58,51,114,24,26,52,5.2,7.8,6.1,61.7,64.6,64.8,69.1,67.1,63.1,0,3,9,0,3,3,6,14,15,7,12,21,27,11,41,0,0,3,0,0,0,30,8,41,97,87,188,4,3,11,83,69,152,15,22,39
SSC21717,18,19,40,14,3,17,3,6,7,0,0,0,0,0,0,11,9,21,8,3,10,0,0,0,61.1,47.4,52.5,94.4,47.4,60,0,0,0,0,0,3,0,0,4,0,3,3,6,0,6,0,0,0,0,0,0,6,0,12,18,6,28,0,5,7,11,5,22,8,10,9
SSC21718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21719,26,32,57,16,8,20,4,5,14,0,4,3,0,0,0,16,18,37,5,9,12,0,0,0,61.5,56.3,64.9,76.9,53.1,64.9,0,0,0,0,0,0,0,0,3,0,0,3,6,3,8,0,0,0,0,0,0,7,3,5,26,24,48,4,3,10,19,21,43,9,5,10
SSC21720,1900,2136,4039,894,564,1454,299,603,905,32,51,86,76,58,137,1299,1272,2571,543,800,1343,5.9,4.6,5.3,68.4,59.6,63.7,64.5,57,60.5,258,229,490,83,126,208,575,644,1214,165,244,411,153,88,238,17,8,20,16,38,54,183,131,310,1849,2001,3849,338,373,708,1235,1395,2629,885,943,1828
SSC21721,2051,2397,4453,945,545,1484,286,707,994,37,59,100,86,70,159,1358,1383,2745,628,928,1558,6.3,5.1,5.8,66.2,57.7,61.6,61.8,54.7,57.9,233,222,456,76,134,210,518,654,1178,213,268,484,227,103,332,8,13,28,29,40,72,268,165,426,2087,2363,4452,325,363,685,1488,1669,3153,846,956,1800
SSC21722,25,21,43,5,5,13,3,8,13,0,0,0,0,0,0,13,14,30,7,10,17,0,0,0,52,66.7,69.8,32,61.9,60.5,0,0,0,0,0,0,0,3,3,3,4,6,3,0,6,0,3,3,0,0,0,3,3,5,24,27,52,4,6,5,29,24,53,0,3,4
SSC21723,3437,3794,7225,1791,951,2739,452,1192,1648,78,126,205,108,86,197,2431,2361,4789,889,1298,2191,4.4,3.6,4.1,70.7,62.2,66.3,67.5,59.8,63.6,213,253,461,111,217,329,643,860,1502,341,427,769,868,319,1189,24,39,61,42,82,129,937,441,1377,3561,3756,7318,478,541,1013,2570,2755,5319,1292,1397,2686
SSC21724,2644,2852,5495,1300,671,1971,386,823,1214,71,102,174,74,69,140,1839,1667,3505,680,1036,1724,4,4.1,4,69.6,58.5,63.8,66.5,56,61.1,62,85,149,41,86,125,260,433,691,215,351,569,860,317,1179,17,36,53,43,60,98,922,415,1333,2736,2884,5615,310,308,622,2018,2128,4151,887,940,1822
SSC21725,607,589,1202,202,91,292,82,143,228,21,23,41,22,12,33,320,269,592,239,283,524,6.9,4.5,5.6,52.7,45.7,49.3,50.2,43.6,46.7,3,5,10,6,4,14,33,53,85,47,54,100,205,79,280,3,3,7,6,19,18,207,101,309,510,523,1039,113,99,208,407,376,779,209,233,446
SSC21726,8,10,19,5,3,6,0,8,9,0,0,0,3,0,3,8,7,15,0,0,0,37.5,0,20,100,70,78.9,62.5,110,78.9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,0,3,12,8,17,0,0,0,8,8,19,0,0,3
SSC21727,15,14,31,10,3,14,0,5,5,0,0,0,0,0,0,10,6,22,3,4,13,0,0,0,66.7,42.9,71,66.7,57.1,61.3,0,0,0,0,0,0,0,0,0,0,3,3,4,0,6,0,0,0,0,0,0,9,4,9,20,13,34,0,0,3,16,15,28,5,7,7
SSC21728,72,78,156,20,16,35,7,13,26,3,5,4,0,0,0,33,35,69,41,37,79,0,0,0,45.8,44.9,44.2,41.7,43.6,41.7,4,0,3,0,0,0,0,6,10,8,9,19,22,4,22,0,0,3,3,3,3,25,7,31,66,74,144,10,9,13,57,61,119,19,24,39
SSC21729,19,20,34,7,4,13,0,5,5,0,0,0,0,0,4,8,10,19,6,8,13,0,0,21.1,42.1,50,55.9,36.8,45,52.9,0,0,0,0,0,0,0,3,3,4,0,3,5,0,5,0,0,0,0,0,0,5,0,9,19,23,41,0,0,3,21,19,40,0,3,5
SSC21730,5719,6263,11985,2926,1949,4871,779,1610,2384,130,207,337,224,199,423,4052,3963,8013,1328,1974,3306,5.5,5,5.3,70.9,63.3,66.9,67.1,60.1,63.3,498,545,1043,170,342,512,1375,1651,3024,518,598,1115,777,343,1112,28,27,56,58,98,158,857,463,1326,5147,5606,10748,1104,1160,2266,3539,3893,7428,2521,2676,5195
SSC21731,40,30,71,12,9,24,5,10,15,3,0,3,0,0,0,22,16,42,13,14,23,0,0,0,55,53.3,59.2,50,63.3,59.2,0,0,0,0,0,0,3,3,6,3,3,6,14,4,21,0,0,0,0,0,0,14,4,22,35,29,66,3,3,7,30,27,53,10,9,17
SSC21732,35,35,70,18,9,22,8,17,23,0,0,0,0,3,4,29,21,55,5,10,18,0,14.3,7.3,82.9,60,78.6,74.3,74.3,64.3,3,3,6,0,0,0,11,4,14,0,7,7,10,3,18,0,0,0,0,0,0,10,8,20,32,37,67,4,3,9,26,27,49,12,12,24
SSC21733,10,10,15,4,3,3,0,3,3,0,0,0,0,0,0,3,7,6,5,7,5,0,0,0,30,70,40,40,60,40,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,10,15,16,0,0,0,4,13,18,0,0,3
SSC21734,2349,2495,4848,1087,666,1745,318,614,932,63,77,137,108,83,194,1572,1437,3014,626,897,1518,6.9,5.8,6.4,66.9,57.6,62.2,62.5,54.4,58,134,144,280,47,84,129,444,537,981,224,303,528,413,171,586,10,26,31,37,46,82,462,241,698,2129,2226,4355,456,499,958,1468,1571,3040,1020,1044,2064
SSC21735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21736,29,39,67,15,9,25,0,8,11,0,0,0,3,4,7,24,22,43,6,17,23,12.5,18.2,16.3,82.8,56.4,64.2,51.7,43.6,53.7,0,0,0,0,0,3,3,5,8,0,4,3,9,6,15,0,0,0,0,0,3,10,10,20,32,39,71,3,3,10,25,31,57,10,12,20
SSC21737,35,28,61,22,6,28,7,13,17,0,3,3,0,0,0,22,23,51,10,3,11,0,0,0,62.9,82.1,83.6,82.9,78.6,78.7,0,0,4,0,0,0,0,11,11,3,0,8,10,3,13,0,0,0,0,0,0,10,3,13,39,35,67,3,3,10,30,22,55,3,7,14
SSC21738,12,12,19,12,7,17,0,4,4,0,0,0,0,0,0,12,9,22,0,0,4,0,0,0,100,75,115.8,100,91.7,110.5,0,0,0,0,0,0,0,0,3,3,0,3,0,3,5,0,0,0,0,0,3,3,7,6,10,12,25,0,0,0,8,11,22,3,4,8
SSC21739,12,15,32,0,5,6,0,4,3,0,0,0,3,0,3,3,11,15,3,6,11,100,0,20,25,73.3,46.9,0,60,28.1,0,0,0,0,0,0,0,0,0,0,3,3,8,0,7,0,0,0,0,0,0,8,3,9,8,15,22,0,0,0,8,8,15,3,0,4
SSC21740,3,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,37.5,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,7,0,0,0
SSC21741,40,39,77,18,9,34,7,9,18,0,0,5,0,0,0,26,23,54,8,10,19,0,0,0,65,59,70.1,62.5,46.2,74,0,0,0,4,4,4,3,7,14,4,6,13,4,3,11,0,0,0,0,0,3,8,4,9,43,40,81,0,0,3,31,30,57,13,11,23
SSC21742,464,454,923,216,115,339,76,148,222,22,9,29,8,3,13,322,277,603,90,132,221,2.5,1.1,2.2,69.4,61,65.3,67.7,59.9,63.9,18,20,34,6,4,9,51,62,110,40,43,85,112,39,155,0,4,8,5,8,17,118,55,176,437,428,863,47,53,96,350,332,685,126,133,257
SSC21743,8618,9012,17633,4560,2323,6882,1035,2671,3703,255,296,552,319,287,613,6169,5574,11746,2085,3007,5095,5.2,5.1,5.2,71.6,61.9,66.6,67.9,58.7,63.2,209,247,457,132,241,373,888,1218,2109,711,1120,1834,2561,1161,3722,63,113,175,123,181,305,2746,1455,4200,8820,8948,17766,1211,1311,2520,6145,6188,12330,3485,3649,7136
SSC21744,3087,3410,6497,1167,694,1866,324,754,1080,112,122,229,140,126,261,1741,1694,3440,1071,1421,2491,8,7.4,7.6,56.4,49.7,52.9,51.9,46,48.9,21,38,56,34,63,101,108,230,344,174,312,485,743,453,1199,30,66,93,39,84,123,808,608,1417,2921,3124,6042,465,527,994,2104,2246,4357,1117,1244,2358
SSC21745,51,48,97,33,12,44,5,14,17,0,0,0,0,0,0,37,24,62,9,23,29,0,0,0,72.5,50,63.9,74.5,54.2,62.9,0,0,0,0,0,0,6,7,13,7,0,6,8,6,12,0,0,0,3,3,6,7,8,18,52,52,97,5,7,14,37,32,66,17,15,38
SSC21746,29,26,57,17,4,23,4,8,16,0,0,4,0,0,0,22,17,32,8,12,15,0,0,0,75.9,65.4,56.1,72.4,46.2,75.4,0,0,0,0,0,0,3,0,5,0,5,4,3,8,8,0,0,0,4,0,3,9,4,14,36,30,67,3,3,4,28,25,50,12,10,20
SSC21747,69,75,149,34,30,61,4,17,25,0,3,4,3,0,3,46,44,93,13,29,39,6.5,0,3.2,66.7,58.7,62.4,55.1,66.7,60.4,3,0,3,6,4,7,3,14,16,3,14,16,21,8,33,0,0,0,0,0,0,21,8,33,73,74,145,8,11,19,55,54,112,17,21,40
SSC21748,3144,3428,6570,1712,1022,2728,346,889,1241,81,134,219,104,102,201,2249,2143,4389,710,1089,1802,4.6,4.8,4.6,71.5,62.5,66.8,68,59.7,63.7,158,189,351,79,136,213,562,782,1345,332,401,728,624,273,890,18,35,52,56,74,129,694,378,1071,3060,3266,6333,555,592,1146,2019,2122,4143,1468,1607,3072
