SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC21262,5,7,0,0,0,0,0,5,0,4,3,8,0,0,0,0,3,8,3,8,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21
SSC21263,8,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,3,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,12,28
SSC21264,55,111,0,0,5,20,0,6,19,64,25,89,0,0,0,7,5,18,8,25,32,118,0,0,0,0,0,0,3,5,3,5,0,0,0,0,5,13,5,13,8,20,0,3,99,246
SSC21265,4,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SSC21266,3,9,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,5,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,12,23
SSC21267,16,28,0,0,0,8,3,11,8,18,7,37,3,8,0,4,3,4,3,21,10,55,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,3,3,4,3,11,0,0,28,89
SSC21268,118,235,4,20,3,17,0,3,33,120,44,165,4,19,3,6,27,90,36,107,77,273,0,0,0,6,0,0,26,66,24,70,0,3,0,4,18,46,24,53,47,118,4,10,245,637
SSC21269,20,35,0,6,0,16,3,12,16,60,17,91,3,10,0,5,5,16,7,29,31,117,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,0,0,53,162
SSC21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21271,318,624,10,48,68,320,5,36,244,1024,331,1426,20,82,40,153,81,247,139,479,475,1910,0,4,6,19,0,0,21,58,31,88,8,23,8,22,23,48,39,93,68,181,4,13,863,2723
SSC21272,16,30,0,0,0,6,0,0,5,17,7,25,0,0,0,3,0,7,3,8,10,34,0,0,0,0,0,0,3,3,3,3,0,0,3,6,0,0,3,6,3,8,0,0,28,73
SSC21273,3,5,0,0,0,3,0,0,6,13,3,22,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23
SSC21274,183,353,0,0,11,42,3,10,52,210,63,266,6,23,12,36,17,60,38,122,103,382,0,0,4,11,3,8,20,60,24,79,4,6,4,5,13,28,19,35,42,112,0,0,328,848
SSC21275,23,51,0,0,0,5,0,0,3,25,8,27,0,3,0,3,0,6,4,14,8,35,0,0,0,0,0,0,5,4,5,4,0,0,0,3,0,3,3,3,3,9,0,0,39,99
SSC21276,7,17,0,6,0,0,0,0,5,20,7,24,0,0,0,0,4,10,4,10,11,36,0,0,0,3,0,0,3,3,4,9,0,0,0,3,3,5,3,6,3,20,0,3,28,78
SSC21277,6,5,0,0,0,0,0,0,4,22,4,22,0,4,0,0,0,5,3,11,11,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,13,37
SSC21278,161,325,0,5,17,93,3,6,96,391,123,499,19,67,17,65,41,139,80,267,202,767,0,3,0,0,0,3,18,42,21,52,0,0,5,14,19,42,25,51,49,104,5,10,412,1196
SSC21279,142,278,0,0,19,78,3,13,98,376,119,467,7,23,19,56,29,80,45,161,166,623,0,3,6,14,0,0,10,35,18,50,0,3,7,13,11,24,22,42,35,95,3,5,345,1001
SSC21280,0,3,0,5,0,8,0,0,0,0,5,12,0,3,0,0,0,3,3,5,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
SSC21281,12,30,0,0,0,3,0,0,4,18,4,26,0,4,0,3,5,10,3,18,10,48,0,0,0,0,0,3,3,6,3,6,0,0,0,0,0,0,0,0,4,9,0,0,27,84
SSC21282,4,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
SSC21283,8,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
SSC21284,11,21,0,0,0,0,0,3,4,18,9,20,0,6,0,0,0,6,0,14,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,3,0,0,24,55
SSC21285,1172,2331,9,37,68,317,29,144,542,2107,648,2597,44,178,56,184,201,633,298,995,949,3595,6,28,27,104,22,74,220,602,277,809,30,95,51,110,198,434,278,630,555,1439,43,98,2715,7466
SSC21286,113,227,3,11,34,148,3,12,59,238,96,413,11,51,27,91,18,57,56,198,156,616,0,0,0,3,0,0,6,20,8,31,3,3,3,4,4,12,12,19,17,50,3,5,291,894
SSC21287,115,225,0,7,7,43,0,12,42,155,51,215,3,13,10,28,11,23,22,71,70,283,0,3,0,4,0,4,4,12,9,19,0,7,7,17,8,20,14,38,27,59,4,11,218,576
SSC21288,12,31,0,0,0,3,0,0,3,6,4,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,17,45
SSC21289,0,0,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
SSC21290,14,25,0,0,0,5,0,0,3,9,3,14,0,4,0,0,0,4,3,7,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,6,3,0,0,19,48
SSC21291,10,12,0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,3,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29
SSC21292,15,31,0,0,3,10,0,0,15,71,17,77,0,3,0,0,4,21,11,23,29,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,141
SSC21293,12,24,0,0,4,20,0,0,5,32,14,59,0,4,0,7,0,0,3,6,15,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,92
SSC21294,14,28,0,0,0,0,0,0,3,23,3,23,0,0,0,3,0,4,3,9,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,68
SSC21295,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SSC21296,6,11,0,0,0,8,0,0,3,11,3,18,0,0,0,4,0,6,3,3,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35
SSC21297,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,8,0,3,3,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,17
SSC21298,40,83,0,10,7,23,0,0,23,88,30,114,0,9,3,16,5,18,11,40,37,156,0,3,0,6,0,5,6,19,8,34,0,4,0,0,8,15,10,17,17,53,4,3,101,294
SSC21299,3,7,0,0,0,0,0,0,3,8,3,8,0,3,0,0,0,7,0,6,4,19,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,23
SSC21300,14,29,0,0,3,11,0,0,0,8,3,20,3,14,3,10,0,5,8,25,14,42,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,3,4,3,7,0,0,29,87
SSC21301,51,99,0,0,8,45,0,6,29,110,39,160,4,11,8,23,15,40,23,76,63,234,0,0,3,9,0,3,7,13,13,24,0,0,0,6,5,8,6,9,15,38,3,4,124,372
SSC21302,104,197,3,24,12,52,4,22,65,289,87,389,3,15,16,46,26,80,41,146,128,531,0,5,3,10,0,0,18,46,19,61,3,10,3,5,11,24,17,37,33,91,0,3,266,818
SSC21303,27,51,0,0,0,4,0,0,0,9,4,11,0,0,0,3,6,21,9,25,10,34,0,0,0,4,0,0,4,8,3,12,0,0,0,0,5,10,5,10,8,21,0,0,43,104
SSC21304,295,595,9,64,30,144,10,38,186,710,233,954,36,160,32,122,112,376,181,654,420,1609,0,4,10,55,8,30,63,186,86,268,13,47,22,51,66,152,107,257,193,529,18,34,922,2759
SSC21305,3,13,0,0,3,7,0,0,3,14,4,23,0,0,0,0,3,4,3,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,15,45
SSC21306,602,1189,20,105,76,357,18,69,346,1353,454,1888,71,310,108,399,198,618,377,1328,833,3213,3,10,17,61,0,3,63,162,80,241,18,51,25,59,87,191,123,301,209,543,18,28,1655,4980
SSC21307,918,1837,23,126,122,583,22,111,519,2039,685,2854,106,472,123,438,431,1419,665,2327,1348,5181,11,73,37,150,13,68,136,397,202,676,29,88,46,104,232,548,307,737,504,1417,51,103,2825,8542
SSC21308,1441,2876,14,99,170,771,31,133,971,3759,1192,4761,118,510,188,663,486,1589,790,2756,1981,7521,3,7,44,136,8,31,159,422,222,604,37,121,71,174,301,642,413,935,630,1533,63,133,4112,12066
SSC21309,156,314,5,23,31,122,5,10,87,344,124,499,30,125,27,108,83,273,142,510,259,1011,0,3,10,24,0,3,15,42,22,74,7,32,6,16,30,64,42,110,65,181,5,11,494,1516
SSC21310,5,18,0,4,0,5,0,0,3,13,7,21,0,4,0,0,3,9,4,17,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,0,0,19,59
SSC21311,304,615,3,16,22,119,9,29,165,640,201,802,13,66,21,68,101,315,130,446,330,1256,0,3,6,26,4,5,36,97,49,135,3,17,16,27,66,138,82,182,134,322,13,32,788,2225
SSC21312,5,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
SSC21313,14,24,0,0,0,0,0,0,3,22,3,22,0,0,0,0,0,4,0,4,4,24,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,4,3,8,0,0,18,54
SSC21314,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
SSC21315,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC21316,3,3,0,0,0,14,0,0,0,5,3,16,0,3,0,3,0,0,4,8,4,22,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,10,31
SSC21317,4,13,0,0,0,0,0,0,5,8,5,8,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,11,28
SSC21318,569,1128,12,50,55,262,8,55,243,978,324,1347,22,103,53,169,75,222,152,493,475,1839,3,13,17,64,7,16,118,287,145,384,14,35,35,68,70,142,113,247,255,630,26,57,1328,3659
SSC21319,1233,2426,0,4,67,302,3,27,713,2583,791,2912,26,115,70,247,67,225,168,588,955,3503,3,19,20,70,7,30,117,278,147,394,7,34,35,86,106,227,156,348,305,743,97,207,2590,6868
SSC21320,458,897,8,51,48,228,18,77,168,658,235,1016,16,48,27,82,71,236,113,366,351,1384,0,3,7,30,10,26,53,142,64,198,6,16,16,37,55,109,77,160,146,359,12,29,958,2675
SSC21321,3,3,0,0,5,21,0,0,0,4,3,23,0,0,0,0,0,4,0,4,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,13,36
SSC21322,30,57,0,3,5,15,0,3,8,21,14,49,3,20,3,18,4,25,20,64,27,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,60,173
SSC21323,6,17,0,0,0,0,0,0,0,9,0,9,0,0,3,10,3,4,4,15,9,24,0,0,0,5,0,0,3,7,5,8,0,0,0,0,3,5,3,5,3,16,0,0,21,48
SSC21324,12,19,0,0,0,3,0,0,4,27,6,33,0,4,3,12,5,14,8,32,18,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,87
SSC21325,11,17,0,0,0,3,0,3,3,16,3,21,0,0,0,0,8,22,8,22,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,65
SSC21326,12,28,0,0,0,6,0,0,3,6,0,10,0,0,3,3,0,7,3,10,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,22,51
SSC21327,6,19,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21
SSC21328,2190,4318,28,154,354,1587,14,46,1479,5693,1868,7487,237,975,460,1581,423,1300,1117,3852,2990,11338,4,7,66,217,7,18,234,566,310,812,47,153,164,362,280,597,487,1108,796,1919,157,329,6129,17908
SSC21329,526,1049,3,20,119,537,3,22,502,1970,634,2555,65,255,141,502,138,427,337,1178,973,3736,0,3,19,56,3,6,69,170,83,235,12,36,48,102,80,178,140,310,229,550,24,54,1750,5386
SSC21330,7,11,0,0,0,0,0,0,4,19,4,19,0,0,3,6,0,0,3,6,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,12,38
SSC21331,1988,4085,66,384,393,1837,69,329,1934,7569,2467,10109,267,1159,401,1412,784,2641,1456,5213,3929,15321,19,98,73,286,20,75,345,1002,462,1469,60,194,130,323,390,901,573,1423,1037,2886,118,261,7072,22555
SSC21332,683,1344,26,166,113,509,16,64,515,2032,665,2770,49,186,74,248,155,497,285,933,949,3707,3,25,21,84,5,12,67,174,96,297,11,38,11,34,68,154,96,228,188,522,9,21,1835,5598
SSC21333,17,34,0,0,0,10,0,0,3,20,7,34,0,12,3,5,8,18,7,31,18,65,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,3,3,3,0,0,37,113
SSC21334,47,98,0,4,3,20,0,3,34,147,40,174,0,10,6,25,8,39,22,75,64,242,0,0,0,0,0,0,8,14,8,14,0,0,0,0,3,9,3,9,10,20,0,0,117,358
SSC21335,11,18,0,0,0,12,0,0,0,9,3,22,0,0,0,0,0,4,0,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48
SSC21336,62,118,0,8,4,31,0,6,38,157,48,207,3,3,4,10,5,20,13,37,63,241,0,0,3,12,0,0,8,24,12,30,0,0,3,5,4,4,3,11,15,44,0,0,137,402
SSC21337,60,124,0,4,3,23,0,0,25,100,34,129,0,0,3,7,7,11,6,23,38,153,0,0,0,0,0,5,4,7,4,19,0,0,4,3,0,5,8,10,7,24,0,0,115,300
SSC21338,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC21339,66,122,0,5,7,43,3,8,65,235,71,297,0,0,3,12,8,18,8,25,85,320,0,0,0,0,0,3,10,29,15,37,0,0,0,4,6,13,9,13,21,49,3,7,167,501
SSC21340,25,40,0,7,5,38,0,0,9,45,19,82,3,11,3,7,0,7,5,29,27,109,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,4,0,4,4,11,0,0,53,164
SSC21341,54,106,0,3,6,35,0,0,25,88,30,125,10,30,5,20,19,48,26,97,61,225,0,0,0,0,0,0,9,13,4,17,0,0,0,0,0,3,0,3,7,18,0,3,121,349
SSC21342,10,21,0,3,0,4,0,4,4,12,5,26,0,0,0,0,0,8,0,8,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,3,5,0,3,24,62
SSC21343,21,46,0,0,0,3,0,0,9,54,11,55,0,6,5,7,7,16,10,26,17,87,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,5,3,5,5,11,4,5,48,147
SSC21344,727,1455,10,73,114,536,31,133,505,2007,659,2745,36,144,70,249,163,535,266,921,925,3674,7,42,35,113,16,65,136,364,197,583,18,44,41,91,103,209,153,346,353,930,29,60,2034,6120
SSC21345,46,83,0,8,5,20,0,3,24,88,25,122,7,16,11,28,12,37,28,83,51,202,0,0,3,4,0,3,7,20,7,26,0,0,0,3,8,16,8,12,15,40,0,0,109,325
SSC21346,1109,2199,17,78,95,439,26,114,706,2762,843,3391,69,281,71,233,257,817,390,1332,1227,4719,13,49,35,117,17,47,168,458,232,674,28,99,47,111,212,466,290,670,521,1344,50,97,2912,8366
SSC21347,213,422,11,56,63,314,11,49,191,745,281,1165,54,244,49,186,105,357,211,782,495,1949,0,0,8,30,7,18,30,75,43,119,8,28,12,28,43,85,59,144,101,262,4,16,812,2644
SSC21348,14,26,0,0,0,0,0,3,0,5,0,8,0,0,0,4,3,5,0,9,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47
SSC21349,14,21,0,3,0,3,0,4,3,24,10,34,0,0,0,4,0,5,3,12,12,48,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,3,4,8,0,0,29,84
SSC21350,159,309,3,15,25,108,9,45,90,342,121,518,10,55,16,44,40,125,68,221,192,743,0,7,0,10,0,4,14,47,24,59,4,12,3,12,28,51,30,69,56,129,3,7,407,1193
SSC21351,42,85,0,0,3,13,0,3,22,83,23,108,0,12,7,9,4,24,16,49,43,150,0,0,3,6,0,0,3,14,3,20,0,0,3,5,4,17,7,22,14,35,0,3,98,277
SSC21352,113,220,3,9,12,59,5,31,85,358,108,463,9,33,14,47,29,94,51,172,160,633,0,0,4,16,0,0,16,33,20,52,3,8,4,4,8,26,19,37,36,90,3,5,308,944
SSC21353,8,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,12,20
SSC21354,636,1314,25,133,97,471,26,105,416,1625,554,2338,56,258,79,283,288,968,428,1515,982,3852,9,33,58,226,22,91,201,577,292,937,30,102,52,118,197,460,280,676,566,1610,49,107,2240,6880
SSC21355,368,754,0,0,37,157,7,34,178,654,220,854,21,90,25,89,53,166,99,337,316,1193,0,3,8,26,3,20,42,125,58,175,6,29,20,37,58,124,83,192,140,364,33,66,857,2373
SSC21356,18,44,0,0,0,17,0,5,9,26,9,40,0,4,3,10,5,16,10,28,20,75,0,4,0,0,0,3,4,9,5,17,0,0,0,0,0,3,0,3,9,17,0,0,45,133
SSC21357,375,739,3,17,22,88,6,18,388,1402,414,1521,13,63,26,86,22,73,66,224,475,1741,0,7,0,11,0,9,62,161,71,184,4,17,20,42,37,83,64,140,133,321,13,32,996,2844
SSC21358,6,5,0,0,0,0,0,6,0,5,3,7,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22
SSC21359,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC21360,33,69,3,10,3,18,0,8,26,97,31,133,7,20,3,17,10,19,19,54,42,189,0,0,0,0,0,0,4,16,4,16,0,5,0,3,0,3,3,7,8,26,0,0,86,279
SSC21361,26,54,0,0,0,6,0,0,3,12,4,21,0,0,0,0,0,10,0,10,11,29,0,0,0,0,0,0,0,7,0,7,0,0,0,0,6,11,7,11,5,19,0,0,45,101
SSC21362,9,10,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,3,0,0,8,26
SSC21363,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC21364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21365,18,30,0,3,3,10,0,0,7,30,8,48,0,0,3,12,6,16,10,27,18,75,0,0,4,3,0,0,0,6,3,13,0,0,0,0,0,0,0,0,3,13,0,0,36,114
SSC21366,785,1563,15,96,85,397,13,62,502,1937,621,2496,74,305,112,400,194,621,383,1325,1002,3821,3,10,25,75,8,33,87,254,122,380,23,73,46,102,125,285,194,461,320,840,26,48,2131,6270
SSC21367,0,0,0,0,0,9,0,0,3,9,5,14,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19
SSC21368,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
SSC21369,23,40,0,5,0,5,0,0,11,52,16,65,0,0,0,3,0,3,3,5,19,73,0,0,0,0,0,0,3,6,3,6,0,0,0,0,3,7,3,7,3,7,0,3,44,118
SSC21370,23,48,0,4,9,33,0,0,9,37,16,73,0,0,4,14,0,3,4,14,18,87,0,0,0,0,0,0,3,14,3,14,0,0,0,3,0,3,3,4,10,16,0,0,55,152
SSC21371,12,19,0,0,0,0,0,0,3,10,3,10,0,0,0,4,0,5,3,8,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,17,41
SSC21372,318,639,10,53,36,184,14,62,254,1011,316,1305,22,105,33,111,87,276,145,497,464,1803,5,15,7,16,11,29,63,171,78,232,8,21,9,21,37,83,51,116,129,350,15,35,923,2826
SSC21373,6,10,0,0,0,0,0,0,0,8,0,8,0,0,0,0,3,7,3,7,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,7,0,0,11,29
SSC21374,0,5,0,0,0,0,0,0,4,8,4,8,0,3,0,0,0,3,4,11,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24
SSC21375,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,14
SSC21376,158,318,3,10,8,35,0,7,43,172,52,225,0,11,11,38,18,49,28,100,84,322,0,8,0,9,0,3,17,35,17,59,0,0,3,10,14,26,18,32,35,90,3,13,284,740
SSC21377,35,76,0,5,6,27,3,9,14,35,20,82,6,18,7,12,3,12,10,46,31,122,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,4,10,0,4,79,214
SSC21378,54,101,0,0,12,48,0,0,27,99,32,145,4,13,6,21,5,26,19,57,48,201,0,0,0,3,0,0,4,6,3,13,0,5,0,3,3,4,5,16,6,28,0,3,109,331
SSC21379,3,9,0,0,0,0,0,0,3,15,3,15,0,0,0,0,0,3,0,3,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23
SSC21380,41,86,0,6,3,18,0,9,29,117,38,152,3,6,3,13,12,36,17,58,52,207,0,0,0,5,0,0,3,8,7,13,0,0,3,6,3,4,6,11,9,21,0,0,103,321
SSC21381,15,21,0,0,3,10,0,0,5,31,10,44,0,0,3,8,0,4,6,7,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,73
SSC21382,3,8,0,0,0,0,0,0,4,13,4,13,0,6,0,0,0,0,4,6,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30
SSC21383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21384,11,22,0,0,0,4,0,3,7,29,8,41,0,0,0,7,3,9,6,17,15,57,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,5,3,5,0,0,26,84
SSC21385,85,169,0,4,13,48,0,7,30,135,43,191,9,43,17,49,25,67,47,161,90,352,0,0,5,17,0,0,4,18,10,32,0,0,8,20,9,16,20,37,26,66,7,16,211,602
SSC21386,15,23,0,0,0,0,0,7,3,14,3,19,0,0,0,3,0,0,0,3,8,18,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,15,46
SSC21387,6,14,0,0,0,0,0,0,4,17,4,17,0,8,3,10,3,8,4,20,7,33,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,8,3,8,0,0,20,56
SSC21388,235,466,8,30,20,100,6,21,131,536,165,682,13,60,16,43,39,119,69,228,233,909,3,11,6,21,3,11,38,107,55,149,3,8,6,8,30,65,39,80,91,228,13,27,572,1630
SSC21389,20,37,0,0,0,0,0,3,3,24,7,26,0,5,0,3,0,7,3,17,8,43,0,0,0,0,0,0,6,5,6,5,0,0,0,0,0,4,0,4,6,14,0,0,32,89
SSC21390,8,18,0,0,3,13,0,0,4,18,3,28,0,0,3,9,0,3,4,8,6,34,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,21,60
SSC21391,498,994,10,36,43,203,20,81,223,882,284,1194,26,92,30,100,84,255,134,453,424,1649,3,16,15,53,5,25,79,240,102,333,6,26,24,53,73,161,99,237,204,573,15,24,1144,3241
SSC21392,13,25,0,0,0,6,3,16,7,33,12,52,0,0,0,0,0,0,0,0,12,52,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,13,0,0,28,89
