UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL222070,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,3,0,0,3,3,0,7,9,8,6,9,0,0,37,10,18,42,66,76,62,28,18,4,325
UCL222071,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,11,15,15,37,34,30,22,8,0,167
UCL222072,0,0,0,0,0,0,4,4,4,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,18,9,8,13,21,31,40,23,10,6,169
UCL222073,0,0,0,0,3,7,10,8,0,19,0,0,0,0,0,0,0,0,0,7,0,0,4,4,3,9,7,3,0,26,3,17,20,19,30,49,46,28,3,221
UCL222074,0,0,3,3,0,9,14,6,3,41,0,0,0,0,0,0,3,0,0,3,4,13,12,6,15,15,24,4,7,100,12,37,48,34,62,69,72,29,8,370
UCL222075,0,0,0,0,0,3,3,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,16,6,8,36,23,39,40,26,21,5,192
UCL222076,0,0,0,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,3,3,3,11,4,3,8,0,0,40,11,15,34,66,64,48,54,18,0,309
UCL222077,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,0,0,0,14,7,22,17,16,50,42,8,11,3,168
UCL222078,0,0,0,0,4,8,10,12,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,13,3,0,36,4,13,25,34,55,83,71,36,32,354
UCL222079,0,0,0,0,0,5,7,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,6,3,0,23,3,17,50,37,49,54,49,5,12,281
UCL222080,0,0,0,0,0,5,9,7,3,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,13,0,0,29,3,8,18,10,34,61,73,17,3,221
UCL222081,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,8,8,11,0,0,0,45,5,10,35,34,48,39,18,4,0,199
UCL222082,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,5,0,0,27,8,5,10,31,45,34,24,3,0,151
UCL222083,0,0,0,0,0,3,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,3,0,22,8,21,34,61,69,56,36,22,0,316
UCL222084,0,0,0,0,0,5,13,3,11,43,0,0,0,0,0,0,0,0,0,0,0,4,0,8,3,8,4,7,4,34,10,15,34,54,48,68,51,47,24,333
UCL222085,0,0,0,3,3,4,8,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,4,0,29,3,3,4,8,33,39,50,19,7,167
UCL222086,0,0,0,0,3,0,18,17,26,66,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,9,7,3,32,3,21,33,47,51,76,90,45,35,399
UCL222087,0,0,0,0,4,3,6,4,3,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,3,0,18,8,6,17,39,31,46,45,14,4,205
UCL222088,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,8,3,4,3,35,6,22,20,50,71,83,41,20,7,324
UCL222089,0,0,0,0,0,5,8,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,0,0,26,4,6,20,35,61,119,123,35,14,421
UCL222090,0,0,0,0,3,0,11,11,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,3,32,9,22,20,31,53,52,56,38,26,301
UCL222091,0,0,0,0,0,0,0,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,3,0,22,0,3,13,26,18,43,40,17,11,173
UCL222092,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,5,4,3,3,3,0,21,4,8,24,38,33,20,23,13,3,161
UCL222093,0,0,0,0,0,4,0,3,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,4,20,10,8,28,27,37,33,8,5,9,154
UCL222094,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,12,5,3,18,44,7,16,20,27,61,100,77,35,49,394
UCL222095,0,0,0,3,6,3,11,13,8,41,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,8,13,8,9,44,12,9,22,37,54,81,64,44,32,356
UCL222096,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,8,4,0,27,4,4,23,26,23,43,40,8,7,185
UCL222097,0,0,0,0,0,11,4,4,0,16,0,0,0,0,0,0,0,0,0,3,8,0,3,7,3,4,3,0,3,33,15,16,30,36,43,47,29,17,5,239
UCL222098,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,8,3,6,0,9,6,3,4,0,42,19,21,49,39,65,64,31,16,3,304
UCL222099,0,0,0,3,3,4,14,16,9,49,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,9,6,6,7,45,7,23,29,33,66,82,68,41,20,377
UCL222100,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,7,3,6,9,13,9,6,3,0,56,14,6,50,65,60,70,31,9,5,319
UCL222101,0,0,0,0,3,5,13,7,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,4,0,24,9,15,12,25,37,66,52,17,9,242
UCL222102,0,0,0,0,0,3,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,13,3,7,23,16,30,41,16,13,3,154
UCL222103,0,0,0,0,0,4,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,5,0,21,9,13,33,29,36,50,24,4,0,195
UCL222104,0,0,0,0,0,4,7,4,0,21,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,4,0,0,25,7,10,30,65,54,53,37,16,3,287
UCL222105,0,3,0,0,0,3,3,0,5,12,0,0,0,0,0,3,0,0,0,3,3,0,0,4,3,10,13,0,0,30,4,8,22,30,44,77,50,10,10,251
UCL222106,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,5,8,0,0,21,12,12,35,53,53,48,24,5,3,244
UCL222107,0,0,3,0,0,0,4,3,0,14,0,0,0,0,0,0,0,0,0,0,3,0,9,0,5,4,5,0,0,28,15,14,112,39,60,62,41,11,0,360
UCL222108,0,0,0,3,0,3,10,13,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,10,3,35,15,18,39,36,53,72,75,49,12,363
UCL222109,0,0,0,0,0,8,16,4,3,35,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,7,6,0,38,5,20,31,16,49,63,70,24,6,280
UCL222110,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,15,7,17,53,63,48,67,37,10,4,301
UCL222111,4,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,0,17,11,17,27,27,62,28,21,13,0,207
UCL222112,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,3,0,23,3,4,12,29,27,30,22,16,3,148
UCL222113,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,0,0,0,0,6,0,0,3,5,7,0,5,0,3,20,3,8,29,44,48,53,31,18,5,244
UCL222114,0,0,0,0,0,5,4,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,3,0,21,0,16,43,10,25,36,18,4,4,165
UCL222115,0,0,0,3,0,3,9,7,0,22,0,0,0,0,0,0,0,0,0,0,3,3,0,5,12,0,15,5,4,53,4,9,14,21,42,44,57,23,10,218
UCL222116,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,3,0,18,7,9,26,23,43,37,32,6,3,181
UCL222117,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,17,3,5,0,38,11,12,37,40,65,71,42,13,4,290
UCL222118,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,11,10,14,21,31,27,32,10,0,153
UCL222119,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,3,3,0,22,9,7,12,31,38,32,16,10,5,146
UCL222120,0,0,0,0,3,0,9,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,6,0,17,9,16,28,25,40,45,36,15,3,218
UCL222121,0,0,0,0,3,7,6,3,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,10,17,15,28,25,37,37,18,12,0,181
UCL222122,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,8,19,13,20,28,36,15,7,0,145
UCL231777,178,202,506,628,1210,2605,5773,4088,1670,16854,24,26,95,99,127,135,218,246,81,1058,1842,1735,3963,4836,6392,6660,5798,2940,940,35112,10689,19114,35214,47971,66400,69068,50333,18866,5264,322915
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
UCL299994,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
