UCL_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL222060,0,0,3,28,60,34,29,26,22,197
UCL222061,28,0,31,43,66,45,37,110,47,346
UCL222062,0,0,0,48,29,3,7,53,75,216
UCL222063,0,0,0,39,50,20,23,31,12,178
UCL222064,0,0,0,37,24,0,7,34,63,164
UCL222065,3,3,3,19,52,23,23,32,27,172
UCL222066,3,0,11,31,26,18,29,33,23,172
UCL222067,0,0,3,46,56,33,20,32,6,188
UCL222068,26,6,37,61,84,44,50,90,24,356
UCL222069,8,0,11,60,100,40,37,49,25,325
UCL222070,0,0,4,65,92,66,42,50,40,350
UCL222071,0,0,0,34,54,24,24,28,10,171
UCL222072,0,0,6,37,49,16,16,38,26,186
UCL222073,0,0,3,37,58,27,37,50,22,224
UCL222074,3,3,8,43,59,33,54,97,105,385
UCL222075,3,0,5,42,52,20,31,39,20,196
UCL222076,0,0,0,54,90,47,42,39,39,318
UCL222077,0,0,3,46,52,30,11,30,19,185
UCL222078,23,0,32,65,72,47,54,92,35,361
UCL222079,0,0,12,72,57,47,43,53,21,295
UCL222080,3,0,3,30,53,31,30,51,29,230
UCL222081,0,0,0,51,49,25,12,34,39,205
UCL222082,0,0,0,24,46,21,22,22,26,165
UCL222083,0,0,0,60,94,49,43,63,28,329
UCL222084,12,4,24,54,77,37,46,103,36,352
UCL222085,0,0,7,22,36,20,25,44,24,171
UCL222086,18,3,35,67,107,45,70,94,34,410
UCL222087,0,0,4,30,49,31,35,47,16,211
UCL222088,3,0,7,77,100,46,34,40,38,332
UCL222089,5,3,14,90,114,77,49,76,22,430
UCL222090,15,4,26,53,78,39,36,86,28,318
UCL222091,3,4,11,25,58,26,22,21,25,176
UCL222092,3,0,3,39,50,20,14,23,26,166
UCL222093,7,4,9,28,44,15,20,43,16,170
UCL222094,42,3,49,84,119,46,34,88,35,409
UCL222095,15,6,32,65,71,49,49,99,39,368
UCL222096,0,3,7,34,52,22,28,27,27,183
UCL222097,0,0,5,48,52,28,33,55,36,252
UCL222098,0,0,3,77,80,45,39,50,35,325
UCL222099,3,7,20,75,89,47,51,76,42,386
UCL222100,3,0,5,56,101,49,26,46,45,331
UCL222101,3,0,9,45,57,30,25,61,26,252
UCL222102,0,0,3,28,35,23,24,33,12,161
UCL222103,0,0,0,37,63,36,24,24,20,206
UCL222104,5,0,3,62,91,41,41,54,17,310
UCL222105,3,0,10,46,80,32,37,43,19,265
UCL222106,0,0,3,57,82,38,15,40,22,263
UCL222107,0,0,0,63,98,54,70,53,36,373
UCL222108,3,3,12,74,83,60,44,74,47,382
UCL222109,3,0,6,48,71,22,52,59,38,285
UCL222110,3,0,4,63,103,44,36,48,19,318
UCL222111,0,0,0,40,63,29,25,37,20,219
UCL222112,0,0,3,34,40,20,18,30,16,157
UCL222113,0,0,5,47,77,39,29,39,18,250
UCL222114,3,0,4,32,44,17,23,35,17,166
UCL222115,3,4,10,24,40,20,33,58,55,229
UCL222116,0,0,3,41,46,25,32,25,23,195
UCL222117,0,0,4,52,96,36,35,42,37,306
UCL222118,0,0,0,30,50,22,27,33,15,172
UCL222119,0,0,5,33,38,24,17,24,20,162
UCL222120,3,0,3,33,61,25,28,52,20,226
UCL222121,0,0,0,29,62,20,27,49,7,196
UCL222122,0,0,0,35,39,13,21,33,5,153
UCL231777,1874,1031,5266,65857,88290,48448,41792,56898,38177,339459
UCL279997,0,0,0,7,3,3,0,11,3,25
UCL299994,22,12,38,1281,954,324,278,1969,2020,6825
