UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL215087,40,37,77,129,90,221,79,56,133,5,5,12,215,154,370,98,77,174,51,36,87,20,9,37,165,123,287,4,9,20,3,3,10,14,8,20,5,8,18,0,0,0,35,28,62,22,29,51,5,9,15,3,0,8,7,20,26,3,0,3,34,61,99,7,4,9,11,10,22,0,0,0,23,14,36,142,147,289,653,566,1223
UCL215088,15,8,26,49,44,96,0,0,0,3,0,4,53,49,101,31,32,64,0,3,3,3,3,6,38,32,71,0,0,3,0,0,6,3,5,11,0,6,11,0,0,0,14,20,27,3,5,9,0,6,6,0,0,3,0,0,0,0,0,0,4,12,21,3,4,8,3,6,8,0,0,0,5,8,14,75,88,168,205,215,423
UCL215089,13,18,22,54,45,96,4,8,10,13,4,17,73,59,129,19,19,39,17,13,31,48,38,91,87,73,159,9,3,16,0,0,0,6,5,10,4,3,4,0,0,0,20,11,32,38,34,68,0,9,6,4,3,11,0,9,9,0,0,0,46,51,94,0,0,0,7,8,12,0,0,0,7,8,12,34,38,72,269,248,512
UCL215090,44,30,77,101,107,209,49,59,112,18,24,38,169,186,356,42,50,85,55,39,96,27,37,64,117,124,244,0,6,6,4,3,4,13,3,20,6,10,20,0,0,0,26,30,55,23,28,44,4,20,26,3,0,3,13,29,36,0,0,0,36,75,115,0,0,0,10,16,18,0,0,0,10,15,22,139,213,353,550,672,1217
UCL215091,51,37,84,185,159,346,3,13,18,12,16,28,198,185,387,107,102,212,20,10,28,16,16,27,140,129,270,9,10,18,3,3,8,24,19,36,15,12,21,0,0,0,48,43,91,16,16,30,8,13,17,0,3,3,5,15,24,0,0,0,26,45,75,3,3,5,8,9,11,0,0,0,7,14,21,115,122,238,590,573,1162
UCL215092,8,13,19,23,42,67,0,7,7,0,0,0,23,48,75,25,25,50,3,0,4,0,0,0,29,21,55,3,6,3,0,0,4,0,9,10,6,3,5,0,0,0,14,14,27,4,5,7,0,3,3,0,0,5,0,3,3,0,0,0,3,8,16,3,3,8,0,3,5,0,0,0,3,9,11,55,60,113,139,169,313
UCL215093,37,25,64,82,79,163,23,29,52,6,10,15,114,113,233,62,51,113,11,23,33,14,13,20,90,84,169,8,10,12,0,0,0,5,4,10,10,5,15,0,0,0,28,20,43,8,19,21,0,9,11,0,0,7,0,13,18,0,0,0,11,41,52,0,0,3,8,5,7,0,0,0,4,7,11,86,90,178,373,373,752
UCL215094,30,22,47,101,73,169,13,17,34,12,16,32,136,106,242,74,72,147,14,22,34,14,13,30,104,104,214,0,4,6,6,3,7,23,13,27,11,3,13,3,0,5,31,27,60,4,6,14,3,3,3,0,3,3,9,15,25,0,0,0,19,33,43,3,0,3,3,12,13,0,0,0,4,15,20,105,99,210,432,403,839
UCL215095,15,6,18,51,34,84,3,0,5,0,3,3,52,41,89,18,12,35,3,3,7,4,0,7,22,19,45,0,0,0,0,0,0,4,3,9,0,5,7,0,0,0,6,10,16,5,8,8,3,10,9,0,0,0,0,6,7,0,0,0,10,21,31,3,3,4,3,6,9,0,0,0,3,11,15,34,49,80,141,153,296
UCL215096,8,12,24,42,42,80,13,14,29,0,0,0,53,53,105,31,36,69,7,5,16,0,4,4,43,44,93,0,0,0,0,8,8,3,7,8,0,3,9,0,0,0,3,17,18,3,3,6,0,0,0,3,3,7,0,7,8,0,0,0,6,13,18,0,6,7,4,3,8,0,0,0,4,9,14,94,97,195,216,249,465
UCL215097,16,5,23,42,27,69,16,12,28,0,0,0,56,44,98,26,20,46,3,0,3,0,0,3,31,21,49,0,3,3,0,0,0,3,3,11,6,3,8,0,0,0,9,10,20,0,0,3,0,0,0,0,0,3,0,6,6,0,0,0,0,13,14,0,0,3,0,5,5,0,0,0,0,8,7,62,48,103,171,148,319
UCL221001,7,3,10,32,34,65,7,9,9,3,0,3,41,44,80,22,25,43,0,3,4,0,0,0,29,25,51,0,0,3,0,0,0,7,5,10,3,4,7,0,0,0,7,10,19,0,3,5,0,3,3,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,3,3,22,24,45,113,104,219
UCL221002,15,7,20,28,23,50,9,0,8,0,0,0,36,25,60,22,15,34,11,0,13,0,0,0,32,15,48,3,3,3,0,0,0,3,0,3,0,4,4,0,0,0,3,3,13,0,3,3,0,0,0,0,0,0,0,10,6,0,0,0,0,12,11,0,3,3,0,4,6,0,0,0,0,7,3,48,44,96,135,111,244
UCL221003,8,5,14,40,35,71,4,3,9,0,4,4,45,34,78,13,9,24,5,4,7,0,4,8,16,18,36,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,8,0,4,3,0,3,3,0,0,0,0,5,5,0,0,0,0,6,10,0,0,0,0,4,6,0,0,0,0,4,7,34,33,64,110,110,222
UCL221004,4,9,10,15,14,27,8,0,6,3,3,4,24,18,42,11,6,17,3,3,10,3,6,10,16,17,37,0,0,0,0,0,0,3,8,10,0,0,3,0,0,0,7,8,16,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,30,26,49,80,82,161
UCL221005,6,5,15,13,25,39,10,9,19,22,16,37,42,51,93,4,5,12,5,20,34,30,19,43,37,45,86,0,0,0,0,0,0,3,0,4,0,3,6,0,0,0,5,7,6,16,9,21,0,0,0,3,3,7,0,3,0,0,0,0,24,12,32,4,0,4,0,3,3,0,0,0,4,3,5,23,20,43,139,140,281
UCL221006,0,5,6,25,27,54,0,0,0,0,0,0,25,27,54,25,28,55,0,0,0,0,0,0,25,33,53,0,0,0,0,0,0,4,0,4,3,0,5,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,4,11,16,0,0,0,5,13,18,0,0,0,0,0,0,0,0,0,0,0,0,36,37,69,95,116,216
UCL221007,10,6,11,21,18,42,0,0,0,0,0,0,21,25,43,9,4,13,10,6,17,3,0,4,18,11,36,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,13,12,26,72,59,129
UCL221008,6,0,9,24,32,53,0,0,0,0,0,0,24,32,53,9,14,29,0,3,3,0,0,0,9,17,27,0,3,3,0,0,0,0,3,0,0,4,4,0,0,0,0,8,9,0,6,6,0,0,0,0,0,0,3,5,10,0,0,0,3,12,12,3,0,3,0,0,0,0,0,0,3,0,4,13,20,37,61,94,154
UCL221009,4,7,13,23,25,44,0,0,0,0,0,0,24,25,45,16,17,39,0,0,0,0,0,0,21,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,43,72,72,99,168
UCL221010,3,6,8,23,12,33,5,4,9,0,0,0,25,17,46,15,14,25,3,0,10,7,0,4,24,16,40,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,5,3,3,8,0,3,3,0,0,0,0,3,5,0,0,0,5,9,16,0,0,0,0,3,3,0,0,0,0,8,8,10,10,23,77,73,142
UCL221011,7,0,6,27,18,44,3,0,4,0,4,4,34,18,51,11,17,30,4,3,7,0,0,0,19,22,35,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,4,7,13,0,3,4,0,0,0,0,0,0,0,3,3,0,0,0,3,7,4,0,0,0,0,3,3,0,0,0,0,3,3,21,22,44,82,83,162
UCL221012,10,0,11,31,25,58,6,4,10,0,0,4,41,25,71,21,12,35,14,12,31,0,3,3,37,31,69,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,5,0,3,3,0,0,0,3,0,3,0,0,0,7,6,7,0,0,0,3,3,8,0,0,0,3,3,8,20,22,39,118,88,210
UCL221013,4,3,5,30,20,49,4,0,4,3,3,3,34,23,59,12,11,22,11,13,22,0,3,3,21,19,41,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,7,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,14,10,22,73,70,149
UCL221014,3,3,10,26,24,51,0,0,0,3,0,3,31,24,54,9,14,23,0,0,0,3,0,3,11,22,32,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,9,0,8,0,7,8,0,0,4,0,0,0,0,0,0,0,0,0,4,7,14,3,0,3,0,3,3,0,0,0,3,3,3,27,29,59,87,88,174
UCL221015,12,3,15,8,18,28,3,9,14,0,6,4,17,31,41,14,9,24,3,4,4,3,5,13,14,26,40,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,9,0,0,0,0,0,3,0,0,0,3,7,12,0,0,0,3,12,12,0,0,0,3,0,3,0,0,0,4,0,4,46,51,99,102,123,225
UCL221016,8,9,13,26,18,45,7,15,19,0,0,4,35,35,64,23,20,40,10,5,16,3,3,9,32,28,65,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,7,0,0,0,3,0,3,0,0,0,0,4,7,0,0,0,6,11,14,5,0,10,0,3,3,0,0,0,5,3,10,12,9,26,98,102,199
UCL221017,8,16,22,42,24,70,3,0,4,0,0,0,50,26,76,20,13,36,3,6,11,10,7,18,41,32,67,0,0,0,0,0,0,3,3,3,0,3,5,0,0,0,3,3,12,4,3,4,0,3,3,0,0,0,0,0,0,0,0,0,4,5,11,0,3,3,0,3,3,0,0,0,0,9,4,18,25,39,119,110,228
UCL221018,8,7,14,10,21,27,16,13,30,0,0,0,23,33,53,21,30,52,0,0,0,0,0,0,21,27,49,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,3,9,0,0,0,0,3,4,0,0,0,0,3,5,36,34,77,105,111,215
UCL221019,13,5,17,50,36,86,4,3,4,0,0,9,51,40,97,25,25,53,3,3,5,0,4,6,29,37,66,0,3,3,0,0,0,3,3,9,3,0,3,0,0,0,6,6,17,3,5,11,3,6,10,0,0,0,5,13,19,0,0,0,16,24,33,0,0,4,3,6,7,0,0,0,3,5,11,58,86,147,181,208,386
UCL221020,4,11,13,19,9,27,8,4,12,0,0,0,27,16,42,14,19,36,3,5,12,0,0,0,18,27,51,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,6,30,45,73,91,106,194
UCL221021,4,3,7,21,24,41,0,0,0,0,3,7,27,23,51,8,7,15,0,0,0,0,0,0,8,10,22,0,0,3,0,0,0,0,0,3,5,0,3,0,0,0,5,3,14,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,3,38,31,66,83,79,162
UCL221022,11,3,9,11,14,28,0,0,0,0,5,8,14,22,34,5,11,17,0,0,0,3,0,3,12,11,21,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,3,7,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,3,0,3,3,0,0,0,4,3,3,30,35,64,73,81,154
UCL221023,8,3,9,19,25,49,0,0,0,0,0,0,19,31,51,0,4,7,3,7,8,0,3,3,5,9,15,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,4,10,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,35,29,66,74,82,157
UCL221024,3,6,5,14,16,29,0,0,0,0,3,3,14,21,39,8,4,11,4,4,4,0,0,3,11,8,20,0,0,0,0,0,0,5,0,5,0,3,3,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,3,0,3,0,0,0,3,0,3,40,27,71,72,70,144
UCL221025,3,3,5,21,20,36,0,0,0,3,5,7,25,20,45,13,5,17,3,4,8,0,3,6,21,21,41,0,0,0,0,3,3,0,0,3,3,0,4,0,0,0,3,6,6,0,0,0,0,0,3,0,0,0,0,6,6,0,0,0,0,11,11,0,0,0,3,6,10,0,0,0,3,6,10,31,28,56,88,91,171
UCL221026,7,0,10,29,24,57,3,5,7,11,5,13,39,36,73,25,28,51,0,0,3,6,6,10,27,33,65,0,0,3,0,0,0,5,0,5,0,0,6,0,0,0,10,4,12,3,4,4,0,4,4,3,0,3,0,3,3,0,0,0,7,10,13,0,0,0,0,4,10,0,0,0,0,4,10,34,40,72,134,129,264
UCL221027,3,3,6,8,9,25,11,7,15,0,0,0,19,20,38,13,15,29,0,0,0,0,0,0,14,15,29,0,0,0,0,0,0,3,0,3,0,3,3,0,0,3,7,3,7,0,3,5,0,0,0,0,0,3,0,4,4,0,0,0,0,4,9,0,0,0,0,0,4,0,0,0,3,7,6,25,33,59,76,87,154
UCL221028,3,0,6,14,12,29,0,0,3,0,0,0,14,19,29,13,7,17,0,0,0,0,0,0,13,7,17,4,4,7,3,0,0,0,0,0,3,4,6,0,0,0,8,7,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,0,0,0,0,4,4,0,0,0,0,3,3,61,63,120,90,104,194
UCL221029,4,5,7,12,9,18,18,3,18,0,0,0,29,11,39,9,9,18,0,3,3,0,0,0,4,17,24,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,7,9,0,0,0,0,3,7,0,0,0,0,3,7,29,33,60,74,68,149
UCL221030,3,4,6,30,18,44,0,0,0,0,3,3,30,21,51,7,9,16,3,0,3,10,4,10,20,11,30,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,4,0,0,0,0,0,3,0,0,0,0,0,0,9,5,12,3,0,4,0,3,3,0,0,0,3,3,3,22,32,51,78,81,158
UCL221031,8,3,5,30,33,64,0,0,0,0,3,8,35,37,71,9,10,17,14,13,22,5,3,3,25,19,46,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,7,5,10,5,0,6,0,0,0,0,0,0,3,4,6,0,0,0,3,4,13,0,0,0,0,3,3,0,0,0,0,3,3,13,10,21,89,83,173
UCL221032,0,5,7,26,13,37,0,0,0,7,5,7,32,22,49,17,11,32,0,0,0,0,4,4,18,13,32,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,0,3,0,3,3,0,0,0,0,3,7,0,0,0,4,6,13,0,0,0,0,0,3,0,0,0,0,8,6,56,41,99,114,103,218
UCL221033,3,3,9,17,21,42,5,3,7,4,3,3,27,28,52,4,10,21,6,5,19,8,7,19,25,26,53,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,4,4,10,7,3,12,0,3,3,0,0,0,3,3,5,0,0,0,7,10,21,0,0,0,0,4,4,0,0,0,0,4,3,22,22,40,84,100,185
UCL221034,8,4,10,19,20,34,0,0,0,0,0,0,21,25,42,7,12,20,3,0,3,7,3,8,13,14,32,0,0,0,0,0,0,0,3,6,3,3,5,0,0,0,8,4,13,0,3,3,0,0,0,0,0,3,0,7,10,0,0,0,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,26,26,49,75,80,152
UCL221035,0,0,3,4,3,9,4,5,10,0,0,0,8,11,19,14,12,31,0,0,0,0,0,0,14,12,31,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,35,53,86,61,84,145
UCL221036,14,11,22,33,32,68,13,11,31,9,6,18,55,55,115,7,9,19,14,18,27,13,11,28,40,39,75,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,5,5,14,0,0,0,0,4,4,3,6,4,0,0,0,7,17,27,4,3,7,0,0,0,0,0,0,4,0,6,16,9,22,130,128,261
UCL221037,4,0,3,8,10,14,7,15,20,0,0,0,13,28,42,10,11,24,0,6,6,0,0,0,10,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,3,4,0,0,0,0,4,4,0,0,0,3,4,4,50,48,96,82,105,184
UCL221038,5,7,12,34,30,66,0,3,3,3,3,5,43,35,77,10,11,22,3,14,18,9,6,11,25,27,53,0,0,3,0,3,3,0,0,0,3,5,6,0,0,0,5,7,13,3,7,13,0,3,6,0,0,0,0,6,6,0,0,0,3,11,17,0,0,0,0,3,5,0,0,0,0,3,5,28,15,45,107,106,210
UCL221039,3,0,5,17,13,31,0,0,0,0,0,0,17,13,31,27,30,56,0,0,0,0,0,0,27,30,56,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,3,9,0,3,3,0,0,0,0,0,3,0,8,12,0,0,0,3,11,15,0,0,0,0,0,0,0,0,0,0,0,4,7,9,17,69,72,139
UCL221040,17,12,27,51,42,92,0,3,3,0,0,3,52,45,99,39,29,69,0,0,4,0,4,4,42,35,81,0,0,0,0,4,4,6,3,9,0,0,3,0,0,0,10,6,19,3,4,11,4,3,6,3,3,3,5,8,12,0,0,0,8,14,24,0,0,0,3,3,5,0,0,0,3,4,5,58,59,121,190,177,366
UCL221041,5,17,22,50,44,89,4,3,4,0,0,0,49,43,97,28,22,54,3,3,9,0,0,0,32,28,59,4,0,4,0,0,0,7,0,7,0,5,11,0,0,0,15,5,18,0,4,11,0,3,3,0,0,3,0,3,10,0,0,0,6,15,20,0,0,0,0,4,4,0,0,0,0,4,4,31,34,66,136,155,293
UCL221042,7,0,7,28,23,57,8,0,8,3,0,3,43,26,69,26,23,42,0,0,0,0,0,0,26,25,44,0,3,3,0,0,0,0,0,0,3,3,4,0,0,0,3,3,5,0,0,0,0,3,4,0,0,0,0,7,7,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,75,57,132,150,125,272
UCL221043,4,3,7,17,9,29,7,13,23,0,0,0,28,25,49,6,11,13,10,6,14,0,0,0,17,15,33,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,3,9,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,5,0,0,0,0,3,3,0,0,0,0,3,3,26,27,57,77,82,164
UCL221044,5,4,12,28,34,59,0,0,0,3,3,7,24,34,59,12,17,32,3,3,3,0,0,0,18,15,39,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,3,5,3,0,3,0,0,0,0,0,0,0,8,5,0,0,0,6,10,12,0,3,3,0,3,7,0,0,0,3,5,5,26,24,49,92,96,188
UCL221045,3,7,9,10,7,18,4,0,5,0,0,0,15,13,25,10,13,20,0,0,0,0,5,4,10,21,25,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,8,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,43,39,83,73,73,147
UCL221046,3,6,9,23,23,45,0,0,0,0,0,0,23,24,50,28,28,60,0,0,0,0,0,0,28,28,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,0,0,0,0,10,7,0,0,0,0,11,14,0,0,0,0,0,3,0,0,0,0,0,3,34,40,77,93,118,217
UCL221047,4,4,12,15,19,40,0,0,0,3,5,7,22,24,45,18,9,29,0,5,10,0,0,3,18,15,39,0,0,0,0,5,5,3,4,7,0,4,4,0,0,0,3,12,13,3,0,3,0,0,3,0,0,0,0,4,7,0,0,0,6,9,15,0,0,0,0,4,4,0,0,0,0,4,6,27,27,57,91,98,183
UCL221048,14,8,25,47,41,89,9,0,10,0,0,0,54,42,99,15,10,23,3,13,12,0,3,4,19,23,42,6,0,6,0,0,0,6,0,6,3,10,13,0,0,0,14,11,23,0,0,0,0,4,5,0,0,0,0,3,3,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,5,0,5,39,35,72,143,138,278
UCL221049,4,6,8,10,13,27,15,11,20,0,4,3,26,23,47,4,7,9,19,12,31,3,3,7,32,25,53,3,0,9,0,0,0,3,0,3,0,3,3,0,0,0,7,5,12,7,14,21,0,3,3,0,0,0,0,0,0,0,0,0,7,17,21,0,0,0,3,0,0,0,0,0,3,0,0,14,16,37,90,90,183
UCL221050,3,5,13,34,23,57,0,3,3,3,3,4,38,28,65,11,9,19,6,10,16,4,3,7,17,27,40,0,0,0,0,0,0,3,0,3,3,6,4,0,0,0,4,4,12,3,0,4,0,3,3,0,0,0,3,5,8,0,0,0,8,8,16,0,0,0,0,4,3,0,0,0,0,4,3,54,61,111,120,133,259
UCL221051,13,8,24,32,40,75,3,7,5,3,8,13,44,49,92,22,20,38,3,8,11,6,0,6,34,23,55,0,0,0,0,0,0,6,0,6,3,3,10,0,0,0,8,3,11,5,6,8,3,0,0,0,0,0,3,0,3,0,0,0,10,13,22,0,0,0,0,0,0,0,0,0,0,0,6,14,13,28,120,112,232
UCL221052,8,4,13,44,33,76,0,0,0,0,0,0,44,37,75,9,13,23,3,7,8,0,0,0,9,20,34,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,3,0,4,43,45,85,111,115,222
UCL221053,4,3,3,23,16,36,17,7,25,0,0,0,33,29,65,27,22,48,0,0,0,3,3,4,26,25,54,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,0,0,0,0,0,0,0,3,3,0,0,0,3,9,13,4,4,5,0,3,3,0,0,0,4,5,11,27,25,53,107,98,203
UCL221054,0,6,8,9,11,21,10,3,14,0,0,3,18,13,36,9,6,19,0,7,10,3,4,14,12,22,38,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,10,8,3,8,10,3,0,3,0,0,3,0,0,0,0,0,0,5,15,18,0,0,0,0,3,3,0,0,0,0,3,3,17,15,37,65,83,142
UCL221055,11,9,18,32,23,62,3,3,6,3,4,7,40,30,77,12,11,28,7,5,15,4,6,10,26,27,51,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,5,6,0,7,7,0,0,0,0,0,0,0,3,3,0,0,0,0,8,8,0,0,0,0,3,3,0,0,0,0,5,6,33,31,66,115,111,226
UCL221056,0,6,6,9,10,17,3,3,8,4,4,15,20,15,35,7,7,6,5,4,10,0,0,0,7,9,20,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,3,3,8,24,27,49,56,70,125
UCL221057,8,4,7,18,22,37,0,0,0,10,0,12,25,25,50,7,11,19,0,0,0,4,5,6,11,19,26,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,6,8,3,0,3,0,0,0,0,0,0,0,7,7,0,0,0,6,4,9,5,0,5,0,0,3,0,0,0,4,0,3,18,16,36,73,73,148
UCL221058,9,14,24,30,26,56,7,3,11,3,3,6,34,33,72,14,14,32,0,0,0,3,3,7,18,21,38,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,7,12,3,5,9,0,0,0,0,0,0,0,0,4,0,0,0,3,15,17,0,0,0,0,3,3,0,0,0,0,7,7,26,23,45,97,112,209
UCL221059,4,4,8,29,32,67,0,0,0,3,0,0,34,30,70,16,11,26,0,3,3,0,4,4,16,18,28,3,3,5,0,0,0,0,4,7,0,3,5,0,0,0,5,11,16,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,3,3,24,25,52,87,94,178
UCL221060,0,0,0,4,4,11,0,0,0,0,0,0,4,3,8,3,0,3,3,3,10,0,0,3,7,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,26,22,49,43,40,84
UCL221061,0,5,3,33,26,60,6,3,12,0,0,0,39,29,64,9,11,19,0,7,12,0,0,0,12,17,28,0,0,0,4,0,4,3,0,7,0,0,4,0,0,0,8,4,9,7,0,3,0,5,4,0,0,0,0,0,0,0,0,0,8,5,12,3,0,3,5,3,5,0,0,0,9,3,12,89,82,172,158,145,300
UCL221062,6,9,14,12,4,15,14,20,34,0,0,0,27,26,52,20,19,35,0,3,3,0,0,0,20,22,40,0,0,0,0,3,3,6,0,4,0,4,4,0,0,0,6,3,6,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,11,9,0,0,0,0,4,4,0,0,0,3,4,3,46,46,89,101,116,222
