UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL215012,0,0,0,7,0,0,0,0,0,0,0,3,0,6,24,35,0,0,0,0,0,0,0,0,0,4,0,8,40,31,0,54,0,29,3,38,6,133,29,367
UCL215013,0,3,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,60,0,0,30,4,17,0,4,3,20,7,137
UCL215014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,29,0,14,0,8,0,31,0,123
UCL215015,0,4,0,12,0,0,0,3,0,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,0,9,0,11,39,23,4,27,4,8,0,25,6,154,25,314
UCL215016,0,0,0,3,0,0,0,0,0,3,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,7,9,14,65,8,3,48,3,52,8,29,4,126,19,369
UCL215017,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,15,0,0,0,0,0,0,0,0,0,3,0,4,30,9,0,28,4,16,0,10,3,73,13,190
UCL215018,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,16,0,0,0,0,0,0,0,0,0,7,7,10,40,21,8,55,3,34,3,28,4,159,13,359
UCL215019,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,3,0,3,18,10,0,31,4,9,4,9,8,66,17,179
UCL215020,0,0,0,4,0,0,0,0,0,0,0,0,0,3,10,16,0,0,0,0,0,0,0,0,0,3,3,9,16,8,0,18,3,12,0,21,8,75,14,182
UCL215021,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,3,3,10,28,3,4,18,3,20,3,9,0,51,10,142
UCL215022,0,0,0,6,0,0,0,0,0,3,0,0,0,6,23,36,0,0,0,0,0,0,0,0,0,3,0,7,60,16,0,57,9,48,3,44,13,191,28,473
UCL215023,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,4,11,20,7,3,17,0,11,0,13,0,84,6,171
UCL215024,0,0,0,7,0,0,0,0,0,0,0,0,0,3,6,16,0,0,0,0,0,0,0,0,0,3,3,10,22,17,0,32,3,16,0,19,8,141,19,275
UCL215025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,4,3,7,15,8,0,10,0,6,0,8,4,59,9,134
UCL215026,0,3,0,8,0,3,0,0,0,0,0,4,0,6,34,48,0,0,0,0,0,0,0,0,0,7,6,18,57,32,8,58,8,39,5,61,10,368,50,698
UCL215027,0,0,0,8,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,0,0,0,0,0,0,3,0,9,40,7,3,39,3,24,3,22,7,145,13,297
UCL215028,0,3,0,20,0,0,0,0,0,0,0,0,0,3,24,29,0,0,0,0,0,0,0,0,0,3,4,7,59,32,0,60,3,32,5,51,10,139,33,421
UCL215029,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,3,0,7,67,7,3,30,3,16,0,14,0,43,6,203
UCL215030,0,0,0,5,0,0,0,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,0,3,0,3,16,3,0,18,3,14,5,9,3,99,13,181
UCL215031,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,14,0,0,0,0,0,0,0,0,0,3,0,8,25,3,3,24,4,16,3,15,5,86,14,188
UCL215032,0,0,0,3,0,0,0,0,0,0,0,0,0,3,16,23,0,3,0,0,0,0,0,0,0,5,3,14,34,19,3,41,8,26,8,39,8,161,24,363
UCL215033,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,104,8,7,32,3,30,0,11,0,29,9,224
UCL215034,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,3,0,7,5,7,0,22,0,7,0,16,4,80,5,149
UCL215035,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,0,0,6,3,6,15,5,0,20,0,8,0,9,0,55,8,121
UCL215036,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,18,4,0,16,0,12,0,4,3,33,7,100
UCL215037,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,0,0,0,4,0,0,0,0,0,11,5,15,32,10,0,11,7,15,3,18,5,128,18,242
UCL215038,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,3,0,4,19,4,0,26,0,15,0,13,5,74,5,162
UCL215039,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,3,7,9,25,8,0,20,0,19,3,15,0,57,9,156
UCL215040,0,0,0,7,0,0,0,0,0,3,0,0,0,8,14,20,0,0,0,0,0,0,0,0,0,5,9,12,54,33,3,53,3,35,4,33,0,176,24,415
UCL215041,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,4,0,3,34,3,3,29,9,18,3,13,4,61,12,183
UCL215042,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,4,0,6,24,9,0,23,3,22,3,12,0,56,13,173
UCL215043,0,0,0,10,0,0,0,0,0,0,0,4,0,3,14,21,0,0,3,0,0,0,0,3,0,3,7,15,51,17,8,58,4,28,3,35,4,178,20,395
UCL215044,0,3,0,18,0,0,0,0,0,0,0,0,0,5,13,27,0,0,0,0,0,0,0,0,0,3,3,13,77,26,11,69,7,36,3,30,3,203,25,497
UCL215045,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,28,0,22,3,5,0,48,6,152
UCL215046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,35,8,0,12,3,3,0,13,0,37,11,118
UCL215047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,4,27,7,0,28,3,12,0,12,0,44,3,141
UCL215048,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,3,0,0,0,5,16,13,0,22,0,9,0,17,5,47,9,129
UCL215049,0,0,0,40,0,0,0,3,0,0,0,0,0,0,17,22,0,0,0,0,0,0,0,0,0,0,0,3,61,18,3,37,7,40,8,36,0,106,24,333
UCL215050,0,0,0,8,0,0,0,3,0,0,0,0,0,7,26,38,0,0,0,0,0,0,0,0,0,6,4,15,64,27,7,61,8,40,0,31,12,196,31,484
UCL215051,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,19,3,17,0,34,3,98,12,212
UCL215052,0,3,0,10,0,0,0,0,0,0,0,0,0,3,15,24,3,0,0,0,0,3,0,0,0,4,0,11,62,20,5,53,4,22,3,23,3,123,18,330
UCL215053,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,4,5,30,14,0,15,0,18,3,14,4,92,19,206
UCL215054,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,21,11,0,14,3,17,0,13,6,36,5,124
UCL215055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,3,0,10,30,4,0,19,9,17,0,8,6,70,11,169
UCL215056,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,15,0,0,0,0,0,0,0,0,0,0,3,3,19,9,0,13,0,11,0,9,0,70,12,139
UCL215057,0,3,0,8,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,3,0,5,25,7,0,23,3,16,3,20,3,101,17,226
UCL215058,0,0,0,7,0,0,0,0,0,0,0,0,0,4,8,11,0,0,0,0,0,0,0,0,0,8,3,11,45,9,5,47,3,22,0,24,9,141,13,323
UCL215059,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,21,0,0,0,0,0,0,0,0,0,3,4,10,43,7,0,24,3,14,3,23,4,95,19,245
UCL215060,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,4,0,6,19,13,3,30,4,7,0,3,4,81,3,169
UCL215061,0,0,0,8,0,0,0,0,0,0,0,0,0,6,11,20,0,0,0,0,0,0,0,0,0,3,3,7,48,8,4,21,0,15,4,12,3,109,20,239
UCL215062,0,3,0,3,0,0,0,0,0,0,0,0,0,3,20,25,0,0,0,0,0,0,0,0,0,7,3,16,71,20,7,46,4,26,0,33,4,204,25,443
UCL215063,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,6,3,11,12,13,0,19,3,7,3,19,4,119,23,228
UCL215064,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,4,22,3,0,18,0,8,0,5,0,47,8,127
UCL215065,0,5,0,16,0,0,0,0,0,0,0,0,0,4,39,45,0,0,0,0,0,0,0,0,0,8,7,20,41,15,8,43,0,30,0,49,6,348,46,591
UCL215066,0,12,0,35,0,0,0,0,0,0,0,0,0,8,29,37,0,0,0,0,0,0,0,0,0,5,3,6,53,30,0,38,5,18,3,55,10,344,32,596
UCL215067,0,7,0,15,3,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0,8,0,12,56,26,12,42,10,25,6,34,8,178,14,409
UCL215068,0,0,0,3,0,0,0,0,0,3,0,0,0,3,11,21,0,0,0,0,0,0,0,0,0,10,3,12,48,13,0,27,8,22,3,15,0,124,20,284
UCL215069,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,22,0,0,0,0,0,0,0,0,0,0,4,8,53,14,7,44,8,30,3,25,3,90,15,300
UCL215070,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,17,0,0,0,0,0,0,0,0,0,5,3,7,20,9,3,22,0,25,3,16,3,58,12,179
UCL215071,0,0,0,4,0,0,0,0,0,0,0,0,0,4,15,18,0,0,0,0,0,0,0,0,0,9,3,13,44,17,3,32,0,35,3,19,7,176,24,357
UCL215072,0,0,0,13,0,0,0,0,0,0,0,0,0,4,20,23,0,0,0,0,0,0,0,0,0,6,0,9,68,18,3,54,5,58,4,28,6,108,25,374
UCL215073,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6,15,0,0,0,0,0,0,0,0,0,3,0,4,31,3,5,22,0,9,0,10,0,65,11,155
UCL215074,0,0,0,8,0,0,0,0,0,0,0,0,3,0,9,16,0,0,0,0,0,0,0,0,0,0,0,3,45,13,0,28,5,24,3,20,4,89,12,256
UCL215075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,4,25,17,0,30,0,9,0,10,0,72,9,173
UCL215076,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,3,50,9,0,27,3,8,4,10,0,35,9,158
UCL215077,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,0,0,0,0,0,0,0,0,0,9,3,12,30,12,5,30,6,22,0,14,10,115,12,256
UCL215078,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,18,0,0,0,0,0,0,0,0,0,8,0,12,34,13,0,21,5,27,0,16,0,87,14,218
