SA3_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
21301,52053,53728,105778,3671,3609,7280,467,466,929,14690,14274,28962,337,334,674,184,140,321,143,132,273,77,85,168,73,62,132,46,50,92,7,6,9,16016,15548,31569,8174,7483,15657,429,363,799,28297,27001,55299,6252,5968,12213,86603,86701,173300
21302,22224,23465,45690,2420,2591,5010,380,427,811,7620,7852,15475,311,342,650,128,141,266,173,188,360,68,88,160,34,38,64,50,56,106,0,0,0,8754,9124,17882,2135,2271,4409,207,222,433,13516,14217,27732,2388,2486,4873,38129,40165,78292
21303,17366,18074,35443,1685,1689,3379,587,579,1168,9420,9009,18431,440,454,895,198,200,397,242,211,450,96,95,187,45,58,107,131,125,257,4,3,4,11164,10735,21902,4851,4478,9333,301,233,533,18006,17135,35137,3095,2935,6032,38465,38150,76608
21304,38073,38796,76873,4254,4675,8930,665,686,1357,16867,17857,34717,417,417,839,248,248,498,207,210,417,127,132,256,60,70,132,56,64,118,3,3,5,18652,19685,38339,2726,3161,5886,306,287,598,25939,27814,53756,5172,4927,10096,69179,71544,140721
21305,47220,47603,94825,4968,5153,10123,1518,1506,3020,26208,25575,51779,975,978,1956,476,435,912,423,428,852,231,236,464,138,144,282,189,197,383,3,0,3,30152,29496,59642,10312,11540,21849,506,441,946,45935,46625,92558,6933,5847,12782,100085,100074,200161
21401,33792,35205,68996,3858,4246,8106,398,454,852,15357,16516,31870,408,447,857,98,95,194,144,155,300,75,107,179,45,44,95,32,51,78,0,0,0,16561,17866,34424,1743,2042,3777,385,357,745,22542,24506,47056,4395,4687,9074,60732,64395,125128
21402,39316,41612,80930,6598,7361,13956,807,727,1539,16120,17851,33975,744,686,1428,139,124,261,287,267,553,96,117,214,120,106,232,76,80,152,0,0,3,18395,19959,38357,1418,1606,3022,352,403,754,26764,29325,56090,4652,5316,9972,70729,76257,146991
21501,17184,17102,34280,3502,3907,7407,184,179,358,3095,3343,6439,218,213,435,265,296,565,118,111,233,28,29,62,70,71,134,7,13,22,0,0,0,3981,4262,8244,302,392,689,108,99,211,7882,8662,16542,2772,2159,4932,27838,27921,55756
21502,13501,13831,27330,2093,2377,4471,675,764,1436,4179,4520,8699,223,249,471,458,508,966,129,116,246,31,26,61,78,87,172,5,10,20,0,0,0,5785,6287,12068,702,618,1316,172,167,340,8746,9451,18198,2532,2453,4981,24779,25730,50512
21503,10672,10491,21162,1947,2041,3990,297,302,598,1857,1994,3850,160,170,325,69,66,134,56,75,130,10,8,21,42,31,80,3,3,9,0,0,0,2498,2651,5152,370,336,707,83,56,137,4903,5088,9986,2081,2011,4096,17656,17592,35248
