SA2_MAINCODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
209031210,..,7,3,0,3,4,3,0,0,16,..,3,4,7,10,30,25,23,10,113,4,4,4,3,0,0,5,0,0,25,335,205,145,266,264,253,138,40,15,1660,..,8,101,281,325,354,173,47,0,1291,..,13,70,108,66,43,10,3,0,311,..,0,8,31,53,27,15,3,0,143,679,..,..,..,..,..,..,..,..,679,..,247,..,..,..,..,..,..,..,247,..,148,85,27,9,0,0,0,0,265,..,8,5,3,3,9,7,3,4,35,..,12,6,3,5,3,4,0,0,28,..,8,3,3,7,11,4,0,0,26,..,4,8,20,28,47,45,25,10,198,9,3,11,8,3,9,9,0,0,44,683,443,303,481,495,500,265,80,18,3276
209031211,..,4,3,0,0,3,0,0,0,16,..,0,10,10,17,30,17,12,3,101,7,17,8,3,13,8,3,0,0,61,337,194,175,258,300,247,129,30,7,1677,..,4,124,272,380,321,188,33,5,1319,..,16,91,133,110,60,15,0,0,418,..,0,13,21,47,20,7,3,3,119,695,..,..,..,..,..,..,..,..,695,..,188,..,..,..,..,..,..,..,188,..,148,68,20,8,4,0,0,0,254,..,6,3,3,3,11,12,5,3,52,..,5,0,3,0,4,0,0,0,14,..,3,13,5,7,11,3,0,0,46,..,5,18,48,56,75,38,31,4,267,16,27,16,10,21,14,4,0,0,106,710,405,340,509,631,512,263,77,19,3466
209031212,..,3,8,0,5,15,5,0,0,36,..,11,6,3,15,23,25,16,8,108,3,14,3,3,8,6,3,5,0,45,407,307,169,272,417,397,222,75,37,2301,..,0,82,333,537,546,360,114,24,2002,..,13,54,96,115,84,20,0,0,387,..,0,9,22,64,32,11,5,4,152,830,..,..,..,..,..,..,..,..,830,..,352,..,..,..,..,..,..,..,352,..,217,126,25,12,8,0,0,0,392,..,7,5,3,4,8,10,10,15,63,..,9,19,6,10,7,5,0,0,55,..,3,14,3,10,15,5,0,0,59,..,19,20,29,47,57,49,32,13,255,6,31,14,10,12,12,6,5,3,100,834,651,345,525,812,768,479,172,60,4644
209031213,..,4,8,6,3,4,0,0,0,29,..,10,7,8,14,30,39,37,12,170,3,7,10,4,5,7,4,6,3,50,861,620,451,602,749,620,353,137,36,4422,..,4,352,895,1187,958,579,177,24,4175,..,21,131,97,94,69,20,4,0,440,..,3,14,43,73,50,19,13,4,218,1759,..,..,..,..,..,..,..,..,1759,..,727,..,..,..,..,..,..,..,727,..,418,308,59,26,7,0,0,0,814,..,43,25,4,13,18,24,16,9,166,..,5,11,0,3,5,0,0,0,28,..,8,24,9,14,12,4,4,0,69,..,19,30,27,49,66,72,55,20,336,13,21,21,12,11,18,13,3,4,111,1770,1275,913,1148,1473,1196,729,276,68,8853
209031214,..,9,5,3,8,4,3,0,0,30,..,8,11,6,14,30,39,14,10,134,3,14,3,5,4,4,7,7,0,47,637,434,224,411,571,425,269,80,33,3092,..,3,169,564,809,650,419,117,16,2745,..,16,85,141,130,86,24,0,0,492,..,0,5,22,65,42,14,10,7,166,1282,..,..,..,..,..,..,..,..,1282,..,553,..,..,..,..,..,..,..,553,..,248,133,31,17,9,0,0,0,429,..,16,15,5,7,12,9,4,14,78,..,13,7,4,4,4,0,0,0,37,..,15,13,9,11,9,5,0,0,57,..,14,22,13,38,66,68,23,20,261,3,25,7,9,7,13,10,5,0,77,1282,903,449,798,1084,888,551,162,59,6179
209031215,..,11,15,8,7,12,11,0,0,51,..,6,22,25,41,74,93,57,32,345,16,17,24,9,6,10,10,3,5,104,1259,951,735,906,1160,838,459,165,71,6538,..,17,495,1259,1580,1275,633,190,31,5470,..,43,309,212,180,99,34,4,0,880,..,3,27,100,207,123,34,11,10,525,2568,..,..,..,..,..,..,..,..,2568,..,1108,..,..,..,..,..,..,..,1108,..,705,430,55,34,11,3,0,0,1244,..,42,28,5,18,14,19,16,16,153,..,31,23,11,12,4,3,0,0,81,..,17,23,23,15,19,16,0,0,112,..,15,46,59,96,122,133,77,46,587,32,48,45,22,17,26,21,10,6,222,2594,2019,1429,1739,2145,1697,889,307,101,12944
209041216,..,218,64,8,10,0,0,3,0,308,..,67,56,23,10,18,24,69,36,310,0,31,14,9,7,3,3,4,0,73,601,720,644,478,448,304,168,174,62,3595,..,23,508,696,652,475,256,146,42,2792,..,67,134,37,53,25,6,3,0,320,..,4,14,34,81,31,13,9,0,183,1221,..,..,..,..,..,..,..,..,1221,..,419,..,..,..,..,..,..,..,419,..,174,222,34,21,3,0,0,0,452,..,57,46,8,12,23,14,19,11,190,..,75,51,0,3,0,3,0,0,133,..,421,174,21,18,9,3,3,0,639,..,106,100,48,35,39,40,79,52,500,13,47,27,15,6,4,6,9,0,125,1232,1392,1272,898,870,612,334,267,108,6984
209041217,..,99,48,5,6,20,0,0,0,178,..,9,26,24,29,57,74,60,23,306,3,21,14,0,7,12,6,10,3,74,346,398,464,335,326,416,360,192,60,2894,..,15,337,409,345,496,467,238,32,2332,..,24,113,58,40,20,9,3,0,262,..,6,13,44,64,50,36,21,17,259,742,..,..,..,..,..,..,..,..,742,..,253,..,..,..,..,..,..,..,253,..,171,201,67,43,18,8,0,0,508,..,49,41,7,16,26,15,18,14,188,..,67,54,5,3,0,3,0,0,138,..,263,142,24,19,27,12,7,0,490,..,21,54,60,76,89,117,90,38,539,3,27,27,5,10,14,16,16,3,121,745,895,980,686,616,746,679,392,99,5836
209041219,..,29,42,18,17,24,11,3,0,136,..,21,57,46,68,121,152,223,85,764,30,35,45,28,16,20,23,30,10,238,1960,1286,1730,1474,1201,1159,1064,790,206,10857,..,126,1708,1799,1408,1410,1477,903,141,8970,..,59,257,181,142,63,16,10,4,727,..,22,107,268,310,189,115,120,41,1175,3932,..,..,..,..,..,..,..,..,3932,..,1220,..,..,..,..,..,..,..,1220,..,744,709,337,247,76,7,0,0,2120,..,184,173,66,75,88,96,81,38,800,..,91,125,53,50,19,5,3,0,347,..,96,174,68,59,43,23,9,0,471,..,30,153,145,198,225,243,286,114,1402,63,64,95,71,36,29,45,40,15,467,3998,2639,3510,2986,2523,2150,2029,1456,357,21640
209041220,..,10,26,13,16,15,10,3,0,91,..,18,59,41,79,111,120,81,23,535,12,28,19,15,20,33,14,9,3,153,1426,1270,1142,1110,1528,1197,567,271,72,8588,..,38,875,1424,2128,1727,774,306,32,7305,..,53,279,155,146,99,24,0,0,756,..,7,82,151,208,160,56,35,14,715,2887,..,..,..,..,..,..,..,..,2887,..,1349,..,..,..,..,..,..,..,1349,..,893,736,163,64,27,0,0,0,1883,..,96,77,35,34,47,50,43,31,417,..,49,46,11,19,4,4,0,0,143,..,57,82,34,34,33,26,6,3,270,..,43,123,112,170,179,165,107,26,926,33,58,62,27,34,40,29,13,3,310,2925,2649,2361,2110,2837,2329,1118,522,112,16966
209041221,..,32,43,9,14,16,0,3,0,114,..,4,20,20,42,78,84,46,18,324,16,27,20,13,13,11,12,6,0,122,947,825,897,672,878,830,454,209,47,5761,..,25,674,826,1098,1163,638,213,31,4664,..,43,214,124,98,60,15,3,0,560,..,15,63,115,177,117,49,38,11,579,1941,..,..,..,..,..,..,..,..,1941,..,776,..,..,..,..,..,..,..,776,..,510,524,119,57,29,3,0,0,1235,..,84,75,23,20,41,37,34,16,330,..,42,60,13,12,9,0,0,3,139,..,102,88,29,25,31,11,3,0,290,..,6,71,58,94,152,114,66,31,585,31,53,35,26,21,18,22,11,5,217,1970,1644,1801,1331,1604,1628,881,367,85,11314
209041223,..,25,37,15,24,17,11,0,3,131,..,11,61,50,55,104,170,199,89,745,13,28,29,24,26,21,16,17,3,169,1597,1106,1503,1162,1145,1208,1111,708,180,9711,..,120,1328,1293,1268,1557,1572,845,107,8096,..,54,235,159,111,46,14,6,3,623,..,17,111,233,283,182,134,111,45,1119,3180,..,..,..,..,..,..,..,..,3180,..,1010,..,..,..,..,..,..,..,1010,..,681,776,356,245,60,7,0,0,2121,..,186,171,62,61,84,76,69,36,754,..,105,129,33,23,18,7,7,0,323,..,92,175,56,45,41,20,0,3,434,..,30,141,167,168,214,257,292,141,1405,38,56,72,46,53,34,29,31,14,366,3220,2352,3145,2409,2254,2238,2119,1357,344,19425
209041224,..,6,14,6,14,18,20,4,0,79,..,3,39,25,55,73,73,30,12,315,32,35,22,6,14,11,16,3,8,142,1723,932,1175,1107,1056,784,461,132,49,7414,..,30,1039,1362,1373,1070,636,149,19,5679,..,122,535,329,266,128,29,7,0,1420,..,32,119,161,196,77,37,20,14,662,3528,..,..,..,..,..,..,..,..,3528,..,863,..,..,..,..,..,..,..,863,..,647,299,87,43,14,3,0,0,1095,..,54,53,17,14,50,49,29,18,286,..,57,39,24,15,20,6,0,0,154,..,24,32,13,35,52,28,9,0,187,..,22,117,109,158,169,128,44,21,769,48,66,59,28,29,25,21,8,8,289,3567,1907,2294,2130,2133,1612,930,270,75,14925
209041225,..,9,9,7,11,12,8,4,0,59,..,7,16,27,33,63,70,75,32,326,7,11,12,3,5,3,10,0,0,59,678,455,400,524,548,480,369,175,59,3687,..,4,312,632,690,630,495,195,24,2977,..,42,172,127,129,64,11,4,0,550,..,0,30,71,108,46,31,14,16,316,1502,..,..,..,..,..,..,..,..,1502,..,443,..,..,..,..,..,..,..,443,..,360,172,60,44,17,3,0,0,648,..,19,13,5,10,10,21,19,9,113,..,22,11,6,6,3,3,3,0,56,..,24,20,14,22,23,13,8,0,115,..,13,34,57,78,109,130,99,47,572,7,33,27,13,19,8,17,9,4,137,1511,956,791,996,1100,911,721,351,91,7425
209041430,..,23,34,10,11,12,7,0,0,106,..,20,73,69,61,101,96,25,11,442,32,35,43,18,13,11,13,3,0,159,2897,1124,1880,1879,1165,767,501,107,32,10341,..,56,1932,2562,1513,901,677,137,20,7792,..,128,716,444,221,116,23,4,0,1645,..,21,151,284,277,120,31,11,3,901,5861,..,..,..,..,..,..,..,..,5861,..,1041,..,..,..,..,..,..,..,1041,..,612,277,79,21,13,0,0,0,998,..,62,58,35,19,54,44,23,12,303,..,42,39,27,12,8,5,0,0,132,..,51,86,27,37,26,14,0,3,236,..,31,159,168,169,148,126,32,11,845,63,61,79,30,25,15,24,3,6,298,5924,2103,3488,3660,2282,1391,934,213,50,20050
209041431,..,11,25,10,5,15,5,0,0,68,..,14,36,36,50,71,81,74,28,379,12,14,14,7,8,13,6,3,0,69,1260,859,983,880,879,724,363,205,59,6207,..,57,909,1171,1150,975,483,232,39,5017,..,56,180,147,121,67,7,10,0,582,..,16,66,140,170,105,45,21,7,579,2551,..,..,..,..,..,..,..,..,2551,..,813,..,..,..,..,..,..,..,813,..,582,458,120,46,15,3,0,0,1220,..,101,86,25,29,52,33,21,12,359,..,35,68,21,16,7,3,0,0,156,..,32,79,28,22,24,18,0,0,205,..,21,91,101,115,124,105,96,38,694,17,29,41,19,25,19,12,4,3,156,2566,1741,1963,1767,1697,1395,714,387,99,12335
209041432,..,13,10,16,10,7,3,0,0,62,..,4,23,36,29,70,66,30,18,277,3,19,9,3,11,4,8,5,3,74,679,463,699,510,537,507,367,120,38,3923,..,42,639,613,602,599,496,141,24,3156,..,32,119,82,57,39,18,3,0,351,..,16,61,86,138,105,51,11,8,467,1400,..,..,..,..,..,..,..,..,1400,..,416,..,..,..,..,..,..,..,416,..,316,284,102,33,12,0,0,0,748,..,76,56,16,34,32,29,20,10,258,..,39,49,21,13,7,3,0,0,128,..,36,51,42,29,19,3,3,0,185,..,8,64,82,75,131,105,54,26,552,14,34,33,9,22,10,12,10,4,147,1415,1022,1357,1046,998,947,708,245,72,7806
209041433,..,25,20,3,8,14,0,0,0,68,..,13,33,49,24,29,24,8,0,184,14,13,15,16,6,3,6,0,0,76,1352,591,1183,965,550,324,143,65,10,5183,..,61,1393,1481,767,437,181,54,6,4385,..,22,159,126,51,24,8,0,0,388,..,11,81,124,106,47,22,8,8,398,2890,..,..,..,..,..,..,..,..,2890,..,552,..,..,..,..,..,..,..,552,..,303,228,43,17,8,0,0,0,596,..,92,95,27,36,36,32,23,7,342,..,26,52,12,11,6,0,0,0,104,..,62,71,24,13,18,4,0,0,193,..,23,91,115,58,55,33,11,0,386,22,27,37,37,13,9,10,0,0,153,2909,1167,2212,1984,1070,632,286,103,13,10389
209041434,..,18,42,18,9,12,3,0,0,107,..,20,70,65,60,83,57,27,6,392,27,16,21,13,9,4,11,3,0,108,2077,823,1845,1352,821,560,330,117,23,7951,..,71,1951,1828,930,650,408,118,17,5970,..,163,592,336,143,60,27,0,0,1318,..,36,159,215,215,98,37,15,3,773,4172,..,..,..,..,..,..,..,..,4172,..,666,..,..,..,..,..,..,..,666,..,461,279,55,33,3,0,0,0,840,..,72,113,29,43,49,42,35,11,389,..,62,43,20,18,10,0,3,0,147,..,55,81,39,28,23,12,0,0,238,..,41,169,160,131,127,76,35,4,743,39,30,53,26,26,17,15,6,0,219,4210,1657,3437,2703,1566,1041,612,208,40,15475
209041435,..,5,13,5,7,4,3,0,0,43,..,3,39,34,28,34,33,10,3,186,11,10,13,9,5,6,5,0,0,75,1536,732,949,1161,788,418,223,71,12,5882,..,27,1001,1792,1162,588,289,77,5,4945,..,47,200,156,115,41,21,0,0,585,..,3,58,112,159,64,19,9,3,425,3078,..,..,..,..,..,..,..,..,3078,..,790,..,..,..,..,..,..,..,790,..,465,278,52,13,5,0,0,0,818,..,61,55,22,16,43,36,28,10,274,..,15,25,14,6,3,0,0,0,73,..,22,34,14,8,13,5,0,0,92,..,9,83,82,60,61,50,11,3,366,36,26,32,26,9,9,13,3,3,153,3110,1475,1769,2259,1557,828,428,139,24,11596
209041436,..,15,17,14,8,9,7,3,0,70,..,7,24,37,42,78,102,76,18,389,16,13,18,3,6,13,11,7,5,92,1143,747,803,947,869,570,382,199,45,5702,..,20,785,1260,1169,707,475,188,27,4628,..,47,188,166,104,49,14,4,0,576,..,3,56,132,192,85,28,7,12,511,2446,..,..,..,..,..,..,..,..,2446,..,760,..,..,..,..,..,..,..,760,..,548,295,72,26,10,0,0,0,952,..,82,62,20,29,40,26,30,7,291,..,29,22,18,4,7,3,3,0,91,..,26,43,22,21,17,12,3,0,150,..,21,62,86,97,116,128,93,26,633,36,27,45,22,16,18,9,12,5,191,2477,1566,1561,1791,1662,1049,698,348,78,11221
209041437,..,23,22,0,5,0,3,0,0,51,..,5,38,34,19,16,21,9,0,138,8,7,12,7,4,5,5,0,0,48,1151,445,1235,666,341,267,127,41,12,4284,..,75,1624,1142,450,336,175,52,5,3848,..,37,206,94,57,22,4,0,0,428,..,15,56,75,73,37,10,3,3,272,2339,..,..,..,..,..,..,..,..,2339,..,324,..,..,..,..,..,..,..,324,..,219,137,33,11,3,0,0,0,406,..,77,79,17,21,49,33,9,6,299,..,26,41,13,5,3,0,0,0,89,..,47,62,5,5,6,7,0,0,133,..,9,91,66,40,42,38,9,0,293,13,16,25,21,4,3,7,3,0,91,2355,854,2325,1466,668,490,264,82,15,8523
210011226,..,15,38,11,7,13,0,3,0,82,..,6,52,56,66,75,99,112,47,507,10,10,16,11,12,3,5,13,10,92,556,312,581,551,457,408,371,323,128,3685,..,12,425,608,464,407,402,313,89,2716,..,37,246,125,70,42,11,3,0,526,..,3,14,63,117,66,41,37,40,378,1109,..,..,..,..,..,..,..,..,1109,..,292,..,..,..,..,..,..,..,292,..,202,198,72,75,50,9,0,0,597,..,43,41,21,17,26,28,19,12,212,..,17,19,6,5,4,3,0,0,50,..,32,86,22,26,31,8,8,0,215,..,16,95,102,132,138,152,144,66,852,15,18,38,17,21,16,9,19,15,169,1120,665,1170,1027,912,769,655,551,229,7108
210011227,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,..,3,7,7,3,5,7,3,0,33,..,4,21,16,28,39,88,90,75,362,6,15,15,6,7,5,9,5,3,81,652,454,379,519,580,538,566,258,123,4069,..,6,252,700,763,738,806,321,81,3661,..,18,124,87,71,52,22,5,0,381,..,0,26,66,104,68,38,30,12,340,1363,..,..,..,..,..,..,..,..,1363,..,562,..,..,..,..,..,..,..,562,..,306,232,79,57,17,3,0,0,696,..,36,27,9,14,14,21,24,6,160,..,11,7,6,9,8,0,0,0,44,..,5,23,10,6,9,10,3,0,68,..,19,45,46,74,71,130,122,102,606,15,23,31,23,19,15,23,11,3,162,1374,993,762,1024,1124,995,1053,511,207,8041
210011229,..,35,51,16,21,21,19,9,3,176,..,16,49,77,93,147,272,329,136,1123,31,19,31,29,27,18,35,35,12,238,2038,1209,1495,1688,1693,1435,1632,1091,274,12560,..,32,1144,2179,2055,1831,2184,1326,183,10931,..,56,425,254,201,89,40,10,0,1081,..,10,65,184,348,200,125,156,48,1140,4088,..,..,..,..,..,..,..,..,4088,..,1441,..,..,..,..,..,..,..,1441,..,731,813,330,267,84,8,0,0,2231,..,122,109,51,57,85,80,76,60,636,..,48,54,32,23,12,5,0,0,178,..,111,133,59,46,41,31,18,4,445,..,30,128,179,224,243,373,431,196,1807,57,53,72,63,49,33,53,50,18,457,4153,2637,2942,3327,3274,2617,2906,2069,517,24442
210011230,..,18,19,9,8,3,0,4,0,59,..,3,34,26,54,63,66,81,76,407,8,11,14,6,5,10,6,6,0,63,616,393,434,516,547,363,245,215,131,3452,..,5,312,627,677,426,279,186,68,2576,..,26,156,120,95,45,6,6,0,454,..,0,18,59,102,49,21,25,21,302,1260,..,..,..,..,..,..,..,..,1260,..,489,..,..,..,..,..,..,..,489,..,192,149,38,47,23,4,0,0,448,..,22,25,12,13,23,21,9,17,150,..,19,21,8,3,3,0,0,0,50,..,26,53,21,11,7,4,5,0,133,..,9,60,73,101,99,102,102,97,643,19,17,21,24,16,10,6,6,0,121,1278,808,831,986,1062,680,441,346,207,6632
210011231,..,14,15,8,0,12,10,0,0,50,..,5,16,16,30,65,72,73,62,349,10,16,10,7,4,11,3,5,3,69,818,596,403,664,697,589,362,223,132,4484,..,3,280,921,1013,863,499,262,88,3923,..,20,116,102,95,45,13,7,0,403,..,3,3,50,103,57,32,20,24,292,1759,..,..,..,..,..,..,..,..,1759,..,735,..,..,..,..,..,..,..,735,..,321,262,53,45,28,4,0,0,704,..,56,34,17,18,14,8,9,15,165,..,24,20,5,3,3,0,0,0,60,..,30,59,6,10,23,18,4,0,140,..,18,43,44,67,114,103,97,94,585,23,27,20,18,20,12,3,5,3,133,1774,1227,837,1224,1369,1158,671,408,221,8891
210021232,..,3,20,3,8,0,3,0,0,40,..,5,19,29,42,88,119,59,34,402,15,31,12,3,7,9,12,5,4,97,1319,684,587,938,933,703,577,189,68,5996,..,11,536,1322,1276,1003,804,252,33,5231,..,50,244,205,188,109,25,7,0,824,..,3,25,75,160,64,31,13,13,383,2763,..,..,..,..,..,..,..,..,2763,..,796,..,..,..,..,..,..,..,796,..,428,180,54,17,17,3,0,0,695,..,38,16,0,5,14,20,17,12,126,..,22,17,3,6,0,0,0,0,52,..,11,33,4,9,9,7,6,0,84,..,22,41,65,114,145,178,86,48,704,21,43,25,11,20,15,27,11,5,176,2782,1427,1123,1740,1792,1379,1100,390,116,11841
210021233,..,0,3,0,3,3,3,0,0,12,..,0,0,6,21,31,32,14,3,109,3,6,0,0,0,7,8,0,0,22,295,134,114,211,246,246,175,58,14,1493,..,0,87,281,331,344,270,87,10,1411,..,8,43,75,69,41,12,0,0,255,..,0,3,13,31,15,10,3,0,77,664,..,..,..,..,..,..,..,..,664,..,186,..,..,..,..,..,..,..,186,..,70,53,14,11,0,0,0,0,146,..,5,0,0,0,3,10,4,3,25,..,9,8,0,0,0,0,0,0,16,..,0,8,4,5,10,9,3,0,40,..,5,6,12,37,55,56,19,10,204,3,10,3,4,4,6,10,0,0,42,668,293,203,411,484,479,375,122,27,3058
210021234,..,0,7,4,5,9,3,0,0,21,..,3,8,17,12,26,41,14,8,120,6,7,4,4,0,3,3,0,0,32,389,241,186,256,355,268,162,58,22,1932,..,4,149,326,468,392,257,70,20,1681,..,10,54,66,86,39,9,0,0,263,..,0,8,26,44,16,7,3,10,114,776,..,..,..,..,..,..,..,..,776,..,253,..,..,..,..,..,..,..,253,..,150,84,15,9,9,6,0,0,273,..,5,0,0,7,11,5,6,4,44,..,11,4,3,3,3,0,0,0,24,..,4,7,6,5,14,7,0,3,47,..,7,13,19,30,46,65,22,12,216,6,20,17,4,0,8,4,0,0,67,791,469,333,471,654,535,358,111,45,3755
210021235,..,6,7,3,10,13,16,0,0,48,..,6,16,16,39,67,78,42,12,275,13,24,10,8,6,12,5,0,0,77,880,461,397,602,685,621,411,149,41,4255,..,6,299,715,907,844,569,194,39,3568,..,47,203,190,185,94,35,4,0,762,..,6,31,68,92,43,29,17,11,300,1737,..,..,..,..,..,..,..,..,1737,..,476,..,..,..,..,..,..,..,476,..,347,157,49,24,16,3,0,0,594,..,21,3,3,11,31,21,16,10,111,..,21,19,16,17,8,3,0,0,89,..,12,14,7,30,32,30,5,0,127,..,9,37,45,101,150,142,76,24,582,21,43,27,22,10,26,11,0,0,168,1756,985,793,1120,1375,1237,842,319,87,8512
210031236,..,63,71,17,11,11,6,0,0,177,..,12,35,44,45,66,51,77,62,386,11,16,18,8,6,0,0,7,5,82,607,355,623,578,474,325,217,206,107,3499,..,19,438,646,478,341,225,190,65,2407,..,26,274,218,131,42,12,4,0,701,..,3,13,66,91,40,45,35,19,301,1239,..,..,..,..,..,..,..,..,1239,..,267,..,..,..,..,..,..,..,267,..,156,130,65,55,23,3,0,0,436,..,41,46,9,19,27,26,7,8,183,..,29,34,14,0,5,3,3,0,89,..,161,220,49,31,14,12,9,4,488,..,27,77,89,99,118,84,96,72,667,31,26,33,15,20,8,7,9,9,160,1268,759,1265,1166,925,612,402,353,178,6947
210031237,..,13,34,16,3,6,3,6,0,78,..,8,29,38,55,82,77,201,108,598,13,15,13,12,8,11,10,17,10,116,1372,695,1002,807,667,546,427,533,212,6277,..,88,1060,1154,815,614,469,529,130,4878,..,32,116,135,76,41,14,3,0,418,..,11,57,98,150,84,58,71,47,582,2791,..,..,..,..,..,..,..,..,2791,..,704,..,..,..,..,..,..,..,704,..,410,369,114,133,50,8,0,0,1086,..,100,107,24,28,42,42,33,26,413,..,54,78,21,8,7,3,0,0,175,..,138,256,50,22,20,9,13,0,507,..,16,78,96,119,166,138,250,162,1025,29,29,40,27,32,26,21,33,18,249,2822,1581,2177,1729,1385,1054,769,936,376,12827
210031239,..,111,148,51,31,28,10,4,0,381,..,18,168,172,168,214,178,288,234,1441,23,44,42,29,17,15,13,21,10,216,1910,1215,2099,1790,1404,1009,636,664,391,11122,..,72,1797,2227,1613,1014,697,557,198,8166,..,142,827,390,243,134,25,8,3,1774,..,15,61,179,272,169,50,74,63,878,3863,..,..,..,..,..,..,..,..,3863,..,1128,..,..,..,..,..,..,..,1128,..,541,440,131,87,81,12,0,0,1286,..,132,176,53,39,60,55,53,40,608,..,85,109,28,11,11,3,0,0,254,..,269,399,124,56,54,22,10,4,940,..,38,334,325,342,398,283,369,319,2415,57,71,77,56,46,33,27,35,17,419,3922,2488,4221,3519,2717,1954,1173,1099,641,21732
