SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
212051322,28,4,92,35,9,22,9,21,0,220,0,0,0,0,0,0,0,5,0,8,10,26,11,5,17,12,3,8,0,93,13,13,11,6,5,7,4,11,16,86,919,2443,634,496,831,411,137,278,105,6258
212051323,26,9,55,24,25,19,3,21,3,183,3,0,0,0,0,0,0,0,0,4,12,24,10,7,16,3,3,4,0,87,10,20,6,3,6,4,3,9,14,81,826,2148,468,414,681,348,91,205,78,5261
212051324,29,9,63,27,27,32,6,16,0,206,0,0,0,0,0,0,0,3,0,3,16,21,13,12,23,6,0,6,3,97,8,15,23,12,11,3,8,16,23,122,1021,2495,644,459,815,359,130,254,108,6285
212051325,33,9,116,47,43,35,15,19,4,328,4,0,0,0,0,3,0,0,0,8,17,14,5,12,14,5,3,5,4,80,19,12,23,8,18,11,12,9,20,130,872,2014,823,526,936,432,210,288,103,6208
212051326,45,11,164,43,31,20,24,40,0,375,0,0,0,0,0,0,0,8,0,7,22,31,13,10,34,9,4,8,3,130,12,23,24,16,14,17,12,15,20,143,994,2617,994,671,947,487,219,358,87,7380
212051327,24,6,58,38,31,17,11,12,4,203,0,0,0,0,0,0,0,0,0,6,21,15,13,10,10,9,0,0,4,82,19,17,7,11,18,7,6,3,27,114,1085,2432,626,477,859,401,127,204,104,6314
213011328,13,6,64,18,15,8,3,22,3,154,0,0,3,0,0,0,3,3,0,14,3,9,6,4,5,0,4,6,3,39,0,11,12,8,7,5,13,13,10,81,173,488,338,294,223,129,148,234,44,2070
213011329,9,6,45,15,16,26,6,17,8,140,0,0,0,0,0,0,0,0,0,3,8,7,8,0,9,3,4,3,3,36,4,3,15,11,8,7,3,10,14,73,274,680,330,247,409,208,175,178,53,2549
213011330,33,5,138,60,47,31,53,45,6,426,0,0,0,0,0,3,3,0,0,16,7,13,12,9,13,14,16,14,3,106,4,11,33,29,22,25,48,42,48,269,588,1468,1021,869,1007,433,675,576,130,6764
213011331,15,3,30,21,12,12,15,28,0,141,0,0,0,0,0,0,0,0,0,0,3,5,3,11,6,0,6,8,0,41,3,4,15,8,5,4,11,10,10,75,162,351,319,250,303,153,183,209,36,1969
213011332,25,0,72,21,23,27,13,17,4,204,0,0,0,0,0,0,0,3,0,7,3,8,13,5,11,3,4,0,3,48,9,7,17,15,11,10,8,19,19,117,358,854,661,394,464,219,235,259,52,3499
213011333,19,0,62,25,20,19,17,31,0,186,0,0,0,0,4,0,4,3,0,9,4,3,0,3,4,3,9,5,3,39,9,3,31,14,17,21,27,31,29,185,162,407,468,378,337,198,277,299,60,2591
213011334,23,0,141,58,23,24,29,46,4,364,0,0,0,0,0,0,9,3,0,17,8,12,14,11,11,3,19,8,3,87,4,18,34,12,20,13,35,38,27,206,257,667,761,571,431,286,424,492,88,3981
213011335,19,3,100,60,21,24,34,36,4,298,0,0,0,0,0,0,0,0,0,9,0,8,7,8,4,3,14,19,0,66,6,4,22,25,4,14,33,31,27,166,186,560,518,479,380,199,358,445,83,3217
213011336,18,3,74,35,11,8,14,21,0,182,0,3,0,0,0,0,0,11,0,11,3,19,6,10,6,3,12,10,3,61,7,7,18,5,3,6,10,11,23,93,232,683,394,303,310,167,181,292,44,2613
213011337,4,4,61,34,14,17,9,17,5,173,0,0,0,0,0,0,0,9,0,15,7,8,3,0,5,3,3,5,0,30,5,4,24,11,7,7,12,31,20,126,185,524,381,319,294,169,199,244,76,2393
213011338,20,9,84,48,28,29,21,42,4,273,0,0,0,0,0,0,0,0,0,4,11,7,8,8,19,0,10,7,0,62,11,13,22,20,22,13,28,32,28,187,301,882,584,517,556,286,333,381,81,3920
213011339,25,8,80,49,28,30,24,31,3,276,0,0,3,0,0,0,0,0,0,6,3,3,4,9,14,5,10,3,8,69,5,3,15,9,13,13,21,12,18,101,347,769,599,454,528,266,284,269,68,3588
213011340,28,11,87,38,49,37,9,19,0,275,0,0,0,3,0,3,0,0,0,7,12,12,8,0,20,14,0,9,3,79,18,24,28,17,20,23,15,17,25,181,821,1408,973,494,820,413,242,276,83,5522
213021341,23,5,62,30,32,26,3,7,4,193,3,0,0,0,0,0,0,0,0,4,10,21,3,4,13,7,3,5,3,75,17,10,14,6,12,4,6,8,19,81,667,1431,639,387,559,251,148,170,63,4324
213021342,34,12,102,61,53,28,26,30,4,342,0,0,0,4,0,0,0,0,0,4,4,9,18,3,10,6,10,4,3,66,11,10,28,19,25,18,34,24,26,188,557,1391,994,654,802,348,372,374,99,5587
213021343,19,9,66,24,27,29,7,18,0,195,0,0,0,0,0,0,0,0,0,8,5,14,4,4,11,0,3,6,0,51,9,13,24,15,10,11,8,21,18,137,470,1029,654,386,464,240,170,197,60,3660
213021344,30,17,79,42,42,23,14,16,0,259,0,0,0,0,0,0,0,0,0,3,31,39,11,13,25,5,4,0,5,134,16,18,24,13,25,9,7,8,25,147,1398,2724,796,548,857,324,168,209,97,7111
213021345,5,0,25,14,11,7,13,10,0,75,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,15,4,0,13,5,4,3,3,3,4,44,168,446,273,194,194,89,99,94,26,1580
213021346,29,5,44,29,19,20,3,9,7,157,0,0,0,0,0,0,0,0,0,8,24,28,10,9,22,4,0,4,0,104,13,11,7,8,8,5,4,3,18,72,1275,2304,496,366,636,273,64,137,93,5652
213031347,39,8,122,63,21,32,12,24,4,337,0,0,0,3,0,0,0,0,3,4,7,7,7,4,19,9,9,11,0,70,9,9,15,22,10,8,17,28,26,153,551,1526,605,632,666,396,310,411,97,5193
213031348,30,6,113,61,21,38,9,30,3,315,0,0,0,3,3,0,3,0,0,12,24,41,8,17,22,10,10,14,3,145,9,11,14,13,10,11,15,21,20,119,725,2230,612,692,702,441,239,472,104,6215
213031349,29,11,80,49,26,40,10,18,0,261,0,0,0,0,0,0,0,5,0,7,14,20,8,16,13,9,3,4,0,88,13,19,13,10,7,9,4,9,19,97,739,1628,491,488,628,369,110,233,72,4755
213031350,24,3,56,21,12,10,3,18,3,149,0,0,0,0,0,0,0,0,0,3,10,35,8,7,15,8,3,4,3,90,6,10,5,5,3,4,5,5,16,65,682,1712,346,300,448,202,77,160,51,3973
213031351,21,16,112,47,16,21,14,29,3,271,0,0,4,0,3,0,0,3,0,11,19,30,6,11,17,9,7,3,0,94,7,10,20,11,7,7,6,12,21,100,604,1501,493,447,482,285,159,303,68,4334
213031352,35,10,76,36,32,21,10,16,0,237,0,0,0,0,0,0,0,0,0,3,33,53,10,14,29,12,3,5,3,162,19,14,6,9,4,6,3,12,11,86,1170,2514,612,494,678,304,119,204,74,6156
