SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
206061137,9149,10164,19307,4921,4299,9216,1123,1675,2801,203,266,467,353,393,741,6600,6635,13235,1579,2528,4106,5.3,5.9,5.6,72.1,65.3,68.6,68.3,61.4,64.7,1190,1216,2405,235,389,619,3001,3474,6475,695,934,1631,733,400,1133,32,51,84,83,119,209,848,577,1419,5622,6110,11736,2887,3377,6269,2349,2643,4991,6117,6824,12937
206061138,5298,6288,11588,2432,1706,4142,841,1300,2142,123,141,261,137,156,291,3533,3305,6835,1377,2500,3878,3.9,4.7,4.3,66.7,52.6,59,64.1,50,56.5,729,606,1333,120,229,353,1784,1936,3719,421,666,1087,321,201,527,8,32,47,46,109,152,380,344,721,4330,5099,9427,1051,1190,2242,2711,3211,5916,2652,3073,5721
206071139,3777,3758,7543,2091,1650,3739,487,753,1247,94,101,193,157,136,291,2820,2644,5468,603,788,1383,5.6,5.1,5.3,74.7,70.4,72.5,70.7,66.6,68.7,458,474,927,110,210,321,1210,1245,2457,317,346,659,318,174,495,12,26,35,34,38,71,369,234,598,2476,2453,4922,1155,1153,2311,1035,1042,2077,2520,2521,5043
206071140,3473,4033,7503,1699,1480,3177,622,1026,1647,80,131,215,126,118,244,2524,2755,5282,729,1017,1745,5,4.3,4.6,72.7,68.3,70.4,69.1,65.4,67.2,585,678,1266,122,255,380,1137,1399,2542,241,272,511,216,136,355,18,23,38,37,40,76,276,200,472,2773,3055,5832,806,989,1791,1623,1785,3411,1883,2206,4088
206071141,3735,3792,7535,1839,1485,3319,495,676,1173,110,114,220,184,175,353,2621,2444,5065,647,866,1510,7,7.2,7,70.2,64.5,67.2,65.4,60,62.5,411,420,831,98,167,267,1062,1089,2149,264,327,584,330,217,554,15,34,54,43,44,81,392,299,690,2361,2414,4777,1224,1233,2454,1156,1196,2347,2313,2332,4646
206071142,4510,4743,9250,2025,1684,3704,564,861,1425,135,161,293,220,209,430,2937,2914,5850,940,1243,2181,7.5,7.2,7.4,65.1,61.4,63.2,60.4,57.1,58.6,545,674,1224,127,210,336,1264,1351,2616,302,336,637,314,217,532,22,30,57,42,60,100,378,306,684,3203,3391,6592,1053,1106,2155,1770,1888,3655,2322,2446,4767
206071143,4910,5841,10750,2452,2146,4604,741,1406,2146,116,173,282,178,178,354,3489,3904,7388,1007,1463,2472,5.1,4.6,4.8,71.1,66.8,68.7,67.4,63.8,65.4,724,875,1600,207,377,588,1524,1925,3453,336,402,737,387,206,593,22,24,44,35,62,100,447,294,742,4026,4598,8624,1057,1333,2392,2538,2853,5393,2444,2987,5429
206071144,13367,14065,27437,7610,6209,13819,1591,2628,4222,303,411,712,503,445,945,10004,9687,19695,2227,3202,5429,5,4.6,4.8,74.8,68.9,71.8,71.1,65.8,68.3,1325,1390,2721,409,688,1104,4128,4509,8643,1025,1240,2266,1343,688,2027,58,74,136,148,190,337,1545,956,2500,9895,10424,20318,3233,3457,6690,5128,5567,10694,7854,8143,15995
206071145,3727,3923,7651,1858,1404,3267,546,1025,1572,89,156,251,121,105,227,2624,2686,5311,795,931,1732,4.6,3.9,4.3,70.4,68.5,69.4,66.9,65.9,66.5,513,665,1177,183,298,477,1122,1227,2352,259,282,536,322,167,489,15,18,33,34,47,77,372,225,597,3151,3369,6516,746,750,1496,1917,2088,4010,1883,1937,3821
207011146,2944,3131,6074,1403,776,2175,446,883,1331,63,89,151,117,88,201,2024,1835,3863,785,1164,1946,5.8,4.8,5.2,68.8,58.6,63.6,64.9,55.8,60.2,362,313,680,120,187,313,808,917,1723,252,299,545,287,134,428,12,13,23,29,65,96,324,218,541,3046,3175,6223,489,472,957,2086,2236,4323,1284,1295,2583
207011147,6131,7182,13306,2538,1543,4077,952,1722,2676,144,177,326,258,206,459,3893,3650,7540,1992,3231,5221,6.6,5.6,6.1,63.5,50.8,56.7,59.3,47.9,53.2,816,646,1466,173,298,468,1757,1980,3739,514,786,1302,461,251,708,20,43,61,54,107,164,536,402,936,5759,6555,12310,1120,1344,2467,3907,4438,8345,2875,3330,6204
207011148,7861,8598,16453,3410,1892,5299,1230,2327,3556,175,202,375,324,281,603,5135,4703,9836,2432,3568,6002,6.3,6,6.1,65.3,54.7,59.8,61.3,51.4,56.1,894,695,1589,232,370,598,2163,2357,4522,623,849,1471,644,334,980,25,55,78,76,161,240,752,552,1300,8023,8460,16485,1206,1323,2523,5776,6137,11912,3272,3457,6733
207011149,8067,9536,17603,3798,2280,6076,1203,2452,3651,158,260,419,291,292,578,5452,5279,10732,2272,3853,6126,5.3,5.5,5.4,67.6,55.4,61,64,52.3,57.6,1197,1042,2240,290,505,798,2492,2804,5299,650,948,1594,624,322,947,19,63,79,78,187,270,724,570,1294,7834,8974,16806,1450,1700,3155,5367,6083,11448,3713,4365,8073
207011150,6215,6762,12974,3180,1756,4938,915,2080,2996,140,190,334,223,204,428,4454,4240,8688,1543,2301,3841,5,4.8,4.9,71.7,62.7,67,68.1,59.5,63.7,836,722,1558,243,424,671,1981,2122,4097,516,696,1216,534,258,792,29,31,64,49,133,181,611,422,1033,6457,6785,13243,1019,1086,2105,4671,4983,9653,2553,2712,5267
207011151,9622,10345,19970,4552,3538,8091,1501,2435,3932,247,339,582,475,425,895,6770,6734,13502,2212,2885,5103,7,6.3,6.6,70.4,65.1,67.6,65.5,61,63.1,1498,1391,2894,307,558,865,3018,3435,6453,710,912,1622,679,392,1071,29,50,82,70,132,197,773,572,1348,7411,7928,15342,2682,2708,5384,3948,4396,8342,5996,6110,12101
207011152,6021,6767,12791,2980,2201,5175,937,1646,2586,141,199,349,239,195,436,4304,4245,8544,1363,2157,3521,5.6,4.6,5.1,71.5,62.7,66.8,67.4,59.8,63.4,854,894,1750,231,365,592,1945,2201,4145,490,625,1112,461,280,741,30,37,61,52,102,160,544,421,968,5030,5523,10555,1571,1750,3326,2881,3306,6190,3524,3816,7348
207011153,9795,10961,20754,4487,2995,7484,1543,2693,4234,228,309,533,350,311,660,6606,6308,12912,2539,3985,6522,5.3,4.9,5.1,67.4,57.5,62.2,63.9,54.7,59,1403,1229,2627,323,534,862,2972,3319,6292,680,1047,1728,748,372,1114,29,70,92,89,160,249,857,597,1456,8909,9826,18734,1783,1999,3783,5811,6369,12179,4676,5269,9951
207011154,2505,2687,5194,1163,682,1848,409,784,1190,49,74,119,91,70,164,1708,1612,3320,658,947,1604,5.3,4.3,4.9,68.2,60,63.9,64.7,57.3,60.8,290,300,586,93,154,247,707,797,1502,177,241,421,230,116,345,16,14,29,25,44,70,275,169,444,2580,2665,5238,376,367,741,1822,1953,3778,1030,1018,2046
207011155,6229,7088,13313,2923,1669,4590,929,1905,2837,123,193,317,215,199,412,4190,3966,8158,1755,2853,4604,5.1,5,5.1,67.3,56,61.3,63.8,53.1,58.2,907,732,1641,232,428,658,1938,2188,4121,479,673,1159,442,226,665,29,31,53,61,102,171,528,353,883,6162,6922,13090,987,1116,2102,4299,4798,9092,2734,3066,5801
207021156,4533,4840,9377,1904,1103,3004,607,1087,1689,108,123,230,174,149,326,2785,2460,5242,1530,2157,3688,6.2,6.1,6.2,61.4,50.8,55.9,57.8,47.8,52.5,327,297,624,87,135,215,896,989,1884,375,447,822,675,255,931,21,46,70,47,84,128,745,390,1128,4444,4704,9149,547,520,1071,3353,3555,6904,1487,1542,3032
207021157,8504,9322,17821,3366,1994,5359,1177,1987,3158,182,242,421,381,354,731,5098,4576,9672,3051,4345,7400,7.5,7.7,7.6,59.9,49.1,54.3,55.6,45.3,50.2,826,701,1528,184,275,460,1828,2151,3980,828,886,1716,1021,469,1489,35,47,87,110,188,307,1169,709,1874,7492,8166,15661,1724,1789,3513,5076,5646,10722,3920,4081,8003
207021159,6662,7372,14028,2882,1641,4523,942,1819,2759,150,171,320,245,220,463,4215,3849,8062,2172,3227,5400,5.8,5.7,5.7,63.3,52.2,57.5,59.7,49.3,54.2,628,470,1096,134,259,401,1540,1692,3228,570,688,1258,877,416,1296,28,49,78,83,165,249,992,630,1617,6636,7182,13814,833,924,1763,5071,5396,10459,2256,2499,4755
207021160,5321,5997,11320,2330,1241,3569,654,1395,2054,103,158,258,209,169,373,3290,2965,6258,1791,2694,4484,6.4,5.7,6,61.8,49.4,55.3,58,46.6,52,418,393,815,132,198,329,1162,1322,2480,513,614,1127,790,327,1115,24,47,67,80,140,217,894,510,1405,5352,5872,11224,681,786,1468,4086,4444,8531,1740,1977,3719
207021424,5909,6288,12198,2591,1346,3940,869,1680,2552,120,145,261,245,223,469,3822,3394,7223,1907,2658,4568,6.4,6.6,6.5,64.7,54,59.2,60.6,50.4,55.4,572,447,1018,132,184,322,1413,1421,2830,540,681,1218,698,342,1041,20,39,62,78,143,218,798,525,1323,6067,6205,12271,720,792,1511,4628,4726,9355,1994,2080,4076
207021425,5332,6246,11575,2206,1398,3602,707,1324,2033,133,156,288,251,236,487,3305,3107,6410,1807,2883,4690,7.6,7.6,7.6,62,49.7,55.4,57.1,46.1,51.2,478,450,930,108,157,265,1177,1382,2563,491,664,1158,700,347,1045,23,43,61,76,120,203,795,511,1309,5125,5758,10882,1029,1155,2183,3253,3831,7081,2633,2873,5503
207031161,8347,9075,17428,3873,2126,6001,1188,2479,3666,183,252,436,355,317,675,5601,5179,10776,2400,3559,5959,6.3,6.1,6.3,67.1,57.1,61.8,62.8,53.5,58,848,775,1625,272,468,740,2000,2335,4334,822,975,1795,1104,480,1581,46,74,128,110,149,257,1264,700,1963,8267,8840,17104,1451,1472,2926,5674,6234,11904,3691,3724,7415
207031162,4090,4701,8791,1750,1015,2766,575,1195,1774,66,105,165,144,139,279,2532,2453,4985,1351,2001,3357,5.7,5.7,5.6,61.9,52.2,56.7,58.5,49.2,53.5,371,341,707,127,203,332,847,1049,1897,390,474,864,568,276,843,21,24,44,58,95,152,646,392,1038,4155,4649,8810,593,560,1160,3097,3440,6535,1465,1631,3089
207031163,8175,8897,17070,3045,2007,5056,1323,2071,3394,191,218,412,465,410,870,5014,4708,9728,2657,3632,6287,9.3,8.7,8.9,61.3,52.9,57,55.8,48.3,51.9,850,822,1674,174,348,518,1910,2237,4147,782,947,1723,799,383,1181,44,54,97,90,124,207,933,558,1486,6579,7156,13736,2162,2269,4437,3886,4374,8259,4614,4800,9419
207031164,6836,7584,14417,3038,1790,4827,1013,1999,3013,156,193,346,326,265,590,4529,4253,8783,2077,3050,5126,7.2,6.2,6.7,66.3,56.1,60.9,61.5,52.5,56.8,705,678,1385,195,381,579,1589,1901,3491,637,811,1446,856,385,1243,26,49,75,71,119,196,955,563,1513,6564,7159,13720,1322,1373,2691,4468,4901,9375,3134,3328,6464
207031165,5097,5761,10864,1574,997,2575,835,1258,2089,87,143,234,409,356,763,2904,2754,5659,1962,2704,4672,14.1,12.9,13.5,57,47.8,52.1,49,41.6,45.1,499,470,973,103,155,251,1111,1285,2396,513,571,1081,480,242,723,30,38,71,57,98,151,563,378,940,3890,4550,8444,1487,1503,2986,2266,2738,5008,2996,3198,6188
207031166,4298,4509,8808,1623,964,2594,667,1006,1672,83,129,211,207,178,386,2581,2281,4859,1564,2079,3647,8,7.8,7.9,60.1,50.6,55.2,55.2,46.6,50.8,364,343,712,79,120,194,901,1020,1922,403,454,853,541,232,769,19,36,52,50,70,126,607,340,951,3970,4217,8191,764,721,1487,2933,3138,6068,1671,1665,3333
207031167,3852,4374,8222,1891,1135,3024,594,1289,1882,78,117,189,141,115,254,2698,2651,5346,1030,1560,2589,5.2,4.3,4.8,70,60.6,65,66.5,58.1,62,529,485,1010,155,248,404,1175,1316,2493,335,474,808,325,168,496,20,17,43,39,76,117,390,267,653,3756,4069,7825,715,804,1523,2525,2834,5357,1811,1944,3756
208011168,5181,5765,10950,2455,1301,3754,715,1685,2402,132,139,268,155,145,300,3450,3268,6715,1475,2212,3694,4.5,4.4,4.5,66.6,56.7,61.3,63.7,54.2,58.7,441,343,785,162,264,427,1306,1449,2753,567,698,1262,688,269,953,20,47,67,65,139,210,773,458,1229,5207,5658,10865,747,831,1575,3786,4165,7950,2064,2230,4295
208011169,8620,10141,18760,3995,2307,6301,1271,2438,3706,207,246,451,224,257,476,5692,5239,10940,2403,4297,6697,3.9,4.9,4.4,66,51.7,58.3,63.5,49.2,55.7,1046,942,1988,251,475,725,2669,2800,5472,740,1054,1795,687,368,1054,20,61,82,120,201,326,833,629,1462,8033,9204,17241,1623,1851,3473,5203,6144,11347,4204,4741,8946
208011170,5906,6699,12606,2841,1467,4307,818,1890,2705,115,194,306,211,201,408,3983,3753,7734,1636,2568,4211,5.3,5.4,5.3,67.4,56,61.4,63.9,53,58.1,600,523,1125,178,319,496,1624,1781,3404,576,742,1321,645,310,951,18,41,63,78,137,217,741,485,1226,6034,6586,12614,997,1027,2019,4110,4570,8681,2652,2852,5502
208011171,4087,4597,8686,2121,1252,3378,525,1302,1822,87,152,238,133,133,269,2867,2840,5705,999,1550,2558,4.6,4.7,4.7,70.1,61.8,65.7,66.9,58.9,62.6,279,307,587,105,223,327,891,1060,1950,431,576,1013,666,317,979,27,38,63,63,93,150,750,442,1194,4065,4541,8598,676,754,1433,2782,3059,5836,1759,1989,3747
208011172,6704,7407,14112,3201,1870,5071,961,2052,3018,158,201,357,223,206,431,4541,4327,8868,1778,2648,4430,4.9,4.8,4.9,67.7,58.4,62.8,64.4,55.7,59.8,665,625,1287,212,347,559,1656,1886,3550,637,861,1493,727,397,1123,36,60,98,86,130,224,851,590,1447,6679,7080,13762,1157,1215,2373,4619,4956,9577,2943,3125,6067
208011173,6431,7134,13567,3075,1679,4756,876,1913,2790,152,215,361,152,179,330,4264,3978,8240,1812,2789,4604,3.6,4.5,4,66.3,55.8,60.7,63.8,53.4,58.3,656,586,1247,194,332,529,1668,1873,3538,635,868,1505,816,369,1180,33,53,86,75,169,245,921,596,1518,6139,6706,12848,1086,1189,2275,4141,4564,8705,2931,3165,6103
208021174,8535,9493,18024,4099,2349,6454,1204,2611,3812,182,265,449,382,326,703,5867,5547,11412,2267,3535,5798,6.5,5.9,6.2,68.7,58.4,63.3,64.3,55,59.4,808,807,1611,242,418,657,2050,2350,4402,794,1053,1847,1119,531,1649,18,66,87,96,191,289,1236,792,2027,8426,9224,17646,1571,1624,3193,5761,6292,12050,3888,4201,8084
208021176,7333,8038,15376,3458,2268,5726,1060,1850,2912,150,262,407,348,356,707,5014,4740,9755,1927,2887,4809,6.9,7.5,7.2,68.4,59,63.4,63.7,54.5,58.8,915,986,1904,205,332,540,1999,2336,4337,630,782,1412,812,416,1227,32,33,71,79,106,185,920,559,1484,6209,6764,12974,1713,1860,3569,3603,3966,7570,4056,4385,8445
208021177,8122,9010,17135,3824,2263,6090,1287,2351,3638,173,250,420,308,277,587,5591,5150,10739,2045,3281,5327,5.5,5.4,5.5,68.8,57.2,62.7,65.1,54,59.2,950,908,1860,223,448,671,2581,2708,5297,583,905,1484,656,372,1029,29,43,69,102,150,249,786,562,1346,7534,8054,15592,1661,1791,3450,4809,5224,10027,4062,4317,8382
208021178,6864,7521,14388,3205,1882,5089,1011,2105,3109,156,201,359,243,180,422,4616,4369,8980,1882,2788,4673,5.3,4.1,4.7,67.2,58.1,62.4,63.7,55.7,59.5,661,668,1329,197,350,551,1948,2160,4111,618,809,1430,675,357,1040,26,40,68,99,151,250,806,554,1357,6552,7173,13725,1164,1220,2388,4485,4912,9398,2999,3155,6153
208021179,4349,4916,9263,2286,1563,3853,576,1272,1849,106,160,266,129,124,253,3102,3119,6216,1006,1554,2556,4.2,4,4.1,71.3,63.4,67.1,68.2,60.9,64.4,438,507,943,156,299,456,1334,1493,2825,339,505,847,454,228,680,15,39,47,52,89,147,519,352,877,4097,4543,8642,841,968,1804,2566,2938,5497,2188,2396,4588
208021180,2981,3264,6247,1445,892,2343,441,852,1290,70,101,172,144,131,280,2100,1976,4077,738,1147,1892,6.9,6.6,6.9,70.4,60.5,65.3,65.6,56.5,60.9,299,332,626,70,120,186,739,835,1571,236,313,553,354,185,540,16,24,40,32,39,73,401,249,651,2747,3027,5771,609,635,1246,1762,2000,3759,1469,1529,3001
208021181,3784,3913,7690,1883,1138,3020,558,1068,1629,95,122,225,176,165,343,2724,2496,5219,915,1264,2175,6.5,6.6,6.6,72,63.8,67.9,67,59.5,63.4,418,404,820,126,220,343,978,1117,2093,347,358,707,475,237,710,17,28,44,57,60,114,547,315,863,3488,3559,7048,776,812,1584,2291,2384,4680,1819,1825,3645
208021182,5394,5696,11094,2683,1685,4366,848,1455,2305,108,171,276,251,260,504,3890,3565,7451,1255,1869,3125,6.5,7.3,6.8,72.1,62.6,67.2,67.5,58.1,62.6,735,700,1433,146,261,408,1537,1620,3156,483,628,1113,539,313,852,13,26,44,60,98,160,618,441,1061,4660,4921,9574,1356,1393,2747,2807,2966,5769,3059,3149,6202
208021426,5545,6040,11584,2724,1642,4368,764,1674,2433,131,175,303,210,179,385,3827,3666,7494,1451,2092,3547,5.5,4.9,5.1,69,60.7,64.7,65.3,57.8,61.3,420,435,851,132,225,357,1139,1454,2588,506,678,1187,908,365,1271,29,51,80,74,104,184,1015,522,1539,5734,5988,11726,971,1014,1983,3880,4147,8028,2523,2631,5158
208021427,4996,5557,10558,2478,1424,3903,627,1453,2082,115,180,297,185,174,359,3411,3234,6643,1378,2092,3463,5.4,5.4,5.4,68.3,58.2,62.9,64.5,55,59.5,290,341,631,99,222,323,1000,1237,2233,490,647,1134,875,396,1272,22,37,61,69,99,162,971,525,1499,5226,5560,10781,739,759,1504,3651,3847,7494,2013,2210,4224
208031183,3506,3689,7193,1860,1009,2865,452,1133,1582,95,127,217,128,85,216,2530,2355,4888,846,1206,2057,5.1,3.6,4.4,72.2,63.8,68,68.7,61.5,64.8,190,207,392,55,88,144,575,698,1275,357,426,783,648,294,940,19,46,62,50,89,146,717,431,1144,3842,3947,7795,325,334,658,3024,3089,6117,1009,1059,2064
208031184,24,9,40,10,0,11,9,0,7,0,0,0,0,0,0,16,3,20,7,7,11,0,0,0,66.7,33.3,50,79.2,0,45,3,0,3,0,0,0,3,0,4,0,3,3,5,0,5,0,0,0,0,0,0,5,0,5,12,5,20,6,0,10,11,4,13,13,3,17
208031185,4591,5032,9622,2298,1362,3661,553,1294,1842,141,172,312,150,139,287,3141,2959,6099,1157,1739,2902,4.8,4.7,4.7,68.4,58.8,63.4,65.2,56.2,60.4,153,167,317,70,135,202,535,791,1326,413,597,1008,1246,522,1767,27,63,86,80,115,190,1354,694,2045,4357,4696,9054,692,742,1437,3019,3252,6276,1874,2035,3910
208031186,5465,6316,11786,2692,1724,4413,596,1464,2067,180,210,384,185,183,364,3648,3574,7226,1357,2186,3546,5.1,5.1,5,66.8,56.6,61.3,63.5,53.8,58.2,215,277,487,104,226,329,702,1110,1809,511,769,1281,1375,635,2007,43,71,111,92,139,232,1508,846,2354,4989,5613,10605,966,1119,2080,3088,3465,6556,2578,2948,5522
208031187,2054,2242,4294,1048,552,1596,236,638,870,59,83,143,81,58,142,1421,1330,2754,555,816,1375,5.7,4.4,5.2,69.2,59.3,64.1,65.4,56.8,60.8,56,79,132,20,43,68,209,346,558,175,260,434,605,256,862,24,22,43,30,42,71,656,316,976,2207,2303,4512,204,213,422,1648,1660,3301,679,776,1453
208031188,8588,9778,18368,4242,2604,6841,1079,2431,3506,218,283,498,343,262,604,5873,5579,11453,2280,3669,5951,5.8,4.7,5.3,68.4,57.1,62.4,64.5,54.4,59,509,550,1057,168,356,530,1526,1937,3466,890,1113,2007,1663,721,2385,51,72,126,136,201,337,1851,998,2851,8281,9168,17455,1442,1555,2993,5602,6287,11890,3758,4078,7840
208031189,4896,5302,10197,2566,1442,4005,578,1538,2118,126,155,277,186,132,315,3452,3263,6718,1158,1746,2904,5.4,4,4.7,70.5,61.5,65.9,66.8,59.1,62.8,221,286,508,113,192,306,806,1104,1909,523,648,1173,1144,441,1587,23,57,82,62,119,178,1220,622,1840,5024,5221,10249,689,720,1408,3464,3608,7073,1993,2129,4121
208031190,5168,5694,10861,2546,1638,4185,674,1462,2128,134,154,290,187,191,370,3538,3441,6980,1359,1978,3340,5.3,5.6,5.3,68.5,60.4,64.3,64.9,57.1,60.8,330,325,660,137,263,397,1038,1252,2291,533,647,1177,908,440,1354,38,42,75,79,146,225,1027,626,1652,4719,5167,9886,968,1044,2019,3061,3363,6426,2482,2723,5198
208031191,3456,3633,7090,1644,971,2617,456,959,1413,87,116,205,154,121,277,2341,2162,4508,893,1217,2111,6.6,5.6,6.1,67.7,59.5,63.6,63.3,56.3,59.7,194,218,406,68,126,190,640,780,1421,327,421,743,597,265,856,20,30,54,52,67,128,670,363,1032,3261,3355,6618,653,679,1332,2209,2331,4535,1558,1545,3104
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,7669,8417,16080,4020,2338,6357,946,2397,3344,196,269,467,262,242,497,5421,5244,10670,1848,2739,4586,4.8,4.6,4.7,70.7,62.3,66.4,67.3,59.5,63.2,450,504,952,208,390,597,1348,1786,3132,820,999,1819,1532,608,2141,36,84,123,115,200,309,1689,891,2576,7533,8194,15723,1286,1317,2600,5119,5627,10751,3415,3586,7007
208041194,7808,8881,16693,3925,2629,6555,1135,2166,3306,170,233,403,258,275,537,5492,5308,10794,1848,3078,4928,4.7,5.2,5,70.3,59.8,64.7,67,56.6,61.5,1038,967,2008,251,463,713,2528,2835,5370,653,899,1555,567,295,858,25,54,75,68,172,239,659,519,1173,7090,7899,14989,1630,1718,3354,4447,5057,9504,4017,4408,8426
208041195,8384,9202,17592,3905,2304,6203,1230,2407,3640,174,235,416,374,364,735,5679,5311,10997,2342,3492,5828,6.6,6.9,6.7,67.7,57.7,62.5,63.3,53.7,58.3,1035,952,1984,264,418,683,2504,2795,5299,696,907,1605,745,362,1108,21,48,72,97,181,278,866,594,1464,7958,8449,16409,1601,1830,3434,5296,5648,10938,4018,4364,8379
209011196,4094,4186,8276,1678,864,2542,592,1060,1647,94,120,218,171,149,323,2539,2192,4727,1386,1778,3160,6.7,6.8,6.8,62,52.4,57.1,57.7,48.8,53.3,199,217,417,57,119,179,596,699,1295,382,412,793,861,318,1178,20,40,62,66,86,148,952,437,1391,4051,4060,8108,568,498,1066,3009,3055,6061,1467,1353,2817
209011197,7969,8695,16666,4113,2168,6277,1008,2623,3628,210,319,535,263,253,517,5592,5360,10950,2105,3027,5130,4.7,4.7,4.7,70.2,61.6,65.7,66.9,58.8,62.6,405,447,855,209,401,610,1308,1692,3000,771,989,1762,1900,733,2634,49,84,133,134,218,346,2079,1034,3111,8250,8810,17063,969,1054,2027,6202,6642,12841,2693,2894,5586
209011198,5676,6333,12010,2699,1579,4274,782,1641,2423,133,221,355,206,204,405,3822,3637,7460,1547,2310,3855,5.4,5.6,5.4,67.3,57.4,62.1,63.7,54.3,58.7,636,581,1220,226,360,589,1363,1622,2978,522,590,1114,801,387,1188,28,30,61,90,106,192,918,526,1441,5457,5918,11371,1029,1161,2189,3692,4064,7760,2476,2677,5148
209011199,5629,6040,11673,2135,1366,3497,834,1232,2068,144,186,322,326,275,595,3432,3058,6484,1657,2404,4059,9.5,9,9.2,61,50.6,55.5,55.3,46.1,50.4,364,366,731,112,211,330,868,1096,1961,447,533,979,903,466,1372,32,56,89,60,95,162,997,621,1615,4968,5323,10295,1026,980,2003,3116,3427,6539,2580,2584,5160
209011200,4506,5035,9536,2206,1450,3651,672,1402,2077,108,157,269,169,153,325,3152,3171,6323,1148,1651,2800,5.4,4.8,5.1,70,63,66.3,66.3,59.8,62.9,616,585,1199,184,295,479,1181,1408,2595,340,454,796,489,224,714,21,33,61,59,83,144,576,341,914,4221,4672,8893,758,904,1663,2929,3271,6200,1919,2173,4094
209011201,3043,3287,6325,1507,772,2279,461,1011,1474,72,73,144,95,105,202,2135,1965,4102,789,1193,1983,4.4,5.3,4.9,70.2,59.8,64.9,67,56.5,61.6,442,352,795,106,194,302,919,960,1879,240,331,569,288,132,418,4,24,32,36,69,103,326,225,555,3090,3231,6317,413,419,839,2313,2453,4765,1140,1158,2300
209011202,6182,6944,13125,3116,1730,4848,779,2042,2823,169,241,407,185,166,347,4248,4183,8433,1717,2503,4222,4.4,4,4.1,68.7,60.2,64.3,65.7,57.8,61.5,375,435,819,174,374,552,1120,1495,2619,634,804,1440,1528,573,2101,36,76,113,78,164,241,1651,813,2463,6323,6810,13127,868,976,1849,4549,4938,9490,2334,2594,4932
209011203,7199,7588,14792,3557,1873,5430,881,2069,2950,151,209,360,254,226,483,4846,4380,9232,2020,2875,4896,5.2,5.2,5.2,67.3,57.7,62.4,63.7,54.7,59.1,554,537,1089,189,349,537,1382,1636,3021,666,806,1468,1445,567,2012,36,70,110,89,143,226,1571,781,2353,7258,7568,14828,1117,996,2112,5253,5524,10779,2774,2741,5517
