POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3424,314,324,640,122,58,183,35,69,102,0,11,11,11,3,15,166,139,309,125,164,285,6.6,2.2,4.9,52.9,42.9,48.3,50,42.6,46.3,4,7,7,5,6,10,15,40,55,4,21,30,70,44,111,3,7,11,4,3,9,75,61,131,327,317,641,28,32,62,253,252,506,90,87,177
POA3427,1145,1141,2294,564,320,880,137,309,445,48,46,95,31,25,55,774,700,1482,283,353,634,4,3.6,3.7,67.6,61.3,64.6,65.4,59.2,61.9,15,25,37,11,19,29,73,133,208,73,125,194,348,153,501,0,24,25,23,40,61,373,208,587,1043,1002,2046,199,234,435,729,680,1413,457,499,959
POA3428,298,262,568,127,57,187,28,66,97,10,10,25,3,3,5,173,145,317,82,85,167,1.7,2.1,1.6,58.1,55.3,55.8,55.4,50.8,54.4,7,0,9,0,3,3,18,29,53,22,33,56,92,15,105,0,4,4,3,8,9,96,25,119,277,253,533,20,18,38,244,227,465,44,45,92
POA3429,13972,15126,29102,7298,3884,11182,1614,4293,5906,363,508,870,615,599,1210,9887,9287,19171,3377,5095,8478,6.2,6.4,6.3,70.8,61.4,65.9,66.4,57.4,61.7,299,314,610,190,443,634,1204,1895,3095,1181,1748,2935,4271,1938,6207,117,231,351,230,355,581,4615,2527,7139,14163,14898,29060,2027,2189,4217,10125,10512,20638,5388,5977,11363
POA3430,133,128,260,62,36,92,15,33,48,7,6,8,0,3,0,85,72,154,35,39,75,0,4.2,0,63.9,56.3,59.2,63.2,58.6,56.9,3,4,8,0,4,4,3,9,18,3,11,15,26,11,35,0,6,3,3,4,7,35,16,51,132,116,250,21,18,35,97,80,179,44,51,97
POA3431,1508,1621,3133,790,425,1214,190,543,730,48,67,115,40,33,76,1075,1065,2141,369,501,873,3.7,3.1,3.5,71.3,65.7,68.3,68.2,63.8,65.7,51,45,96,23,65,90,160,288,451,161,179,342,492,192,686,9,24,33,26,49,73,531,261,796,1636,1729,3363,165,184,346,1241,1305,2544,494,550,1041
POA3432,82,74,160,40,20,58,9,20,29,5,3,4,3,0,3,53,41,91,16,23,41,5.7,0,3.3,64.6,55.4,56.9,65.9,58.1,56.9,0,4,3,0,0,0,3,16,17,3,5,16,24,0,25,0,3,3,0,0,0,24,3,27,83,79,158,3,4,6,65,69,132,17,10,28
POA3433,94,79,176,45,22,64,17,22,33,3,9,14,3,4,7,58,51,114,24,26,52,5.2,7.8,6.1,61.7,64.6,64.8,69.1,67.1,63.1,0,3,9,0,3,3,6,14,15,7,12,21,27,11,41,0,0,3,0,0,0,30,8,41,97,87,188,4,3,11,83,69,152,15,22,39
POA3434,2017,2007,4021,1027,446,1474,214,571,786,73,79,151,59,51,110,1371,1152,2523,515,736,1246,4.3,4.4,4.4,68,57.4,62.7,65.1,54.6,60,38,42,74,29,54,80,137,257,391,190,242,429,615,237,847,4,22,31,29,60,88,648,322,972,2051,2025,4078,300,294,589,1479,1499,2980,741,693,1437
POA3435,1163,1140,2301,541,258,800,125,320,450,49,44,97,32,24,62,754,656,1403,316,388,701,4.2,3.7,4.4,64.8,57.5,61,61.5,54.6,58.5,23,26,52,18,45,67,97,152,245,83,140,218,374,111,483,7,22,26,23,17,39,399,149,553,1146,1140,2284,148,149,301,828,793,1615,421,428,851
POA3437,3914,4204,8123,2100,957,3052,449,1307,1760,105,152,255,108,125,237,2765,2539,5306,929,1414,2341,3.9,4.9,4.5,70.6,60.4,65.3,67.8,57.5,62.4,159,147,302,96,174,273,498,773,1265,394,517,915,1115,406,1526,16,52,73,62,116,178,1192,583,1774,4082,4210,8289,630,648,1275,2753,2800,5552,1723,1856,3581
POA3438,879,930,1810,452,204,658,103,304,404,22,30,56,25,24,52,606,567,1176,235,325,560,4.1,4.2,4.4,68.9,61,65,65.6,57.8,61.8,33,24,60,23,43,67,112,165,275,83,128,216,259,100,356,6,11,23,17,25,43,283,135,420,982,1005,1986,113,105,217,701,706,1411,331,358,690
POA3440,795,799,1597,347,188,535,108,232,341,27,30,57,21,21,39,509,469,981,221,274,499,4.1,4.5,4,64,58.7,61.4,60.6,56.3,58.4,47,46,96,25,57,81,129,169,299,79,98,179,181,60,249,4,8,11,11,22,36,195,97,294,857,830,1691,85,84,175,622,613,1235,277,259,535
POA3441,547,518,1067,263,134,392,78,128,205,28,19,48,26,18,44,389,296,690,131,195,332,6.7,6.1,6.4,71.1,57.1,64.7,67.5,54.2,60.4,46,51,99,15,33,46,118,130,245,51,61,113,95,33,132,0,4,4,6,12,17,105,48,155,585,514,1100,61,75,134,428,376,802,193,187,387
POA3442,2805,3107,5914,1266,668,1939,412,888,1303,83,107,188,93,80,172,1851,1745,3599,725,1050,1778,5,4.6,4.8,66,56.2,60.9,62.8,53.5,58,171,198,371,86,180,268,470,630,1108,255,354,611,602,250,852,16,43,55,44,62,106,662,354,1014,2866,3031,5902,373,417,787,2038,2141,4181,1021,1189,2210
POA3444,3663,3935,7603,1459,740,2206,515,1063,1578,109,129,244,93,88,177,2178,2024,4199,1199,1614,2815,4.3,4.3,4.2,59.5,51.4,55.2,56.9,49.1,53,130,151,280,74,146,222,407,582,989,305,400,701,883,399,1282,35,64,99,60,96,160,972,559,1537,3489,3697,7187,526,583,1110,2345,2452,4795,1465,1612,3082
POA3446,441,426,870,175,77,249,76,143,223,8,4,17,14,13,23,274,241,518,124,136,260,5.1,5.4,4.4,62.1,56.6,59.5,58.7,52.6,56.2,13,24,32,11,29,40,42,69,107,24,32,60,128,64,191,0,3,3,5,11,21,137,84,217,407,407,821,56,43,96,283,291,572,167,154,320
POA3447,200,182,376,67,37,101,33,51,90,9,12,16,6,7,7,113,100,214,71,61,126,5.3,7,3.3,56.5,54.9,56.9,54.5,54.9,55.1,3,6,10,6,11,21,25,28,57,14,25,38,45,21,66,0,0,4,8,7,15,52,24,77,181,174,356,17,30,46,138,133,270,53,64,118
POA3448,382,366,750,147,73,219,57,104,158,13,14,25,14,7,21,233,197,423,124,149,272,6,3.6,5,61,53.8,56.4,56.8,52.2,53.6,18,15,36,9,25,32,40,58,92,32,49,84,94,38,140,0,8,6,3,10,16,102,56,157,365,354,718,37,51,86,282,259,548,101,117,225
POA3450,2614,3163,5779,814,480,1297,450,795,1240,54,86,135,88,73,162,1408,1433,2837,965,1412,2378,6.3,5.1,5.7,53.9,45.3,49.1,50.4,43,46.2,151,214,363,85,176,265,384,562,943,215,327,538,483,214,704,21,22,38,37,39,79,544,281,823,2425,2825,5248,390,418,806,1710,1914,3622,992,1226,2219
POA3451,2668,2125,4794,731,418,1148,314,605,917,64,77,144,56,71,120,1170,1165,2330,1336,789,2122,4.8,6.1,5.2,43.9,54.8,48.6,41.6,51.8,46.1,74,101,175,47,104,156,205,333,543,157,229,384,541,214,759,12,42,57,25,40,66,586,294,884,1894,1994,3889,269,313,584,1364,1387,2749,711,821,1533
POA3453,720,695,1418,305,145,453,108,205,309,21,26,50,15,11,29,451,391,838,224,261,489,3.3,2.8,3.5,62.6,56.3,59.1,60.3,54.1,57.3,26,22,46,23,31,52,79,136,212,67,83,151,198,63,258,0,12,12,6,10,19,208,84,291,752,717,1473,66,65,132,536,501,1034,245,252,496
POA3458,837,846,1684,296,144,432,117,225,343,31,28,60,16,8,24,455,402,861,282,334,618,3.5,2,2.8,54.4,47.5,51.1,53,46.9,49.6,46,46,92,19,37,56,101,134,238,68,114,177,184,79,264,5,4,9,19,16,32,207,100,304,746,716,1466,93,113,200,520,507,1026,295,301,597
POA3460,969,1266,2235,310,193,502,163,339,501,35,38,69,24,27,48,531,598,1126,365,580,950,4.5,4.5,4.3,54.8,47.2,50.4,52.4,45,48,49,55,99,20,48,70,117,230,344,101,126,229,195,86,280,11,7,23,18,16,38,230,109,336,876,1081,1956,148,219,368,587,715,1304,403,553,958
POA3461,1727,1715,3446,562,316,884,332,476,807,68,72,136,49,38,88,1011,900,1912,573,688,1261,4.8,4.2,4.6,58.5,52.5,55.5,55.7,50.4,53,73,116,183,44,82,126,230,313,540,140,229,372,402,156,566,11,20,35,39,33,69,460,212,673,1693,1645,3337,209,219,431,1247,1191,2440,570,601,1168
POA3462,483,502,982,156,90,246,79,123,200,7,7,18,11,16,30,257,237,495,184,227,408,4.3,6.8,6.1,53.2,47.2,50.4,50.1,43.8,47.3,7,19,30,14,33,46,48,66,116,32,49,84,142,61,200,5,10,13,4,11,17,149,79,227,484,490,974,42,42,79,349,356,708,152,154,304
POA3463,1032,1124,2162,321,183,509,152,242,398,29,38,66,36,22,61,542,490,1031,436,588,1027,6.6,4.5,5.9,52.5,43.6,47.7,48.6,41.2,45,32,51,83,36,45,77,102,180,284,68,143,209,293,87,382,8,9,12,20,33,59,324,135,456,997,1000,1997,109,120,222,759,734,1489,330,353,683
POA3464,443,443,884,183,78,262,54,122,175,12,7,20,14,21,31,265,223,485,163,210,367,5.3,9.4,6.4,59.8,50.3,54.9,56.2,46.7,51.7,6,3,12,8,5,16,16,40,60,20,40,61,142,64,203,3,8,6,7,14,21,149,87,231,466,464,927,68,55,125,352,333,686,159,149,306
POA3465,3932,4304,8234,1172,590,1757,440,898,1345,100,114,216,180,115,294,1892,1718,3612,1776,2273,4053,9.5,6.7,8.1,48.1,39.9,43.9,43.5,37.2,40.3,30,39,66,29,50,81,147,305,451,168,331,500,1136,514,1651,47,71,118,66,83,148,1248,663,1913,3760,3994,7750,548,608,1157,2728,2830,5555,1395,1604,2997
POA3467,490,502,996,158,63,219,43,108,147,21,12,34,17,24,35,228,203,433,231,259,486,7.5,11.8,8.1,46.5,40.4,43.5,45.3,36.5,40.2,0,8,11,6,8,10,25,38,62,27,52,76,111,48,154,4,10,14,4,10,20,120,68,189,495,472,965,51,58,102,342,333,678,166,170,336
POA3468,119,129,249,37,21,56,9,24,33,3,4,8,9,0,10,61,48,108,50,74,126,14.8,0,9.3,51.3,37.2,43.4,41.2,38,39,0,0,0,0,0,4,7,7,14,7,18,24,36,9,46,0,0,0,0,3,3,36,18,56,119,131,254,6,11,15,96,95,190,31,41,72
POA3469,121,121,240,38,24,58,18,21,35,3,8,11,0,4,4,52,50,105,57,65,118,0,8,3.8,43,41.3,43.8,48.8,43.8,43.3,3,4,5,3,4,7,7,18,24,13,13,27,33,17,44,0,0,0,0,0,0,32,17,47,109,114,227,12,4,19,87,91,180,36,29,67
POA3472,689,597,1289,158,64,225,60,98,161,16,18,30,28,18,48,270,196,464,356,360,715,10.4,9.2,10.3,39.2,32.8,36,34,30.2,32.3,5,4,11,4,10,16,21,54,71,29,40,74,180,70,247,3,12,13,12,8,25,191,85,283,609,556,1161,90,73,159,456,414,870,217,201,420
POA3475,161,137,301,48,16,64,12,24,37,5,3,10,3,7,11,72,46,119,81,79,159,4.2,15.2,9.2,44.7,33.6,39.5,40.4,31.4,36.9,0,3,4,0,0,0,3,7,14,8,3,14,38,16,58,0,3,4,0,4,3,43,21,62,157,130,290,5,10,18,130,108,237,32,26,62
POA3477,377,337,714,168,82,249,36,103,140,10,11,18,17,0,15,228,196,428,126,114,241,7.5,0,3.5,60.5,58.2,59.9,56.8,58.2,57,3,4,6,0,6,11,27,44,69,15,40,59,91,29,123,10,11,19,6,12,13,104,49,152,373,341,713,25,22,49,309,279,596,72,73,147
POA3478,1024,1108,2126,358,173,522,130,251,379,33,39,78,34,28,62,549,491,1038,424,554,978,6.2,5.7,6,53.6,44.3,48.8,50.9,41.8,46,11,11,14,4,12,24,31,92,131,45,79,117,241,108,354,5,25,34,15,31,46,264,168,437,983,1030,2011,116,141,259,757,806,1566,313,337,651
POA3480,756,795,1550,307,116,419,69,186,249,29,32,59,14,16,29,416,345,757,247,350,599,3.4,4.6,3.8,55,43.4,48.8,53.6,42,46.9,4,6,7,4,17,22,33,67,99,28,67,94,200,78,274,8,21,28,5,15,17,209,111,317,736,710,1452,79,98,175,590,557,1149,193,208,405
POA3482,82,65,142,30,8,36,4,14,20,3,0,3,0,3,0,31,29,60,38,28,69,0,10.3,0,37.8,44.6,42.3,45.1,33.8,41.5,0,0,0,0,0,0,0,5,5,3,9,12,12,5,14,3,0,4,0,3,3,15,9,24,76,63,139,0,0,0,68,54,117,12,12,26
POA3483,366,351,722,169,57,226,38,101,137,11,8,23,10,0,10,220,169,396,115,151,261,4.5,0,2.5,60.1,48.1,54.8,59.6,47.3,53.5,3,7,7,7,8,19,16,58,76,15,28,42,95,32,127,0,8,9,5,6,13,103,44,152,350,353,704,40,37,77,272,279,554,112,94,210
POA3485,139,120,260,57,16,74,15,37,46,0,0,0,3,0,3,72,52,126,56,63,116,4.2,0,2.4,51.8,43.3,48.5,51.8,44.2,46.2,0,0,0,0,3,3,3,11,10,9,11,18,31,14,47,0,6,11,3,0,4,39,25,59,140,116,255,11,8,19,124,101,223,24,24,45
POA3487,36,35,68,17,3,23,4,9,15,0,0,0,0,0,3,26,14,41,11,8,18,0,0,7.3,72.2,40,60.3,58.3,34.3,55.9,0,0,0,0,0,0,0,0,0,4,4,10,6,3,13,0,0,0,0,0,3,8,11,16,36,36,76,0,0,3,30,28,60,5,3,8
POA3488,43,42,93,24,4,26,4,10,15,0,0,0,0,0,3,25,24,48,18,22,35,0,0,6.3,58.1,57.1,51.6,65.1,33.3,44.1,0,0,0,0,0,0,0,0,0,0,7,7,17,0,15,0,0,0,0,0,5,20,6,24,41,46,86,13,7,20,39,40,74,9,15,26
POA3489,24,27,53,14,3,19,0,5,6,4,0,3,3,0,3,18,11,28,4,14,18,16.7,0,10.7,75,40.7,52.8,75,29.6,52.8,0,0,0,0,0,0,0,3,3,0,3,3,8,7,13,0,0,0,0,0,0,8,7,19,24,22,46,0,4,7,17,15,38,7,6,11
POA3490,561,546,1109,244,89,335,45,138,176,21,17,36,8,10,17,315,252,564,186,252,441,2.5,4,3,56.1,46.2,50.9,55.3,44.7,49.3,3,5,10,4,11,11,19,49,70,25,40,69,125,56,173,3,13,14,13,7,21,139,70,211,525,518,1040,60,64,121,414,390,803,150,162,317
POA3491,54,45,97,24,7,36,0,12,10,0,3,4,0,0,0,28,20,50,18,22,39,0,0,0,51.9,44.4,51.5,44.4,48.9,51.5,0,0,0,0,0,0,0,3,9,3,4,10,10,11,18,3,0,4,0,0,0,16,12,24,55,53,105,4,7,17,43,41,81,15,17,33
POA3494,318,240,562,165,78,246,28,45,71,11,6,17,18,15,31,219,146,367,65,67,129,8.2,10.3,8.4,68.9,60.8,65.3,64.2,53.8,59.4,0,3,3,0,3,3,10,16,22,16,20,36,56,30,85,0,0,3,5,4,7,63,30,98,267,194,457,60,57,113,189,143,329,116,99,213
POA3496,2520,2496,5021,1049,497,1546,243,619,861,113,97,210,102,82,188,1506,1296,2799,762,948,1712,6.8,6.3,6.7,59.8,51.9,55.7,55.8,48.6,52.1,10,20,33,24,38,64,87,209,297,114,208,323,640,308,947,29,53,76,35,47,77,702,400,1100,2381,2302,4678,388,388,772,1677,1586,3264,915,984,1899
POA3498,2133,2127,4263,1004,472,1473,235,611,851,78,90,166,64,58,124,1386,1234,2617,601,746,1340,4.6,4.7,4.7,65,58,61.4,61.7,55.1,58.4,20,19,36,20,39,56,127,223,353,115,186,301,623,274,896,15,46,56,21,56,78,660,377,1031,2187,2114,4304,292,287,574,1629,1573,3200,729,734,1460
POA3500,12630,13958,26591,4917,3002,7917,1369,3081,4452,351,378,724,678,541,1218,7308,7007,14309,4123,5716,9840,9.3,7.7,8.5,57.9,50.2,53.8,52.5,46.3,49.2,155,196,356,119,276,394,841,1420,2258,734,1184,1921,2790,1639,4430,148,251,395,187,247,436,3125,2136,5265,11335,12389,23727,2455,2609,5064,7228,7881,15106,5911,6460,12370
POA3501,780,712,1498,421,196,621,82,228,313,28,29,58,14,12,29,543,477,1020,183,206,386,2.6,2.5,2.8,69.6,67,68.1,68.1,63.6,66.2,8,8,21,7,29,36,58,83,145,46,80,133,241,68,310,5,9,19,17,17,31,260,102,355,823,788,1608,79,103,184,618,573,1183,240,260,502
POA3505,1930,1970,3904,779,410,1190,215,483,699,66,72,138,99,61,152,1151,1031,2188,612,792,1402,8.6,5.9,6.9,59.6,52.3,56,54.9,49,51.9,8,11,24,10,36,46,72,160,233,85,183,270,502,255,763,20,43,62,46,46,91,563,347,916,1904,1910,3814,265,266,536,1429,1398,2828,633,685,1323
POA3506,20,17,30,11,3,11,0,4,4,3,0,3,0,0,0,11,6,23,0,9,10,0,0,0,55,35.3,76.7,70,41.2,60,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,4,18,13,29,0,0,0,18,14,31,0,0,4
POA3507,59,63,122,19,7,24,6,15,27,0,0,0,0,0,0,26,30,59,22,29,56,0,0,0,44.1,47.6,48.4,42.4,34.9,41.8,0,0,0,0,0,0,4,8,15,3,6,7,10,6,17,0,0,0,0,3,3,12,7,21,64,71,127,3,5,12,52,59,110,11,13,27
POA3509,100,93,190,49,9,60,12,31,49,0,3,3,3,3,6,65,50,116,28,35,60,4.6,6,5.2,65,53.8,61.1,61,46.2,58.9,0,0,0,0,0,0,0,14,13,0,4,9,21,3,20,0,0,0,0,0,0,21,4,22,107,103,208,3,3,6,93,88,182,10,9,19
POA3512,154,140,302,83,36,117,13,43,54,5,4,8,0,3,7,107,85,191,37,50,85,0,3.5,3.7,69.5,60.7,63.2,65.6,59.3,59.3,0,7,7,0,0,0,3,17,17,3,13,18,27,16,41,0,6,7,0,3,3,33,22,52,168,144,308,13,18,33,136,118,255,32,35,70
POA3515,731,729,1455,379,202,578,81,214,295,25,21,53,9,23,39,499,468,961,173,208,379,1.8,4.9,4.1,68.3,64.2,66,66.3,59.9,63.6,9,4,10,8,28,38,50,98,150,45,77,121,261,116,374,8,16,26,7,8,16,274,146,422,733,753,1487,122,124,248,420,412,830,380,389,771
POA3516,295,281,575,133,61,191,31,70,104,12,11,22,10,7,11,184,147,328,87,111,198,5.4,4.8,3.4,62.4,52.3,57,59.7,50.5,55.1,0,0,3,5,5,13,15,18,35,11,29,40,76,34,110,3,7,9,3,5,9,80,50,130,301,283,581,20,19,40,237,219,455,67,70,136
POA3517,608,581,1193,193,82,275,46,125,167,23,10,37,15,16,30,274,235,507,261,279,541,5.5,6.8,5.9,45.1,40.4,42.5,43.1,37.3,40.2,4,6,11,0,8,7,19,39,53,23,47,70,155,69,223,6,10,17,7,20,29,168,104,268,562,538,1105,55,64,120,428,404,835,172,178,349
POA3518,598,542,1136,153,69,224,49,100,150,20,15,36,24,10,29,242,193,433,257,276,534,9.9,5.2,6.7,40.5,35.6,38.1,37.1,33.9,36.1,4,4,10,5,7,14,13,33,43,35,37,74,131,50,178,0,12,20,8,12,15,142,69,213,531,499,1026,45,39,85,424,391,808,131,138,266
POA3520,81,73,157,13,3,17,0,7,10,3,0,3,5,0,9,21,15,34,52,52,109,23.8,0,26.5,25.9,20.5,21.7,19.8,13.7,19.1,0,0,0,0,0,0,0,0,0,0,4,4,20,14,32,0,0,0,0,0,3,21,14,36,74,64,136,9,5,15,60,43,102,22,20,47
POA3521,266,252,519,125,54,175,28,72,97,10,13,27,5,7,18,178,144,319,69,90,160,2.8,4.9,5.6,66.9,57.1,61.5,61.3,55.2,57.6,3,4,5,3,4,7,9,27,37,8,26,34,94,37,133,0,3,7,3,12,13,104,50,152,287,272,562,17,16,36,198,195,391,92,77,171
POA3522,152,138,287,59,24,85,12,43,57,5,3,10,3,3,9,84,67,154,45,54,97,3.6,4.5,5.8,55.3,48.6,53.7,50,50.7,53,3,0,5,0,3,4,4,23,28,11,10,21,44,11,53,0,5,5,0,3,8,47,14,67,137,119,257,13,20,37,107,98,204,40,37,77
POA3523,1574,1588,3167,429,225,653,151,276,427,53,38,92,52,46,104,688,586,1272,734,836,1570,7.6,7.8,8.2,43.7,36.9,40.2,40.2,33.9,37,9,28,34,10,26,35,69,129,200,99,131,233,462,177,637,12,28,46,25,23,51,496,232,726,1392,1362,2754,192,221,414,1007,979,1989,523,552,1077
POA3525,572,543,1111,219,93,307,59,126,191,12,20,32,21,13,35,315,248,569,206,251,458,6.7,5.2,6.2,55.1,45.7,51.2,50.7,44,47.7,11,3,16,0,16,18,31,55,85,31,55,89,144,50,192,5,3,12,4,4,8,156,56,213,541,518,1064,65,56,123,460,429,887,126,125,256
POA3527,324,358,686,125,52,177,35,75,113,7,14,27,7,0,7,178,145,322,112,176,289,3.9,0,2.2,54.9,40.5,46.9,51.5,39.4,46.2,0,8,8,0,9,7,18,27,44,11,19,28,70,39,102,0,7,10,3,8,12,71,50,122,296,330,618,38,40,73,224,247,472,107,111,218
POA3529,51,35,88,28,11,34,3,8,13,0,3,6,0,0,0,34,21,58,13,12,27,0,0,0,66.7,60,65.9,60.8,62.9,60.2,0,0,0,0,0,3,3,6,9,0,5,5,11,5,12,0,0,0,0,0,0,13,3,17,54,48,99,3,4,9,39,37,78,18,11,26
POA3530,57,42,106,25,8,33,3,14,16,0,3,7,0,0,0,30,25,58,25,14,34,0,0,0,52.6,59.5,54.7,49.1,59.5,52.8,0,0,0,0,0,0,3,7,9,6,3,8,9,11,19,0,0,0,0,0,0,9,8,22,57,41,104,5,4,8,46,37,82,18,16,31
POA3531,92,70,159,34,10,45,4,18,20,0,0,7,3,0,5,42,29,75,36,30,67,7.1,0,6.7,45.7,41.4,47.2,41.3,40,45.3,0,0,0,0,0,4,3,10,11,8,3,7,19,7,30,0,0,3,0,3,9,26,14,37,89,78,167,9,3,7,70,51,125,19,18,41
POA3533,321,328,646,122,48,173,22,74,102,0,5,6,17,8,18,170,137,304,112,151,267,10,5.8,5.9,53,41.8,47.1,44.9,38.7,43.5,0,3,4,3,7,13,9,27,36,11,22,35,68,44,116,3,3,4,3,0,3,77,53,123,300,297,606,39,32,68,230,245,475,95,82,176
POA3537,418,448,860,164,64,224,41,103,136,16,23,38,12,8,19,224,196,427,150,207,355,5.4,4.1,4.4,53.6,43.8,49.7,52.9,42.4,46.3,0,5,9,3,10,12,26,51,78,19,35,52,86,39,129,4,5,10,4,11,16,93,50,149,401,431,835,40,53,92,315,325,643,111,130,244
POA3540,125,133,257,48,18,66,12,17,28,5,4,10,4,4,11,65,44,113,44,68,115,6.2,9.1,9.7,52,33.1,44,52,29.3,40.5,0,0,3,0,0,0,3,6,13,7,15,19,27,9,35,0,3,3,0,0,0,26,19,45,119,121,237,4,5,9,100,103,201,28,26,53
POA3542,69,61,128,34,12,39,13,19,23,3,0,5,0,0,0,46,28,75,20,36,55,0,0,0,66.7,45.9,58.6,72.5,50.8,52.3,0,0,0,0,0,0,0,8,8,3,3,4,16,7,23,0,0,0,3,0,3,16,7,27,72,62,138,4,6,4,63,62,127,8,3,19
POA3544,114,85,205,49,17,69,11,30,42,0,0,3,4,0,7,71,46,113,39,28,65,5.6,0,6.2,62.3,54.1,55.1,52.6,55.3,55.6,0,0,0,3,0,3,3,13,15,7,12,19,37,10,46,0,0,0,0,0,0,34,16,52,109,89,202,11,3,11,79,67,150,36,16,53
POA3546,164,167,329,81,31,113,14,41,50,10,3,14,3,0,3,100,79,181,50,70,115,3,0,1.7,61,47.3,55,64,44.9,53.8,0,3,3,0,5,5,12,23,30,6,13,18,38,22,54,3,0,4,3,0,4,40,24,61,156,157,311,12,23,33,126,123,250,44,46,81
POA3549,1431,1359,2786,578,270,853,111,239,352,71,62,133,47,40,85,813,616,1422,386,532,916,5.8,6.5,6,56.8,45.3,51,53.1,42,48,10,12,13,3,19,27,48,102,150,54,89,140,201,96,293,6,8,17,17,19,34,220,121,343,1303,1229,2531,197,204,397,948,916,1858,450,430,881
POA3550,15771,17853,33622,6184,3607,9786,2232,4661,6893,434,587,1015,795,646,1446,9639,9496,19136,5037,7134,12166,8.2,6.8,7.6,61.1,53.2,56.9,56.1,49.6,52.6,522,623,1146,333,648,983,1869,2701,4578,1190,1612,2805,3606,1993,5599,158,271,425,197,391,594,3957,2658,6614,14211,15347,29557,3102,3612,6717,9234,9956,19192,7429,8461,15894
POA3551,11109,11419,22529,5644,2656,8301,1422,3777,5202,428,569,999,305,304,611,7801,7315,15119,2676,3508,6190,3.9,4.2,4,70.2,64.1,67.1,67.5,61.3,64.4,273,306,578,225,455,679,1094,1849,2944,896,1183,2077,3319,1502,4821,75,158,229,163,269,433,3559,1927,5484,11863,11891,23752,1694,1803,3499,7710,7557,15263,4977,5341,10313
POA3555,7579,8668,16243,3084,1764,4846,885,2032,2913,205,232,435,329,268,600,4496,4299,8800,2504,3688,6193,7.3,6.2,6.8,59.3,49.6,54.2,55.1,46.5,50.4,123,141,266,104,201,309,512,919,1427,473,762,1232,2100,1142,3244,76,142,225,106,174,279,2287,1459,3743,7116,7840,14951,1263,1438,2696,4624,5082,9707,3339,3808,7148
POA3556,5028,5475,10499,1912,981,2897,613,1321,1933,158,194,355,270,218,487,2951,2717,5674,1638,2301,3940,9.1,8,8.6,58.7,49.6,54,53.4,45.6,49.4,43,73,117,54,122,177,223,430,654,231,466,703,1441,781,2219,65,108,175,78,121,200,1587,1010,2596,4874,5032,9910,789,895,1683,3180,3255,6433,2147,2380,4528
